"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","403.63","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","12.04","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","219","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Anderson Columbia Co Inc","Flood Control","Materials And Supplies","133.17","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","257.8","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","239.55","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","311.41","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","189.42","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Street Sweeping Section","Tri Co Communications Inc","Flood Control","Materials And Supplies","268.23","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Clarke Mosquito Control Products Inc","Health","Materials And Supplies","1180.02","2015-12-13T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Smith & Sons Sod Co Inc","Flood Control","Materials And Supplies","5630.63","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","159.7","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","142.07","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","13.34","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","13.34","2015-12-20T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","212.38","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Street Sweeping Section","Tri Co Communications Inc","Flood Control","Materials And Supplies","264.88","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","21.47","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","10.81","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","113.33","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Sams Club Direct","Flood Control","Materials And Supplies","134.05","2015-12-27T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","17","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Paypal  Diversified","Flood Control","Materials And Supplies","1925.18","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","178.15","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","16.99","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","204.91","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Office Depot #186","Flood Control","Materials And Supplies","19.97","2015-12-27T00:00:00.000","December","3","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","229.6","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","2552.4","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","8508","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","8508","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","6385","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","5064.72","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply Waterworks Ltd","Flood Control","Materials And Supplies","3810","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company","Flood Control","Materials And Supplies","236.5","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","91.25","2016-01-03T00:00:00.000","January","4","2016","Payables"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Wal-Mart #3877","Cultural Services","Materials And Supplies","35.82","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.76","2016-06-05T00:00:00.000","June","9","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2016-06-05T00:00:00.000","June","9","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.71","2016-06-05T00:00:00.000","June","9","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","Paynes Prairie Sheetflow Restoration","Florida Concrete Recycling Inc","Flood Control","Materials And Supplies","1008","2016-06-12T00:00:00.000","June","9","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Adapco Inc","Health","Materials And Supplies","6150","2016-06-12T00:00:00.000","June","9","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","15.07","2016-06-12T00:00:00.000","June","9","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7638.34","2016-06-12T00:00:00.000","June","9","2016","Payables"
