"outcome_or_indicator","group","percentage","confidence_interval","title","description","year"
"Prostate cancer","Not Hispanic or Latino, White, single race","2.8","2.5,  3.1","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Not Hispanic or Latino, Black or African American, single race","3","2.1,  4.1","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Other, non-Hispanic","0.8","0.3,  1.5","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Less than high school diploma","2.4","1.6,  3.4","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Angina/angina pectoris","Other coverage","1.8","1.0,  2.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Prostate cancer","High school diploma or GED","2.3","1.8,  2.9","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Some college","2.3","1.8,  2.8","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","College degree or higher","3.3","2.8,  3.8","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Married","3.1","2.7,  3.5","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Widowed","9.6","7.2, 12.5","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Divorced or separated","2","1.4,  2.8","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Never married","0.3","0.1,  0.6","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
