"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"09","331010","PUBLIC LANDINGS NON-OPERA","33180","ST RECREATION OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"06","990100","GOV-WIDE-GENERAL GOVERNMT","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"12","111500","ANIMAL CONTROL","31005","ANIMAL CONTROL","T-LICENSES & PERMITS REV",,"25000","36511","-11511"
"12","730010","CDBG GR SIDEWALKS","33205","ST COMMUNITY DEV OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"09","618040","HOME DELIVERED MEALS-GEN","33142","ST AGING HOLDHARMLESS GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","1940","1940","0"
"13","791095","RIVERSIDE ESTATES-CAP CON","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"15","682045","HEALTHY FAM/HOME VISITING","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"16","510010","LAW LIBRARY FUND","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"06","510010","LAW LIBRARY FUND","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","2463.16","-2463.16"
"15","125051","EMERGENCY TRANSPORTATION","39932","FY12 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"07","110031","DOMESTIC VIOL PROGRAM","32125","FED LOCAL LAW ENFORCMT OP","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"15","432500","KIVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","61511.53","-61511.53"
"09","790040","FISHER MANOR-ADMIN","37344","LAUNDRY CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","3953","4019","-66"
"07","819020","MOSQUITO CONTROL","35603","PUBLIC WORKS USER FEES","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","64000","73498","-9498"
"13","200900","KNSG WW CAPITAL CONSTRCTN","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"12","141110","LEAGUES","39055","ADVERTISING REVENUE","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"13","623010","CAMM/SMP SR MEDICAR PATRL","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"8800","7090.21","1709.79"
"16","996005","MRRP-ADMIN-AGENCY","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"07","350090","K.NARROWS MARINA PRJ OP","39702","PROCEEDS OF BONDS","T-PROCEEDS/LONG TERM DEBT",,"750000","4197.9","745802.1"
"15","410000","GENERAL GOVERNMENT","34300","T-OTHER CAP GRANTS REV","T-INTERGOVERNMENTAL REV",,"0","0","0"
"15","110578","DO NOT USE","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"06","102500","BOARD OF ELECTIONS","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"08","798095","TERRAPIN GROVE-CAP CONSTR","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"08","110023","HS NUISANCE ABATEMT ST","32125","FED LOCAL LAW ENFORCMT OP","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"14","714000","SPECIAL LOANS/GRANTS PROG","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"99534","46183.32","53350.68"
"09","110024","H SPOTS-ST-OT COMM POLICG","32125","FED LOCAL LAW ENFORCMT OP","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"16","300090","B.HERON GOLF PROJ/CONSTR","39716","PROCEEDS OF 2016 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","85636","-85636"
"11","651050","SECT 5311-DRIVR-CENTREVLL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"13","791095","RIVERSIDE ESTATES-CAP CON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","110530","DESEMS - MEDICAL SERV","35403","P.SAFETY-USER FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","800000","512925.18","287074.82"
"12","415000","CONS OF NATURAL RESOURCES","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"12","796040","GRASONVILLE TERRACE-ADMIN","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"08","437500","SUVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"12","199000","GENERAL REVENUE","37802","FINES","T-FINES & FORFEITURES",,"10000","12651.83","-2651.83"
"13","360010","CENTREVILLE MARINA OP","36357","BOAT & SLIP FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"07","656050","SSTAP-DRIVER","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","12000","22088.61","-10088.61"
"15","645010","SR CARE-CASE MANAGER","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"12","716100","FED CRITICL WORKFORC LOAN","32185","FED COMM SERV & DEV-CDBG","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"13","340010","PROPERTY MGMT OPERATING","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"14","656070","SSTAP-GENERAL","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"10","440500","UCVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"07","651040","SECT 5311-ADMIN-CENTREVLL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"14","651050","SECT 5311-DRIVR-CENTREVLL","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"16","105620","DIV LAND USE & ZONING","39247","COURT CASE SETTLEMENT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"07","320090","AIRPORT CAP PROJ/CONSTR","33730","ST AIRPORT CAP GRANT","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"10","790040","FISHER MANOR-ADMIN","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"12","272000","BAY CITY WATER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","82674.17","-82674.17"
"08","110000","SHERIFF'S OFFICE","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","1592.5","-1592.5"
"12","350010","K.NARROWS WTRMN MARINA OP","39932","FY12 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"08","812040","RT 301 MAINTENANCE LOT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"12","990125","GOV-WIDE-PUBLIC HEALTH","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"11","199000","GENERAL REVENUE","31004","MARRIAGE","T-LICENSES & PERMITS REV",,"0","3740","-3740"
"08","101000","COUNTY COMMISSIONERS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"08","110017","CHURCH HILL PATROL","35415","SHERIFF FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","23340","23340.28","-0.28"
"10","227000","RESTRICTED FUNDS- WATER","35707","PWA SALES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","144171","-144171"
"07","990135","GOV-WIDE-EDUCATION","38801","GAIN-RECEIPT/C.ASST-PROG","T-MISCELLANEOUS REV","T-GAIN-RECEIPT/C.ASST-PRG","0","0","0"
"09","656050","SSTAP-DRIVER","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"07","101540","FAMILY SERVICES COORD","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","191922","170195.12","21726.88"
"14","410000","GENERAL GOVERNMENT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"13","110530","DESEMS - MEDICAL SERV","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","79.57","-79.57"
"08","125000","HEALTH DEPT & BM990 GRANT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"13","530010","SHERIFF'S DRUG TASK FORCE","37804","COURT-ORDERED RESTITUTION","T-FINES & FORFEITURES",,"0","0","0"
"12","111500","ANIMAL CONTROL","34190","OTHER OP GRANTS-PROG","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","2500","547.34","1952.66"
"09","320010","BAY BRIDGE AIRPORT OPERAT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","1.51","-1.51"
"12","791040","RIVERSIDE ESTATES-ADMIN","37305","TENANT RENTAL CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","115907","121648.94","-5741.94"
"07","653050","SECT 5311-DRIVR-KENT IS","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","20575","16460.46","4114.54"
"10","716100","FED CRITICL WORKFORC LOAN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"11","600090","INFORMATION TECHNOLOGY","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"15","121040","SITE","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"16","121030","RECYCLING","35732","RECYCLING CHGS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","274809","111500.52","163308.48"
"16","718000","CO-FUNDED CWF REVLV LOANS","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","1675.42","-1675.42"
"11","636010","SENIOR CENTERS-GENERAL","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"239094","208779.32","30314.68"
"14","645010","SR CARE-CASE MANAGER","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"13","320090","AIRPORT CAP PROJ/CONSTR","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"17","110530","DESEMS - MEDICAL SERV","35403","P.SAFETY-USER FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","800000","884263.63","-84263.63"
"11","101520","STATE'S ATTORNEY","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"10","792050","VOUCHER-NON-ADMIN OP","39240","FRAUD COLLECTION REV","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","3751.35","-3751.35"
"08","105640","CRITICAL AREAS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","35000","-35000"
"09","111000","DETENTION CENTER","35426","R&B-WORK RELEASE/WEEKEND","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","35000","25309","9691"
"13","510010","LAW LIBRARY FUND","39913","TRANSFER IN-AUTOMATIC JE","T-OTHER NON-OPERATING REV",,"5025","0","5025"
"08","201000","KNSG WW NON-OPERATING","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","-2061188.36","2061188.36"
"13","652070","SECT 5311-GENRL-GRASONVLL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"16","656040","SSTAP-ADMINISTRATION","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"13","101520","STATE'S ATTORNEY","35103","DISCOVERY FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","2000","1995.29","4.71"
"14","800000","AG TRANSFER TX EASEMTS","39912","TRANSFER IN-BY AMENDMT","T-OTHER NON-OPERATING REV",,"0","0","0"
"16","415500","ECONOMIC DEVELOPMENT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"06","413500","EDUCATION","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","18000","-18000"
"07","637010","MEDICAID WAIVER","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","60899","49353.5","11545.5"
"12","111550","LOW COST SPAY/NEUTER","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"15","682050","MD AFTER SCHOOL OPPORTNTY","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"15","104800","GENERAL","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","5809.77","-5809.77"
"12","792050","VOUCHER-NON-ADMIN OP","39240","FRAUD COLLECTION REV","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","1049.54","-1049.54"
"12","432500","KIVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","3998","-3998"
"16","300000","BLUE HERON GOLF COURSE OP","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"13","595010","ECON DEV INCENTIVE FUND","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","0","316946.08","-316946.08"
"15","150050","WEED CONTROL","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"14","621050","FAMILY CAREGIVER-TRAINING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"700","508.87","191.13"
"12","438100","CRUMPTON- RESIDENTIAL","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","2.19","-2.19"
"14","111500","ANIMAL CONTROL","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"09","340031","CHRIST CHURCH PROPERTY","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"13","200000","SANITARY ADMINISTRATION","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","107599.59","-107599.59"
"12","416000","DEBT","38214","INTEREST BOND-RELATED","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","15727.56","-15727.56"
"14","718000","CO-FUNDED CWF REVLV LOANS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","132.55","-132.55"
"19","992800","BEAVERDAM DITCH-AGENCY","30307","TAX DITCHES TAX","T-TAXES","T-OTHER LOCAL TAXES REV","15750","14812.69","937.31"
"16","300000","BLUE HERON GOLF COURSE OP","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","1000","95","905"
"14","320010","BAY BRIDGE AIRPORT OPERAT","39053","ADVERTISING REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"16","300000","BLUE HERON GOLF COURSE OP","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","399.12","-399.12"
"14","600090","INFORMATION TECHNOLOGY","33140","ST DEPT OF AGING OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"15","101010","PUBLIC INFORMATION","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"12","791040","RIVERSIDE ESTATES-ADMIN","37346","MAINTENANCE CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","500","385","115"
"19","105620","DIV LAND USE & ZONING","37802","FINES","T-FINES & FORFEITURES",,"5000","10895","-5895"
"12","142010","BLOOMFIELD FARM MANAGEMT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","199000","GENERAL REVENUE","30303","HOTEL TAX","T-TAXES","T-OTHER LOCAL TAXES REV","614865","375843.15","239021.85"
"12","110573","DES - HMEP","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","30000","4638.74","25361.26"
"06","310035","TINY TOTS","36358","TINY TOTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","21500","19972.04","1527.96"
"13","225000","RESTRICTED FUND-SEWER","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","22419.94","-22419.94"
"15","412000","PUBLIC WORKS","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"19","654050","SECT 5311-DRIVR-EASTON","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","10000","4282.25","5717.75"
"16","210010","KNSG WTR ADMINISTRATION","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"08","142000","PARK MAINTENANCE","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"11","121030","RECYCLING","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"07","682055","CHARACTER COUNTS!","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","35806","20991.78","14814.22"
"11","655070","ACCESS TO JOBS-GENERAL","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"12","415000","CONS OF NATURAL RESOURCES","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"12","620010","SENIOR I&A","33155","ST SENIOR I & A","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"16","995010","ZONING DEPOSITS-AGENCY","35626","CASH DEP AGMT(CDA) RECPTS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","0","0"
"09","412000","PUBLIC WORKS","36303","PARKS & REC-USER CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"13","155080","HISTORIC SITES & EXHIBIT","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"06","640010","HOUSING SERVICES","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"15714","15713.83","0.17"
"07","653070","SECT 5311-GENRL-KENT IS","32710","FED DOT/FTA CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","4546.17","-4546.17"
"12","414000","RECREATION & PARKS","33725","ST POS ENCUMB CAP-STATE","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"13","110575","DES - MIEMSS","32745","FED DES MIEMSS CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","18331.2","-18331.2"
"17","655050","ACCESS TO JOBS-DRIVER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"69352","56400","12952"
"13","200900","KNSG WW CAPITAL CONSTRCTN","39700","T-PROCEEDS/LONG TERM DEBT",,,"0","0","0"
"10","101520","STATE'S ATTORNEY","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","791.57","-791.57"
