"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Vawter Property","2016-10-19T00:00:00.000","2016-11-16T00:00:00.000","1899-12-31T19:00:00","Clarksville Fire Station","5000 Signal Bell Lane","Clarksville","21029","3","9.98","R20","17","TRIADELPHIA MILL RD W OF GREEN BRIDGE RD","[TaxMap 27 Parcel 68]","RR-DEO","(39.2259, -77.0038)"
"Antwerpen Properties","2015-06-24T00:00:00.000","2015-08-04T00:00:00.000","1899-12-31T18:00:00","River Hill Meeting Room","6330 Trotter Road","Clarksville","21029","0","3.3","N01","16","NORTH SIDE OF TEN OAKS RD AT RT 108","[TaxMap 34 Parcel 161],[TaxMap 34 Parcel 35],[TaxMap 34 Parcel 361]","B-1,B-2","(39.2071, -76.9435)"
"Dustin Property","2008-07-22T00:00:00.000","2008-08-26T00:00:00.000","1899-12-31T18:00:00","Schooley Mill Park","12975 Hall Shop Road","Highland","20777","5","33.756","R04","9","S SIDE LIME KILN RD 700' W OF HUNTERBROOKE LN","[TaxMap 46 Parcel 103],[TaxMap 46 Parcel 184]","RR-DEO","(39.1481, -76.9295)"
"Baytler Property","2008-02-04T00:00:00.000","2008-03-06T00:00:00.000","1899-12-31T18:00:00","Crossroads Church of the Nazarene","2750 Rogers Avenue","Ellicott City","21043","1","1.4","R53","8","S SIDE ROGERS AVE E OF ORCHARD AVE","[TaxMap 17 Parcel 742]","R-20","(39.3004, -76.8163)"
"Long Gate Overlook","2013-10-21T00:00:00.000","2013-11-21T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21043","79","7.8","R25","14","MONTGOMERY RD OPPOSITE LONG GATE SHOPPING CENTER","[TaxMap 24 Parcel 322],[TaxMap 24 Parcel 323],[TaxMap 24 Parcel 324],[TaxMap 24 Parcel 325],[TaxMap 24 Parcel 326],[TaxMap 24 Parcel 327],[TaxMap 24 Parcel 588]","R-A-15","(39.2535, -76.8156)"
"Piney Run Overlook","2015-05-22T00:00:00.000","2015-06-25T00:00:00.000","1899-12-31T18:00:00","Chapelgate Church","2600 Marriottsville Road","Marriottsville","21104","3","9.99","R46","15","DRIVER RD EAST OF MARRIOTTSVILLE RD","[TaxMap 10 Parcel 7],[TaxMap 5 Parcel 7]","RC-DEO","(39.3503, -76.8963)"
"WILDFLOWER WOODS, PARCELS H AND I","2013-11-21T00:00:00.000","2014-01-08T00:00:00.000","1899-12-31T18:00:00","GLENWOOD LIBRARY","2350 ROUTE 97","COOKSVILLE, MD","21723","3","10.33","R30","14","E SIDE ROSEMARY LN 2800' N OF TRIADELPHIA RD","[TaxMap 22 Parcel 222],[TaxMap 22 Parcel 270]","RR-DEO","(39.2807, -76.9571)"
"9222 Old Scaggsville Road","2012-01-31T00:00:00.000","2012-02-28T00:00:00.000","1899-12-31T18:30:00","Palotti High School - Second Floor","113  St Marys Place","Laurel","20707","140","21.6824","R25","12","INTERSECTION OF OLD SCAGGSVILLE RD & HIGH RIDGE RD","[TaxMap  Parcel ],[TaxMap 0050 Parcel 0363],[TaxMap 50 Parcel 363]","R-SC","(39.1165, -76.8623)"
"Lake Sediment Placement Site","2016-08-15T00:00:00.000","2016-09-19T00:00:00.000","1899-12-31T18:00:00","Amherst House","7251 Eden Brook Drive","Columbia","21046","0","7","N02","17","W SIDE MURRY HILL RD OPPOSITE VOLLMERHAUSEN RD","[TaxMap 42 Parcel 442]","NT","(39.1609, -76.8531)"
"Dar Al Taqwa, Inc.","2009-04-13T00:00:00.000","2009-05-06T00:00:00.000","1899-12-31T18:00:00","Dar Al Taqwa Mosque","10740 Clarksville Pike","Ellicott City","21042",,,"C23","9","N OF RT 108, ABOUT 600' EAST OF MANOR LANE","[TaxMap 29 Parcel 12]","RC-DEO","(39.2364, -76.8847)"
"Granite Manor","2008-03-18T00:00:00.000","2008-04-09T00:00:00.000","1899-12-31T18:00:00","Roger Carter Recreation Center","3676 Fells Lane","Ellicott City","21043","4","6","R62","8","EAST SIDE OF FELS LN 200' NE OF ELLICOTT MILLS DR","[TaxMap 25 Parcel 83]","HO","(39.2708, -76.8002)"
"DOWNTOWN COLUMBIA - CRESCENT NEIGHBORHOOD, FDP","2014-03-10T00:00:00.000","2014-03-31T00:00:00.000","1899-12-31T19:00:00","HOWARD COMMUNITY COLLEGE","10901 LITTLE PATUXENT PARKWAY","COLUMBIA","21044","2300","66","T05","14","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 307],[TaxMap 36 Parcel 338],[TaxMap 36 Parcel 399],[TaxMap 36 Parcel 452],[TaxMap 36 Parcel 519],[TaxMap 36 Parcel 527]","NT","(39.2058, -76.8619)"
"Columbia Hills, Section 10","2007-05-09T00:00:00.000","2007-05-31T00:00:00.000","1899-12-31T18:00:00","Lynwood Square Shopping Center (Suite 101)","6060 Marshalee Drive","Elkridge","21075","13","7.8",,,"S SIDE SYBERT DR OPPOSITE MEADOWBROOK LN","[TaxMap 30 Parcel 13]","R-20","(39.2416, -76.826)"
"ROBINS PROPERTY","2008-10-01T00:00:00.000","2008-10-21T00:00:00.000","7:30 P.M.","ST. PETERS EPISCOPAL CHURCH","3695 ROGERS AVENUE","ELLICOTT CITY","21042","3","1.73","R15","9","SAINT JOHNS LN AND COUNTRY RD","[TaxMap 17 Parcel 70]",,"(39.2944, -76.8396)"
"Arrington Property","2007-11-29T00:00:00.000","2008-01-14T00:00:00.000","1899-12-31T18:00:00","Rehoboth Ministries Church","15950 North Ave","Lisbon","21765","2","24.78","R42","8","W SIDE PFEFFERKORN RD 4000' S OF FREDERICK RD","[TaxMap 15 Parcel 3]","RC-DEO","(39.3028, -76.9896)"
"Grenway Property","2008-06-03T00:00:00.000","2008-06-30T00:00:00.000","1899-12-31T18:00:00","Alberta Gary Memorial United Methodist Church","9405 Guilford Road","Columbia","21046","2","1.2","R68","8","SE SIDE MISSION RD 960' SW OF REDONDO WAY","[TaxMap 42 Parcel 448]","R-12","(39.1561, -76.8153)"
"TOLL HOUSE TOWNHOMES","2014-05-22T00:00:00.000","2014-06-18T00:00:00.000","1899-12-31T18:30:00","ELLICOTT CITY SENIOR CENTER","9401 FREDERICK ROAD","ELLICOTT CITY","21042","67","38.08","R72","14","S SIDE FREDERICK RD W OF HILL ST","[TaxMap 24 Parcel 1183],[TaxMap 25 Parcel 1183]","R-ED","(39.2677, -76.8057)"
"VAN STONE PROPERTY","2014-12-10T00:00:00.000","2015-01-06T00:00:00.000","1899-12-31T19:00:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21042","2","1","R27","15","W SIDE ST. JOHNS LN S OF CRESTLEIGH RD","[TaxMap 24 Parcel 953]","R-20","(39.2595, -76.825)"
"St. Francis of Assisi Church (COND. USE) Addition","2007-08-27T00:00:00.000","2007-09-19T00:00:00.000","1899-12-31T18:30:00","St. Francis of Assisi Church","8300 Old Columbia Pike","Fulton","20759",,,"C07","8","S SIDE OF MD 216","[TaxMap 46 Parcel 337]","RR-DEO","(39.145, -76.907)"
"Chapelgate Presbyterian Church","2014-02-06T00:00:00.000","2014-03-05T00:00:00.000","7:00 p.m.","George Howard Building, Banneker Room","3430 Courthouse Drive","Ellicott City","21043",,,"M02","14","NORTHWEST CORNER OF THE INTERSECTION OF US 40 WITH MARRIOTTSVILLE ROAD","[TaxMap 16 Parcel 110]","R-20","(39.2994, -76.9041)"
"Simpson Property","2017-05-22T00:00:00.000","2017-06-27T00:00:00.000","1899-12-31T18:30:00","Dayton Oaks Elementary School","4691 Ten Oaks Road","Dayton","21036","48","100.01","R51","17","GREEN BRIDGE RD","[TaxMap 27 Parcel 112],[TaxMap 27 Parcel 34],[TaxMap 27 Parcel 36],[TaxMap 27 Parcel P/O 98]","RR-DEO","(39.2308, -77.0006)"
"Shahverdian Residence","2017-04-27T00:00:00.000","2017-05-31T00:00:00.000","6:00 p.m.","Glenwood Branch Library","2350 MD Route 97","Cooksville","21723",,,"C21","17","SOBRINA FARMS CT","[TaxMap 2 Parcel 39]","RC-DEO","(39.3524, -77.0658)"
"Valerie W Bornemann","2010-12-16T00:00:00.000","2011-01-11T00:00:00.000","7:00 p.m.","Glenwood Library","2350 Route 97","Cooksville","21723",,,"C12","11","SE OF TRIADELPHIA ROAD AND SHARP ROAD","[TaxMap 21 Parcel 188]","RR-DEO","(39.2595, -77.0078)"
"Karen Rushing Property","2015-12-11T00:00:00.000","2016-01-11T00:00:00.000","1899-12-31T18:00:00","Savage Library","9525 Durness Lane","Laurel","20723","2","2.31","R39","16","SCAGGSVILLE RD E OF SWEET CHERRY LN","[TaxMap 46 Parcel 336]","R-20","(39.1428, -76.8934)"
"Trotter Landing","2008-01-28T00:00:00.000","2008-02-20T00:00:00.000","1899-12-31T18:00:00","Ten Oaks Ballroom (Community Room)","5000 Signal Bell Lane","Clarksville","21029","8","5.01","R50","8","W SIDE OF TROTTER RD 200' N OF SOUTH WIND CIR","[TaxMap 35 Parcel 12],[TaxMap 35 Parcel 164]","R-20","(39.2105, -76.919)"
"LePore Property","2011-08-08T00:00:00.000","2011-09-08T00:00:00.000","6:00pm","North Laurel Community Center","9411  Whiskey Bottom Rd","Laurel","20723","0","1.4","R07","12","WHISKEY BOTTOM RD S OF NORTHGATE","[TaxMap 50 Parcel 438]","R-SC","(39.1179, -76.8353)"
"Mullinix Subdivision","2013-08-28T00:00:00.000","2013-09-26T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company","1330  Woodbine Road","Woodbine","21797","1","1","R19","14","W SIDE DUVALL RD S OF AE MULLINIX RD","[TaxMap 13 Parcel 428]","RC-DEO","(39.313, -77.09)"
"SIENA CORPORATION","2014-06-04T00:00:00.000","2014-07-01T00:00:00.000","1899-12-31T18:00:00","ELLICOTT CITY VOLUNTEER FIRE DEPT","4150 MONTGOMERY ROAD","ELLICOTT CITY","21043","0","1.5475","N10","14","RED BRANCH RD AT RT 108","[TaxMap 30 Parcel 269]","NT","(39.227, -76.8196)"
"Horvath Property","2016-12-20T00:00:00.000","2017-02-09T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","4","2.27","R27","17","S SIDE CHURCH LANE RD W OF ROCKY GLEN WAY","[TaxMap 18 Parcel 38]","R-ED","(39.2949, -76.8063)"
"Lisbon United Methodist Church","2013-05-16T00:00:00.000","2013-06-17T00:00:00.000","1899-12-31T19:00:00","Lisbon United Methodist Church","15875 Frederick","Lisbon","21765",,,"C22","13","FREDERICK RD LISBON","[TaxMap  Parcel ],[TaxMap 007 Parcel 484],[TaxMap 7 Parcel 484]","RC-DEO","(39.3343, -77.0673)"
"Dorsey Overlook","2015-07-28T00:00:00.000","2015-08-26T00:00:00.000","1899-12-31T18:00:00","Linden Hall - Dorsey Search","4765 Dorsey Hall Drive","Ellicott City","21042","90","5.46","R16","16","RT 108 AT COLUMBIA RD","[TaxMap 30 Parcel 288],[TaxMap 30 Parcel 51],[TaxMap 30 Parcel 52],[TaxMap 30 Parcel 53],[TaxMap 30 Parcel 54],[TaxMap 30 Parcel 55],[TaxMap 30 Parcel 67]","R-APT","(39.2404, -76.8432)"
"Bartlett Property","2013-07-09T00:00:00.000","2013-08-12T00:00:00.000","1899-12-31T18:00:00","Elkridge Branch Library","6540  Washington Blvd.","Elkridge","21075","2","0.8233","R07","14","S SIDE MONTGOMERY RD W OF RUXTON RD","[TaxMap 37 Parcel 397]","R-20","(39.2107, -76.7561)"
"SCI Funeral Services of Maryland, Inc.","2009-06-17T00:00:00.000","2009-07-16T00:00:00.000","1899-12-31T18:00:00","Elkridge Public Library","6540 Washington Blvd.","Elkridge","21075",,,"C34","9","NORTHWEST OF WASHINGTON BOULEVARD","[TaxMap 37 Parcel 179]","M-1","(39.1879, -76.7669)"
"Savino Amaya","2010-05-24T00:00:00.000","2010-07-01T00:00:00.000","6:00 p.m.","East Columbia Library","6600 Cradlerock Way","Columbia","21045",,,"C17","10","SOUTHEAST OF ROUTE 196","[TaxMap 41 Parcel 311]","R-20","(39.1747, -76.8791)"
"Schafer Property","2013-03-27T00:00:00.000","2013-05-08T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd","Elkridge","21075","3","1","R49","13","W SIDE HUNT CLUB RD S OF HUNTER RD","[TaxMap 38 Parcel 64]","R-12","(39.2043, -76.74)"
"OAK HILL","2014-09-30T00:00:00.000","2014-10-22T00:00:00.000","1899-12-31T18:00:00","GEORGE HOWARD BLDG / COLUMBIA-ELLICOTT RM","3430 COURT HOUSE DRIVE","ELLICOTT CITY","21043","8","8.19","R15","15","ILCHESTER S OF BONNIE BRANCH","[TaxMap 31 Parcel 618]","R-ED","(39.2483, -76.7685)"
"Veli Demirel  (ZONING BOARD) R-20 to OT","2008-04-22T00:00:00.000","2008-05-16T00:00:00.000","1899-12-31T18:00:00","Centennial Lane Elementary School","3825 Centennial Lane","Ellicott City","21042",,,"M07","8","S SIDE OF FREDERICK RD W OF CENTENNIAL LN","[TaxMap 24 Parcel 544],[TaxMap 24 Parcel 62],[TaxMap 24 Parcel 63]","OT","(39.2781, -76.8622)"
"Enclave at River Hill, Lot 161","2017-07-12T00:00:00.000","2017-08-07T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept","5000 Signal Bell Lane","Clarksville","21029","1","0.15","R03","18","W SIDE GUILFORD RD AT CLARKSVILLE PIKE","[TaxMap 34 Parcel 88],[TaxMap 34 Parcel 97]","R-ED","(39.1991, -76.9409)"
"Crescent Neighborhood, Parcel D","2016-03-22T00:00:00.000","2016-04-20T00:00:00.000","1899-12-31T18:30:00","Oakland Manor","5430 Vantage Point Road","Columbia","21044","945","21","T04","16","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 527]","NT","(39.2059, -76.8639)"
"Ekridge Furnace Inn","2015-12-02T00:00:00.000","2015-12-22T00:00:00.000","6:30 p.m.","Elkridge Furnace Inn","5745 Furnace Avenue","Elkridge","21075",,,"C08","16","S SIDE OR RACE RD 300' W OF FURNACE AVE","[TaxMap 38 Parcel 313]","R-12","(39.2121, -76.7032)"
"Holiday Hills, Resub of Lots 34 & 35","2008-02-06T00:00:00.000","2008-02-27T00:00:00.000","1899-12-31T18:00:00","Central Library","10375 Little Patuxent Parkway","Columbia","21044","4","2.003","R54","8",,"[TaxMap 41 Parcel 220]","R-20","(39.1796, -76.8825)"
"Hecht Property","2009-01-13T00:00:00.000","2009-02-12T00:00:00.000","1899-12-31T18:00:00","Glenwood Community Center","2400 Rt 97","Glenwood","21738","1","3","R24","9","EAST OF TRIADELPHIA RD, SOUTH OF MICHELE DRIVE","[TaxMap 27 Parcel 125]","RC-DEO","(39.2446, -77.026)"
"MBW Training Facility","2017-05-10T00:00:00.000","2017-06-07T00:00:00.000","7:00 p.m.","Lisbon Fire Station","1330 Woodbine Road","Woodbine","21797",,,"C23","17","FREDERICK RD AT WOODBINE RD","[TaxMap 7 Parcel 104],[TaxMap 7 Parcel 107],[TaxMap 7 Parcel 150],[TaxMap 7 Parcel 160]","RC-DEO","(39.3359, -77.0657)"
"Poplar Glen Apartments","2016-09-21T00:00:00.000","2016-10-20T00:00:00.000","1899-12-31T18:30:00","Club House at Poplar Glen","11608 Little Patuxent Pkwy","Columbia","21044","1","11","R17","17","LITTLE PATUXENT PKY OPPOSITE DARK FIRE WAY","[TaxMap 35 Parcel 393]","NT","(39.2066, -76.8977)"
"Greenskeeper Environmental, LLC - CONDITIONAL USE","2007-02-07T00:00:00.000","2007-02-27T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station - Community Room","5000 Signal Bell Lane","Clarksville","21029",,,,,"E SIDE OF HIGHLAND RD NORTH OF STAYER CT","[TaxMap 34 Parcel 170]","RR-DEO","(39.188, -76.9741)"
"Grovemont Overlook","2012-10-26T00:00:00.000","2012-12-03T00:00:00.000","1899-12-31T19:00:00","Elkridge Library Branch","6540 Washington Blvd.","Elkridge","21075","5","1.028","R22","13","FOREST KELLY CT & WECKER WAY","[TaxMap  Parcel ],[TaxMap 0031 Parcel 0749],[TaxMap 31 Parcel 749]","R-ED","(39.2253, -76.754)"
"Trotters Knoll","2015-05-11T00:00:00.000","2015-06-02T00:00:00.000","1899-12-31T18:00:00","Waterloo Elementary School","5940 Waterloo Road","Columbia","21045","96","19.6","R41","15","N. OF MD RT 100, WEST OF OLD MONTGOMERY ROAD","[TaxMap 31 Parcel 753],[TaxMap 37 Parcel 748],[TaxMap 37 Parcel 753]","R-SA-8","(39.2157, -76.7931)"
"Eugene B. Moore Property","2007-10-19T00:00:00.000","2007-11-13T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 State Route 97","Cooksville","21723","2","6.79","R29","8","E SIDE OF MD RTE 97 N OF COUNTRYSIDE DR","[TaxMap 21 Parcel 140]","RC-DEO","(39.2765, -77.0307)"
"St. Louis Roman Catholic Congregation, Inc.","2011-07-07T00:00:00.000","2011-08-03T00:00:00.000","6:30 p.m.","St. Louis Church, Room 301 of the Pastoral Center","12500  Clarksvill Pike (MD Rt. 108)","Clarksville","21029",,,"C01","12","W SIDE CLARKSVILLE PIKE OPPOSITE GUILFORD RD","[TaxMap 34 Parcel 196],[TaxMap 34 Parcel 29],[TaxMap 34 Parcel 30],[TaxMap 34 Parcel 77]",,"(39.2052, -76.9439)"
"Marcellino Property","2012-09-05T00:00:00.000","2012-10-03T00:00:00.000","1899-12-31T18:30:00","North Laurel Community Center - MP1","9411 Whiskey Bottom Road","Laurel","20723","37","9.28","R12","13","TERMINUS OF RIVER HILL RD","[TaxMap 50 Parcel 405],[TaxMap 50 Parcel 429],[TaxMap 50 Parcel 468]","R-SC","(39.1166, -76.8686)"
"Pass Property","2015-01-22T00:00:00.000","2015-02-24T00:00:00.000","1899-12-31T19:00:00","East Columbia Branch Library","6600 Cradlerock Way","Columbia","21045","4","10.144","R31","15","HARRIET TUBMAN LN","[TaxMap 35 Parcel 117]","R-20","(39.1875, -76.8883)"
"CEDARS EXTENDED LOT R","2015-07-27T00:00:00.000","2015-08-20T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Dept","6275 Old Washington Rd","Elkridge","21075","6","1.6","R13","16","LINCOLN DR W OF ROUTE 1","[TaxMap 43 Parcel 451]","R-SC","(39.1686, -76.7935)"
"Executive Center","2013-12-13T00:00:00.000","2014-01-14T00:00:00.000","1899-12-31T18:00:00","Ellicott City Library - Avalon Room","9421 Frederick Road","Ellicott City","21042","162","17.12","R37","14","TERMINUS OF CARL'S COURT","[TaxMap 17 Parcel 1085],[TaxMap 24 Parcel 1085]","POR","(39.2846, -76.8215)"
"Estates at River Hill","2017-01-26T00:00:00.000","2017-02-21T00:00:00.000","1899-12-31T18:00:00","The Board Room at Claret Hall","6020 Daybreak Circle","Clarksville","21029","16","42.41","R35","17","TERMINUS OF ALLNUTT LN","[TaxMap 34 Parcel 389]","RR-DEO","(39.1981, -76.9587)"
"Global Children inc. (CONDITIONAL USE)","2010-06-18T00:00:00.000","2010-07-27T00:00:00.000","6:30 P.M.","ELLICOTT CITY SENIOR CENTER","9401 FREDERICK ROAD","ELLICOTT CITY","21042",,,,,"MONTGOMERY RD AT BAUGHER FARM RD","[TaxMap 31 Parcel 415]","R-20","(39.2396, -76.8011)"
"Millers Mill Woods, Resub of Lot 3","2007-07-18T00:00:00.000","2007-08-11T00:00:00.000","1899-12-31T09:30:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","2","0.601","R04","8",,"[TaxMap 17 Parcel 44]","R-20","(39.3055, -76.8104)"
"Smith Property","2007-09-24T00:00:00.000","2007-11-01T00:00:00.000","1899-12-31T18:30:00","Glenwood Library","2350 Rt. 97","Cooksville","21723","6","15.59","R20","8","E SIDE JENNINGS CHAPEL RD 1300' SE OF HIPSLEY MILL RD","[TaxMap 13 Parcel 322],[TaxMap 13 Parcel 357],[TaxMap 20 Parcel 322],[TaxMap 20 Parcel 357]","RC-DEO","(39.2844, -77.0876)"
"Taro Investment Corporation and Thomas Taro","2013-02-28T00:00:00.000","2013-03-26T00:00:00.000","1899-12-31T19:00:00","River Hill Village Community Center","6020 Daybreak Circle","Clarksville","21029",,,"C18","13","SHEPPARD LN SOUTH OF TARALEY","[TaxMap 28 Parcel 23],[TaxMap 28 Parcel 391],[TaxMap 29 Parcel 23]","RC-DEO","(39.2417, -76.9384)"
"Holloman Property","2016-08-24T00:00:00.000","2016-10-06T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","2","1.036","R14","17","OLD MILL RD S OF HIDDEN HAVEN CT","[TaxMap 17 Parcel 28],[TaxMap 17 Parcel 29]","R-20","(39.3025, -76.8564)"
"BS LAND ACQUISITION","2014-03-13T00:00:00.000","2014-04-10T00:00:00.000","1899-12-31T18:00:00","BETH SHALOM CONGREGATION","8070 HARRIET TUBMAN LANE","COLUMBIA","21044","24","3.34","R53","14","S SIDE HARRIET TUBMAN LN W OF FREETOWN RD","[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]","R-SA-8","(39.1851, -76.8812)"
"Ana Maria Davis","2009-11-06T00:00:00.000","2009-12-12T00:00:00.000","12:00 p.m.","New Generation Church of the Nazarene","10140 Guilford Road","Jessup","20794",,,"C08","10","GUILFORD RD ACROSS FROM PINE RD","[TaxMap 47 Parcel 56]",,"(39.1473, -76.8136)"
"Porter Property","2011-03-08T00:00:00.000","2011-04-06T00:00:00.000","1899-12-31T18:00:00","Mount Airy Presbyterian Church","17455 Old Frederick Road","Mount Airy","21771","2","2.7","R17","11","OLD FREDERICK ROAD W OF WEST WATERSVILLE RD_","[TaxMap 1 Parcel 41]","RC-DEO","(39.3559, -77.129)"
"Dorsey Business Center Parcel R","2012-03-29T00:00:00.000","2012-05-07T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd","Elkrdige","21075","39","4.26","R31","12","NW TERMINUS OF DEERPATH RD","[TaxMap 37 Parcel 375]","TOD","(39.1851, -76.7556)"
"Mill Haven, Lots 5-7","2007-11-28T00:00:00.000","2007-12-27T00:00:00.000","1899-12-31T18:00:00","East Columbia Library/East Columbia Senior Center","6600 Cradlerock Way","Columbia","21045","3","1.365","R41","8","SW SIDE OAKLAND MILLS RD N OF SHADOW FALL TER","[TaxMap 36 Parcel 2]","R-12","(39.2161, -76.8394)"
"Love Property","2007-05-25T00:00:00.000","2007-06-21T00:00:00.000","1899-12-31T18:00:00","Hawthorn Building","6175 Sunny Spring","Columbia","21044","3","1.57",,,"E SIDE JERRYS DR","[TaxMap 35 Parcel 179]","R-20","(39.2044, -76.8762)"
"Chesapeake Conference Association of Seventh-day Adventists","2012-11-19T00:00:00.000","2012-12-19T00:00:00.000","1899-12-31T18:30:00","Atholton Adventist Academy","6520 Martin Road","Columbia","21044",,,"C13","13","E SIDE MARTIN RD OPPOSITE QUARTERSTAFF RD","[TaxMap  Parcel ],[TaxMap 36 Parcel 148]","R-12","(39.1923, -76.869)"
"Downtown Columbia Multi-Use Pathway","2012-08-08T00:00:00.000","2012-09-04T00:00:00.000","1899-12-31T18:30:00","Weis Room at Slayton House","10400 CROSS FOX LANE","Columbia","21044",,,"T02","13","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 0389],[TaxMap 36 Parcel 0452],[TaxMap 36 Parcel 527],[TaxMap 36 Parcel n/a]","NT","(39.2113, -76.8631)"
"Schwarz Property","2008-08-13T00:00:00.000","2008-09-10T00:00:00.000","1899-12-31T18:30:00","Glenwood Library","2350 State Route 97","Cooksville","21723","2","6.45","R09","9","RT 94 WOODBINE RD 540' EAST OF OLD ANNAPOLIS ROAD","[TaxMap 13 Parcel 261]","RC-DEO","(39.3169, -77.1017)"
"Mt. Airy Bible Church","2009-07-30T00:00:00.000","2009-08-25T00:00:00.000","6:00 p.m.","Mt. Airy Bible Church","16700  Old Frederick Road","Mt. Airy","21771",,,"C02","10","NORTH OF OLD FREDERICK ROAD, WEST OF WATERSVILLE ROAD","[TaxMap 7 Parcel 172]","RR-DEO","(39.3496, -77.0965)"
"Downtown Columbia Par C D  Lot 39","2011-10-04T00:00:00.000","2011-10-27T00:00:00.000","1899-12-31T18:30:00","Howard Comm College-Student Services Hall","10901  Little Patuxent Parkway","Columbia","21044","817","12.82","R12","12","INTERSECTION OF BROKEN LAND PKWY & TWIN RIVERS RD","[TaxMap  Parcel ],[TaxMap 36 Parcel 382],[TaxMap 36 Parcel 460]","NT","(39.2154, -76.8657)"
"McKendree Springs, Resubdivision of Lot 2","2009-04-27T00:00:00.000","2009-05-18T00:00:00.000","6:30 p.m.","Ho Co Public Library - Glenwood Branch","2350 Route 97","Cooksville","21723","3","13.06","R33","9","W SIDE MCKENDREE RD S OF FREDERICK RD","[TaxMap 14 Parcel 128]","RC-DEO","(39.3102, -77.005)"
