"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Community Colleges and Workforce Development, Department of","A Selected Federal Program for the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","586-2009-02-01","1111465",,,,,,,,,,,,,,,,,,,"24"
"Consumer and Business Services, Department of","Selected Financial Accounts For Year Ended June 30, 2008",,"1","2009","false",,,"Management Letter","440-2009-01-01","1111459",,,,,,,,,,,,,,,,,,,"22"
"Corrections, Department of","Selected Financial Accounts for Year Ended June 30, 2008",,"1","2009","false",,,"Management Letter","291-2009-01-01","1111455",,,,,,,,,,,,,,,,,,,"30"
"Corrections, Department of","State Cell Phone Plans: Closer Attention to Usage Could Create Savings","2009-18","8","2009","false","1057227",,,,,,,,,,,,,,,,,,,,,,,"18"
"Economic and Community Development Department, Oregon","Review of the Department's $17,500 Grant Awarded to the Port of Newport in January2006",,"2","2009","false",,,"Management Letter","123-2009-02-01","1111447",,,,,,,,,,,,,,,,,,,"27"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2008","2009-06","3","2009","false","1057210",,,,,,,,,,,,,,,,,,,,,,,"6"
"Education, Oregon Department of","Multnomah Education Service District (MESD)",,"6","2009","false",,,"Management Letter","581-2009-06-01","1111463",,,,,,,,,,,,,,,,,,,"30"
"Education, Oregon Department of","Selected Financial Accounts for the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","581-2009-02-01","1111462",,,,,,,,,,,,,,,,,,,"9"
"Employment, Oregon Department of","Selected Financial Accounts for the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","471-2009-02-01","1111461",,,,,,,,,,,,,,,,,,,"25"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2008 and June 30, 2007","2009-13","5","2009","false","1057222",,,,,,,,,,,,,,,,,,,,,,,"13"
"Environmental Quality, Department of","Selected Financial Accounts, Capitalization Grants for Clean Water State Revolving Funds for Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","340-2009-02-01","1111456",,,,,,,,,,,,,,,,,,,"19"
"Environmental Quality, Department of","Clean Water State Revolving Fund Loan Program For the Fiscal Year Ended June 30, 2008","2009-16","7","2009","false","1057225",,,,,,,,,,,,,,,,,,,,,,,"16"
"Fish and Wildlife, Department of","Selected Financial Accounts for the Year Ended June 30, 2008",,"3","2009","false",,"Financial Audit","Management Letter","635-2009-03-01","1111468",,,,,,,,,,,,,,,,,,,"9"
"Forestry, Department of","Selected Financial Accounts for Year Ended June 30, 2008",,"2","2009","false",,"Financial Audit","Management Letter","629-2009-02-01","1111466",,,,,,,,,,,,,,,,,,,"10"
"Geologist Examiners, State Board of","A Semi-Independent Agency, For the Biennium Ended June 30, 2009","2009-31","12","2009","true","1110242",,,,,,,,,,,,,,,,,,,,,,,"9"
"Government Accountability Hotline","Calendar Year 2008","2009-15","6","2009","false","1057224",,,,,,,,,,,,,,,,,,,,,,,"15"
"Health Licensing Agency, Oregon","An Opportunity Exists to Better Manage Wireless Communication Resources","2009-20","9","2009","false","1057229",,,,,,,,,,,,,,,,,,,,,,,"20"
"Housing and Community Services Department","Annual Financial Report Enterprise Funds for the Fiscal Year Ended June 30, 2009","2009-29","12","2009","false","1057238",,,,,,,,,,,,,,,,,,,,,,,"7"
"Human Services, Department of","State Cell Phone Plans: Closer Attention to Usage Could Create Savings","2009-18","8","2009","false","1057227",,"Management Letter","100-2009-09-01","1111444",,,,,,,,,,,,,,,,,,,"18"
"Human Services, Department of","Safe Drinking Water Revolving Loan Fund For Fiscal Years Ended June 30, 2007 and June 30, 2008","2009-08","3","2009","false","1057212",,,,,,,,,,,,,,,,,,,,,,,"8"
"Human Services, Department of","Oregon State Hospital Replacement: Good Construction Management Practices Help Protect State Investment","2009-14","5","2009","false","1057223",,,,,,,,,,,,,,,,,,,,,,,"14"
"Human Services, Department of","Oregon Health Plan: Timely Eligibility Determinations Conducted on Clients","2009-21","9","2009","false","1057230",,,,,,,,,,,,,,,,,,,,,,,"21"
"Human Services, Department of","Selected Financial Accounts for the Year Ended June 30, 2008",,"3","2009","false",,,"Management Letter","100-2009-03-02","1111443",,,,,,,,,,,,,,,,,,,"25"
"Human Services, Department of","Selected Federal Programs for the Year Ended June 30, 2008",,"3","2009","false",,,"Management Letter","100-2009-03-01","1111442",,,,,,,,,,,,,,,,,,,"20"
"Lands, Department of State","Selected Financial Accounts For Year Ended June 30, 2008",,"1","2009","false",,,"Management Letter","141-2009-01-01","1111448",,,,,,,,,,,,,,,,,,,"22"
"Legislative Audit Committee","State Auditor's Report:  Summary of Audits for the 2007 - 2009 Biennium","2009-25","10","2009","false","1057234",,,,,,,,,,,,,,,,,,,,,,,"25"
"Lottery Commission, Oregon State","Annual Financial Report Enterprise Funds for the Fiscal Year Ended June 30, 2009","2009-28","12","2009","false","1057237",,,,,,,,,,,,,,,,,,,,,,,"6"
"Military Department, Oregon","Selected Financial Accounts for Year Ended June 30, 2008",,"1","2009","false",,,"Management Letter","248-2009-01-01","1111452",,,,,,,,,,,,,,,,,,,"30"
"Military Department, Oregon","Armory Rental Program Review",,"12","2009","false",,,"Management Letter","248-2009-12-01","1111454",,,,,,,,,,,,,,,,,,,"7"
"Military Department, Oregon","Government Waste Hotline: Management of Armory Rental Program",,"12","2009","false",,,"Management Letter","248-2009-11-01","1111453",,,,,,,,,,,,,,,,,,,"7"
"Multi-Agency","Comprehensive Annual Financial Report (CAFR) for the Fiscal Year Ended June 30, 2008","2009-01","1","2009","false","1015483",,,,,,,,,,,,,,,,,,,,,,,"1"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2008","2009-07","3","2009","false","1057211",,,,,,,,,,,,,,,,,,,,,,,"7"
"Multi-Agency","Oregon Comprehensive Annual Financial Report (CAFR) for the Fiscal Year Ended June 30, 2009","2009-34","12","2009","false","6908293",,,,,,,,,,,,,,,,,,,,,,,"12"
"Parks and Recreation Department, Oregon","Oregon State Fair and Exposition Center: Change of Director Review","2009-03","2","2009","false","1057207",,,,,,,,,,,,,,,,,,,,,,,"3"
"Parks and Recreation Department, Oregon","Selected Financial Accounts for the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","634-2009-01-01","1111467",,,,,,,,,,,,,,,,,,,"12"
"Patient Safety Commission, Oregon","A Semi-Independent Agency, For the Biennium Ended June 30, 2009","2009-33","12","2009","true","1110244",,,,,,,,,,,,,,,,,,,,,,,"11"
"Physical Therapist Licensing Board","A Semi-Independent Agency, For the Biennium Ended June 30, 2009","2009-32","12","2009","true","1110243",,,,,,,,,,,,,,,,,,,,,,,"10"
"Private Health Partnerships, Office of","A Selected Federal Program for the Year Ended June 30, 2008",,"3","2009","false",,,"Management Letter","442-2009-03-01","1111460",,,,,,,,,,,,,,,,,,,"23"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2008","2009-02","1","2009","false","1057206",,,,,,,,,,,,,,,,,,,,,,,"2"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2009","2009-30","12","2009","false","1110241",,,,,,,,,,,,,,,,,,,,,,,"8"
"Real Estate Agency","Comparison of Data from the Oregon Real Estate Agency with Data Maintained by the Oregon Department of Revenue",,"5","2009","false",,,"Management Letter","150-2009-05-01","1111450",,,,,,,,,,,,,,,,,,,"19"
"Revenue, Department of","Comparison of Data from the Oregon Real Estate Agency with Data Maintained by the Oregon Department of Revenue",,"5","2009","false",,,"Management Letter","150-2009-05-01","1111450",,,,,,,,,,,,,,,,,,,"19"
"Revenue, Department of","Selected Financial Accounts For Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","150-2009-02-01","1111449",,,,,,,,,,,,,,,,,,,"10"
"SAIF Corporation","Financial Statements as of and for the Years Ended December 31, 2008 and 2007, and Independent Auditors' Report","2009-22","9","2009","true","1057231","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"22"
"SAIF Corporation","Financial Statements Statutory Basis as of and for the Years Ended December 31, 2008 and 2007, Supplemental Schedules as of December 31, 2008, and Independent Auditors' Report","2009-23","9","2009","true","1057232","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"23"
"Transportation, Oregon Department of","Controls Over Contract Monitoring Should be Improved to Better Protect State Assets","2009-17","7","2009","false","1057226",,,,,,,,,,,,,,,,,,,,,,,"17"
"Transportation, Oregon Department of","State Cell Phone Plans: Closer Attention to Usage Could Create Savings","2009-18","8","2009","false","1057227",,,,,,,,,,,,,,,,,,,,,,,"18"
"Transportation, Oregon Department of","Selected Financial Accounts for the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","730-2009-02-01","1111469",,,,,,,,,,,,,,,,,,,"5"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Fiscal Year Ended June 30, 2009","2009-19","9","2009","false","1057228",,,,,,,,,,,,,,,,,,,,,,,"19"
"Treasurer, Office of the State","Review of Internal Controls Over Financial Reporting as of June 30, 2008",,"2","2009","false",,,"Management Letter","170-2009-03-01","1111451",,,,,,,,,,,,,,,,,,,"24"
"University System, Oregon","Annual Financial Report For the Fiscal Years Ended June 30, 2009 and June 30, 2008","2009-26","11","2009","false","1057235","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"26"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds for the Fiscal Years Ended June 30, 2009 and June 30, 2008","2009-27","12","2009","false","1057236","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"5"
"Youth Authority, Oregon","Improvements Needed in Availability and Reliability of Critical Juvenile Justice Information","2009-11","5","2009","false","1057216",,"Appendix A","2009-11A","1057217","Appendix B","2009-11B","1057218","Appendix C","2009-11D","1057219",,,,,,,,,,,,,"11"
"Administrative Services, Department of","State Data Center: Faster Progress Needed on Security Issues","2010-15","3","2010","false","1141394",,,,,,,,,,,,,,,,,,,,,,,"15"
"Administrative Services, Department of","State Data Center Operations Are Stable, But Some Areas Need Improvement","2010-22","5","2010","false","1178433",,,,,,,,,,,,,,,,,,,,,,,"22"
"Administrative Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,,"Management Letter","107-2010-01-01","1112138",,,,,,,,,,,,,,,,,,,"2"
"Administrative Services, Department of","Multi-Agency Audit: Agencies Should Explore Opportunities to Earn Purchase Card Rebates","2010-12","1","2010","false","1111405",,,,,,,,,,,,,,,,,,,,,,,"12"
"Agriculture, Department of","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Appraiser Certification and Licensure Board","For the Biennium Ended June 30, 2009","2010-09","1","2010","true","1111402",,,,,,,,,,,,,,,,,,,,,,,"9"
"Architect Examiners, State Board of","For the Biennium Ended June 30, 2009","2010-07","1","2010","true","1111400",,,,,,,,,,,,,,,,,,,,,,,"7"
"Beef Council, Oregon","For the Year Ended June 30, 2010","2010-32","10","2010","true","1238676",,,,,,,,,,,,,,,,,,,,,,,"27"
"Blind, Oregon Commission for the","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","585-2010-03-01","1196592",,,,,,,,,,,,,,,,,,,"10"
"Business Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2009","2010-26","6","2010","false","1193142",,,,,,,,,,,,,,,,,,,,,,,"26"
"Business Development Department, Oregon","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","123-2010-03-01","1196572",,,,,,,,,,,,,,,,,,,"5"
"Columbia River Gorge Commission","For the Year Ended June 30, 2009","2010-05","1","2010","true","1111398",,,,,,,,,,,,,,,,,,,,,,,"5"
"Consumer and Business Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","440-2010-01-01","1196586",,,,,,,,,,,,,,,,,,,"11"
"Corrections, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","291-2010-01-01","1196579",,,,,,,,,,,,,,,,,,,"7"
"Corrections, Department of","Administration of Earned Time","2010-39","12","2010","false","1333787",,,,,,,,,,,,,,,,,,,,,,,"26"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2009","2010-26","6","2010","false","1193142",,,,,,,,,,,,,,,,,,,,,,,"26"
"Education, Oregon Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","581-2010-03-01","1196591",,,,,,,,,,,,,,,,,,,"18"
"Education, Oregon Department of","Willamette Education Service District Needs To Be Accountable","2010-11","1","2010","false","1111404",,,,,,,,,,,,,,,,,,,,,,,"11"
"Education, Oregon Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,,"Management Letter","581-2010-02-01","1196590",,,,,,,,,,,,,,,,,,,"4"
"Employment, Oregon Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","471-2010-03-01","1196589",,,,,,,,,,,,,,,,,,,"17"
"Employment, Oregon Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,,"Management Letter","471-2010-02-01","1196588",,,,,,,,,,,,,,,,,,,"24"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2009 and June 30, 2008","2010-17","3","2010","false","1141397",,,,,,,,,,,,,,,,,,,,,,,"17"
"Engineering and Land Surveying, State Board of","For the Biennium Ended June 30, 2009","2010-13","2","2010","true","1118699",,,,,,,,,,,,,,,,,,,,,,,"13"
"Environmental Quality, Department of","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Environmental Quality, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","340-2010-01-01","1196581",,,,,,,,,,,,,,,,,,,"29"
"Environmental Quality, Department of","Clean Water State Revolving Fund Loan Program For the Fiscal Year Ended June 30, 2009","2010-21","4","2010","false","1164496",,,,,,,,,,,,,,,,,,,,,,,"21"
"Environmental Quality, Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","340-2010-03-01","1196582",,,,,,,,,,,,,,,,,,,"9"
"Fish and Wildlife, Department of","Multi-Agency Audit: Agencies Should Explore Opportunities to Earn Purchase Card Rebates","2010-12","1","2010","false","1111405",,,,,,,,,,,,,,,,,,,,,,,"12"
"Fish and Wildlife, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,"Financial Audit","Management Letter","635-2010-02-01","1196595",,,,,,,,,,,,,,,,,,,"22"
"Fish and Wildlife, Department of","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Forestry, Department of","Multi-Agency Audit: Agencies Should Explore Opportunities to Earn Purchase Card Rebates","2010-12","1","2010","false","1111405",,,,,,,,,,,,,,,,,,,,,,,"12"
"Forestry, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,"Financial Audit","Management Letter","629-2010-02-01","1196593",,,,,,,,,,,,,,,,,,,"24"
"Geology and Mineral Industries, Department of","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Government Accountability Hotline","Calendar Year 2009","2010-24","6","2010","false","1193140",,,,,,,,,,,,,,,,,,,,,,,"24"
"Health & Science University, Oregon","State Funds Resulted in Expanded Research","2010-04","1","2010","false","1111397",,,,,,,,,,,,,,,,,,,,,,,"4"
"Historical Society, Oregon","Financial Condition For the Years 1996 through 2009","5/1/2010","5","2010","false","6731905",,"Management Letter","40299","6731905",,,,,,,,,,,,,,,,,,,"24"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds for the Year Ended June 30, 2010","2010-35","11","2010","false","1265541",,,,,,,,,,,,,,,,,,,,,,,"28"
"Housing and Community Services Department","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","914-2010-03-01","1196599",,,,,,,,,,,,,,,,,,,"15"
"Housing and Community Services Department","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","914-2010-01-01","1196598",,,,,,,,,,,,,,,,,,,"19"
"Human Services, Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","100-2010-03-01","1196569",,,,,,,,,,,,,,,,,,,"16"
"Human Services, Department of","Office of Vocational Rehabilitation Services: Save on Vocational Rehabilitation Costs to Serve More Clients","2010-31","9","2010","false","1238675",,,,,,,,,,,,,,,,,,,,,,,"28"
"Human Services, Department of","Multi-Agency Audit: Agencies Should Explore Opportunities to Earn Purchase Card Rebates","2010-12","1","2010","false","1111405",,,,,,,,,,,,,,,,,,,,,,,"12"
"Human Services, Department of","Safe Drinking Water Revolving Loan Fund For Fiscal Year Ended June 30, 2009","2010-23","6","2010","false","1182983",,,,,,,,,,,,,,,,,,,,,,,"23"
"Human Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,,"Management Letter","100-2010-02-01","1164497",,,,,,,,,,,,,,,,,,,"25"
"Human Services, Department of","Purchase Card Controls",,"3","2010","false",,,"Management Letter","100-2010-03-02","1196570",,,,,,,,,,,,,,,,,,,"17"
"Judicial Department, Oregon","Ordering Restitution for Victims","2010-08","1","2010","false","1111401",,,,,,,,,,,,,,,,,,,,,,,"8"
"Justice, Oregon Department of","Child Support Program: Management Practices That Could Increase Child Support Collections","2010-25","6","2010","false","1193141",,,,,,,,,,,,,,,,,,,,,,,"25"
"Landscape Architect Board","For the Biennium Ended June 30, 2009","2010-02","1","2010","false","1111395",,,,,,,,,,,,,,,,,,,,,,,"2"
"Landscape Contractors Board","For the Biennium Ended June 30, 2009","2010-06","1","2010","true","1111399",,,,,,,,,,,,,,,,,,,,,,,"6"
"Lands, Department of State","Selected Financial Accounts For the Year Ended June 30, 2009",,"2","2010","false",,,"Management Letter","141-2010-02-01","1196573",,,,,,,,,,,,,,,,,,,"16"
"Lottery Commission, Oregon State","Comprehensive Annual Financial Report for the Fiscal Year Ended June 30, 2010","2010-36","12","2010","false","1265542",,,,,,,,,,,,,,,,,,,,,,,"23"
"Marine Board, Oregon State","New Director Should Establish Better Accountability and Stewardship at the Oregon State Marine Board","2010-34","11","2010","false","1265540",,,,,,,,,,,,,,,,,,,,,,,"27"
"Massage Therapists, State Board of","For the Biennium Ended June 30, 2009","2010-18","3","2010","true","1149005",,,,,,,,,,,,,,,,,,,,,,,"18"
"Military Department, Oregon","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","248-2010-01-01","1196576",,,,,,,,,,,,,,,,,,,"7"
"Military Department, Oregon","Statewide Single Audit of A Selected Federal Program for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","248-2010-03-01","1196577",,,,,,,,,,,,,,,,,,,"9"
"Multi-Agency","Comprehensive Annual Financial Report (CAFR) for the Fiscal Year Ended June 30, 2010","2010-40","12","2010","false","1333788",,,,,,,,,,,,,,,,,,,,,,,"27"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2009","2010-19","3","2010","false","1149046",,,,,,,,,,,,,,,,,,,,,,,"19"
"Optometry, Oregon Board of","For the Biennium Ended June 30, 2009","2010-03","1","2010","false","1111396",,,,,,,,,,,,,,,,,,,,,,,"3"
"Parks and Recreation Department, Oregon","Multi-Agency Audit: Agencies Should Explore Opportunities to Earn Purchase Card Rebates","2010-12","1","2010","false","1111405",,,,,,,,,,,,,,,,,,,,,,,"12"
"Parks and Recreation Department, Oregon","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","634-2010-01-01","1196594",,,,,,,,,,,,,,,,,,,"7"
"Parks and Recreation Department, Oregon","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Police, Department of Oregon","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","257-2010-01-01","1196578",,,,,,,,,,,,,,,,,,,"7"
"Police, Department of Oregon","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Private Health Partnerships, Office of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","442-2010-03-01","1196587",,,,,,,,,,,,,,,,,,,"5"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2010","2010-41","12","2010","false","1333789",,,,,,,,,,,,,,,,,,,,,,,"28"
"Revenue, Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,,"Management Letter","150-2010-01-01","1196574",,,,,,,,,,,,,,,,,,,"14"
"Revenue, Department of","Strategies for Increasing Personal Income Tax Compliance and Revenue Collections","2010-20","4","2010","false","1149047",,,,,,,,,,,,,,,,,,,,,,,"20"
"SAIF Corporation","Financial Statements - Statutory Basis as of and for the Years Ended December 31, 2009 and 2008, Supplemental Schedules as of December 31, 2009 and Independent Auditor's Report","2010-29","9","2010","true","1226139","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"26"
"SAIF Corporation","Financial Statements as of and for the Years Ended December 31, 2009 and 2008, and Independent Auditor's Report","2010-28","9","2010","true","1226138","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"25"
"Tourism Commission, Oregon","For the Biennium Ended June 30, 2009","2010-14","3","2010","true","1141393",,,,,,,,,,,,,,,,,,,,,,,"14"
"Transportation, Oregon Department of","Selected Financial Accounts For the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","730-2010-02-01","1196596",,,,,,,,,,,,,,,,,,,"15"
"Transportation, Oregon Department of","Driver and Motor Vehicle Services Division: Drivers System Data was Secure but Controls Could be Improved","2010-16","3","2010","false","1141395",,,,,,,,,,,,,,,,,,,,,,,"16"
"Transportation, Oregon Department of","Statewide Single Audit of A Selected Federal Program for the Year Ended June 30, 2009",,"3","2010","false",,,"Management Letter","730-2010-03-01","1196597",,,,,,,,,,,,,,,,,,,"15"
"Treasurer, Office of the State","Travel Policy Review",,"7","2010","false",,,"Management Letter","170-2010-07-01","6731876",,,,,,,,,,,,,,,,,,,"7"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Fiscal Year Ended June 30, 2010","2010-30","9","2010","false","1226140",,"Management Letter","170-2010-09-01","6731903",,,,,,,,,,,,,,,,,,,"27"
"Treasurer, Office of the State","Review of Internal Controls Over Financial Reporting as of June 30, 2009",,"2","2010","false",,,"Management Letter","170-2010-02-01","1196575",,,,,,,,,,,,,,,,,,,"23"
"University System, Oregon","Annual Financial Report For the Fiscal Years Ended June 30, 2010 and June 30, 2009","2010-37","12","2010","true","1265543","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"24"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds for the Fiscal Years Ended June 30, 2010 and June 30, 2009","2010-33","10","2010","true","1238677","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"28"
"Watershed Enhancement Board","Baker Valley Soil and Water Conservation District: Opportunities Exist for Improved Project Management","2010-01","1","2010","false","1111394",,,,,,,,,,,,,,,,,,,,,,,"1"
"Watershed Enhancement Board","Measure 66 Funding: Fiscal Accountability for the 2007-2009 Biennium","2010-27","7","2010","false","1226137",,,,,,,,,,,,,,,,,,,,,,,"27"
"Wine Board, Oregon","For the Biennium Ended June 30, 2009","2010-10","1","2010","true","1111403",,,,,,,,,,,,,,,,,,,,,,,"10"
"Youth Authority, Oregon","Selected Financial Accounts For the Year Ended June 30, 2009",,"1","2010","false",,"Financial Audit","Management Letter","415-2010-01-01","1196585",,,,,,,,,,,,,,,,,,,"7"
"Youth Authority, Oregon","Restriction Level Decisions for Juvenile Offenders Appear Reasonable","2010-38","12","2010","false","1333786",,,,,,,,,,,,,,,,,,,,,,,"25"
"Youth Authority, Oregon","Change of Director Review",,"2","2010","false",,,"Management Letter","415-2009-10-01","1111457",,,,,,,,,,,,,,,,,,,"10"
"Administrative Services, Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2010",,"2","2011","false",,,"Management Letter","107-2011-02-01","1376759",,,,,,,,,,,,,,,,,,,"1"
"Administrative Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2010",,"1","2011","false",,,"Management Letter","107-2011-01-01","1376758",,,,,,,,,,,,,,,,,,,"7"
"Aviation, Oregon Department of","Continue Improvements Over Contract Monitoring","2011-15","6","2011","false","1890031",,,,,,,,,,,,,,,,,,,,,,,"15"
"Blind, Oregon Commission for the","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2010",,"3","2011","false",,,"Management Letter","585-2011-03-01","1377138",,,,,,,,,,,,,,,,,,,"14"
"Blind, Oregon Commission for the","Audit Recommendations Follow-up","2011-20","9","2011","false","1904196",,,,,,,,,,,,,,,,,,,,,,,"20"
"Business Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2010","2011-03","3","2011","false","1333795",,,,,,,,,,,,,,,,,,,,,,,"3"
"Business Development Department, Oregon","Selected Financial Accounts For the Year Ended June 30, 2011",,"12","2011","false",,,"Management Letter","123-2011-12-01","6731906",,,,,,,,,,,,,,,,,,,"12"
"Columbia River Gorge Commission","July 1, 2009 to June 30, 2010","2011-02","1","2011","false","1333794",,,,,,,,,,,,,,,,,,,,,,,"2"
"Consumer and Business Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2010",,"1","2011","false",,,"Management Letter","440-2011-01-01","1377131",,,,,,,,,,,,,,,,,,,"4"
"Corrections, Department of","Selected Financial Accounts For the Year Ended June 30, 2010",,"1","2011","false",,,"Management Letter","291-2011-01-01","1377127",,,,,,,,,,,,,,,,,,,"3"
"Corrections, Department of","Selected Financial Accounts For the Year Ended June 30, 2011",,"12","2011","false",,,"Management Letter","291-2011-12-01","6731931",,,,,,,,,,,,,,,,,,,"12"
"Education, Oregon Department of","Selected Financial Accounts For the Year Ended June 30, 2010",,"1","2011","false",,,"Management Letter","581-2011-01-01","1377135",,,,,,,,,,,,,,,,,,,"5"
"Education, Oregon Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2010",,"3","2011","false",,,"Management Letter","581-2011-03-02","1377137",,,,,,,,,,,,,,,,,,,"11"
"Education, Oregon Department of","Selected Financial Accounts For the Year Ended June 30, 2010",,"3","2011","false",,,"Management Letter","581-2011-03-01","1377136",,,,,,,,,,,,,,,,,,,"11"
"Education, Oregon Department of","Public School Infrastructure Opportunities to Improve Planning and Funding","2001-20","5","2011","false","6710651",,,,,,,,,,,,,,,,,,,,,,,"21"
"Employment, Oregon Department of","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2010",,"3","2011","false",,,"Management Letter","471-2011-03-02","1377134",,,,,,,,,,,,,,,,,,,"10"
