"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP020 - City Administrator","DV021 - City Administrator: Administration","DP03 - City Administrator","City Administrator","DV0300","Administration / Operations","OR_02111","02111 - City Administrator: Administration","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000116","1000116 - SUCCESSOR AGENCY ADMIN ALLOW","PG_IP03","IP03 - ADMINISTRATION","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-110"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2116","Fund 2116","2116","Department of Transportation","2116 - Department of Transportation","Fund 2116 - Department of Transportation","PJ_1000629","1000629 - HSIP CYCLE 6 - MADISON","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51412 - Acting Pay","AC_51412","-106.29"
"2015-2016","Existing","DP080 - Finance Department","DV082 - Controller's Office","DP09 - Finance Department","Finance Department","DV0902","Controller","OR_08242","08242 - Stores Operations","FD_4500","Fund 4500","4500","Central Stores","4500 - Central Stores","Fund 4500 - Central Stores","PJ_G307810","PJ_G307810","PG_IP59","IP59 - FINANCIAL MANAGEMENT","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-106.19"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30263","30263 - Traffic Maintenance","FD_2211","Fund 2211","2211","Measure B: Local Streets & Roads","2211 - Measure B: Local Streets & Roads","Fund 2211 - Measure B: Local Streets & Roads","PJ_C313610","PJ_C313610","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-102.28"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-95.77"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51212 - Civilian: Other Overtime","AC_51212","-90.16"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92246","92246 - Engineer Design: Traffic / Parking","FD_2212","Fund 2212","2212","Measure B: Bicycle/Pedestrian Pass-Thru Funds","2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","Fund 2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","PJ_C71610","PJ_C71610","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-87.56"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000761","1000761 - 2014 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-86.94"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107410","107410 - Support Operations","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_G411930","PJ_G411930","PG_CONV","PG_CONV","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-86.84"
"2015-2016","Existing","DP460 - Information Technology Department","DV462 - Customer Services Division","DP10 - Information Technology","Information Technology","DV1011","Operations/Infrastructure","OR_46241","46241 - Network Engineering Maintenance","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001405","1001405 - 911 COM OPD OFD CENTER A468584","PG_IP62","IP62 - TECHNOLOGY MANAGEMENT","15 - Capital Acquistions","Capital Acquistions","Non-Personnel Expenditures","Expense","57711 - Computer Equipment (Over $5000)","AC_57711","-83"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS09","PS09 - POLICE TRAINING","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-75.71"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2212","Fund 2212","2212","Measure B: Bicycle/Pedestrian Pass-Thru Funds","2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","Fund 2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","PJ_1000714","1000714 - CITY SIDEWALK REPAIR","PG_IN15","IN15 - TRAFFIC SIGNAL MANAGEMENT & MAINT","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-74.28"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107410","107410 - Support Operations","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_G411930","PJ_G411930","PG_CONV","PG_CONV","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-73.5"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS09","PS09 - POLICE TRAINING","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-73.36"
"2015-2016","Existing","DP010 - Mayor","DV011 - Mayor: Administration","DP01 - Mayor","Mayor","DV0100","Mayor's Support","OR_01111","01111 - Mayor: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000001","1000001 - DP010 Administrative Project","PG_IP01","IP01 - MAYOR'S SUPPORT","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","52888 - Fuel","AC_52888","-73.29"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78231","78231 - HS Classroom and Seasonal","FD_2994","Fund 2994","2994","Social Services Grants","2994 - Social Services Grants","Fund 2994 - Social Services Grants","PJ_1000017","1000017 - DP780 Administrative Project","PG_YS13","YS13 - STRENGTHENING CHILDREN, YOUTH & FAMILIES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","-68.82"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_G449710","PJ_G449710","PG_PS11","PS11 - PATROL AREA 1","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-67.21"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30682","30682 - Environmental Services: Recycling Solid Waste","FD_2154","Fund 2154","2154","California Integrated Waste Management Board","2154 - California Integrated Waste Management Board","Fund 2154 - California Integrated Waste Management Board","PJ_G219693","PJ_G219693","PG_SC17","SC17 - RECYCLING & SOLID WASTE","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-65.78"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_107110","107110 - Police Area 1","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000790","1000790 - DEEMED APPROVED","PG_PS13","PS13 - SPECIAL OPERATIONS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-65.73"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1900","Administration","OR_89919","89919 - Admin: Housing and Community Development","FD_2108","Fund 2108","2108","HUD-CDBG","2108 - HUD-CDBG","Fund 2108 - HUD-CDBG","PJ_S64300","PJ_S64300","PG_SC14","SC14 - HOUSING DEVELOPMENT","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-64.94"
"2015-2016","Existing","DP200 - Fire Department","DV208 - Fire: Technical Services","DP14 - Fire Department","Fire Department","DV1401","Field Operations","OR_20814","20814 - Fire: Airport","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000009","1000009 - DP200 Administrative Project","PG_PS15","PS15 - FIRE DEPARTMENT ADMINISTRATION","13 - Travel & Education ","Travel & Education","Non-Personnel Expenditures","Expense","55112 - Commercial Transportation","AC_55112","-64"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1702","Children & Youth Services","OR_78251","78251 - Youth Services","FD_1780","Fund 1780","1780","Kid's First Oakland Children's Fund","1780 - Kid's First Oakland Children's Fund","Fund 1780 - Kid's First Oakland Children's Fund","PJ_1000555","1000555 - OFCY FY2014-15","PG_YS04","YS04 - OAKLAND FUND FOR CHILDREN & YOUTH","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","-63.18"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2212","Fund 2212","2212","Measure B: Bicycle/Pedestrian Pass-Thru Funds","2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","Fund 2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","PJ_1000714","1000714 - CITY SIDEWALK REPAIR","PG_IN15","IN15 - TRAFFIC SIGNAL MANAGEMENT & MAINT","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-62.88"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2101","Buildings & Facilities Management & Maintenance ","OR_30658","30658 - Building Maintenance: Structural","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000010","1000010 - DP300 Administrative Project","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-54.81"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-54.75"
