"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Other","0","8840","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Transportation","Transportation Admin","Capital","0","151826","Municipal Bus Lines Fund","Non-Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2022","General Government","Finance","Purchasing","Pension Expenses","0","26918","Municipal Bus Lines Fund","Non-Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Pension Expenses","0","6355","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Public Works","Engineering","Sal/Spc Comp/OT","0","840","Building Surcharge Fund","Non-Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2021","General Government","Non-Departmental","Non-Departmental","Transfers","0","-2918283.57","Capital Improv and Acq Fund","Tax Supported Funds","Trsf Out To - Fund 101","Transfers"
"2020","Operating Departments","Transportation","AQMD - AB2766","Cap-Rolling Stock","0","36000","Operating Grants Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2022","Operating Departments","Community Development","Economic Development","Sal/Spc Comp/OT","0","12980","General Fund","Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2022","General Government","Non-Departmental","Non-Departmental","Transfers","0","332545","Prop C Local Return Fund","Tax Supported Funds","Trsf Out To - Fund 203","Transfers"
"2022","Operating Departments","Transportation","Transportation Admin","Travel/Trng/Dues","0","3300","Municipal Bus Lines Fund","Non-Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2021","General Government","Non-Departmental","Non-Departmental","Transfers","0","-495361","Measure R","Tax Supported Funds","Trsf Out To - Fund 203","Transfers"
"2021","Operating Departments","Transportation","Bus Operator Barriers","Capital","0","260000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Public Safety","Fire","Communications","Other","0","2300","General Fund","Tax Supported Funds","Uniform Allowance","Personnel Cost"
"2022","Operating Departments","Public Works","Engineering","Sal/Spc Comp/OT","0","1824","General Fund","Tax Supported Funds","Overtime-Regular","Personnel Cost"
"2022","Operating Departments","Community Development","Economic Development","Legal Services","0","30000","General Fund","Tax Supported Funds","Legal Services - Miscellaneous","Operating Expense"
"2022","General Government","Information Technology","IT Public Safety","Sal/Spc Comp/OT","0","1000","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Sal/Spc Comp/OT","0","3780","Risk Management Fund","Non-Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Public Safety","Fire","Fire Suppression","Contract Services","0","9750","General Fund","Tax Supported Funds","Personnel Services","Operating Expense"
"2022","Operating Departments","Public Works","Transfer Station - Admin","Other","0","4555","Refuse Disposal Fund","Non-Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","Operating Departments","Public Works","Public Works Admin","Other","0","1560","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Recreation Division","Pension Expenses","0","31058","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Pension Expenses","0","2587","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","Operating Departments","Community Development","Current Planning","Workers Comp","0","41125","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Retiree Medical P","0","16280","Risk Management Fund","Non-Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Current Planning","Liability Reserve","0","14088","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","Operating Departments","Community Development","Enforcement Services","Equip Maint Chgs","0","20144","General Fund","Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2022","Operating Departments","Public Works","Environmental Programs/Ops","Pension Expenses","0","3680","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Community Development","Enforcement Services","Equip Amort.","0","7969","General Fund","Tax Supported Funds","Amortization of Equipment","Operating Expense"
"2022","Operating Departments","Community Development","Neighborhood Preservation","Contract Services","0","23375.55","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","General Government","Information Technology","Graphic Services","Office Supp&Exp","0","22930","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Office Supp&Exp","0","410","General Fund","Tax Supported Funds","Communications","Operating Expense"
