"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"HeartShare Human Services of NY","12 MetroTech Center- 29th Fl.","Brooklyn","NY","11201","2019","158","0","0","0","Human Services","Children and youth related, Homeless and shelter, Human services, People with disabilities","LGBTQIA+, Low-income populations, People with disabilities, Youth (17 or under)","BK, SI, BX, QN","BROOKLYN","40.694616","-73.987191","302","33","11","3000000","3001407502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Hebrew Home at Riverdale","5901 Palisade Ave","The Bronx","NY","10471","2019","310","69","187","54","Article 28- Nursing Home Facility","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Health and medicine, Homeless and shelter, Human rights, Human services, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues, Vulnerable Populations","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Vulnerable Populations","All Boroughs","BRONX","40.908233","-73.90897","208","11","309","2116428","2059330224","North Riverdale-Fieldston-Riverdale"
"Heights and Hills","81 Willoughby Street, suite 302","Brooklyn","NY","11201","2019","1421","870","0","0","Community-based organization","Senior Services","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK","BROOKLYN","40.692184","-73.985753","302","33","11","3000350","3001480046","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Helene & BJ's Place","c/o Community Church of NY, 40 East 35th Street","New York","NY","10016","2019","30","0","20","10","Faith-based institution","Homeless and shelter","None","MN",,,,,,,,,
"Henry Street Settlement","265 Henry Street","Brooklyn","NY","11234","2019","1500","0","0","0","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Health and medicine, Homeless and shelter, People with disabilities, Senior Services, Women's issues","Homeless, Low-income populations, Older adults (60 or older), People with disabilities, Women","MN","BROOKLYN","40.692481","-73.995391","302","33","7","3002529","3002637502","Brooklyn Heights-Cobble Hill"
"Highbridge Advisory Council Family Servicers, Inc.","880 RIVER AVE","The Bronx","NY","10452","2019","9","0","6","3","Community-based organization","Children and youth related, Education and literacy","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","BX","BRONX","40.828333","-73.925625","204","8","195","2002988","2024840009","West Concourse"
"Historic Districts Council","232 East 11th Street","New York","NY","10003","2019","50","0","20","30","Community-based organization","Advocacy and organizing, Environment and sustainability, Historic Preservation & Land Use","None","All Boroughs","MANHATTAN","40.730817","-73.987433","103","2","40","1006817","1004660025","East Village"
"Holy Apostles Soup Kitchen","296 9th Ave","New York","NY","10001","2019","15400","0","0","0","Faith-based institution","Advocacy and organizing, Children and youth related, Environment and sustainability, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Senior Services","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.749416","-73.999188","104","3","97","1013463","1007510076","Hudson Yards-Chelsea-Flatiron-Union Square"
"Homecrest Bensonhurst Neighborhood Senior Center","7907 New Utrecht Ave","Brooklyn","NY","11214","2019","10","0","0","10","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.612279","-74.000933","311","43","276","3162717","3062720007","Bensonhurst West"
"Hostos Community College","500 Grand Concourse","The Bronx","NY","10451","2019","365","5","357","3","College and/or university","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BX","BRONX","40.818086","-73.927515","201","17","51","2001019","2023430032","Mott Haven-Port Morris"
"House of Jacob Senior Center","6222 23rd Avenue","Brooklyn","NY","11229","2019","7","0","2","5","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.61405","-73.977597","311","44","436","3172161","3065510045","Bensonhurst East"
"Hudson Guild","441 West 26th Street, Hudson Guild","New York","NY","10001","2019","1500","0","0","0","Community-based organization","Arts and culture, Children and youth related, Health and medicine, Human services, Senior Services","Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","MN","MANHATTAN","40.749196","-74.001815","104","3","97","1012827","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square"
"Hunger Free America","50 Broad Street, Ste 1103","New York","NY","10004","2019","215","0","0","0","Community-based organization","Advocacy and organizing, Human services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older)","All Boroughs","MANHATTAN","40.705689","-74.011455","101","1","9","1000820","1000240036","Battery Park City-Lower Manhattan"
"HYPOTHEkids","423 West 127th St., FRNT 1","New York","NY","10027","2019","90","10","80","0","Community-based organization","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","All Boroughs","MANHATTAN","40.812964","-73.953759","109","7","21303","1084105","1019670060","Manhattanville"
"iCouldBe","200 Broadway","New York","NY","10038","2019","37","0","0","0","Non-profit","Children and youth related, Education and literacy, Mentoring","Low-income populations, Youth (17 or under)","BX","MANHATTAN","40.710533","-74.009353","101","1","1502","1089384","1000790015","Battery Park City-Lower Manhattan"
"Imani House Adult Literacy Program","76A Fifth Avenue","Brooklyn","NY","11217","2019","120","0","104","14","Community-based organization","Arts and culture, Children and youth related, Education and literacy","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BK","BROOKLYN","40.680691","-73.977574","306","39","12901","3018666","3009340041","Park Slope-Gowanus"
"iMentor","199 Water Street","New York","NY","10038","2019","3533","0","0","0","Community-based organization","Children and youth related, Education and literacy","Immigrants and/or refugees, LGBTQIA+, Low-income populations","BK, MN, BX","MANHATTAN","40.70727","-74.004314","101","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan"
"Independence Neighborhood Center","114 Taylor Street","Brooklyn","NY","11249","2019","12","0","1","11","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.705508","-73.963702","301","33","545","3059905","3021760001","Williamsburg"
"Independence Plaza Senior Center","310 Greenwich Street","New York","NY","10013","2019","40","10","18","12","Community-based organization","Arts and culture, Children and youth related, Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.717604","-74.010667","101","1","39","1083243","1001420025","SoHo-TriBeCa-Civic Center-Little Italy"
"India Home, Inc.","178-36 Wexford Terrace Suite 2C","Jamaica","NY","11432","2019","26","4","21","1","Community-based organization","Advocacy and organizing, Arts and culture, Education and literacy, Human services, Immigrants and/or refugees, Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older)","QN","QUEENS","40.713508","-73.784561","408","24","466","4534092","4099377501","Jamaica Estates-Holliswood"
"Innovations For Learning, Inc.","518 Davis Street, Suite 205","Evanston","IL","60201","2019","200","0","200","0","Volunteer-led group","Education and literacy","Youth (17 or under)","BK, MN, BX",,,,,,,,,
"Institute for Family Health","2006 Madison Ave","New York","NY","10035","2019","300","2","298","0","Federally QUalified Health Center","Advocacy and organizing, Education and literacy, Employment and workforce development, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN, BX","MANHATTAN","40.807347","-73.939484","111","9","206","1087856","1017520057","Central Harlem North-Polo Grounds"
"International Rescue Committee","263 West 38th Street, 6th FL","New York","NY","10018","2019","250","0","0","0","Charity","Human rights","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.75423","-73.990468","105","3","113","1014474","1007880011","Midtown-Midtown South"
"Intrepid Sea, Air & Space Museum","One Intrepid Square","New York","NY","10036","2019","153","0","45","108","Cultural/Museum","Arts and culture, Education and literacy, Veterans","Military/ veteran families, People with disabilities, As a museum we welcome all groups and visitors from the US and abroad","All Boroughs",,,,,,,,,
"IPRHE","607 Concord Avenue","The Bronx","NY","10455","2019","10","0","0","10","Community-based organization","Advocacy and organizing, Arts and culture, Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women","BX","BRONX","40.814544","-73.907628","201","8","73","2114666","2026420022","Melrose South-Mott Haven North"
