"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Boro","Vallone, Jr","NYCHA Community Operations","13-6400571","Cleared","2500.00","DFTA","Astoria Houses Senior Citizens","90 Church Street, 5th Floor",,"10007","To continue programs at Astoria Houses for seniors.",,,"90 Church Street, 5th Floor
New York, NY 10007
(40.712391736433005, -74.00995568037229)","MANHATTAN","40.712586","-74.009775","1","1","21","1001230","1000860001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2012","Youth","Barron","Kwatny Foundation, Inc.","810606748-","Cleared","5000.00","DYCD",,"707 Jerome Street",,"11207","The program provides contact football and cheer for ages 5-15.",,,"707 Jerome Street
Brooklyn, NY 11207
(40.66313586888822, -73.88321422678308)","BROOKLYN ","40.663108","-73.883219","5","42","1104","3097588","3043330060","East New York                                                              "
"2012","Aging","Halloran","North Flushing Senior Center, Inc.","112741128-","Cleared","12500.00","DFTA","College Point Senior Center","29-09 137 STREET","GF2","11354","SATELLITE SENIOR CENTER PROVIDING RECREATIONAL AND EDUCATIONAL SERVICES TO SENIORS INCLUDING AEROBICS, LINE DANCE INSTRUCTION, SOCIALS, CULTURAL TRIPS, ENTERTAINMENT, LEGAL SEMINARS, HEALTH FAIRS, BINGO AND NUTRITION COUNSELING.",,,"29-09 137 STREET
FLUSHING, NY 11354
(40.76714999997267, -73.82589999998487)","QUEENS   ","40.77135","-73.831503","7","20","88901","4443306","4043400010","Flushing                                                                   "
"2011","Youth","Rose","Brothers Care, Inc.","26-1422585","Cleared","8000.00","DYCD",,"215 Trantor Place, Suite 3A",,"10302","To host their yearly community events of Children Easter Egg Hunt, West Brighton Harmony Day and Dinner/Dance, Breast Cancer Awareness Dinner fundraiser, Turkey Giveaway, and Christmas Toy Giveaway.",,,"215 Trantor Place, Suite 3A
Staten Island, NY 10302
(40.628361125236, -74.14456817116233)","STATEN IS","40.628226","-74.144669","1","49","247","5109072","5011330085","Port Richmond                                                              "
"2012","Youth","Garodnick","New York City Center, Inc.","132867442-","Cleared","3500.00","DYCD",,"130 West 56th Street",,"10019","Funding will support City Center's Fall for Dance Festival, which makes accessible various dance performances at significantly reduced prices.  ",,,"130 West 56th Street
New York, NY 10019
(40.76410063580574, -73.97889846661843)","MANHATTAN","40.764151","-73.978889","5","4","137","1023391","1010080015","Midtown-Midtown South                                                      "
"2013","Youth","Mealy","  71st Precinct Community Council, Inc.","43784543","Pending","10000.00","DYCD",,"421 Empire Boulevard",,"11225","Funding will help provide the Family Day Picnic,National Night Out Against Crime, Halloween Safe Path Walk, the Holiday Party and presenting toys to community youths.Funding will help offfset the costs of supplies and expenses associated with these programs.",,,"421 Empire Boulevard
Brooklyn, NY 11225
(40.66413411634079, -73.94772259594475)","BROOKLYN ","40.664113","-73.947763","9","35","331","3034563","3013100001","Crown Heights South                                                        "
"2011","Local","White, Jr","Brooks Memorial United Methodist Church","11-1832868","Pending","10000.00","DYCD",,"143-22 109th Avenue",,"11435","To support a food pantry which serves 3000 people on average per month.",,,"143-22 109th Avenue
Jamaica, NY 11435
(40.68864064163921, -73.80328248481891)","QUEENS   ","40.688564","-73.803554","12","28","196","4257866","4119330001","South Jamaica                                                              "
"2012","Aging","Barron","Fort Greene Senior Citizens Council, Inc.","112300840-","Cleared","10875.00","DFTA","Louis H. Pink Senior  Center","2702 Linden Boulevard","966 Fulton Street","11208","To increase recreational and educational activities for mature adults 60 years and older.  ",,,"2702 Linden Boulevard
Brooklyn, NY 11208
(40.66901146476998, -73.86447102521664)","BROOKLYN ","40.669208","-73.864514","5","42","1214","3326995","3044880001","East New York                                                              "
"2011","Local","CC","Emerald Isle Immigration Center","11-2932528","Cleared","10000.00","DFTA",,"59-26 Woodside Avenue",,"11377","To support senior programs in the Bronx and Queens.",,,"59-26 Woodside Avenue
Woodside, NY 11377
(40.745109620613746, -73.90468932982675)","QUEENS   ","40.745293","-73.905216","2","26","249","4031221","4013310054","Woodside                                                                   "
"2011","Local","Comrie","Black Spectrum Theatre Company, Inc.","51-0135262","Cleared","40000.00","DCA",,"119-07 Merrick Boulevard ",,"11434","To support core operation of agency and professional theatre, plays, training programs, concerts and summer camps.",,,"119-07 Merrick Boulevard
Jamaica, NY 11434
(40.68570351078527, -73.77280526920038)","QUEENS   ","40.685612","-73.772853","12","27","426","4268835","4124060180","St. Albans                                                                 "
"2011","Local","Dromm","Queens Lesbian and Gay Pride Committee, Inc.","11-3146598","Cleared","25000.00","DYCD",,"111-55 77th Avenue, #5-L",,"11375","Provide funds for annual Queens Pride Parade and Festival as well as local LGBT events and workshops.",,,"111-55 77th Avenue, #5-L
Forest Hills, NY 11375
(40.71577318726315, -73.83410225076301)","QUEENS   ","40.715679","-73.834172","6","29","76902","4079940","4033420037","Forest Hills                                                               "
"2011","Local","Barron","Unity Plaza Resident Association, Inc.","11-3556789","Cleared","2300.00","MISC",,"580 Blake Avenue #5A",,"11207","Annual Family Day.",,,"580 Blake Avenue #5A
Brooklyn, NY 11207
(40.667387470046144, -73.89748732810929)","BROOKLYN ","40.667436","-73.897457","5","42","1156","3336124","3037850015","East New York (Pennsylvania Ave)                                           "
"2011","Local","CC","Borough of Manhattan Community College","13-3224400","Government","225000.00","CUNY",,"199 Chambers Street",,"10013","To offset costs of the Tribeca Film Festival .",,,"199 Chambers Street
New York, NY 10013
(40.71652437751009, -74.01132020150672)","MANHATTAN","40.716838","-74.012117","1","1","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2010","Transportation - Operating Costs",,"Henry Street Settlement","13-1562242  ","Pending","6100.48","DFTA","Home Delivered Meals","265 Henry Street",,"10002","Senior Center transportation costs",,,"265 Henry Street
New York, NY 10002
(40.71389360422194, -73.98445090762135)","MANHATTAN","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"2012","Cultural After-School Adventure (CASA) ","Fidler","Brooklyn Historical Society","111630813-","Cleared","20000.00","DCA","Public School 312","128 Pierrepont Street",,"11201",,,,"128 Pierrepont Street
Brooklyn, NY 11201
(40.694971868725474, -73.99232896859803)","BROOKLYN ","40.69502","-73.992387","2","33","502","3002006","3002430047","Brooklyn Heights-Cobble Hill                                               "
"2011","Local","Rose","Richmond County Orchestra, Inc.","13-4063615","Cleared","5000.00","DCA",,"PO Box 140626",,"10301","Ticket subsidies, performance venue rental, professional musicians and administrative fees for public concerts",,,"PO Box 140626
Staten Island, NY 10301
(40.61026472678569, -74.10094009007659)",,,,,,,,,
"2011","Boro","Halloran","Bayside Village Business Improvement District","26-2931126","Cleared","3500.00","DYCD",,"213-38 40th Avenue",,"11361","Work jointly with Bayside Business Association on street beautification and streetscape. ",,,"213-38 40th Avenue
Bayside, NY 11361
(40.7643185904048, -73.77077199345968)","QUEENS   ","40.764344","-73.770783","11","19","1123","4138273","4062880013","Bayside-Bayside Hills                                                      "
"2011","Legal Services/Anti-Eviction",,"Legal Aid Society / Civil Division- Brooklyn","13-5562265","Cleared","163963.00","HPD",,"199 Water Street",,"10038",,,,"199 Water Street
Brooklyn, NY 10038
(40.707112716121, -74.00453276853563)","MANHATTAN","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"2011","Local","Palma","Services and Advocacy for GLBT Elders, Inc. (SAGE)","13-2947657","Cleared","5000.00","DFTA",,"305 Seventh Avenue, 6th Floor",,"10001","These funds will help provide direct and supportive social services to NYC and LGBTA older adults.",,,"305 Seventh Avenue, 6th Floor
New York, NY 10001
(40.74679080405372, -73.99364197876082)","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"2012","Youth","Dickens","Chess-in-the-Schools, Inc.","136119036-","Cleared","4000.00","DYCD",,"520 8th Avenue","2nd floor","10018","School Program: Citywide, 50 elementary and middle schools participate; 13,000 students learn to play chess annually. 
Classroom Chess:  Schools are assigned a Chess-in-the-Schools trained instructor who annually teaches 250 to 300 students in each school. Materials to learn and play chess are provided.
After-School Chess Clubs: Clubs, open to all students at each school and offer advanced chess instruction. Club size: 20 to 90 students.  
Summer Chess Camps: Open all students in the School Program.

Scholastic Tournament Program:  Twenty-five weekend and Monday holiday tournaments held at public schools. Tournaments are open to all New York City children with 400-750 competing in each tournament. We sponsor about 300 students on school teams in the School Program to compete in national tournaments.

College Bound Program: College Bound provides comprehensive college preparatory services.100 of the class of 2010 graduated from high school on time and 95 of seniors entered college in the fall. Programming includes: academic enrichment, college guidance, social development and chess. The Middle School Initiative offers college tours and cultural events for our younger students.

Project Chess, Teacher Training Institute: Project Chess trains York City public school educators to effectively teach chess in the classroom and after-school. Training includes workshops, materials, and tournaments.  All New York City public school teachers are eligible. More than 1,000 teachers have participated.  
",,,"520 8th Avenue
New York, NY 10018
(40.75379652266196, -73.9922570228357)","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"2012","Youth","Barron","Man Up!, Inc.","030553092-","Cleared","72500.00","DYCD",,"821b Van Siclen Avenue",,"11207-7804","To provide cultural based after-school programs at two (2) sites.",,,"821b Van Siclen Avenue
Brooklyn, NY 11207-7804
(40.65979599135517, -73.88505122477306)",,,,,,,,,
"2012","Youth","Mealy","Caribbean American Sports and Cultural Youth Movement (CASYM), Inc.","112778372-","Cleared","20000.00","DYCD",,"249 Sterling Street",,"11225","The Caribbean American Sports  Cultural Youth Movement (CASYM) has enjoyed significant growth since it was founded in 1983. CASYM started with a soccer program. Since then, CASYM launched arts, cultural, and educational programs to meet the needs of the young people primarily in the Crown Heights and Flatbush communities as well as surrounding communities. The programs were first offered in three schools. In the last four years CASYM has expanded to now provide its program to schools in various community districts.
_x000D_
CASYM is seeking funding for general operational support to aid the mission and programs of CASYM. Your financial contribution will enable CASYM to fulfill its mission to enrich lives of young people through the arts, continue and strengthen its current programs, and explore the potential of expanding existing programs. Today CASYM serves thousands of young people in the various community districts. Providing its program to schools in various community districts and more recently working with various nursing and rehabilitation centers such as Dr. Susan Smith McKinney, providing steelpan as a therapy for the residents.
_x000D_
CASYM is a community-based youth development and arts organization dedicated to supporting the creative, educational, and vocational development of at-risk youth of the African Diaspora. CASYM was founded by parents of Caribbean backgrounds to serve young people in the Crown Heights community. Since it was founded, CASYM has continually sought to enhance the lives of the young people it serves. They are typically from low-income households. CASYM offers programs in dance, drama, and music. The programs are structured to teach responsibility, provide positive role models and mentors, and encourage professionalism and good citizenship. The organization received a citation from former Brooklyn Borough President Howard Golden. CASYM works with and has collaborated with the seven public and parochial schools in the Crown Heights community; t",,,"249 Sterling Street
Brooklyn, NY 11225
(40.663036943465045, -73.9526958467668)","BROOKLYN ","40.663026","-73.952645","9","40","329","3034823","3013150067","Prospect Lefferts Gardens-Wingate                                          "
