"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Health and Mental Hygiene (DOHMH)","tnry-kwh5","Children Under 6 yrs with Elevated Blood Lead Levels (BLL)","These data are an indicator of children younger that 6 years of age tested in NYC in a given year with blood lead levels of 5 mcg/dL or greater.

About the Data

All NYC children are required to be tested for lead poisoning at around age 1 and age 2, and to be screened for risk of lead poisoning, and tested if at risk, up until age 6. These data are an indicator of children younger that 6 years of age tested in NYC in a given year with blood lead levels of 5 mcg/dL or greater. In 2012, CDC established that a blood lead level of 5 mcg/dL is the reference level for exposure to lead in children. This level is used to identify children who have blood lead levels higher than most children's levels. The reference level is determined by measuring the NHANES blood lead distribution in US children ages 1 to 5 years, and is reviewed every 4 years.","dataset","Health","YES","https://data.cityofnewyork.us/d/tnry-kwh5","1/2/2019","Annually","2018-07-12T19:48:18.000","Yes","No","Yes","No","N/A","N/A","N/A","N/A","3122","576","19",,"false"
"Department of Education (DOE)","qiyv-ty5u","2017-2018 Physical Education Instruction - District Level","Local Law 102 enacted in 2015 requires the Department of Education of the New York City School District to submit to the Council an annual report concerning physical education for the prior school year.    
This report provides information about average frequency and average total minutes per week of physical education as defined in Local Law 102 as reported through the 2017-18 STARS database. It is important to note that schools self-report their scheduling information in STARS. The report also includes information regarding the number and ratio of certified physical education instructors and designated physical education instructional space.","dataset","Education","Yes","https://data.cityofnewyork.us/d/qiyv-ty5u","December 22, 2020","Annually","2020-12-22T15:19:08.000","No","No","Yes","No","No","N/A","N/A","No","100","4290","12",,"false"
"Office of Citywide Event Coordination and Management (CECM)","tvpp-9vvx","NYC Permitted Event Information","This list contains information on approved event applications that will occur within the next month. Please note that Permitted Film Events only reflect those permits which will impact one or more streets for at least five days.","dataset","City Government","YES","https://data.cityofnewyork.us/d/tvpp-9vvx","11/19/2013","Daily","2022-08-26T19:35:06.000","Yes","Yes","Yes","No","N/A","Yes","Daily","No","16766","23666","12",,"false"
"Department of Education (DOE)","vdbc-pyc9","2006 - 2011 NYS Math Test Results By Grade - School Level - By Disability Status","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated.","dataset","Education","No","https://data.cityofnewyork.us/d/vdbc-pyc9","10/11/2011","Historical data","2011-10-06T17:26:32.000","No","No","Yes","No","N/A","No","N/A","No","397","55086","16",,"false"
"Department of Education (DOE)","urz7-pzb3","2010-2011 Class Size - School-level detail","Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Integrated Algebra, US History, etc.).

Class size data is based on January 28, 2011 data.

*Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.","dataset","Education","No","https://data.cityofnewyork.us/d/urz7-pzb3","10/13/2011","Historical data","2011-10-13T16:27:07.000","No","No","Yes","No","N/A","Yes","Historical","No","13640","27611","16",,"false"
"Department of Transportation (DOT)","5jsj-cq4s","Parking Meters GPS Coordinates and Status","Parking Meter GPS Coordinates and Status in NYC.","map","Transportation","Yes","https://data.cityofnewyork.us/d/5jsj-cq4s","10/23/2017","Monthly","2022-08-26T23:10:49.000","Yes","Yes","Yes","No","N/A","No","N/A","No","39162",,,,"false"
"Department of Citywide Administrative Services (DCAS)","nzjr-3966","NYC Civil Service Titles","List of Civil Service title codes and title descriptions used by City of New York agencies","dataset","City Government","No","https://data.cityofnewyork.us/d/nzjr-3966","7/27/2011","As needed","2022-08-01T19:40:23.000","Yes","No","Yes","No","N/A","No","N/A","No","90946","3110","10",,"false"
"Board of Elections (BOENY)","mifw-tguq","Voting/Poll Sites","Locations of voting/poll sites through the city.","dataset","City Government","No","https://data.cityofnewyork.us/d/mifw-tguq","10/18/2012","As needed","2018-10-29T16:27:03.000","N/A","No","No","Yes","Yes","N/A","N/A","Yes","14906","1231","29",,"false"
"Mayor's Office of Operations (OPS)","dk7q-942i","FY17 PMMR Spending and Budget Information by Units of Appropriation Test","<div>NYC agency spending and budget information by units of appropriation data from the Preliminary Mayor's Management Report (PMMR)<br></div>","datalens","City Government","NO","https://data.cityofnewyork.us/view/dk7q-942i","2/6/2017","Annually","2017-02-06T22:42:58.000","No","No","Yes","No","N/A","Yes","Historical","No","417",,,"jjvq-4t2v","true"
"Department of Education (DOE)","k5ws-xbkn","2006 - 2012 English Language Arts (ELA) Test Results - Borough - All Students","Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by borough.","dataset","Education","No","https://data.cityofnewyork.us/d/k5ws-xbkn","2/21/2013","Historical data","2013-02-20T22:01:37.000","No","No","Yes","No","N/A","No","N/A","No","363","245","16",,"false"
"Department of Information Technology & Telecommunications (DoITT)","e33f-d2gn","2004 Orthoimagery Brooklyn","The Department of Information Technology and Telecommunications, GIS Unit, is providing the raw orthoimagery for download. This orthoimagery is used to create the Aerial Photography Tile Layer services described in further detail here: https://maps.nyc.gov/tiles/. Full metadata on the Aerial & Orthoimagery can be found at: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_AerialImagery.md 
The 2004 Orthoimagery Tile Index can be used to geo-reference the individual image tiles across the City (https://data.cityofnewyork.us/City-Government/2004-Ortho-Tile-Index/gnpd-qabs/) or (https://data.cityofnewyork.us/City-Government/2004-Orthoimagery-Tile-Index/j49e-erz3)","href","City Government","NO","https://data.cityofnewyork.us/d/e33f-d2gn","11/17/2017","Historical data","2017-11-17T17:35:26.000","No","No","Yes","No","N/A","No","N/A","No","94",,,,"false"
"Department of Education (DOE)","khqi-x3p3","2005 - 2011 Graduation Outcomes - School Level - - Gender","Latest available data and trends in graduation and dropout outcomes by school and gender","dataset","Education","No","https://data.cityofnewyork.us/d/khqi-x3p3","2/21/2013","Historical data","2013-02-21T02:37:50.000","No","No","Yes","No","N/A","No","N/A","No","993","15518","24",,"false"
"Department of Education (DOE)","27h8-t3wt","2013-2017 District Math Results - All","New York City data and trends for state assessment results of math test for grades 3 through 8. Data’s disaggregated by district, by all students, ethnicity, economic status, gender, English language limited and students with disabilities.","dataset","Education","No","https://data.cityofnewyork.us/d/27h8-t3wt","9/25/2017","Historical data","2019-05-20T13:59:49.000","No","No","Yes","No","N/A","No","N/A","No","345","1120","16",,"false"
"Mayor's Office of Contract Services (MOCS)","u2m4-wh3s","Local Law 1 City Council Report FY 2015","New York City’s M/WBE Program is governed by Local Law 1 of 2013 (LL 1).  LL 1 was enacted after an updated disparity analysis undertaken by the City.   The law allows City agencies to set M/WBE participation goals on standardized, professional and construction services contracts.  The full provisions of LL 1 law are detailed in section 6-129 of the New York City Administrative Code.","file","City Government","Yes","https://data.cityofnewyork.us/d/u2m4-wh3s","12/18/2015","Quarterly","2015-12-17T15:47:09.000","No","No","Yes","No","N/A","No","N/A","No","263",,,,"false"
"Mayor's Office of Contract Services (MOCS)","bj6m-ydtj","MWBE Waivers","Summary of waivers of MWBE goals required by LL1","dataset","City Government","NO","https://data.cityofnewyork.us/d/bj6m-ydtj","10/26/2014","As needed","2014-10-26T01:34:17.000","No","No","Yes","No","N/A","Yes","Annually","No","580","6","5",,"false"
"Department of Education (DOE)","6e44-8i2s","2009-2010 VADIR INCIDENTS","Violent and Disruptive Incidents Report","dataset","Education","No","https://data.cityofnewyork.us/d/6e44-8i2s","02/08/2018","Historical data","2018-02-08T18:54:16.000","No","No","Yes","No","N/A","No","N/A","No","229","1531","44",,"false"
"School Construction Authority (SCA)","6246-94tp","Observations And Statuses For Inspections","List of observations and status for construction project inspections","dataset","Education","YES","https://data.cityofnewyork.us/d/6246-94tp","8/12/2015","Monthly","2022-08-01T20:16:08.000","Yes","Yes","Yes","No","N/A","No","N/A","No","518","2557","7",,"false"
"Taxi and Limousine Commission (TLC)","7dfh-3irt","2015 For Hire Vehicle Trip Data","The For-Hire Vehicle (“FHV”) trip records include fields capturing the dispatching base license number and the pick-up date, time, and taxi zone location ID (shape file below). These records are generated from the FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information.

For trip record data including TLC taxi zone location IDs, location names and corresponding boroughs for each ID can be found <a href=""https://s3.amazonaws.com/nyc-tlc/misc/taxi+_zone_lookup.csv"">here</a>. A shapefile containing the boundaries for the taxi zones can be found <a href=""https://s3.amazonaws.com/nyc-tlc/misc/taxi_zones.zip"">here</a>.","dataset","Transportation",,"https://data.cityofnewyork.us/d/7dfh-3irt","09/12/2016","Historical Data","2016-09-20T21:47:39.000",,"No",,,,,,,"194","63867609","3",,"false"
