"id","name_of_business","short_description","address","city","state","zip","phone_number","which_type_of_business_is_this","business_website_or_other_url","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"275","Sunnyside String School","""Music, art, Lego school for kids""","46-01 Greenpoint Avenue","Sunnyside","NY","11104","(347) 699-6641","Service","http://www.sunnystrings.com","QUEENS   ","40.742243","-73.918749","2","26","235","4533708","4001520007","Hunters Point-Sunnyside-West Maspeth                                       "
"276","Andy Grocery","Deli","4220 34th Avenue","Long Island City","NY","11101",,"Food and Beverage",,"QUEENS   ","40.755698","-73.918791","1","26","159","4011001","4006750222","Astoria                                                                    "
"277","31st Ave Deli Stop","Deli, Mexican Grill","4301 31st Avenue","Astoria","NY","11103",,"Food and Beverage","http://31stavestopdeli.com/","QUEENS   ","40.760138","-73.914569","1","22","149","4011965","4006970008","Astoria                                                                    "
"278","Busy Bee Food Exchange","Grocery Store","185 Nassau Avenue","Brooklyn","NY","11222",,"Food and Beverage","http://busybeefoodexchange.com","BROOKLYN ","40.725455","-73.945727","1","33","571","3066388","3026530037","Greenpoint                                                                 "
"279","Off The Bridge Coffee","""Bicycle repair & coffee!""","105 Canal Street","New York","NY","10002",,"Service","https://www.instagram.com/explore/locations/852037431/","MANHATTAN","40.71559","-73.994142","3","1","16","1081956","1003010001","Chinatown                                                                  "
"280","Lucky Luna","""Bar, Taiwanese & Mexican street food""","167 Nassau Avenue","Brooklyn","NY","11222",,"Food and Beverage","http://luckyluna-ny.com","BROOKLYN ","40.725209","-73.946474","1","33","571","3066333","3026520033","Greenpoint                                                                 "
"281","Lily Food Store","Green Grocer","1932 Fulton Street","Brooklyn","NY","11233",,"Food and Beverage",,"BROOKLYN ","40.678871","-73.921776","3","41","299","3338117","3017040037","Crown Heights North                                                        "
"282","Serrata Shop Smart","Deli","218 Ralph Avenue","Brooklyn","NY","11233",,"Food and Beverage",,"BROOKLYN ","40.682195","-73.922597","3","41","381","3047662","3016830050","Crown Heights North                                                        "
"478","Meticulous Mimi's Chore Service","Cleaning service","Baltic st","Brooklyn","NY","11217",,"Service","http://Meticulousmimischoreservice.com",,,,,,,,,
"283","Olly Oxen Free Vintage","Vintage Store","137 Montrose Avenue","Brooklyn","NY","11206","(347) 762-5048","Retail","http://www.ollyoxenfreevintage.com","BROOKLYN ","40.70727","-73.94395","1","34","505","3071126","3030520030","East Williamsburg                                                          "
"284","BKJani","""Small place that offers excellent food cooked by the most incredible human being""","276 Knickerbocker Avenue","Brooklyn","NY","11237","(347) 460-5110","Food and Beverage","https://www.facebook.com/bkjaninyc/","BROOKLYN ","40.702181","-73.924294","4","34","429","3072947","3032090031","Bushwick North                                                             "
"285","Bnytech Inc laptop and computer repair","Laptops, projectorso and Apple products repair in New York","481 8th Avenue","New York","NY","10001","(212) 361-9979","Service","http://www.bnytech.com","MANHATTAN","40.752295","-73.993402","4","3","111","1013561","1007580037","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"286","Aden Deli & Grill","""Great full service deli that is suffering due to subway station closure""","5309 4th Avenue","Brooklyn","NY","11220",,"Food and Beverage",,"BROOKLYN ","40.644669","-74.014435","7","38","76","3014233","3008150007","Sunset Park West                                                           "
"287","Quechua Nostra","Peruvian Restaurant","1634 Lexington Avenue","New York","NY","10472","(212) 410-0707","Food and Beverage","https://www.facebook.com/quechuanostra/",,,,,,,,,
"288","The HideOut","Dive Bar","8411 Fifth Avenue","Brooklyn","NY","11209","(917) 680-9131","Food and Beverage","https://www.facebook.com/hideoutbayridge/?rf=490532277660734","BROOKLYN ","40.622698","-74.025407","10","43","142",,,"Bay Ridge                                                                  "
"289","Your neighborhood office","""Office services concierge services shipping packing""","332 Bleecker Street","New York","NY","10014","(213) 989-8303","Service","http://www.neighborhoodoffice.com/","MANHATTAN","40.733529","-74.004352","2","3","73","1011145","1006190033","West Village                                                               "
"290","Emerge Boutique Wellness Studio","""Wellness Center that promotes healing through yoga, dance, healing arts, etc""","380 Macdonough Street","Brooklyn","NY","11233",,"Service","https://www.facebook.com/emergeboutiquewellnessstudio/","BROOKLYN ","40.682432","-73.931312","3","36","297","3047136","3016760011","Crown Heights North                                                        "
"291","Yaf Sparkle","Jewelry store","249 Broome Street","New York","NY","10002","(646) 682-6996","Retail","https://www.yafsparkle.com/","MANHATTAN","40.717991","-73.98982","3","1","18","1005275","1004080011","Chinatown                                                                  "
"292","Shrine World Music Venue","Live Music Club","2271 Adam Clayton Powell Boulevard","New York","NY","10030","(212) 690-7807","Other","http://shrinenyc.com/",,,,,,,,,
"293","Made Fresh Daily","Breakfast, Lunch, Brunch, Bakery, Restaurant, Beverages","226 Front Street","New York","NY","10038","(212) 585-2253","Food and Beverage","http://www.madefreshdailybakeshop.com/","MANHATTAN","40.70752","-74.002168","1","1","1501","1001342","1000970036","Battery Park City-Lower Manhattan                                          "
"294","Pa-Nash Eurosoul Cuisine","Restaurant","144-14 243rd Street","Jamaica","NY","11422","(718) 978-6094","Food and Beverage","http://www.panashnyc.com/","QUEENS   ","40.66018","-73.73947","13","31","654","4287998","4135490005","Rosedale                                                                   "
"295","Met Food on Victory Blvd","Supermarket","1795 Victory Blvd ","Staten Island","NY","10314","(718) 720-5800","Retail",,"STATEN IS","40.613042","-74.123317","1","50","151","5000000","5003710053","Westerleigh                                                                "
"296","Met Food","Supermarket","1177 Hylan Blvd ","Staten Island","NY","10305","(718) 720-5800","Retail",,"STATEN IS","40.598515","-74.082246","2","50","9601","5047160","5032080020","Old Town-Dongan Hills-South Beach                                          "
"297","Food Universe","Supermarket","72 Nagle Avenue ","Manhattan","NY","10040","(212) 904-1300","Retail",,"MANHATTAN","40.860229","-73.928485","12","10","285","1064145","1021720056","Washington Heights North                                                   "
"298","Fine Fare on Ogden","Supermarket","1136 Ogden Ave.","Bronx","NY","10452","(718) 588-5118","Retail",,"BRONX    ","40.836352","-73.927434","4","16","199","2003264","2025140040","Highbridge                                                                 "
"299","C-Town","Supermarket","1434 Jerome Avenue","Bronx","NY","10454","(718) 293-2005","Retail",,"BRONX    ","40.840986","-73.917132","4","16","223","2008093","2028430012","West Concourse                                                             "
"300","C-Town - Broadway","Supermarket","4918 Broadway","Manhattan","NY","10034","(212) 567-4881","Retail",,"MANHATTAN","40.867432","-73.921919","12","10","293","1082052","1022350020","Marble Hill-Inwood                                                         "
"301","C-Town - St. Nicholas","Supermarket","1016 St. Nicholas Avenue","Brooklyn","NY","10032","(212) 795-2877","Retail",,"MANHATTAN","40.83505","-73.939809","12","10","24301","1062574","1021090081","Washington Heights South                                                   "
"302","Cherry Valley Farm","Supermarket","20-16 21st Avenue","Queens","NY","11105","(718) 721-4982","Retail",,"QUEENS   ","40.782651","-73.915129","1","22","103","4020252","4008920037","Steinway                                                                   "
"303","Associated","Supermarket","1888 Fulton Street","Bed Stuy","NY","11233","(718) 778-8665","Retail",,"BROOKLYN ","40.678993","-73.924043","3","41","299","3048044","3017040012","Crown Heights North                                                        "
"304","Fine Fare","Supermarket","459 East 149th Street","Bronx","NY","10451","(718) 993-2400","Retail",,"BRONX    ","40.815363","-73.915947","1","17","71","2127050","2022947501","Melrose South-Mott Haven North                                             "
"305","Estuaries Swimwear","""Designer swimwear designed and made in NYC""","68 34th Street","Brooklyn","NY","11232","(646) 397-1238","Retail","http://www.EstuariesSwimwear.com","BROOKLYN ","40.657345","-74.006437","7","38","18","3336900","3006870001","Sunset Park West                                                           "
"306","Dayboat","Fusion restaurant","4116 Queens Boulevard","Sunnyside","NY","11104","(718) 255-6736","Food and Beverage","http://Dayboatnyc.com","QUEENS   ","40.743665","-73.923096","2","26","18102","4002538","4001920030","Hunters Point-Sunnyside-West Maspeth                                       "
"307","Guacuco Starr","Venezuelan Food","234 Starr Street","Brooklyn","NY","11237","(718) 821-3291","Food and Beverage","http://guacuconyc.com","BROOKLYN ","40.705521","-73.922715","4","34","447","3072768","3031990026","Bushwick North                                                             "
"308","Tianti Books","""Specialty Coffeeshop and Bookstore""","535 8th Avenue","New York","NY","10018","(888) 842-6845","Food and Beverage","https://www.facebook.com/TiantiBooksOfficial/","MANHATTAN","40.75395","-73.992193","4","3","111","1013599","1007600043","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"309","Ost Cafe","""Neighborhood coffee shop""","511 Grand Street","New York","NY","10002",,"Food and Beverage","http://ostcafenyc.com","MANHATTAN","40.714622","-73.982224","3","1","202","1003748","1002880043","Lower East Side                                                            "
"310","alpha and omega consulting group inc","""MWBE Business on Computer Consultants""","21908 119th Avenue","Cambria Heights","NY","11411","(917) 284-2842","Service","http://www.aocgrp.com","QUEENS   ","40.692045","-73.742548","13","27","610","4275423","4127790021","Cambria Heights                                                            "
"311","Sips + Maker","Coffee Shop","312 New Dorp Lane","Staten Island","NY","10306","(718) 668-9474","Food and Beverage","https://www.facebook.com/sipsandmaker/","STATEN IS","40.571774","-74.112219","2","50","134","5057565","5042190066","New Dorp-Midland Beach                                                     "
