"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"41-50 78th Street, Façade repairs (Erecting Sidewalk Shed)","2020-07-17T00:00:00.000","Q098","Façade repairs (Erecting Sidewalk Shed)","Q098;","Frank D. O'Connor Playground;",,"Queens","Single Site","Private Developer",,"Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"Safe Way Construction Corp.","2020-07-17T00:00:00.000","Q098.20200814",,,,,"2020-07-24T00:00:00.000",,,"2020-12-01T00:00:00.000",,,,,,,,,,,,,"2020-09-01T12:48:00.000","2020-09-01T13:36:00.000",
"Fourth Avenue Safety Improvements Phase A from 8th Street to 64th Street","2017-05-26T00:00:00.000","HWK1669A","4TH AVENUE SAFETY IMPROVEMENTS PHASE II - VISION ZERO GREAT STREETS (from NYC GIS)",,,"Fourth Avenue from 8th Street to 64th Street","Brooklyn","Single Site","DDC","Roadway Reconstruction","Borough Forestry",,,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-09-01T12:15:00.000","2020-09-01T13:41:00.000","40.653503, -74.005293"
"Construction Median Replacement on Union Turnpike from Hollis Court Boulevard to 226th Street","2017-08-23T00:00:00.000","HWQ1193","This contract will reconstruct medians that are not under the jurisdiction of DPR.  The work is adjacent to two greenstreets, QZ485 and QZ160, but there is no impact anticipated.",,,"Union Turnpike and Peck Avenue (QZ485) and Union Turnpike and Hartland Ave (QZ160)","Queens","Single Site","DDC",,"Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-09-01T10:59:00.000","2020-09-01T13:46:00.000","40.734574, -73.753670"
"Concrete Repairs of Queens Approach Substructure at the RFK Bridge Pier-22 Wall Thru Pier-40","2019-06-17T00:00:00.000","RKM-377 / RK-70Ph.1X","Concrete Repairs of Queens Approach Substructure at the RFK Bridge Pier-22 Wall Thru Pier-40","Q004;Q066B;Q066C;Q066D;Q066E;","Astoria Park;Triborough Bridge Playground B;Triborough Bridge Playground C;Triborough Bridge Playground D;Triborough Bridge Playground E;",,"Queens","Single Site","MTA B&T","Bridge Component Rehabilitation","Borough Operations;#Borough Forestry","Partial Park Closure;#Total Park Closure",,"Construction",,,,,,,,,,,,,,,,"Avenue Contracting Inc.","2020-02-07T00:00:00.000","CNYG.20200320",,,,"1. Contractor is required to hold a field meeting with NYC Parks prior to mobilization to a new site - including initial mobilization - in order to establish exact boundaries of the proposed staging area. 
2. Contractor to coordinate directly with FDNY on mobilization to Triborough Playground E.","2020-03-19T00:00:00.000",,"2020-03-26T00:00:00.000","2022-03-26T00:00:00.000","2020-08-27T00:00:00.000","2020-08-31T00:00:00.000","2022-03-26T00:00:00.000","Permits limited Playground C scope and describes process for allowing additional scope.",,,,,,,,,"2020-03-17T15:27:00.000","2020-08-31T16:14:00.000","40.774392, -73.922609"
"Installation of sewers in 20th Ave and Water Main Replacement in College Point Blvd","2014-08-26T00:00:00.000","SE807","New storm and sanitary sewers, water main, curbs, sidewalks, roadway, etc. 5 year construction divided into four phases.  This work is all in the street beds and right of way sidewalk, but work is adjacent to five Parks properties: Q136 Playground 115, Q042 Poppenhusen Park, Q457 College Point Park, Q033 Mall Eighteen, and Q011 Poppenhusen Playground",,,"20th Ave and 124th Street","Queens","Multi Site","DDC","Sewer/Water Main","Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-02-19T10:20:00.000","2020-08-31T15:55:00.000","40.781665, -73.844091"
"Pedestrian Ramp Rehabilitation in Brooklyn","2020-05-20T00:00:00.000","HWPR19K2","Pedestrian Ramp Rehabilitation",,,,"Brooklyn","Multi Site","DDC","Pedestrian Safety",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-05-28T14:16:00.000","2020-08-31T15:54:00.000",
"Albert Road Area Ozone Park Streets","2009-02-12T00:00:00.000","SEQ002568 HWQ411B","Street reconstruction in the area bounded by Linden Boulevard on the north, North Conduit Avenue on the south, Cross Bay Boulevard to the west and the rail road right-of-way along Aqueduct Race Track to the east.",,,"Cross Bay Boulevard and 149th Avenue","Queens","Multi Borough","DDC","Roadway Reconstruction",,,,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-05-19T10:46:00.000","2020-08-31T15:52:00.000","40.670760, -73.842563"
"Construction of Storm and Sanitary Sewers, Water mains and appurtenances in Acacia Ave, etc.,","2015-05-11T00:00:00.000","SER200245","Storm and Sanitary Sewers, Water Mains, etc.","R071;","Great Kills Park;","Hillcrest Ave and School Street","Staten Island","Single Site","DDC","Sewer/Water Main","Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-02-20T14:21:00.000","2020-08-31T15:50:00.000","40.546825, -74.152275"
"Construction and Replacement of Storm Sewer and Water Main in 95th Street between 160th Ave and 162nd Ave and surrounding blocks in Howard Beach","2015-05-07T00:00:00.000","SEQ200490","Storm Sewer and Water Main with Outfall",,,"95th Street and 161st Avenue","Queens","Single Site","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-07-02T13:02:00.000","2020-08-31T15:49:00.000","40.656130, -73.837134"
"Construction of Storm and Combined Sewers Water Mains and Appurtenances in West 9TH Street, etc.","2014-10-28T00:00:00.000","SEK20068","Storm, Combined Sewers and Water Mains",,,"9th Street and 2nd Avenue","Brooklyn","Single Site","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-03-25T13:30:00.000","2020-08-31T15:47:00.000","40.673062, -73.994294"
"Replacement of Combined Sewers, Water Mains and appurtenances in 70th St. between 54th Ave and Calamus Ave,","2017-05-26T00:00:00.000","SE859","Replacement of Combined Sewers, Water Mains and appurtenances",,,"70th St betw 54th Ave and Calamus Ave","Queens","Single Site","DDC","Sewer/Water Main","Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-09-23T14:05:00.000","2020-08-31T15:39:00.000",
"Phase 2B Construction of HLSS and Combined Sewers and Water Work in Fresh Creek Basin Area","2016-08-17T00:00:00.000","SE855","Two parks properties are adjacent to work but no impact is anticipated as work is in roadbed. B342 100% Playground and B504 Ponderosa Playground",,,"Glenwood Road and East 108th Street","Brooklyn","Single Site","DDC","Sewer/Water Main","Borough Forestry;#Environmental Review (EIS/EAS)","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-05-12T16:00:00.000","2020-08-31T15:38:00.000","40.650448, -73.894244"
"High Level Storm and Combined Sewers in 229th Street Area (Laurelton)","2016-03-29T00:00:00.000","SE823","Storm and Combined Sewers","Q392;","Idlewild Park;","149th Avenue and 226th Street","Queens","Single Site","DDC","Sewer/Water Main","Natural Resources Group (NRG);#Environmental Review (EIS/EAS);#Borough Operations;#Borough Forestry","Excavation;#Partial Park Closure;#Park Improvement",,"Construction",,,,"No",,,"2016-03-29T00:00:00.000","2016-03-25T00:00:00.000",,,,,,,,"C.A.C. Industries","2019-03-07T00:00:00.000","Q392.20190418","2019-04-03T00:00:00.000","Approved","QP18-557 QP19-073",,,,"2019-04-22T00:00:00.000","2021-04-16T00:00:00.000",,,,,,,,,,,,,"2017-09-25T09:45:00.000","2020-08-31T15:37:00.000","40.657503, -73.756403"
"Reconstruction of Father Capodanno Blvd South Beach","2016-06-16T00:00:00.000","SANDHW14","Roadway Reconstruction","RZ058A;RZ302;RZ303;RZ305;RZ105;RZ102;R046;","GREENSTREET;GREENSTREET;GREENSTREET;GREENSTREET;GREENSTREET;GREENSTREET;Franklin D. Roosevelt Boardwalk and Beach;","Seaview Ave & Father Capodanno Blvd","Staten Island","Multi Site","DDC","Roadway Reconstruction","Borough Operations;#Borough Forestry","Staging;#Excavation;#Access-Only;#Sidewalk Closure;#Other",,"Construction",,,,,,,,,,,,,,,,"J. Pizzirusso Landscaping",,"R046.20180730",,,,,,,,"2020-08-20T00:00:00.000",,,"2020-08-20T00:00:00.000",,,,,,,,,,"2016-09-28T16:36:00.000","2020-08-31T15:30:00.000","40.590349, -74.066637"
"Distribution Water Mains - BK & SI","2018-11-26T00:00:00.000","RED385","Where and when water mains.",,,"61 St. & 17th Avenue","Brooklyn;#Staten Island","Multi Borough","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,"RE","Munoz Engineering & Land Surveying D.P.C.","2018-12-05T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,"2018-11-26T16:25:00.000","2020-08-31T15:06:00.000",
"Installation of Water Mains and appurtenances for new buildings construction and improvement of city’s water main distribution system and fire protection in various locations in the Bronx and Queens","2018-08-23T00:00:00.000","QED1047","Water mains and hydrants, etc.  Work in street adjacent to Greenstreets XZ393, XZ394, XZ381, XZ392, and X191A Bicentennial Veterans Memorial Park.",,,,"Bronx;#Queens","Multi Borough","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-09-30T18:21:00.000","2020-08-31T15:01:00.000","40.823537, -73.814817"
"Water Main Replacement in Various Locations from 111th Street to 129th Street Between Jamaica Avenue and Atlantic Avenue, Borough of Queens","2015-03-27T00:00:00.000","QED1003B","Water Main Replacement",,,"111th Street to 129th Street Between Jamaica Avenue and Atlantic Avenue","Queens","Single Site","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-07-07T12:07:00.000","2020-08-31T14:52:00.000","40.696851, -73.831286"
"Accelerated Distribution Water Main & Sewer Replacement/Rehab","2018-06-08T00:00:00.000","MEDA003","When and Where Sewer/Water Main contract",,,,"Manhattan","Multi Site","DDC","Sewer/Water Main","Capital Projects","No Parkland Impact",,"Presumed Complete",,,,,,,,,"2018-12-04T00:00:00.000",,"EIC","DDC","2017-12-28T00:00:00.000","2019-06-26T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,"2018-06-14T10:56:00.000","2020-08-31T14:50:00.000",
"Roadway Reconstruction and Construction of Bulkheads - Broad Channel Phase 1","2013-08-06T00:00:00.000","HWQ1182A","Full Reconstruction of short streets west of Cross Bay Blvd running to the bay. Might have had no parkland impacts but for the fact that the Rockaway Administrator independently negotiated for the contractor to stage at American Ballfields Parking Lot. Also, there may be some associated wetland mitigation performed at this park.","Q467;","Broad Channel American Park;","W 12 Rd and Cross Bay Blvd","Queens","Single Site","DDC","Roadway Reconstruction","Natural Resources Group (NRG);#Borough Operations","Staging",,"Construction",,,,,,,,,"2013-02-14T00:00:00.000",,,,,,,,,"Q-56-15NF, Q467.20191007","2016-02-10T00:00:00.000",,,"Q-56-15NF - Staging in American Ballfields
Q467.20191007 - Wetland Mitigation",,,,,,,,,,,,,,,,,"2018-02-22T12:06:00.000","2020-08-31T14:46:00.000","40.597340, -73.821895"
"Rutgers Slip Generator Platform","2017-05-09T00:00:00.000","P-36444","Installation of an emergency generator platform on Rutgers Slip.","MZ454;","GREENSTREET;",,"Manhattan","Single Site","MTA NYCT",,,"No Parkland Impact",,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-31T14:08:00.000","2020-08-31T14:08:00.000",
"Installation of Trunk and Distribution Water Main, Combined Sewer Replacement & Appurtenances in Southern Blvd, Boston Road, East 179th St, East Tremont Ave, and Bronx St","2015-09-04T00:00:00.000","HED553","Installation of Trunk and Distribution Water Main, Combined Sewer Replacement & Appurtenances in Southern Blvd, Boston Road, East 179th St, East Tremont Ave, and Bronx St",,,"Southern Boulevard and East 167th Street","Bronx","Single Site","DDC","Sewer/Water Main","Central Forestry;#Borough Operations","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-02-06T10:34:00.000","2020-08-31T11:17:00.000","40.826753, -73.892272"
"Broad Channel Streets and Bulkheads Reconstruction West 14 to West 19 Roads from Crossbay Blvd to Bulkhead","2016-07-21T00:00:00.000","HWQ1182B","Broad Channel Streets and Bulkheads Reconstruction.","Q508;","Park;","Broad Channel Drive and W 16th Road and West 17th Road","Queens","Multi Site","DDC","Roadway Reconstruction","Natural Resources Group (NRG);#Borough Forestry","Excavation",,"Construction",,,"NV5","No",,,"2016-08-24T00:00:00.000","2017-09-15T00:00:00.000",,,"DDC EIC",,"2020-06-05T00:00:00.000","2020-07-31T00:00:00.000","2024-06-15T00:00:00.000","JR Cruz","2020-07-11T00:00:00.000","Q508.20200730","2016-09-27T00:00:00.000","Approved","QP 20-114","none","2020-07-30T00:00:00.000",,"2020-08-01T00:00:00.000","2022-07-31T00:00:00.000",,,,,,,,,,,,,"2016-08-30T16:02:00.000","2020-08-31T11:13:00.000","40.601875, -73.822184"
"Distribution Water Main replacement in various locations in Former Jamaica Water Supply Mains Area: Van Wyck Service Road West between Atlantic Ave and Liberty Ave, etc.","2016-03-23T00:00:00.000","QED1022","Water Main Replacement",,,"95th Avenue and 126th Street","Queens","Single Site","DDC","Sewer/Water Main","Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-05-15T08:27:00.000","2020-08-31T10:28:00.000","40.694085, -73.821190"
"Great Streets Reconstruction of the Grand Concourse Service Roads and Widening of Medians (Phase 4)","2015-05-04T00:00:00.000","HWXP136C","Sasha description: Sidewalk and roadway improvements along Grand Concourse between East 175th Street and Fordham Road.
Jonathan description: Great Street program Street reconstruction AS WELL AS planting for past phase areas 2 thru 4. New planted raised median and bike lanes. East 175 St to East Fordham Rd.","X006-XZ411;X018;X129;","Bergen Park;Echo Triangle;Devanney Triangle;","Grand Concourse and Tremont Ave (Echo)","Bronx","Multi Site","DDC","Roadway Reconstruction","Borough Forestry;#CDOT Arterial Maintenance;#Borough Operations;#Borough Horticulture","Sidewalk Closure",,"Construction",,,"AKRF","Yes",,,"2017-05-19T00:00:00.000","2018-02-23T00:00:00.000",,,,,,,,"Tully Construction Co. Inc.","2020-06-10T00:00:00.000","XG.20200710","2017-07-12T00:00:00.000",,,,"2020-06-29T00:00:00.000",,"2020-07-13T00:00:00.000","2022-06-30T00:00:00.000",,,,,,,,,,,,,"2016-12-19T13:56:00.000","2020-08-31T09:56:00.000","40.849864, -73.905997"
"DDC SE830/SANDR02 Utility Relocation","2020-01-27T00:00:00.000","MH#20147","Electric Utility Relocation by PSEGLI for DDC contract SE830/SANDR02.","QZ656;","Greenstreet;","Mott Avenue and Central Avenue","Queens","Single Site","DDC",,"Borough Operations;#Borough Forestry","Excavation;#Total Park Closure",,"Construction",,,,,,,,,,,,,,,,"PSEGLI","2020-02-11T00:00:00.000","QZ656.20200113",,"Approved","QP20-036",,"2020-02-05T00:00:00.000",,"2020-02-20T00:00:00.000","2020-06-30T00:00:00.000",,,,,,,,,,,,,"2020-02-20T11:28:00.000","2020-08-31T09:31:00.000","40.604344, -73.752947"
"Right-of-Way Green Infrastructure Westchester Creek HP-033","2017-10-18T00:00:00.000","GXHP33-01 Phase 1 Stage 1","Construction of Right-of-Way Bioswales","X163;","Loreto Playground;","Morris Park Avenue and Haight Avenue","Bronx","Single Site","Parks - Green Infrastructure","Resiliency","Borough Operations;#Central Forestry;#Capital Projects","Sidewalk Closure",,"Construction",,,,,,,,,,,,,,,,"Triumph Construction Corp","2019-10-30T00:00:00.000","X163.20191030",,,,"Contractor must coordinate with Parks Capital Contract X163-118M in the event of concurrent construction to minimize interference.","2019-11-01T00:00:00.000",,"2019-10-30T00:00:00.000","2019-12-31T00:00:00.000",,,,,,,,,,,,,"2019-11-04T12:31:00.000","2020-08-31T09:17:00.000","40.849447, -73.852889"
"Accelerated Water Main Replacement","2017-07-27T00:00:00.000","BEDA002","Accelerated Water Main Replacement",,,,"Brooklyn","Multi Site","DDC","Sewer/Water Main",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-08-10T10:02:00.000","2020-08-31T08:56:00.000",
"Reconstruction of Rockaway Beach Boulevard between Beach 49th and Beach 54th","2017-02-08T00:00:00.000","SANDHW12 QED1007","Roadway reconstruction plus some sewer work",,,"Rockaway Beach Blvd & Beach 54 Street","Queens","Multi Site","DDC","Roadway Reconstruction",,"No Parkland Impact",,"Presumed Complete",,,,,,,"2017-02-08T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-03-07T18:00:00.000","2020-08-31T08:55:00.000",
"South Beach Area Streets","2008-08-25T00:00:00.000","HWR1132B SE793","also SE793. Roadway reconstruction with sewer work. Work is close to two greenstreet tree medians and one larger landscaped triangle. Work ended up being within one GS without permit","RZ017A;RZ017B;RZG001;RZ02;","GREENSTREET;GREENSTREET;GREENSTREET;GREENSTREET;","Norway Ave & McClean Ave","Staten Island","Single Site","DDC","Roadway Reconstruction","Borough Forestry;#Borough Horticulture","Park Improvement",,"Construction",,,,,,,,,,,"RE","Arcadis of NY, Inc.",,,,,,,,,,,"2016-11-22T00:00:00.000",,,,,,,,,,,,,,,,"2016-11-22T16:56:00.000","2020-08-31T08:54:00.000","40.594080, -74.078822"
"Installation of Combined Sewer in 71st Street Between Juniper Blvd South and Queens Midtown Expressway, etc.","2018-12-05T00:00:00.000","SE860","Installation of 24"" combined sewer to replace 15"" and new 12"" water main replacing 8"". Direct jacking under LIE and railroad proposed. Next to Juniper Valley Park, new combined sewer is 78"" diameter",,,"Lutheran Ave & 71 St","Queens","Single Site","DDC","Sewer/Water Main","Borough Forestry;#Capital Projects","No Parkland Impact",,"Presumed Complete",,,,"No",,,"2018-12-05T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-01-03T09:09:00.000","2020-08-31T08:52:00.000","40.718985, -73.885295"
"Bridges J31 and J32 Rehabilitation - Aqueduct Road","2019-10-22T00:00:00.000","JFK-174.016","Tree protections and removals associated with PANYNJ bridge repairs.",,,"Aqueduct Road at the Belt Parkeway","Queens","Single Site","PANYNJ","Bridge Component Rehabilitation","Borough Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-11-27T13:24:00.000","2020-08-31T08:47:00.000","40.666248, -73.832618"
"East 72nd Street Reconstruction","2019-06-20T00:00:00.000","SEK002377","This state-of-good-repair project in Bergen Beach, Brooklyn will reconstruct and resurface East 72nd Street from Avenue L to Royce Place to ameliorate ponding and flooding issues, improve the roadway surface and einstate proper curb reveal.  In addition, all pedestrian ramps, including any missing pedestrian ramps, within the project limits will need to be installed or upgraded to comply with ADA 2010 standards. This project will be coordinated with DEP’s sewer and water main upgrades within the same limits.",,,"East 72nd Street and Avenue L","Brooklyn","Single Site","DDC","Roadway Reconstruction",,"No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-26T12:25:00.000","2020-08-31T08:46:00.000","40.626376, -73.914498"
