"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Milestone Park tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1917","N","1917","N","Plaque","Marker","Brass, granite","Milestone Park","81st Street and 18th Avenue","Brooklyn","NY","11214","Brooklyn","Colonial, milestone","THIS PARK IS AT THE LOCATION OF THE OLDEST EXISTING MILE- / STONE IN NEW YORK CITY. THE NEW UTRECHT MILESTONE WAS PLACE- / ED HERE IN APPROXIMATELY 1741, UNDER THE REIGN OF GEORGE / II. THE STONE, WHICH SERVED AS A DIRECTIONAL POST TO / TRAVELERS, STOOD AT THE JUNCTURE OF TWO COLONIAL ROADS; / KING'S HIGHWAY AND OLD NEW UTRECHT-FLATBUSH ROAD (NOW 18TH / AVENUE). IT ALSO SERVED AS A GUAGE TO DETERMINE POSTAL RATES / THE INSCRIPTION READS AS FOLLOWS: / FRONT: 8 1/4 MILE TO N. YORK FERRY, THIS ROAD TO DENY'S FERRY, 2 1/2 MILES. / SIDE: 10 1/2 MILES TO N. YORK FERRY. THIS ROAD TO JAMAICA, 15 MILES/","Department of Parks and Recreation","Gift of Mr. & Mrs. Townsend Cortelyou Van Pelt","537","40.609583","-73.999611","6296","1"
"George Washington Accompanied by Wisdom and Justice","NULL","Calder","Alexander","Stirling","NULL","NULL","NULL","American","White","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1918","N","1918","N","Statue","Monument/Memorial","Granite","Washington Square Park","Washington Square North","New York","NY","10012","Manhattan","President of the United States, American Revolutionary War, War, Colonial","NULL","Department of Parks and Recreation","Gift of Washington Arch Committee","814","40.731310","-73.997175","549","1"
"Boy Scout's Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1919","N","1919; 1988","Y","Plaque","Marker","Bronze","Prospect Park","Long Meadow","Brooklyn","NY","11215","Brooklyn","President of the United States, Boy Scouts of America","IN REMEMBERANCE OF / THEODORE ROOSEVELT / THE BOY SCOUTS OF AMERICA / OF THE PROSPECT HEIGHTS DISTRICT / PLANTED THESE TREES / 1919","Department of Parks and Recreation","Gift of the Prospect Heights District Council Boy Scouts of America","1182","40.667833","-73.970458","1117","1"
"Bushwick-Ridgewood Memorial","The Fighting Doughboy","Montana","Pietro","NULL","NULL","NULL","NULL","Italian, American","Pollard","Giles","Greene","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1919","N","1921","N","Statue","Monument/Memorial","Bronze, granite","Heisser Square Park","Myrtle Avenue between Knickerbocker Avenue and Bleecker Street","Brooklyn","NY","11237","Brooklyn","World War I, War, Doughboy","TO THE MEMORY / OF THE / BUSHWICK-RIDGEWOOD / BOYS WHO SERVED / IN THE WORLD WAR / 1917-1918","Department of Parks and Recreation","Gift of The Bushwick-Ridgewood Monument Committee","1045","40.698726","-73.917907","3299","1"
"Bushwick-Ridgewood Memorial","“The Fighting Doughboy”; The Heisser Monument","Montana","Pietro","NULL","NULL","NULL","NULL","Italian, American","Pollard","Giles","Greene","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1919","N","1922","N","Statue","Monument/Memorial","Bronze, granite","Heisser Triangle","Knickerbocker Avenue and Bleecker Street","Brooklyn","NY","11237","Brooklyn","Allegorical, World War I, Doughboy","1) pedestal, front: ""TO THE MEMORY / OF THE / BUSHWICK-RIDGEWOOD / BOYS WHO SERVED / IN THE WORLD WAR / 1917-1918""

2) tablet: ""NOV. / 11 / 1920""","Department of Parks and Recreation","Gift of Bushwick-Ridgewood Citizens","1045","40.698722","-73.917917","3299","1"
"John Merven Carrère","Carrere Memorial Stairs","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hastings","Thomas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Carrere & Hastings","NULL","NULL","1919","N","1919","N","Railing","Monument/Memorial","Pink Granite","Riverside Park","Riverside Drive and West 99th Street","New York","NY","10025","Manhattan","Architect, Artist","TO THE MEMORY OF / JOHN MERVEN CARRÉRE / 1858 --- 1911","Department of Parks and Recreation","Gifted by The Committee on Memorial to John Merven Carrere","883","40.797913","-73.974424","1897","1"
"McLaughlin Park World War I Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Denby","Edwin","H.","NULL","NULL","NULL","NULL","NULL","NULL","Denby and Nute","NULL","NULL","1919","N","1919","N","Stele","Monument/Memorial","Limestone, granite","McLaughlin Park","Tillary Street and Jay Street","Brooklyn","NY","11201","Brooklyn","World War I, War","Honor roll (front): LT. HENRY J. DUFF --- CORP. OSCAR GARDENAS / ENS. EDW. FITZGERALD --- COPR. JOHN J. FARRELL / ENS. SIDNEY J. KELLY --- CORP. RALPH DE FLORA / SGT. VINCENT AITKEN --- CORP. OSCAR E. FLEURY / SGT. THOS. CAMPBELL --- CORP. TOHS. HARRINGTON / SGT. EDWARD MESSER --- CORP. JOHN. A KIERNAN / SGT. OTTO SCHINDLER --- CORP. GEO. MICHOLOSKI / SGT. WM. V. STORCH --- CORP. JAMES OCONNOR / FREDERICK I. ALLARD --- JOSEPH P. GRIFFIN / JOHN ARCOMANO --- ANTONIO GUARINO / CHARLES I. ASH --- JOS. A. GUGLULINO / ARTHUR CAMPBELL --- CLARENCE F. HARRIS / FRANCIS J. CARR --- SIDNEY W. HARRIS / PATRICK CORCORAN --- MICHAEL HALEY / PETER J. CRIMMINS --- EDWARD H. HERNON / HARRY M. GUNDY --- FRANK J. HOLAHAN / GEORGE P. DAVIS --- THOMAS KELLY / HARRY EUBANKS --- PATRICK JOS. KANE / THOS. M. GAFFNEY --- ALBERT J. KERN / THOMAS K. GILROY --- WILLIM E. LANNAN / BENJAMIN GREEN --- RICHARD MCGEEHAN /

Front: IN LOVING MEMORY / OF THOSE MEN OF THIS DISTRICT / WHO IN THE WAR OF 1917 AND 1918 / FOUGHT AND DIED FOR FREEDOM / THEIR NEIGHBORS THROUGH THE / SEAWANHAKA DEMOCRATIC CLUB / ERECT THIS MONUMENT / AD MDCCCCXIX /

Honor roll (rear): BERNARD MCGONIGLE --- STEPHEN REARDON / JAMES D. MCKEEVER --- FRANK RENO / JOHN MCLOUGHLIN --- HAROLD A. ROTH / THOS. J. MCLOUGHLIN --- FERD. SANTARPIA / ATTILIO MANFREDI --- WILLIAM B. SARLO / JACK L. MARTIN --- DENNIS P. SHEEHAN / ANTONIO MASSONI --- SIMON STEWART / JOSEPH A. MERNAH --- THOMAS I. STONEY / EDWARD MORRISSEY --- ALFRED J. SULLIVAN / JOHN J. O'ROURKE --- JOSEPH WALLACE / JULIO PEREIRA --- JOHN E. WHITE / CHAS. E. REARDON --- JOSPEH YANTORNO / WILLIAM F. DEVINE /","Department of Parks and Recreation","Gift of The Seawanhaka Democratic Club","983","40.696250","-73.985028","119","1"
"Simón Bolívar","NULL","Farnham","Sally","Jane","NULL","NULL","NULL","American, Woman","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Clarke and Rapuano","NULL","NULL","1919","N","1921","N","Statue","Monument/Memorial","Bronze, granite","Central Park","Central Park South and Avenue of the Americas","New York","NY","10019","Manhattan","Equestrian, Latin American, Reformer, Venezuelan, Venezuela, South American, Latinx","SIMON BOLIVAR / EL LIBERATOR /---/ VENEZUELA A LA CIUDAD / DE NUEVA YORK /---/ LIBERTADOR DE VENEZUELA / NUEVA GRANADA / ECUADOR, PERU / FUNDADOR DE BOLIVIA / ---/ NACIO EN CARACAS / EL 24 DE JULIO DE 1783 / MURIO EN SANTA MARTA / EL 17 DE DICIEMBRE DE 1830","Department of Parks and Recreation","Gift of the Venezuelan Government","954, 2774","40.765689","-73.975792","1111","1"
"Spanish War Memorial","NULL","Keck","Charles","NULL","NULL","NULL","NULL","American","Davis","Albert","E.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jno Williams Inc, NY (plaque with bas-relief)","NULL","1919","Y","1919","N","Column, globe, bas-relief, plaque","Monument/Memorial","Deer Isle Granite, bronze","Graham Triangle","137th Street, Third Avenue and Lincoln Avenue","Bronx","NY","10454","Bronx","Spanish-American War, War","TO THE BRAVE MEN / OF BRONX BOROUGH / WHO GAVE THEIR LIVES / FOR THEIR COUNTRY / IN THE WAR WITH SPAIN / THIS MEMORIAL / IS DEDICATED / A.D. 1919 / Plaque: IN MEMORIAM / U.S.S MAINE / DESTROYED IN HAVANA HARBOR / FEBRUARY 15TH 1898 / THIS TABLET IS CAST FROM METAL RECOVERED FROM THE U.S.S. MAINE","Department of Parks and Recreation","Gift of Public Subscription","889","40.810532","-73.927718","2318","75"
"Theodore Roosevelt Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Gorham Manufacturing Co","NULL","1919","Y","1919; 1991","N","Plaque, natural boulder","Monument/Memorial","Bronze, natural boulder","Prospect Park","Long Meadow","Brooklyn","NY","11215","Brooklyn","President of the United States, politician","IN REMEMBERANCE OF / THEODORE ROOSEVELT / THE BOY SCOUTS OF AMERICA / OF THE PROSPECT HEIGHTS DISTRICT / PLANTED THESE TREES / 1919","Department of Parks and Recreation","Gift of the Prospect Heights District Council Boy Scouts of America","1182","40.667833","-73.970458","1117","1"
"Bronx Local Board #2 World War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Italian","Bowdin","Harold","M.","NULL","NULL","NULL","NULL","NULL","NULL","Menconi Brothers","NULL","NULL","1920","Y","1921","N","Column","Monument/Memorial","Quincy granite, bronze","Graham Square","Third Avenue, Morris Avenue, and 139th Street","Bronx","NY","10451","Bronx","World War II, War, eagle, animals","Side 1: TO THE HONORED DEAD / WHO MADE / THE SUPREME SACRIFICE / FOR THEIR COUNTRY / THE GREAT WAR / MCMXVII - MCMXIX / ERECTED IN LOVING MEMORY / OF THEM AND THEIR PATRIOTISM / BY THEIR FRIENDS AND NEIGHBORS / OF LOCAL BOARD NUMBER TWO / NEW YORK CITY Side 2: JOHN B. GRAHAM --- EDWARD J. SMITH / JAMES M. HAMMER --- WILLIAM I. HAMMER / SAMUEL BRILL --- FRANK GREGG / THOMAS F. CASSIDY --- EDWARD ANDERSON / JOSEPH A. O'KEEFE --- HARRY HOFFMEISTER / THOMAS MCDERMOTT --- ARTHUR W. SCHILLING / JAMES P. KING --- LEO J. LYNCH / WILLIAM ROCHE --- WILLIAM J. SHAW / PHILIP J. MAUS, JR. --- CARI ROEHLKEN / JOHN C. NEWMAN --- EDWARD C. KIMBLE Side 3: JAMES J. CROWLEY --- JOHN J. BOLAND / CHARLES MCALFER --- AUGUST W. ARMS / ROBERT HAMMER --- ISIDORE FISHMAN / ADOLPH J. FRITZ --- DANIEL J. KELLY / WILLIAM VONN LUMM --- WILLIAM H. JONES / CHRISTOPHER AUGUSTIN --- MICHAEL J. GILFOY / WALTER FUCHS --- WILLIAM HURST / ERNEST R. NIELSON --- HAROLD WAHLSTADT / JOHN R. GARRITY --- EDWARD EVANS / PATRICK DEVANEY Side 4: WILLIAM G. STORCH --- CHARLES BRENNER / AMBROSE DOYLE --- GEORGE P. RYAN / DAVID W. GENTLE --- CHARLES WOLZ / ANTHONY SCHOENFELDER --- NICHOLAS DEFRANCESCO / LAWRENCE T. HANSEN --- JAMES J. GUGLIERI / WILLIAM MCGONIGAL --- THOMAS J. FITZPATRICK / ANDREW CEDER --- EDWARD LARSON / FRANCIS I. SHAW --- ARMANT J. BOISSY / HENRY P. JOHNSON --- FRANK B. HALPIN / JOHN. J. RECHLIN ---RAYMOND A. MURPHY Plaque: THE VETERANS OF FOREIGN WARS / HAVE PLACED THIS WREATH / ARMISTICE DAY / NOVEMBER 11, 1921. [---] ""ON FAMES ETERNAL CAMPING / GROUND THEIR SILENT TENTS / ARE SPREAD.","Department of Parks and Recreation","Gift of Citizens Patriotic Committee of Local Board No. 2.","977","40.811501","-73.926676","3343","500"
"Bushwick War Memorial","Williamsburg War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","Italian, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Piccirilli Brothers; Presbrey, Leland Co.","NULL","NULL","1920","N","1920","N","Plinth","Monument/Memorial","Marble","Memorial Gore","Metropolitan Avenue between Humboldt Street and Bushwick Avenue","Brooklyn","NY","11211","Brooklyn","World War I, War","1) THIS MEMORIAL / RECORDS THE / PATRIOTISM / AND DEVOTION / OF THE MEN OF / THE 13TH ASSEMBLY / DISTRICT WHO / SERVED THE / UNITED STATES/
IN THE WORLD / WAR / 1917-1918

2)/ [Honor Rolls]

3) Tablet:: "": DEC / 5 / 1920""","Department of Parks and Recreation","Gift of the American Legion","1046","40.714833","-73.942361","2897","1"
"Carroll Park Memorial","Soldiers and Sailors Monument","Morahan","Eugene","H.","NULL","NULL","NULL","NULL","Pike","Gordon","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1920","N","1921","N","Stele","Monument/Memorial","Bronze, granite","Carroll Park","Smith Street between Carroll and President Street","Brooklyn","NY","11231","Brooklyn","World War I, War, Veterans","Side 1: THEY FACED THE PERILS / OF THE SEA AND THE / HIDDEN FOE / BENEATH THE / WAVES.

Side 2: THEY SOUGHT NO / GLORY BUT THEIR / COUNTRY'S GOOD / 

2 Honor Rolls entitled: DIED / IN THE / SERVICE OF / THEIR COUNTRY","Department of Parks and Recreation","Gift of Eighth Assembly District Memorial Committee","989","40.681050","-73.995350","442","1"
"Dreyfus Plaque","NULL","Muller","Francis","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1920","N","1921","N","Plaque","Monument/Memorial","Bronze, boulder","Hero Park","Howard Avenue and Louis Street","Staten Island","NY","10301","Staten Island","Philanthropist","THIS TABLET IS ERECTED / BY / THE CITY OF NEW YORK / IN HONOR OF / DR. LOUIS A. DREYFUS / AND HIS WIFE / BERTA E. DREYFUS / WHO DEEDED THIS LAND AS A PARK TO / THE CITY OF NEW YORK / TO PERPETUATE THE MEMORY OF THE / HEROES OF STATEN ISLAND / WHO MADE THE SUPREME SACRIFICE / IN THE WORLD WAR. /---/ A.D. 1920. /","Department of Parks and Recreation","Commissioned by The City of New York","1049","40.630269","-74.087585","588","40"
"Egbertville World War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","John Polachek Bronze and Iron Co.","1920","N","1920","N","Stele","Monument/Memorial","Bronze, granite","NULL","Richmond Road and Rockland Avenue","Staten Island","NY","10306","Staten Island","World War I, War","THIS MONUMENT IS DEDICATED / TO THE MEN OF / EGBERTVILLE, STATEN ISLAND, N.Y. / WHO SERVED IN THE WORLD WAR / 1917-1918 / ROLL OF HONOR / ARMY / SAMUEL AVINS --- JOHN DIMARCO --- LUIGI PETOSA / GEORGE BRAND --- MAZZARENO DIMARCO --- WILLIAM ROSS / FRANK BRODERICK --- LOUIS EUPHRAT --- MICHELE RUBERTO / GEORGE BRODERICK --- S. GEORGE HARRIS --- NICHOLAS TESTA / JOSEPH BRODERICK --- JAMES HENNESSY --- PETER VARRIANO / WILLIAM BRODERICK --- MICHELE IACAMPO --- JOHN VENDITTI / EDWARD COMERY --- DONATO MANCINO --- WILFRED YOUDS / JOHN COMERY --- ERM. MANGONE --- FRANK ZICKI / J. VINCENT CURRY --- F.J. MATTES --- GEORGE ZICKI / MICHAEL DELANEY --- OTTO MORATH --- RUPPERT ZICKI / NAVY / LOUIS BETHOS --- JOHN FINLEY --- FRANK STEINERT / HENRY BREDSON --- CHARLES FISCHER --- PERCY WHITEY / WILLIAM COMERY --- PETER GARRAMONE --- STANLEY YOST / STEP. FALKENBURY --- FREDERICK ZICKI / MEMORIAL COMMITTEE / MICHAEL RAPP, PRES. --- JOHN H. NUGENT, TREAS. --- EDWARD A. FINLEY, SEC. / HENRY YOUDS --- EDWARD GORHAM --- DANIEL GUNDACKER / ROBERT STEINERT, JR. --- JOHN J. MCMANUS --- PATSY VURCHIO / FRANCIS DILLON --- JOSEPH GARRAVONE --- ALBERT RAPP /

Small plaque 1:
WORLD WAR II / HONOR / 

Small plaque 2:
KOREA / HONOR / 

Small plaque 3:
THESE POSTS AND CHAINS / ARE DONATED BY THE / CHILDREN OF / EGBERTVILLE, / 1921 / 

Pedestal:
ERECTED / MCMXX / BY / THE CITIZENS / OF / EGBERTVILLE /","Department of Parks and Recreation","Gifted by the People of Egbertville","1033","40.576227","-74.126905","4312","7501"
"Fort Hamilton War Memorial","Bay Ridge War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kennedy","J.","Sarsfield","NULL","NULL","NULL","NULL","NULL","NULL","NULL","John Polachek Bronze & Iron Co.","NULL","1920","N","1920","N","Obelisk, statue","Monument/Memorial","Bronze, granite","Fort Hamilton Triangle","94th Street between 4th Avenue and 5th Avenue","Brooklyn","NY","11209","Brooklyn","World War I, War","(PLAQUE 1)
1917 ERECTED BY THE --- 1919 / CITIZENS OF FORT HAMILTON / IN MEMORY OF OUR MEN / WHO DIED IN THE WORLD WAR / AND IN HONOR OF THOSE / WHO ANSWERED THEIR COUNTRY'S CALL / DIED / [24 names] / ROLL OF HONOR / EDWARD A. WALLACE, CHAPLAIN / [120 names] / 

(PLAQUE 2)
ROLL OF HONOR / [67 names]

(PLAQUE 3)
ROLL OF HONOR / [198 names]

(Plaque 4)
ROLL OF HONOR / [68 names]","Department of Parks and Recreation","Gift of Citizens of Fort Hamilton","1014","40.616468","-74.030733","NULL","NULL"
"Hero Park Memorial Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1920","N","1920","N","Plaque","Monument/Memorial","Bronze","Hero Park","Howard Avenue and Louis Street","Staten Island","NY","10301","Staten Island","World War I, War","THIS / HERO PARK / AND MEMORIAL / IS LOVINGLY DEDICATED / TO THE MEMORY / OF THE SPLENDID SONS / OF STATEN ISLAND / WHO SO NOBLY / GAVE THEIR LIVES / IN THE WORLD WAR / 1917 -- 1918","Department of Parks and Recreation","Gift of Dr. Louis and Berta E. Dreyfus","NULL","40.630210","-74.087535","588","40"
"Hero Park World War Honor Roll Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1920","N","1920","N","Plaque","Monument/Memorial","Bronze","Hero Park","Howard Avenue and Louis Street","Staten Island","NY","10301","Staten Island","World War I, War","IN MEMORIAM /---/ [142 names]","Department of Parks and Recreation","Gift of Dr. Louis and Berta E. Dreyfus","NULL","40.630210","-74.087535","588","40"
"Hollis World War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1920","N","1920","N","Plaque, stele","Monument/Memorial","Bronze, pink granite","NULL","193rd Street and Hillside Avenue","Hollis","NY","11423","Queens","World War I, War","1914 - ROLL OF HONOR - 1919 / IN HONOR OF THE MEN OF HOLLIS / WHO SERVED IN THE GREAT WORLD WAR 

UNITED STATES ARMY 
B.T. ABRAMS --- H.E. GRIMSHAW --- H.H. PLIMPTON 
P.C. ALBEE --- A.T. GRINYER --- R.A.PLIMPTON 
J.B. ALLISON --- H.W.GRINYER --- W.M. PRIMONT 
H.D. ALLISON --- A.F.GRUNENTHAL --- M.J. REMSEN 
E.P. ARMSTRONG --- C.C. GRUNENTHAL --- R. REMSEN 
R.S.H. BALDWIN --- B.B. HALLECK --- H.B. RUPP 
F.A. BATES --- H.W. HEINS --- W.H. RUPP 
J. BEBELL --- C. HOOPER --- F.W. SCHEIDENHEIM 
W.F. BEBELL --- F. HOOPER --- G.P. SCOTT 
W. BEHRMAN --- E.E. JACKSON --- C. SJOBERG 
M. BOLLING --- W.C. JOHNSON --- C.J. SOLAN 
R. BRISTOL 
K.O. KLAESSIG --- H. SPOONER 
W.H. BRODE --- A.F. KOLM --- W.L. STEIN 
G.K. BRUNER --- FLORENCE L. LENOX ---N. STOUTENBURGH 
R.V. BUCHER --- MARGARET I. STRACHAN --- P. STOUTENBURGH 
W.J. BULGER --- J.J. MCDONNELL --- J.F. SYLVESTER 
D.L. CANTOR --- D.B. MCGOLDRICK --- O.C. TRAPPE 
W. CHROSTOWSKI --- E.A. MCGUIRE, JR. --- M.D. UTER 
J.W. CLERKE --- W. MCLAUGHLIN --- J. VANDERPOOL 
W.B.COLYER --- S.R. MALLETT --- A.D. VANSICLEN 
B. COTTON --- D.T. MARSHALL --- C.D. VANSICLEN 
R.V. CROKER --- J.T. MARSHALL --- H.R. VANSICLEN 
L.L. DAVIS --- W.P. MARSHALL --- C.A. WARDLOW 
R.H. FELTNER --- H.F. MERRITT --- A. WATHERSTON 
W.P. FISCHER --- A. MIGLENO --- R.D. WHITE JR. 
J. FITZGIBBONS --- B. NEISLOSS --- V.R. WHITE 
H.O. FORWARD --- A.F. NERGER --- C.P. WILLIAMS 
F. GLASER --- T. O'CALLAGHAN --- E.G. WILLIAMS 
W.W. GOETZ --- J.D. OUCHTERLONEY --- F.A. WILLIAMS 
C. GREGORIUS --- J.H. PHILLIPS --- J.J. WILLIAMS 
T. WISNER --- G.R. WOOD 

UNITED STATES NAVY 
LILLIAN I. BULGER --- W.F. BUCKNER, JR. --- J. KEENAN 
EDITH H. CROKER --- H.G. COLYER --- A. LYNCH 
ETHEL L. FARNER --- C.E. CRAWFORD --- C.B. MALOY 
H.W.R. BAUER --- B.B. DUBOCQ --- W.F. MULLER 
J.H. BEDFORD --- J. GILL --- G. SUMNER 
E. BENYON --- W.A. HARGRAVE --- T.G. SWEET 
W.B. BORSDORF --- F.W. HASSLER --- E.S. TABER 
W.J. BROWN --- L. JENSEN --- E.C. THOMSEN 
M.C. VANDINE --- P. WOODS 


UNITED STATES MARINE CORPS 
A. E. FLEISCHAUER --- H.C. GREGORIUS --- J.H. SWEET 

ALLIED FOREIGN SERVICE 
B.V. MCGUIRE, FOREIGN LEGION --- G.V. TONNER, CANADIAN FORCES 


OVERSEAS SERVICE 
B.F. PLIMPTON, RED CROSS --- BESSIE PLIMPTON, Y.M.C.A. 
P.A. MCGUIRE, Y.M.C.A.","Department of Parks and Recreation","NULL","NULL","40.716814","-73.769232","NULL","NULL"
