"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-08719-0020","150 END AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"BRIGHTON BEACH","D4-ELEVATOR","96","1951","81900","1110564","13.56","447993","5.47","662571","4384000","53.53","3-08718-0075","150 CORBIN PLACE
Brooklyn, NY 
(40.57823441004, -73.954224243584)","BRIGHTON BEACH","D1-ELEVATOR","118","1942","125000","1780000","14.24","961250","7.69","818750","5456000","43.65","0.05","3-08715-0068","3029 BRIGHTON 12 STREET
Brooklyn, NY 
(40.579378437423, -73.956966849393)","BRIGHTON BEACH","D1-ELEVATOR","43","1928","45000","596250","13.25","315900","7.02","280350","1862000","41.38","0.18",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00231-0017","41 CLARK STREET
Brooklyn, NY 
(40.697904808835, -73.99456897615)","3","11201","40.697834","-73.994363","2","33","501","3001725","3002310017","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","307","1911","25407","474095","18.66","210370","8.28","263725","1896000","74.63","3-00220-0016","35 ORANGE STREET
Brooklyn, NY 
(40.699265124451, -73.994165515869)","BROOKLYN HEIGHTS","D1-ELEVATOR","48","1924","47136","744258","15.79","392493","8.33","351765","2405000","51.02","0.12","3-00236-0007","75 PIERREPONT STREET
Brooklyn, NY 
(40.695649532469, -73.994588307022)","BROOKLYN HEIGHTS","D1-ELEVATOR","36","1925","25818","555648","21.52","245668","9.52","309980","2273000","88.04","0.15",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07869-0011","2239 TROY AVENUE
Brooklyn, NY 
(40.619721765409, -73.932759112585)","3","11234","40.619357","-73.932745","18","45","650","3219628","3078690011","Flatlands                                                                  ","FLATLANDS","D4-ELEVATOR","85","1953","105900","1402116","13.24","598335","5.65","803781","5340000","50.42","3-07648-0016","2635 NOSTRAND AVENUE
Brooklyn, NY 
(40.620347739437, -73.945625253727)","FLATBUSH-EAST","D1-ELEVATOR","54","1963","48510","685619","14.13","362542","7.47","323077","2241000","46.2","0.68","3-07630-0027","2501 NOSTRAND AVENUE
Brooklyn, NY 
(40.623640005079, -73.946247472054)","FLATBUSH-EAST","D1-ELEVATOR","112","1953","113850","1404901","12.34","749304","6.58","655597","4154000","36.49","0.74",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06739-0006","1289 19 STREET
Brooklyn, NY 
(40.581853912494, -73.986991963883)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","52","1931","60036","651991","10.86","196318","3.27","455673","2821000","46.99","3-06739-0036","1902 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MIDWOOD","D1-ELEVATOR","47","1935","57600","625536","10.86","356544","6.19","268992","1540000","26.74","0","3-06738-0037","1290 19 STREET
Brooklyn, NY 
(40.581870631959, -73.987060710813)","MIDWOOD","D1-ELEVATOR","47","1931","50658","540098","10.66","297654","5.88","242444","1504000","29.69","0.06","3-06738-0052","1305 18 STREET
Brooklyn, NY 
(40.618737442131, -73.957216891197)","MIDWOOD","D1-ELEVATOR","41","1931","40,740","415,218","10.19","179,646","4.41","235,572","1,052,000","25.82","0.06"
"3-01905-0001","185 HALL STREET
Brooklyn, NY 
(40.692218661144, -73.965658012154)","3","11205","40.692336","-73.965678","2","35","193","3054892","3019050001","Clinton Hill                                                               ","CLINTON HILL","D4-ELEVATOR","287","1958","272000","4422720","16.26","2380000","8.75","2042720","13902000","51.11","3-02045-0053","62 CLERMONT AVENUE
Brooklyn, NY 
(40.695656362033, -73.971398455784)","FORT GREENE","D9-ELEVATOR","26","2005","35176","614880","17.48","331623","9.43","283257","2044000","58.11","0.43","3-01960-0070","464 CLINTON AVENUE
Brooklyn, NY 
(40.684497260879, -73.967136938919)","CLINTON HILL","D1-ELEVATOR","62","1930","47304","706875","14.94","337440","7.13","369435","2545000","53.8","0.56",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-02417-0034","111 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","36","1915","31940","492515","15.42","233481","7.31","259034","1777000","55.64","3-02417-0039","103 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","C1-WALK-UP","36","1915","31200","404352","12.96","188666","6.05","215686","1438000","46.09","0","3-02420-0043","209 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","C1-WALK-UP","20","1910","23700","468052","19.75","237871","10.04","230181","1648000","69.54","0.26","3-02463-0021","386 5 STREET
Brooklyn, NY 
(40.670796926841, -73.982733620523)","WILLIAMSBURG-SOUTH","C7-WALK-UP","36","1913","27,000","416,340","15.42","212,220","7.86","204,120","1,400,000","51.85","0.58"
"3-07355-0042","2195 22 STREET
Brooklyn, NY 
(40.597641372479, -73.949031273421)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","66","1942","84000","816480","9.72","418320","4.98","398160","2359000","28.08","3-07380-0013","2662 OCEAN AVENUE
Brooklyn, NY 
(40.596601833789, -73.950981896179)","SHEEPSHEAD BAY","D1-ELEVATOR","77","1931","79200","633339","8","333925","4.22","299414","1496000","18.89","0.2","3-07299-0057","2435 OCEAN AVENUE
Brooklyn, NY 
(40.602242302137, -73.951850744408)","MADISON","D1-ELEVATOR","65","1941","71400","762224","10.68","428716","6","333508","2068000","28.96","0.33",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00733-0013","816 43 STREET
Brooklyn, NY 
(40.644766806837, -73.999237314218)","3",,,,,,,,,,"BOROUGH PARK","C6-WALK-UP","16","1916","17976","291031","16.19","138235","7.69","152796","1040000","57.85","3-00925-0042","875 43 STREET
Brooklyn, NY 
(40.644069363101, -73.997956753685)","BOROUGH PARK","C1-WALK-UP","47","1923","31236","511260","16.37","257423","8.24","253837","1726000","55.26","0.05","3-00925-0021","838 42 STREET
Brooklyn, NY 
(40.64504358654, -73.99820021096)","BOROUGH PARK","C1-WALK-UP","20","1916","14116","228597","16.19","108578","7.69","120019","811000","57.45","0.05","3-00925-0024","844 42 STREET
Brooklyn, NY 
(40.644966986292, -73.998073406495)","BOROUGH PARK","C1-WALK-UP","20","1916","14,116","224,504","15.9","104,089","7.37","120,415","811,000","57.45","0.05"
"3-00235-0044","130 HICKS STREET
Brooklyn, NY 
(40.697672128422, -73.994744379748)","3","11201","40.697532","-73.994785","2","33","301","3001799","3002350044","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","40","1958","22750","497770","21.88","206115","9.06","291655","2137000","93.93","3-00235-0046","136 HICKS STREET
Brooklyn, NY 
(40.697494602253, -73.994828916018)","BROOKLYN HEIGHTS","D9-ELEVATOR","46","1920","48414","1129535","23.33","395281","8.16","734254","5357000","110.65","0","3-00242-0018","191 HICKS STREET
Brooklyn, NY 
(40.695860194821, -73.995523572853)","BROOKLYN HEIGHTS","D9-ELEVATOR","19","1920","24528","500969","20.42","230440","9.39","270529","1932000","78.77","0.12",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00212-0001","140 CADMAN PLAZA
Brooklyn, NY 
(40.69970465811, -73.989823072825)","3",,,,,,,,,,"BROOKLYN HEIGHTS","D4-ELEVATOR","250","1967","352698","4958934","14.06","2479467","7.03","2479467","15450000","43.81","3-00451-0025","344 CARROLL STREET
Brooklyn, NY 
(40.679007648243, -73.991325637782)","GOWANUS","D9-ELEVATOR","101","1985","72552","1601357","22.07","645639","8.9","955718","4995000","68.85","1.49","3-02148-0013","166 9 STREET
Brooklyn, NY 
(40.67188133041, -73.991966958883)","WILLIAMSBURG-SOUTH","D5-ELEVATOR","60","1926","61650","811931","13.17","430317","6.98","381614","2537000","41.15","1.63","3-02186-0001","555 WYTHE AVENUE
Brooklyn, NY 
(40.705035857796, -73.966460893803)","WILLIAMSBURG-CENTRAL","D3-ELEVATOR","647","1975","748,308","10,098,934","13.5","5,514,178","7.37","4,584,756","30,355,000","40.56","1.53"
"3-02787-0017","648 GRAND STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11211","40.711397","-73.946392","1","34","503","3323049","3027870017","East Williamsburg                                                          ","WILLIAMSBURG-EAST","C6-WALK-UP","37","1920","24300","346032","14.24","127332","5.24","218700","1254000","51.6","3-03080-0005","124 GRAHAM AVENUE
Brooklyn, NY 
(40.705593110168, -73.9428825594)","WILLIAMSBURG-EAST","C7-WALK-UP","18","1931","11000","161626","14.69","74021","6.73","87605","605000","55","0.46","3-02757-0034","601 METROPOLITAN AVENUE
Brooklyn, NY 
(40.714125570518, -73.948938652714)","WILLIAMSBURG-EAST","C1-WALK-UP","20","1920","18061","257246","14.24","94562","5.24","162684","1128000","62.46","0.27","3-02757-0033","607 METROPOLITAN AVENUE
Brooklyn, NY 
(40.714144591179, -73.948742105885)","WILLIAMSBURG-EAST","C1-WALK-UP","20","1920","18,061","257,246","14.24","94,562","5.24","162,684","1,128,000","62.46","0.27"
"3-07238-0115","2650 OCEAN PARKWAY
Brooklyn, NY 
(40.585336276539, -73.966763426046)","3","11235","40.585466","-73.966438","13","47","37401","3196066","3072380115","Gravesend                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","190","1962","201360","3241896","16.1","1266554","6.29","1975342","13462000","66.86","3-07235-0001","2612 WEST STREET
Brooklyn, NY 
(40.586035845351, -73.969409550361)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","240","1951","194880","3136890","16.1","1191975","6.12","1944915","10373000","53.23","0.09","3-07234-0001","2612 2 STREET
Brooklyn, NY 
(40.58598656919, -73.971298533254)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","240","1951","194880","3136890","16.1","1226156","6.29","1910734","10373000","53.23","0.19","3-07237-0002","2775 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","120","1951","97,440","1,568,445","16.1","625,600","6.42","942,845","5,192,000","53.28","0.05"
"3-05338-0075","240 OCEAN PARKWAY
Brooklyn, NY 
(40.643984501015, -73.974537774936)","3","11218","40.643967","-73.974243","12","39","494","3124706","3053380075","Kensington-Ocean Parkway                                                   ","KENSINGTON","D4-ELEVATOR","55","1938","52872","393504","7.44","201370","3.81","192134","901000","17.04","3-05340-0048","707 BEVERLY ROAD
Brooklyn, NY 
(40.643487820515, -73.972626593732)","KENSINGTON","D1-ELEVATOR","58","1940","51000","668689","13.11","356587","6.99","312102","1837000","36.02","0.15","3-05357-0045","330 OCEAN PARKWAY
Brooklyn, NY 
(40.641179654402, -73.973996764547)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","54","1929","51426","576576","11.21","313752","6.1","262824","1628000","31.66","0.13","3-05358-0086","269 OCEAN PARKWAY
Brooklyn, NY 
(40.642985681151, -73.973725132436)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","49","1941","56,100","577,000","10.29","329,190","5.87","247,810","1,485,000","26.47","0.16"
"3-00255-0025","99 CLINTON STREET
Brooklyn, NY 
(40.69318493027, -73.992900875876)","3","11201","40.693198","-73.992925","2","33","9","3002246","3002550025","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","11","1900","25900","436771","16.86","194860","7.52","241911","1750000","67.57","3-00249-0030","138 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","C7-WALK-UP","26","1960","16334","707275","43.3","192030","11.76","515245","3882000","237.66","0.11","3-00258-0017","10 COLUMBIA PLACE
Brooklyn, NY 
(40.693576357818, -73.998426153628)","BROOKLYN HEIGHTS","C7-WALK-UP","166","1900","104370","1951734","18.7","957290","9.17","994444","7148000","68.49","0.39","3-00226-0031","71 PINEAPPLE STREET
Brooklyn, NY 
(40.698338581365, -73.993485624)","BROOKLYN HEIGHTS","C7-WALK-UP","18","1900","11,110","285,749","25.72","118,877","10.7","166,872","1,209,000","108.82","0.39"
"3-00733-0025","848 43 STREET
Brooklyn, NY 
(40.644358272373, -73.998555503322)","3",,,,,,,,,,"BOROUGH PARK","C6-WALK-UP","36","1922","36980","598706","16.19","284376","7.69","314330","2140000","57.87","3-00925-0042","875 43 STREET
Brooklyn, NY 
(40.644069363101, -73.997956753685)","BOROUGH PARK","C1-WALK-UP","47","1923","31236","511260","16.37","257423","8.24","253837","1726000","55.26","0.05","3-00925-0021","838 42 STREET
Brooklyn, NY 
(40.64504358654, -73.99820021096)","BOROUGH PARK","C1-WALK-UP","20","1916","14116","228597","16.19","108578","7.69","120019","811000","57.45","0.05","3-00925-0024","844 42 STREET
Brooklyn, NY 
(40.644966986292, -73.998073406495)","BOROUGH PARK","C1-WALK-UP","20","1916","14,116","224,504","15.9","104,089","7.37","120,415","811,000","57.45","0.05"
"3-01065-0031","78 8 AVENUE
Brooklyn, NY 
(40.673364242562, -73.973067370884)","3","11215","40.673314","-73.973085","6","39","157","3024654","3010650031","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","58","1923","51654","860039","16.65","362095","7.01","497944","3603000","69.75","3-01065-0027","862 UNION STREET
Brooklyn, NY 
(40.673611671934, -73.973367230345)","PARK SLOPE","D1-ELEVATOR","49","1920","35310","704826","19.96","327122","9.26","377704","2702000","76.52","0","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","653750","16.65","364847","9.29","288903","2091000","53.26","0.27","3-01164-0064","215 STERLING PLACE
Brooklyn, NY 
(40.676161347247, -73.970667605291)","PROSPECT HEIGHTS","D1-ELEVATOR","82","1937","92,902","1,456,913","15.68","622,975","6.71","833,938","5,357,000","57.66","0.28"
"3-01103-0048","195 PROSPECT PARK
Brooklyn, NY 
(40.70060512091, -73.984893937174)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","C6-WALK-UP","21","1920","17000","303960","17.88","67830","3.99","236130","1702000","100.12","3-01103-0054","459 15 STREET
Brooklyn, NY 
(40.661614520812, -73.981068071229)","PARK SLOPE","C1-WALK-UP","20","1920","13528","241944","17.88","54017","3.99","187927","1355000","100.16","0","3-01103-0071","417 15 STREET
Brooklyn, NY 
(40.66204847368, -73.981975427227)","PARK SLOPE","C1-WALK-UP","16","1920","12536","215424","17.18","94353","7.53","121071","865000","69","0","3-01103-0001","1419 8 AVENUE
Brooklyn, NY 
(40.662603196034, -73.981790488917)","PARK SLOPE","C7-WALK-UP","17","1921","12,068","257,735","21.36","69,150","5.73","188,585","1,383,000","114.6","0"
"3-00982-0022","396 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","16","1940","11704","216504","18.5","91174","7.79","125330","901000","76.98","3-00928-0049","433 DEAN STREET
Brooklyn, NY 
(40.682300931858, -73.976987733855)","PARK SLOPE","C1-WALK-UP","16","1920","11800","210940","17.88","72229","6.12","138711","1000000","84.75","0.8","3-01077-0004","207 8 AVENUE
Brooklyn, NY 
(40.670210046118, -73.975454515326)","PARK SLOPE","C1-WALK-UP","16","1920","10444","199689","19.12","98696","9.45","100993","725000","69.42","0.45",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06836-0050","3203 NOSTRAND AVENUE
Brooklyn, NY 
(40.606118429115, -73.942933868319)","3","11229","40.606144","-73.942961","15","48","564","3184661","3068360050","Madison                                                                    ","MADISON","D4-ELEVATOR","108","1958","97020","1127372","11.62","458905","4.73","668467","4283000","44.15","3-06826-0077","2285 OCEAN AVENUE
Brooklyn, NY 
(40.60590759164, -73.952549597291)","MADISON","D1-ELEVATOR","84","1937","96600","1165351","12.06","687811","7.12","477540","2860000","29.61","0.5","3-06773-0080","1525 26 STREET
Brooklyn, NY 
(40.613244667918, -73.948145119446)","MADISON","D1-ELEVATOR","88","1932","94740","1059260","11.18","624726","6.59","434534","2801000","29.57","0.52",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05280-0008","221 MC DONALD AVENUE
Brooklyn, NY 
(40.649117910002, -73.980597198517)","3","11218","40.648978","-73.980598","7","39","500","3327360","3052800008","Windsor Terrace                                                            ","WINDSOR TERRACE","D4-ELEVATOR","166","1953","156170","1180637","7.56","900039","5.76","280598","1661000","10.64","3-05317-0011","170 4 STREET
Brooklyn, NY 
(40.676513339023, -73.99276764366)","KENSINGTON","D1-ELEVATOR","71","1962","62400","896450","14.37","493664","7.91","402786","1980000","31.73","0.12","3-05327-0041","415 ALBEMARLE ROAD
Brooklyn, NY 
(40.645480602026, -73.976688033036)","KENSINGTON","D1-ELEVATOR","67","1941","75600","887774","11.74","297569","3.94","590205","2420000","32.01","0.24","3-05287-0001","10 OCEAN PARKWAY
Brooklyn, NY 
(40.650883106629, -73.973247379521)","WINDSOR TERRACE","D1-ELEVATOR","133","1927","136,362","1,623,280","11.9","904,201","6.63","719,079","4,422,000","32.43","0.4"
"3-01158-0056","233 PARK PLACE
Brooklyn, NY 
(40.676998004513, -73.970112045709)","3","11238","40.677022","-73.970264","8","35","163","3322580","3011580056","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","16","1931","12986","217256","16.73","101421","7.81","115835","590000","45.43","3-01158-0021","180 PROSPECT PLACE
Brooklyn, NY 
(40.678041013696, -73.970843317586)","PROSPECT HEIGHTS","C1-WALK-UP","16","1931","15480","278483","17.99","128173","8.28","150310","1083000","69.96","0","3-01158-0037","214 PROSPECT PLACE
Brooklyn, NY 
(40.677771554333, -73.969564283809)","PROSPECT HEIGHTS","C1-WALK-UP","20","1931","34896","539614","15.46","255728","7.33","283886","1946000","55.77","0",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01171-0048","328 STERLING PLACE
Brooklyn, NY 
(40.675385056018, -73.967266121414)","3","11238","40.675421","-73.967211","8","35","207","3029339","3011710048","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","25","1931","23875","392028","16.42","182644","7.65","209384","1133000","47.46","3-01173-0007","195 UNDERHILL AVENUE
Brooklyn, NY 
(40.674972994425, -73.966681591531)","PROSPECT HEIGHTS","D1-ELEVATOR","36","1940","24000","394036","16.42","183642","7.65","210394","1452000","60.5","0.15","3-01169-0019","214 STERLING PLACE
Brooklyn, NY 
(40.676145109919, -73.970860936377)","PROSPECT HEIGHTS","D1-ELEVATOR","35","1936","31000","451795","14.57","236190","7.62","215605","1375000","44.35","0.17","3-01179-0116","171 EASTERN PARKWAY
Brooklyn, NY 
(40.672069314355, -73.963591445858)","PROSPECT HEIGHTS","D1-ELEVATOR","23","1929","12,266","223,227","18.2","118,271","9.64","104,956","755,000","61.55","0.2"
"3-03058-0001","30 MONTROSE AVENUE
Brooklyn, NY 
(40.706742417867, -73.949060542751)","3","11206","40.706762","-73.949111","1","34","511","3338413","3030580001","East Williamsburg                                                          ","WILLIAMSBURG-EAST","D4-ELEVATOR","774","1963","894000","12748440","14.26","7777800","8.7","4970640","34447000","38.53","3-02186-0001","555 WYTHE AVENUE
Brooklyn, NY 
(40.705035857796, -73.966460893803)","WILLIAMSBURG-CENTRAL","D3-ELEVATOR","647","1975","748308","10098934","13.5","5514178","7.37","4584756","30355000","40.56","0.72","3-01588-0001","157 MARCUS
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BEDFORD STUYVESANT","D6-ELEVATOR","272","1976","290715","4145596","14.26","2238506","7.7","1907090","12457000","42.85","0.91","3-02757-0028","609 METROPOLITAN AVENUE
Brooklyn, NY 
(40.714150931401, -73.948676590255)","WILLIAMSBURG-EAST","D5-ELEVATOR","65","1920","43,230","1,043,222","24.13","451,589","10.45","591,633","3,210,000","74.25","0.59"
"3-03805-0041","498 PENNSYLVANIA AVENUE
Brooklyn, NY 
(40.665124442404, -73.894175330445)","3","11207","40.665207","-73.89417","5","42","1126","3084640","3038050041","East New York (Pennsylvania Ave)                                           ","EAST NEW YORK","C6-WALK-UP","28","1930","25950","244968","9.44","137795","5.31","107173","636000","24.51","3-03933-0051","2801 FULTON STREET
Brooklyn, NY 
(40.678132907986, -73.891228410494)","CYPRESS HILLS","C1-WALK-UP","16","1930","12950","123867","9.57","63024","4.87","60843","361000","27.88","0.95","3-03896-0044","213 JAMAICA AVENUE
Brooklyn, NY 
(40.680252243659, -73.893055244808)","CYPRESS HILLS","C7-WALK-UP","19","1903","16400","128484","7.83","69094","4.21","59390","351000","21.4","1.08",,," "," "," "," "," "," "," "," "," "," "," "," "," "
