"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Out of School Time","P.S. 127 MCKINLEY PARK SCHOOL","Brooklyn","Young Dancers In Repertory, Inc.","(347) 702-7155","Elementary","7805 7th Avenue
,  11228
(40.624065459592, -74.018856624937)","11228","40.624132","-74.018826","10","43","206","3150481","3059730001","Dyker Heights                                                              "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6","Brooklyn","The Children's Art Carnival","(718) 951-5015"," High School","145 PENNSYLVANIA AVENUE
,  11207
(40.674271059788, -73.896452428929)","11207","40.674135","-73.89643","5","37","1144","3083660","3037040001","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","Beach Channel HS","Queens","Rockaway Development & Revitalization Corporation","(718) 945-6900","High School","100 00 Beach Channel Drive
,  11694
(40.576578305644, -73.850777000558)","11694","40.586066","-73.822624","14","32","94201","4303773","4161670099","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Organization of Flatbush, Inc.","Brooklyn","St. Raymond Community Outreach","(718) 377-2900","Seniors","1658 Coney Island Avenue
,  11230
(40.616970915723, -73.963785333505)","11230","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 90 EDNA COHEN SCHOOL","Brooklyn","YWCA of the City of New York (Main Branch)","(917) 817-2527","OST","2840 12 STREET
,  11224
(40.577011516851, -73.979643206907)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Legal Aid - Juvenile Rights Division","Manhattan","The Legal Aid Society","212.577.3328","20-May","199 Water Street
,  10038
(40.70708573646, -74.004631693959)","10038","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","HARLEM CHILDREN'S ZONE/PROMIS","Manhattan","Harlem Children's Zone, Inc","(212) 534-0700","OST","35 125th Street
,  10035
(40.805967509585, -73.941123653285)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Luke's","Bronx","Variety Boys & Girls Club of Queens","(718) 542-0006","Seniors","3911 Barnes Avenue
,  10466
(40.885144265016, -73.858606154195)","10466","40.885201","-73.858541","12","12","396","2063301","2048360001","Williamsbridge-Olinville                                                   "
"Family Support,NDA Programs","Fatherhood Initiative","FRIENDS Program","Bronx","Visiting Nurse Service of New York","212.794.9200","16 to 24","389 391 East 153rd Street
,  10455
(40.813535754971, -73.905355252043)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Polo Grounds","Manhattan","Alianza Dominicana, Inc.","(917) 258-3932","Elem/MS/HS","2965 Frederick Douglass Boulevard
,  10039
(40.83116300654, -73.935918816187)",,,,,,,,,
"After-School Programs","Out of School Time","Forest Hills (Jackson Heights)","Queens","Queens Community House, Inc","(718) 898-7461","MS/HS","74 09 37th Avenue
,  11372
(40.751630739367, -73.883612545283)","11372","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            "
"After-School Programs","Out of School Time","M.S./H.S. 413 SCHOOL OF THE FU","Manhattan","Educational Alliance, Inc.","(212) 475-8086","Middle School","127 22nd Street
,  10010
(40.739002087993, -73.985528092344)",,,,,,,,,
"After-School Programs","Teen Action Program","IS 136 Charles O. Dewey","Brooklyn","SCO Family of Services","718.633.4823","13 to 21","4004 Fourth Avenue
,  11232
(40.652089908533, -74.006885108331)","11232","40.651977","-74.006862","7","38","82","3010580","3007130020","Sunset Park West                                                           "
"Family Support,NDA Programs"," Housing","Burnside Avenue Office","Bronx","SATELLITE EAST MIDDLE SCHOOL (K301)","(718) 293-0727","Adults","2070 Grand
Concourse,  10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Queens OCFS","Queens","Henry Street Settlement, Inc. - Queens ","718-557-8861","14 to 24","168 25 Jamaica Avenue
,  11432
(40.71311535449, -73.792820999789)","11432","40.706582","-73.791811","12","27","460","4209641","4097990001","Jamaica                                                                    "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA PINK HOUSES","Brooklyn","East New York Development Corporation @ Louis H. Pink Community Center","(718) 964-9043","6 and up","2702 Linden Blvd
,  11208
(40.669118943255, -73.863870374347)","11208","40.669208","-73.864514","5","42","1214","3326995","3044880001","East New York                                                              "
"After-School Programs","Out of School Time","I.S. 49 WILLIAM GAYNOR  INTERM","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 387-7697","Middle School","223 Graham Avenue
,  11206
(40.709988264882, -73.943671327367)","11206","40.709941","-73.943641","1","34","505","3070825","3030250001","East Williamsburg                                                          "
"After-School Programs","Out of School Time","I.S. 171 ABRAHAM LINCOLN SCHOOL","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-1028","Middle School","528 Ridgewood Avenue
,  11208
(40.686153081044, -73.869667918389)","11208","40.68618","-73.869625","5","37","1184","3092456","3041340020","Cypress Hills-City Line                                                    "
"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Catholic Charities Neighborhood Services","Queens","Catholic Charities Neighborhood Services","718.726.9790 ext.127","16 to 21","23 40 Astoria Boulevard
,  11102
(40.771524024514, -73.926435450735)","11102","40.771582","-73.92375","1","22","69","4439576","4005420008","Old Astoria                                                                "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 31 WILLIAM T. DAVIS SCHOO","Staten Island","Jewish Community Center of Staten Island, Inc.","(718) 273-4820","OST","55 LAYTON AVENUE
,  10301
(40.641582326676, -74.085356500747)","10301","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"After-School Programs","Out of School Time","Excel Program","Manhattan","Growth and Development Services, Inc.","(212) 740-7040","High School","216 Ft Washington Avenue
,  10032
(40.842343769667, -73.942200758685)","10032","40.842571","-73.942097","12","10","251","1063381","1021380079","Washington Heights South                                                   "
"Runaway & Homeless Youth","Transitional Independent Living Green Chimneys","Green Chimneys","Bronx","Green Chimneys","718.732.1510",,"79 Alexander Avenue
,  10454
(40.806679757643, -73.927652937449)","10454","40.806267","-73.927915","1","8","19","2000683","2023080015","Mott Haven-Port Morris                                                     "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","SCO Family of Services","Brooklyn","SCO Family of Services","718-788-3500 ","14 to 24","345 43rd Street
,  11232
(40.651038320789, -74.009513156888)","11232","40.651013","-74.009514","7","38","82","3337160","3007230025","Sunset Park West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 18 EDWARD BUSH SCHOOL","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","OST","101 MAUJER STREET
,  11206
(40.710632713232, -73.946906170327)","11206","40.710609","-73.946977","1","34","503","3069559","3027870001","East Williamsburg                                                          "
"After-School Programs","Out of School Time","PS 169-Bay Terrace 1","Queens","Samuel Field YM & YWHA, Inc.","(718) 423-6111","Elementary","18 25 212th Street
,  11360
(40.780701334399, -73.782267336868)","11360","40.782298","-73.779099","7","19","99704","4131147","4058650050","Ft. Totten-Bay Terrace-Clearview                                           "
"After-School Programs","Out of School Time","George Conliffe Center","Brooklyn","George C. Conliffe Child Care Center","(718) 778-1498","Elementary","1435 Prospect Place
,  11213
(40.673180023836, -73.928879205598)","11213","40.673175","-73.929039","8","36","347","3036100","3013610066","Crown Heights North                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 311 ESSENCE SCHOOL","Brooklyn","SCO Family of Services","(718) 485-5130","OST","590 SHEFFIELD AVENUE
,  11207
(40.662338781882, -73.894486606183)","11207","40.662326","-73.894441","5","42","1128","3085491","3038380018","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Teen Action Program","Albert Shanker School for Visual and Performing Arts ","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718.204.6797","13 to 21","31 51 21st Street
,  11101
(40.745702449808, -73.938669029252)","11106","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    "
"After-School Programs","Out of School Time","P.S./I.S. 328 PHILLIS WHEATLEY","Brooklyn","Groundwork Inc.","(718) 346-2200","Middle School","330 Alabama Avenue
,  11207
(40.66813827152, -73.897862392437)","11207","40.668167","-73.897835","5","42","1134","3084283","3037680001","East New York (Pennsylvania Ave)                                           "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","IS 8 - R. S. Grossley Junior High School","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","108 35 167th Street
,  11432
(40.71311535449, -73.792820999789)","11433","40.69719","-73.787192","12","27","258","4216655","4101780001","South Jamaica                                                              "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Rockaway Development & Revitalization Corporation","Queens","Rockaway Development & Revitalization Corporation","718.327.5300","High School","1920 Mott Avenue
,  11691
(40.603879525424, -73.752178931552)","11691","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 81 THADDEUS STEVENS SCHOO","Brooklyn","SCO Family of Services","(718) 602-6082","OST","990 DEKALB AVENUE
,  11221
(40.693145808721, -73.93569936433)","11221","40.693161","-73.935765","3","36","289","3043248","3016020019","Stuyvesant Heights                                                         "
