"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-01498-0037","1050 PARK AVENUE
New York, NY 
(40.780731217439, -73.956913667084)","1","10028","40.780621","-73.95689","8","4","15002","1046853","1014980037","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","64","1923","150782","6200156","41.12","1611860","10.69","4588296","17710000","117.45","1-01496-0021","1125 MADISON AVENUE
New York, NY 
(40.779768942868, -73.959602639952)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","41","1922","113052","4649107","41.12","1208235","10.69","3440872","25985000","229.85","0.11","1-01516-0013","1290 LEXINGTON AVENUE
New York, NY 
(40.780344508967, -73.95493515862)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","123","1962","151184","4750837","31.42","1462338","9.67","3288499","24543000","162.34","0.11","1-01500-0053","1227 MADISON AVENUE","UPPER EAST SIDE (79-96)","D6-ELEVATOR","111","1958","117,340","5,543,856","47.25","1,488,267","12.68","4,055,589","30,470,000","259.67","0.09"
"1-01522-0059","130 94 STREET
New York, NY 
(40.618715247248, -74.036656269524)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","45","1923","50643","1608928","31.77","357540","7.06","1251388","9333000","184.29","1-01522-0158","1442 LEXINGTON AVENUE
New York, NY 
(40.78442743098, -73.951967395923)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","17","1920","15596","553034","35.46","193546","12.41","359488","2657000","170.36","0","1-01521-0007","115 92 STREET
New York, NY 
(40.620501507229, -74.037618128317)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","54","1927","65692","2557031","38.92","964819","14.69","1592212","12043000","183.33","0.05","1-01602-0033","1240 PARK AVENUE","UPPER EAST SIDE (96-110)","D7-ELEVATOR","39","1920","47,822","1,628,817","34.06","570,038","11.92","1,058,779","7,849,000","164.13","0.19"
"1-01118-0036","55 CENTRAL PARK
New York, NY 
(40.765064916857, -73.974677122491)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","UPPER WEST SIDE (59-79)","D4-ELEVATOR","111","1930","231733","9158088","39.52","2989356","12.9","6168732","46641000","201.27","1-01141-0051","2028 BROADWAY
New York, NY 
(40.776702254748, -73.981986765261)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","183","1900","133460","7485349","56.09","2578090","19.32","4907259","36580000","274.09","0.25","1-01158-0033","212 AMSTERDAM AVENUE
New York, NY 
(40.777026010679, -73.982796155087)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","233","1926","160049","6325208","39.52","2064037","12.9","4261171","32218000","201.3","0.36","1-01142-0064","2054 BROADWAY","UPPER WEST SIDE (59-79)","D6-ELEVATOR","320","1923","235,400","7,195,339","30.57","2,801,264","11.9","4,394,075","32,853,000","139.56","0.29"
"1-01499-0051","1217 MADISON AVENUE
New York, NY 
(40.781918322518, -73.958037819621)","1","10128","40.781966","-73.957994","8","4","15002","1046921","1014990051","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","93","1930","181011","4890917","27.02","1482480","8.19","3408437","21230000","117.29","1-01516-0052","16 88 STREET
New York, NY 
(40.624059954012, -74.040199289359)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","154","1963","128132","3966689","30.96","1352843","10.56","2613846","19527000","152.4","0.2","1-01517-0020","1327 LEXINGTON AVENUE
New York, NY 
(40.780956047947, -73.954494490825)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","97","1927","87192","2355916","27.02","630812","7.23","1725104","10241000","117.45","0.2","1-01517-0043","16 EAST 89 STREET","UPPER EAST SIDE (79-96)","D3-ELEVATOR","51","1938","64,272","1,658,703","25.81","735,278","11.44","923,425","6,690,000","104.09","0.2"
"1-01211-0135","100 81 STREET
New York, NY 
(40.628511774964, -74.035608073698)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","17","1920","29540","937304","31.73","293923","9.95","643381","4799000","162.46","1-01150-0029","380 COLUMBUS AVENUE
New York, NY 
(40.781450675063, -73.975844395801)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","43","1900","64200","1727556","26.91","530413","8.26","1197143","7370000","114.8","0.11","1-01228-0013","2242 BROADWAY
New York, NY 
(40.784670247928, -73.979225846631)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","49","1905","45640","1668070","36.55","530568","11.63","1137502","8381000","183.63","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01170-0023","215 78 STREET
New York, NY 
(40.629851094217, -74.03090563455)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","40","1926","62403","1877082","30.08","594701","9.53","1282381","9604000","153.9","1-01210-0012","147 79 STREET
New York, NY 
(40.629612150649, -74.033321842043)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","61","1926","76193","2491263","32.7","820130","10.76","1671133","12431000","163.15","0.14","1-01212-0053","150 82 STREET
New York, NY 
(40.627383438476, -74.03426391636)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","60","1926","49977","1371767","27.45","414569","8.3","957198","6902000","138.1","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01274-0057","24 CENTRAL PARK
New York, NY 
(40.764565767039, -73.973644018691)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","MIDTOWN WEST","D4-ELEVATOR","38","1963","101278","3093030","30.54","909476","8.98","2183554","16327000","161.21","1-01271-0007","57 55 STREET
New York, NY 
(40.647270957414, -74.021384779213)","MIDTOWN WEST","D6-ELEVATOR","105","1962","112000","4018994","35.88","1350053","12.05","2668941","19697000","175.87","0.16","1-01011-0013","145 58 STREET
New York, NY 
(40.645329087155, -74.022808368317)","MIDTOWN WEST","D7-ELEVATOR","114","1928","122813","3556581","28.96","1191724","9.7","2364857","17752000","144.54","0.16","1-01010-0046","134 WEST 58 STREET","MIDTOWN WEST","D7-ELEVATOR","121","1930","61,791","1,887,336","30.54","554,759","8.98","1,332,577","9,964,000","161.25","0.17"
"1-00498-0015","547 BROADWAY
New York, NY 
(40.723579302478, -73.998309460093)","1","10012","40.723613","-73.998326","2","1","49","1007577","1004980015","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","13","1920","26058","939391","36.05","183709","7.05","755682","5575000","213.95","1-00236-0027","133 MULBERRY STREET
New York, NY 
(40.718561085554, -73.997679934672)","CHINATOWN","C7-WALK-UP","17","1920","41900","1465401","34.97","248405","5.93","1216996","9005000","214.92","0.35","1-00506-0016","30 CHARLTON STREET
New York, NY 
(40.727057891887, -74.004897077844)","SOHO","D1-ELEVATOR","86","1920","44256","1643414","37.13","361155","8.16","1282259","9435000","213.19","0.36",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00799-0057","130 24 STREET
New York, NY 
(40.66158251942, -73.998395705898)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","13","1898","33514","1117357","33.34","433336","12.93","684021","5082000","151.64","1-01034-0007","337 43 STREET
New York, NY 
(40.651123243911, -74.009654312888)","MIDTOWN WEST","D9-ELEVATOR","25","1988","17600","581779","33.06","217833","12.38","363946","2233000","126.88","1.04","1-01058-0062","698 10 AVENUE
New York, NY 
(40.763913895492, -73.992355948259)","CLINTON","D6-ELEVATOR","10","1910","9385","315390","33.61","126553","13.48","188837","3942000","420.03","1.32",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01520-0041","166 92 STREET
New York, NY 
(40.620133952587, -74.036331958935)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","41","1941","32658","1183853","36.25","307312","9.41","876541","6463000","197.9","1-01520-0033","169 91 STREET
New York, NY 
(40.62086855448, -74.035996113271)","UPPER EAST SIDE (79-96)","D1-ELEVATOR","53","1985","33443","1309498","39.16","349450","10.45","960048","7260000","217.09","0","1-01521-0007","115 92 STREET
New York, NY 
(40.620501507229, -74.037618128317)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","54","1927","65692","2557031","38.92","964819","14.69","1592212","12043000","183.33","0.05","1-01517-0058","1328 LEXINGTON AVENUE","UPPER EAST SIDE (79-96)","D7-ELEVATOR","60","1936","64,344","2,425,857","37.7","590,784","9.18","1,835,073","13,484,000","209.56","0.15"
"1-00607-0051","111 11 STREET
New York, NY 
(40.670686537607, -73.992833322106)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","C6-WALK-UP","20","1900","12962","523794","40.41","169284","13.06","354510","2679000","206.68","1-00611-0067","135 10 STREET
New York, NY 
(40.56987658726, -74.11684875582)","GREENWICH VILLAGE-WEST","C1-WALK-UP","25","1900","16968","779604","45.95","276157","16.28","503447","3786000","223.13","0.12","1-00610-0046","144 10 STREET
New York, NY 
(40.569632944692, -74.116993329255)","GREENWICH VILLAGE-WEST","C4-WALK-UP","20","1900","9215","372342","40.41","120330","13.06","252012","1904000","206.62","0.15","1-00612-0018","26 PERRY STREET","GREENWICH VILLAGE-WEST","C7-WALK-UP","16","1900","9,880","368,233","37.27","114,199","11.56","254,034","1,869,000","189.17","0.17"
"1-01473-0018","440 79 STREET
New York, NY 
(40.627343741051, -74.025256965149)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","222","1956","238293","7253639","30.44","2411525","10.12","4842114","36211000","151.96","1-01471-0003","1470 1 AVENUE
New York, NY 
(40.770748742914, -73.953846978964)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","84","1975","63862","2209497","34.6","704067","11.02","1505430","11147000","174.55","0.1","1-01561-0001","1562 1 AVENUE
New York, NY 
(40.773851403915, -73.95158068745)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","205","1964","210428","5543022","26.34","1716427","8.16","3826595","27687000","131.57","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01391-0045","70 77 STREET
New York, NY 
(40.631378120764, -74.034166245389)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","32","1917","67685","2632270","38.89","591567","8.74","2040703","15436000","228.06","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.09","1-01412-0012","117 77 STREET
New York, NY 
(40.631199887925, -74.033238618216)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","40","1929","29500","1384419","46.93","380450","12.9","1003969","7545000","255.76","0.11","1-01412-0057","138 EAST 78 STREET","UPPER EAST SIDE (59-79)","C7-WALK-UP","14","1910","21,581","799,360","37.04","244,513","11.33","554,847","4,084,000","189.24","0.11"
"1-01508-0072","911 PARK AVENUE
New York, NY 
(40.776245895274, -73.959873518386)","1","10075","40.776003","-73.960233","8","4","140","1047495","1015080072","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","40","1926","173873","5301388","30.49","1770027","10.18","3531361","26407000","151.88","1-01508-0001","903 PARK AVENUE
New York, NY 
(40.775731914748, -73.960245477978)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","70","1913","113281","3348491","29.56","1404934","12.4","1943557","14572000","128.64","0","1-01491-0041","66 80 STREET
New York, NY 
(40.629646214185, -74.03706317754)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","18","1925","12648","408228","32.28","105889","8.37","302339","2251000","177.97","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00311-0013","357 GRAND STREET
New York, NY 
(40.716051977092, -73.987193839811)","1","10002","40.716662","-73.989041","3","1","1401","1077604","1003110013","Lower East Side                                                            ","LOWER EAST SIDE","D4-ELEVATOR","893","1960","986641","19140835","19.4","8021391","8.13","11119444","79721000","80.8","1-00470-0029","212 GRAND STREET
New York, NY 
(40.718929807586, -73.996142094002)","LITTLE ITALY","D9-ELEVATOR","16","1920","14221","379406","26.68","131484","9.25","247922","1793000","126.08","0.47","1-00304-0021","249 GRAND STREET
New York, NY 
(40.718237329623, -73.994100632996)","CHINATOWN","D7-ELEVATOR","26","1910","26565","321912","12.12","186077","7","135835","864000","32.52","0.36",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01252-0044","309 93 STREET
New York, NY 
(40.618718719388, -74.032675745872)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","29","1910","32067","713811","22.26","227355","7.09","486456","3558000","110.96","1-01252-0038","325 93 STREET
New York, NY 
(40.618531014365, -74.032294815089)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","28","1910","32928","703069","21.35","227612","6.91","475457","3487000","105.9","0","1-01253-0045","336 95 STREET
New York, NY 
(40.616745111939, -74.032704710706)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","24","1940","41000","912633","22.26","290801","7.09","621832","4548000","110.93","0.05","1-01252-0022","306 WEST 93 STREET","UPPER WEST SIDE (79-96)","D1-ELEVATOR","48","1927","25,794","624,326","24.2","207,874","8.06","416,452","3,030,000","117.47","0.05"
"1-01243-0010","2541 BROADWAY
New York, NY 
(40.794176081778, -73.972256100904)","1","10025","40.794086","-73.972216","7","6","183","1033693","1012430010","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","22","1925","43404","1704909","39.28","588124","13.55","1116785","8445000","194.57","1-01868-0044","2568 BROADWAY
New York, NY 
(40.795102383468, -73.971329799214)","UPPER WEST SIDE (96-116)","D7-ELEVATOR","31","1910","57300","2252918","39.32","802569","14.01","1450349","10968000","191.41","0.11","1-01241-0046","2512 BROADWAY
New York, NY 
(40.793150854664, -73.97275072802)","UPPER WEST SIDE (79-96)","D7-ELEVATOR","68","1900","62280","2443712","39.24","814704","13.08","1629008","12319000","197.8","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00143-0001","47 HUDSON STREET
New York, NY 
(40.717436933017, -74.009029378682)","1","10013","40.717316","-74.009062","1","1","39","1001543","1001430001","SoHo-TriBeCa-Civic Center-Little Italy                                     ","TRIBECA","D4-ELEVATOR","45","1930","77630","2352189","30.3","707209","9.11","1644980","12315000","158.64","1-00140-0005","147 CHAMBERS STREET
New York, NY 
(40.715755200823, -74.009757829526)","TRIBECA","D9-ELEVATOR","123","1997","130568","5593246","42.84","1503252","11.51","4089994","30849000","236.27","0.11","1-00220-0027","36 LAIGHT STREET
New York, NY 
(40.721971207614, -74.007866829182)","TRIBECA","D7-ELEVATOR","13","1900","26712","853854","31.97","271026","10.15","582828","4345000","162.66","0.34",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01925-0013","180 ST NICHOLAS AVENUE
New York, NY 
(40.805867268158, -73.952812758631)","1","10026","40.805904","-73.9528","10","9","220","1058445","1019250013","Central Harlem South                                                       ","HARLEM-CENTRAL","D4-ELEVATOR","21","1910","33230","440630","13.26","273483","8.23","167147","1110000","33.4","1-01925-0029","1980 ADAM
New York, NY 
(40.756053999992, -73.986951000288)","HARLEM-CENTRAL","D7-ELEVATOR","42","1921","46692","521375","11.17","249021","5.33","272354","1756000","37.61","0","1-01925-0036","1990 ADAM
New York, NY 
(40.756053999992, -73.986951000288)","HARLEM-CENTRAL","D1-ELEVATOR","45","1940","52680","698668","13.26","433660","8.23","265008","1760000","33.41","0","1-01823-0058","124 WEST 114 STREET","HARLEM-CENTRAL","D7-ELEVATOR","27","1920","27,141","482,263","17.77","248,359","9.15","233,904","1,687,000","62.16","0.33"
"1-00740-0019","323 16 STREET
New York, NY 
(40.662957396885, -73.985629679447)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","12","1902","23650","815452","34.48","279780","11.83","535672","3967000","167.74","1-00738-0014","337 14 STREET
New York, NY 
(40.602885916105, -74.012053143042)","CHELSEA","D7-ELEVATOR","29","1900","28821","898562","31.18","331647","11.51","566915","4233000","146.87","0.1","1-00764-0007","253 14 STREET
New York, NY 
(40.666121460444, -73.988644068794)","CHELSEA","D9-ELEVATOR","47","1930","39628","1496883","37.77","481589","12.15","1015294","7686000","193.95","0.19",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00518-0014","64 MAC DOUGAL STREET
New York, NY 
(40.727824102456, -74.002329429564)","1","10012","40.727812","-74.002324","2","3","49","1008069","1005180014","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","C6-WALK-UP","19","1920","13786","449010","32.57","159504","11.57","289506","2154000","156.25","1-00518-0002","40 MAC DOUGAL STREET
New York, NY 
(40.727149610934, -74.002842043121)","SOHO","C4-WALK-UP","23","1915","11759","376081","31.98","124037","10.55","252044","1815000","154.35","0","1-00518-0037","142 SULLIVAN STREET
New York, NY 
(40.726951760087, -74.001951714312)","SOHO","C7-WALK-UP","28","1910","16212","537500","33.15","204178","12.59","333322","2477000","152.79","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00608-0060","137 12 STREET
New York, NY 
(40.670056722319, -73.993286677422)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","D4-ELEVATOR","105","1900","52200","1914696","36.68","503730","9.65","1410966","10393000","199.1","1-00576-0076","71 12 STREET
New York, NY 
(40.671131483763, -73.995539469751)","GREENWICH VILLAGE-CENTRAL","D1-ELEVATOR","46","1922","37824","1088095","28.77","228499","6.04","859596","6455000","170.66","0.18","1-00818-0019","27 16 STREET
New York, NY 
(40.66773000146, -73.995418278486)","FLATIRON","D5-ELEVATOR","63","1907","41300","1841747","44.59","547499","13.26","1294248","9742000","235.88","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00624-0052","306 4 STREET
New York, NY 
(40.672094627135, -73.983652089591)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","C6-WALK-UP","16","1910","9885","433853","43.89","92622","9.37","341231","2570000","259.99","1-00624-0049","310 4 STREET
New York, NY 
(40.672031970842, -73.983522798827)","GREENWICH VILLAGE-WEST","C7-WALK-UP","16","1905","9000","395047","43.89","84289","9.37","310758","2340000","260","0","1-00624-0059","63 BANK STREET
New York, NY 
(40.736763363427, -74.004289951588)","GREENWICH VILLAGE-WEST","C4-WALK-UP","15","1901","10440","456416","43.72","137916","13.21","318500","2399000","229.79","0","1-00624-0053","51 BANK STREET","GREENWICH VILLAGE-WEST","C7-WALK-UP","24","1905","15,450","703,286","45.52","220,117","14.25","483,169","3,634,000","235.21","0"
"1-00500-0005","108 WOOSTER STREET
New York, NY 
(40.724748421116, -74.000620717708)","1","10012","40.724694","-74.000667","2","1","49","1007639","1005000005","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","36","1900","54300","1679614","30.93","339633","6.25","1339981","10011000","184.36","1-00469-0030","223 2 AVENUE
New York, NY 
(40.732140848196, -73.985125399143)","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.89","1-00373-0060","291 3 STREET
New York, NY 
(40.756053999992, -73.986951000288)","ALPHABET CITY","D5-ELEVATOR","12","1900","11160","342516","30.69","72201","6.47","270315","1661000","148.84","1.11",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00890-0054","152 35 STREET
New York, NY 
(40.596680185858, -73.993312052131)","1",,,,,,,,,,"MURRAY HILL","D4-ELEVATOR","49","1930","28250","996378","35.27","327983","11.61","668395","4943000","174.97","1-00892-0037","163 36 STREET
New York, NY 
(40.656249124813, -74.007560795894)","MURRAY HILL","D9-ELEVATOR","23","1910","14577","732932","50.28","234544","16.09","498388","3734000","256.16","0.1","1-00888-0055","142 33 STREET
New York, NY 
(40.656410986197, -74.003425307448)","MURRAY HILL","D1-ELEVATOR","49","1927","26280","927000","35.27","305183","11.61","621817","4598000","174.96","0.11","1-00889-0065","231 LEXINGTON AVENUE","MURRAY HILL","D1-ELEVATOR","18","1920","13,614","409,178","30.06","102,005","7.49","307,173","2,301,000","169.02","0.06"
"1-01890-0028","308 103 STREET
New York, NY 
(40.799741164619, -73.970157779398)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","D4-ELEVATOR","73","1964","63550","1349167","21.23","490606","7.72","858561","6299000","99.12","1-01890-0007","315 102 STREET
New York, NY 
(40.799198518915, -73.970656173962)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","37","1922","36252","768542","21.2","353457","9.75","415085","3046000","84.02","0","1-01890-0036","305 RIVERSIDE DRIVE
New York, NY 
(40.800129593612, -73.971608589043)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","63","1911","126785","2691646","21.23","1237422","9.76","1454224","10669000","84.15","0","1-01875-0010","2701 BROADWAY","UPPER WEST SIDE (96-116)","D7-ELEVATOR","59","1910","46,660","1,031,617","22.11","416,968","8.94","614,649","3,817,000","81.8","0.1"
