"ceqr","project_name","project_description","borough","lead_agency","url"
"11DCP152R","489, 493, and 497 Colon Avenue; 484, 486, 490, and 492 Doane Avenue","The applicant, Colon Development, is seeking a certification pursuant to ZR Section 107-08 (Future Subdivision).  The proposed action would facilitate a proposal by the applicant to subdivide a property located on Colon and Doane Avenues (Block 5451, Lots 77 and 79) into seven zoning lots -- Lots 77, 78, 80, 81, 82, 83, and 84.  The applicant intends to redevelop the project site with one detached one-family residence; five semi-detached one-family residences; and one semi-detached two-family residence.  The project site is located in an R3-1 zoning district within the Special South Richmond Development District.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7965-11DCP152R"
"15DME008K","Brooklyn Navy Yard Building 72 Zoning Override","The applicant, the Brooklyn Navy Yard Development Corporation (BNYDC), on behalf of the project sponsor, BNY Tower Associates, LLC, is seeking a Mayoral zoning override to reduce the accessory parking requirements set forth in the Zoning Resolution of the City of New York, Section 44-21 (the proposed action) for the planned Building 72 within the Brooklyn Navy Yard (BNY).","Brooklyn","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11328-15DME008K"
"19DCP127K","737 Fourth Avenue Rezoning","The applicant, 747 fourth LLC.,  requests a rezoning from M1-1D to another district, TBD, to facilitate redevelopment at 737 Fourth Avenue in Greenwood Heights, Community District 7, Brooklyn.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13901-19DCP127K"
"14DOT044Q","Rehabilitation of Borden Avenue Bridge over Dutch Kills","NYCDOT's Division of Bridges, as part of its efforts to repair damage due to the effects of Hurrican Sandy, investigated the existing conditions of twenty (20) movable bridges.  The required repairs are due to damage sustained from Hurricane Sandy.  In general, the work entails the rehabilitation of the mechanical and electrical systems that are used to operate the movable spans, provide navigational lighting to guide mariners in the waterway and provide vehicular traffic control when a bridge opening is necessary.  The Build Year for the proposed action is 2014.","Queens","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10535-14DOT044Q"
"17DCP079M","19 East 70th Street","The Applicant, NY 70th St, LLC, is requesting a Special Permit pursuant to Z.R. Section 74-711 ('Landmark preservation in all districts'). The requested action would facilitate a proposal by the applicant to convert an existing 6-story building back to a single family residence.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11757-17DCP079M"
"82-070M","Meat Market West Village Rezoning","The project is a zoning map change from M1-5 and C8-4 to C6-2 to allow for the residential conversion of industrial buildings and residential development of vacant lots.","Manhattan","NYC Departments of Environmental Protection and City Planning (co-lead)","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7228-82-070M"
"13HPD101K","Turning Point","The Department of Housing Preservation (HPD) is proposing to fund construction activities involving the moderate rehabilitation of 713-715 Henry Street, Block 536, Lot 5, 6.  Construction funding would be provided through HPD's Low Income Housing Tax Credit (LIHTC) Portfolio Preservation (Year 15) Program.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9702-13HPD101K"
"13DME011M","2724 Broadway","A new retail tenant is being sought for a vacant site which faces east onto Broadway between West 104 and West 105 Streets.  The partial lot is approximately 1000 SF on the ground floor.  The lot is currently zoned as a C1-5 zoning district overlay in an R9A residential district.  The prior tenant vacated the site in 2012 and was also a retail business.","Manhattan","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9434-13DME011M"
"12DCP135R","7 Faith  Court","The applicant, 7335 Amboy Road LLC, is seeking a certification pursuant to ZR Section 107-121.  The proposed action would facilitate a proposal by the applicant to construct a one-family residence.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8562-12DCP135R"
"13BSA057Q","23-25 31st Street","Special Permit application pusruant to ZR 73-50 to permit, in a C4-3 commercial district, a modification of the rear yard requirements ZR 33-29 (Special Provisions Applying along District Boundaries)","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9241-13BSA057Q"
"15BSA118R","297 Colony Avenue","Special Permit (§64-92) to waive bulk regulations for the replacement of homes damaged/destroyed by Hurricane Sandy, on properties which are registered in the NYC Build it Back Program.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10975-15BSA118R"
"20DCP016M","15 Cliff Street","Fast Track Cafe Certification/renewal of 2016 open air cafe approval of cafe within 15 Cliff Street POPS (P2015M0281)","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14626-20DCP016M"
"12DOT033K","CREATED IN ERROR","The proposed Capital project involves the repait of two roadway collapses at Bayview Avenue and Manor road along the west side of Shore Road","Brooklyn","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8530-12DOT033K"
"15DOT004M","United Nations Perimeter Security Plan","The United Nations (UN) is seeking approval of revocable consent applications from NYCDOT pursuant to Title 34, Chapter 7 of the Rules of the City of New York to allow the construction of various perimeter security elements on City property at the periphery of the UN Campus in Midtown Manhattan. Additionally, the UN proposes to modify vehicular access to accommodate an external loading dock at the northern edge of its property, along East 48th Street and to relocate parking garage access from its existing location on East 48th Street to East 42nd Street.","Manhattan","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10173-15DOT004M"
"07FDO001X","Rescue Company 3 Fire Station Relocation","The development of a fire station to house Fire Dept Rescue Co. 3 It would replace the station located at 454 East 176th Street","Bronx","NYC Fire Department","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5605-07FDO001X"
"07HPD008X","Fox-Legget Project, Cornerstone Project Site 12","To construct a residential building with community facility space that is affordable to moderate income residents.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5287-07HPD008X"
"07HPD003X","Council Towers V","The disposition of the proposed site to the Council Towers V Housing Development Fund Corp for the purpose of developing Supportive Housing for the Elderly. The granting of a partial tax exemption. A 11 story building with approximately 60,480 gsf.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5162-07HPD003X"
"07HPD011R","Park Lane at Seaview","The rehabilitation of the former Nurses Residence and adjacent cottage on the Seaview Hospital Campus. The buildings will be renovated to include 106 apts, common areas for recreational activities and optional services. 132 parking spaces will be provided.","Staten Island","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5582-07HPD011R"
"07HPD002X","3313 Third Avenue","An 8 story building would contain a total of 128 affordable residential unit (6 studio, 47 one bedroom, and 67 two bedroom, and 8/3-bedroom units). 25 accessory parking spaces would face Weiher Court.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5151-07HPD002X"
"15DCP146K","75 Greene Avenue","The Applicant, 75  Greene LLC c/o Douglaston Development requests a Chair Certification pursuant to Z.R. Section 15-30(b) (Minor Modifications). The requested Certification would facilitate a proposal by the applicant to provide open space in the rear courtyard of the applicant owned property located on Block 2121, Lot 39.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11192-15DCP146K"
"20HPD029M","Goddard Riverside","The Department of Housing Preservation & Development (HPD) intends to fund moderate rehabilitation activities associated with the above referenced property.   The activities would be funded through HPDs Multifamily Housing Rehabilitation Program (HRP). The requested funding would ensure the continued affordability of 194 dwelling units and would further HPD's goals of preserving safe, affordable housing throughout New York City. No new construction or ground disturbance would result from the proposed action.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14724-20HPD029M"
"07DOT005K","Avenue H Bridge Reconstruction","The reconstruction of the bridge was begun in 1994 and completed in 1996. DOT now seeks to acquire adjacent property from the MTA in order to assure access to the bridge structure for future maintenance. It involves the widening of corner Avenue H.","Brooklyn","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5774-07DOT005K"
"07HPD012R","Lafayette Manor Senior Housing","The new construction of one, 60 unit, 5 story, elevator building of residential rental affordable housing with approximately 43,750 gsf area for those 62 years of age and older.","Staten Island","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5552-07HPD012R"
