"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Organization of Flatbush, Inc.","Brooklyn","St. Raymond Community Outreach","(718) 377-2900","Seniors","1658 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.616970915723, -73.963785333505)","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        ","11230"
"Family Support,NDA Programs","Healthy Families","The Friends of Crown Heights Educational Centers, Inc.","Brooklyn","New Horizons Adullt Education Program","(718) 638-8686",,"36 Ford Street
Brooklyn, NEW YORK 11213
(40.665048954694, -73.929345794578)","40.664905","-73.929282","9","41","355","3038317","3014200051","Crown Heights South                                                        ","11213"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrats","Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)","Brooklyn","Goodwill Industries of Greater New York","718- 339-0939 ","Adult","1416 Avenue
M Brooklyn, NEW YORK 11230
(40.617899964727, -73.960775041287)","40.617962","-73.960396","14","48","768","3180877","3067430006","Midwood                                                                    ","11230"
"Family Support,NDA Programs"," Housing","Cooper Square Committee","New York","JHS 259 WILLIAM MCKINLEY (K259)","(212) 228-8210","Adults","61 4th street
New York, NEW YORK 10003
(40.726940950792, -73.991133556521)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 171 - Abraham Lincoln School","Brooklyn","Cypress Hills Local Development Corporation","(718) 647-2800","16+","528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.686153081044, -73.869667918389)","40.68618","-73.869625","5","37","1184","3092456","3041340020","Cypress Hills-City Line                                                    ","11208"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Brooklyn Neighborhood Office, Legal Aid Society ","Brooklyn","The Legal Aid Society","718.422.2765","Adult","111 Livingston St
Brooklyn, NEW YORK 11201
(40.691096875731, -73.989553220657)","40.691144","-73.98981","2","33","9","3002555","3002660001","Brooklyn Heights-Cobble Hill                                               ","11201"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             ","11235"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 126 - Astoria Intermediate School","Astoria","Jacob A Riis Neighborhood Settlement House","(718) 784-7447 x 112","16+","31 51 21st Street
Astoria, NEW YORK 11106
(40.761699790013, -73.931663252957)","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    ","11106"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","SEBCO St Barnabas Senior Housing","Bronx","Tolentine-Zeiser Community Center/St. Ritas","(718) 542-0006","Seniors","535 182nd Street
Bronx, NEW YORK 10457
(40.853241520321, -73.892972776734)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Office of Senator Kruger","Brooklyn","Erasmus H.S. of Service Learning","(718) 743-0575","Adults","2201 Avenue
Brooklyn, NEW YORK 11229
(40.601233507321, -73.944368541175)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 89 - Elmhurst School","Queens","The Child Center of NY","718-659-4000","A parent 16 Years Old or Older ","85 28 Britton Avenue
Queens, NEW YORK 11373
(40.738710402563, -73.878351155182)","40.745923","-73.880205","4","25","271","4037370","4015140001","Elmhurst                                                                   ","11373"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Concourse Gardens","Bronx","East New York Learning Center, Inc.","(718) 542-0006","Seniors","245 Echo Place
Bronx, NEW YORK 10457
(40.849696042918, -73.904337645414)","40.849669","-73.904312","5","15","23502","2115883","2028100037","Mount Hope                                                                 ","10457"
"Family Support,NDA Programs","Healthy Families","Red Hook Youth Court Internship","Brooklyn","PSS/WSF GrandParent Family Apartment","(718) 237-2017",,"88 Visitation Place
Brooklyn, NEW YORK 11231
(40.679168772792, -74.009929399336)","40.678919","-74.009619","6","38","59","3331865","3005300013","Carroll Gardens-Columbia Street-Red Hook                                   ","11231"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Riverdale Senior Services","Bronx","Columbus -Amsterdam Business Improvement District","(718) 884-5900","Seniors","2600 Netherland Avenue
Bronx, NEW YORK 10463
(40.87884073942, -73.916759477415)","40.878744","-73.915679","8","11","29302","2083247","2057220475","Spuyten Duyvil-Kingsbridge                                                 ","10463"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","Q 705- The Renaissance Charter School ","Queens","Creative Arts Team/CUNY","212.652.2800","grades 6 to 8","35 59 81st Street
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.751311","-73.885533","3","25","283","4029691","4012810038","Jackson Heights                                                            ","11372"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PSS/WSF GrandParent Family Apartment","Bronx","Manhattan Legal Services","(212) 874-6633","Middle School","951 Prospect Avenue
Bronx, NEW YORK 10459
(40.822158575217, -73.900615388998)","40.822317","-73.900535","3","17","12901","2112796","2026780068","Longwood                                                                   ","10459"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Far Rockaway High School","Queens","CAMBA Adult Literacy Center","(718) 523-6868"," High School","821 Beach 25 Street
Queens, NEW YORK 11691
(40.601499504033, -73.762679723954)","40.60201","-73.762795","14","31","100802",,,"Far Rockaway-Bayswater                                                     ","11691"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA Sunset Park Asian Senior Center","Brooklyn","MS 216","(718) 438-0008","Seniors","5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.641053712241, -74.003818581755)","40.640998","-74.003848","7","38","108","3013420","3007940042","Sunset Park East                                                           ","11220"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Middle School 206","Bronx","I.S. 126 - The Albert Shanker School for the Visual and Performing Arts","(212) 243-7070","Middle School","2280 Aqueduct Avenue
Bronx, NEW YORK 10468
(40.859680178355, -73.906475602979)","40.859686","-73.906495","7","14","253","2086823","2032090001","Kingsbridge Heights                                                        ","10468"
"Family Support,NDA Programs"," Housing","CCCS South Bronx Center","Bronx","Council of Jewish Orgainzations of Flatbush, Inc.","(212) 371-1011","Adults","402 152 Street
Bronx, NEW YORK 10455
(40.818176453158, -73.916732966998)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 204 - Oliver W. Holmes School","Long Island City","HANAC, INC.","(212) 996-3949 x 12","16+","36 41 28 Street
Long Island City, NEW YORK 11106
(40.761699790013, -73.931663252957)","40.757065","-73.932664","1","26","51","4004156","4003430001","Queensbridge-Ravenswood-Long Island City                                   ","11106"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","CONSELYEA PREPARATORY SCHOOL (K577)","Brooklyn","Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center","(347) 417-8120","Middle School","320 MANHATTAN AVENUE
Brooklyn, NEW YORK 11211
(40.714638333324, -73.946073207624)","40.71466","-73.946108","1","34","497","3068728","3027590001","East Williamsburg                                                          ","11211"
"Family Support,NDA Programs"," Housing","Burnside Avenue Office","Bronx","SATELLITE EAST MIDDLE SCHOOL (K301)","(718) 293-0727","Adults","2070 Grand
Bronx, NEW YORK 10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Northern Manhattan Improvement Corporation","New York","F.E.G.S Brooklyn Resource Center","(212) 822-8300","Adults","76 Wadsworth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","August Martin High School","Queens","Brooklyn Housing & Family Services, Inc.","(718) 523-6868"," High School","156 10 Baisley Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","40.675633","-73.783342","12","28","294","4265978","4122610001","Springfield Gardens North                                                  ","11434"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Fortune Society","New York","The Fortune Society","(212) 691-7554","16+","53 23rd Street
New York, NEW YORK 10010
(40.740638933988, -73.987344516876)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718-943-6325","A parent 16 Years Old or Older ","7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           ","11214"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","JHS 22- Jordan L Mott School","Bronx","Supportive Childrens Advocacy Network (SCAN)","212.683.2522","grades 6 to 8","270 167th Street
Bronx, NEW YORK 10456
(40.833227654258, -73.914085372255)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Washington Houses Community Center","Manhattan","Union Settlement Association","(212) 828-6298","16+","1775 3rd Avenue
Manhattan, NEW YORK 10029
(40.787046638823, -73.947929348156)","40.786574","-73.948303","11","8","15602","1079203","1016470001","East Harlem South                                                          ","10029"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Highbridge Gardens","Bronx","Children's Aid Society/East Harlem Center","(718) 542-0006","Seniors","1145 University Avenue
Bronx, NEW YORK 10452
(40.83751165367, -73.927895360689)","40.837077","-73.928282","4","16","193","2095219","2025270032","Highbridge                                                                 ","10452"
"Family Support,NDA Programs"," Housing","Harlem Justice Center","New York","The Urban Assembly School for Law and Justice","(212) 473-8090","Adults","170 121st Street
New York, NEW YORK 10035
(40.801297147584, -73.938148706659)",,,,,,,,,
