"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Bedford Tilden Assoc. LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","2339 Tilden Ave.","5135","1","Brooklyn","Commercial New Building","Painting, Plumbing, Carpentry, Plastering, Framing, Taping, etc.","$15,000,000.00","2014-10-01T00:00:00.000","11226","Brooklyn 17","2021-11-26T09:18:50.000","40.646652","-73.955319","17","40","794",,,"Erasmus"
"300 East 42nd Street Owner LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","300 East 42nd Street aka 768 2nd Avenue","1334","1","Manhattan","Commercial, retail","demoliton, plumbing, elevator, electrical, HVAC, roof, fa̤ade, painting, capentry, etc.","$28,200,000.00","2019-12-26T00:00:00.000","10017","Manhattan 6","2021-11-26T09:18:50.000",,,,,,,,
"TGA II, LLC","Seiden & Schein PC","212 935-1400","jayseiden@seidenschein.com","420 Park Avenue South","858","45","Manhattan","Commercial, retail, alteration","carpentry, mechanical, plumbing, sprinkler, electrical, fire alarm, etc.","$35,000,000.00","2019-02-28T00:00:00.000","10016","Manhattan 5","2021-11-26T09:18:50.000","40.743805","-73.983739","5","2","74","1088542","1008580045","Midtown-Midtown South"
"446 Broadway Owner LLC","Tener Consulting Services","212-337-0120","dtener@tener.net","446-448 Broadway","232","6","Manhattan","Commercial, alteration","hvac, electrical, plumbing, etc.","$7,000,000.00","2019-01-15T00:00:00.000","10013","Manhattan 2","2021-11-26T09:18:50.000","40.720385","-74.001035","2","1","45","1003029","1002320006","SoHo-TriBeCa-Civic Center-Little Italy"
"12 Street Hotel, LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","38-43 12 Street","472","642","Queens","Commercial, new building, hotel","GC, plumbing, electrical, foundation, etc.","$6,500,000.00","2018-08-20T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.757745","-73.941196","1","26","85","4597148","4004720642","Queensbridge-Ravenswood-Long Island City"
"Ortegro Realty 39 LLC","Metropolitan Realty Exemptions, Inc.","718 387-3004","Riki@mretax.com","1240, 1242 39th Street","5293","21, 22","Brooklyn","Commercial, new building","TBD","$3,000,000.00","2021-03-09T00:00:00.000","11218","Brooklyn 12","2021-11-26T09:18:50.000",,,,,,,,
"Rockaway Hotel LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","120 Thatford Avenue","3522","32","Brooklyn","Commercial, hotel, new building","GC, masonry, roofing, etc.","$3,200,000.00","2018-07-15T00:00:00.000","11212","Brooklyn 16","2021-11-26T09:18:50.000","40.668882","-73.909567","16","41","906","3000000","3035220032","Brownsville"
"Mastic Management LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","91-11 Rosevelt Avenue","1479","38","Queens","New building, commercial","General Contractor, hvac, electrical, etc.","$5,000,000.00","2018-12-01T00:00:00.000","11372","Queens 3","2021-11-26T09:18:50.000",,,,,,,,
"S & S Developers LLC","MGNY Consulting Group","718-522-1111","michael@mgnyconsulting.com","182-12 93 Avenue","10328","25","Queens","New building, commercial","Electrical, masonry, concrete, etc.","$9,800,000.00","2018-11-26T00:00:00.000","11423","Queens 12","2021-11-26T09:18:50.000","40.708105","-73.778111","12","27","444","4441738","4103280025","Jamaica"
"RS JZ Bedford - N 6th LLC","Lawrence J. Berger PC","212 532-0222","jfriedman@ljbpc.com","108-112 North 6th Street","2334","20, 21, 22, 20","Brooklyn","Commercial, retail, alteration","excavation, underpinning, structural steel, stair, concrete, foundation, fa̤ade, roofing, waterproofing, elevator, drywall, carpentry, electric, plumbing, sprinklers, fire alarm, hvac, painting, sidewalk, glazing","$4,000,000.00","2017-12-31T00:00:00.000","11249","Brooklyn 1","2021-11-26T09:18:50.000","40.718377","-73.960098","1","33","555","3062167","3023340020","North Side-South Side"
"flooring","ceiling","structural work","demolition","etc.'","$30,000,000.00","10/1/2021","10014","Manhattan 2",,,,,,"2021-11-26T09:18:50.000",,,,,,,,
"141 Willoughby Property Investors","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","141 Willoughby Street aka 385 Gold Street 270 Flatbush Extension","2060","1,4, 8","Brooklyn","Commercial, New Building, Retail","Concrete, Electrical, Steel, HVAC, Plumbing, all utilities associated with the construction of a new building, and others to be detarmined.","$180,000,000.00","2020-01-07T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000",,,,,,,,
"Cheyenne Realty LLC","Grunfeld & Associates LLC","718 284-9500","jay@grunlaw.com","1833 Nostrand Avenue","4947","51","Brooklyn","Commercial abatement, alteration","Brick block foundation, concrete, carpentry, pumbing, electrical","$8,000,000.00","2020-04-01T00:00:00.000","11226","Brooklyn 17","2021-11-26T09:18:50.000","40.641362","-73.948549","17","45","828","3111280","3049470051","Erasmus"
"JTRE 14 Vesey LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","4 Vesey Street","88","2","Manhattan","Commercial, alteration","Elevators, Plumbing, Fa̤ade, Carpentry, Painting, etc.","$12,000,000.00","2021-06-01T00:00:00.000","10001","Manhattan 1","2021-11-26T09:18:50.000","40.711626","-74.009086","1","1","21","1001232","1000880001","SoHo-TriBeCa-Civic Center-Little Italy"
"2701 Emmons Avenue Project LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","2701 Emmons Avenue","8790","59","Brooklyn","Commercial, alteration, addition to new space","carpentry, steel, painting, plumbing, hvac, etc.","$5,000,000.00","2016-10-21T00:00:00.000","11235","Brooklyn 15","2021-11-26T09:18:50.000","40.583811","-73.941360","15","48","608","3247426","3087900059","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Sumner Place LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","19 Lafayette Street","3131","42, 44, 46, 42","Brooklyn","Commercial, new building","masonry, plumbing, etc.","$15,000,000.00","2017-11-05T00:00:00.000","11206","Brooklyn 2","2021-11-26T09:18:50.000",,,,,,,,
"Mepa Realty LLC","Tuchman, Korngold, Weiss, Leibman & Gelles, LLP","212 687-3747","bgottlieb@tkwlg.com","351 West 14th Street Aka 44 Ninth Avenue","738","8","Manhattan","Commercial, Alteration, Retail","Demo, Terracotta, Excavation and Foundation, Concrete, Steel, Plumbing, Electric, Sprinkler, HVAC, Masonry, Windows, Elevator, Roofing, Carpentry.","$23,000,000.00","2021-04-01T00:00:00.000","10014","Manhattan 4","2021-11-26T09:18:50.000",,,,,,,,
"PRII SJP 470 Park LLC","Joel R. Marcus","212 490-2900","jmarcus@marcuspollock.com","462-468 Park Avenue South (South Building)","861","44","Manhattan","Commercial, retail, alteration","Electrical, carpentry, painting and others to be determined","$5,700,000.00","2019-06-01T00:00:00.000","10016","Manhattan 5","2021-11-26T09:18:50.000",,,,,,,,
"33 Investors LLC","MGNY Consulting Corp","(718) 522-1111","michael@mgnyconsulting.com","3300 Webster Avenue","3357","120","Bronx","Commercial, New Building, Hotel","concrete, steel, electrical, carpentry,  plumbing, masonry, fa̤ade, flooring","$6,000,000.00","2020-01-13T00:00:00.000","10467","Bronx 7","2021-11-26T09:18:50.000","40.873738","-73.874327","7","11","42901","2000000","2033570120","Norwood"
"24 West 25th Street Property Investors IV, LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","28 West 25th Street","826","57","Manhattan","Commercial, Retail, Alteration","Fa̤ade, HVAC, Electrical, Plumbing, Carpentry, Painting, and others to be determinded","$5,000,000.00","2019-08-01T00:00:00.000","10010","Manhattan 5","2021-11-26T09:18:50.000","40.743416","-73.990083","5","3","58","1080687","1008260057","Hudson Yards-Chelsea-Flatiron-Union Square"
"REEC Third Avenue LLC","Marcus & Pollack, LLP","212 599-3167","jmarcus@marcuspollack.com","2226 Third Avenue","1770","36","Manhattan","Commercial, new building","Excavation, foundation, concrete, masonry, brick, glass, teel, wondows, mechanical, electrical, plumbing, etc.","$70,000,000.00","2021-09-15T00:00:00.000","10035","Manhattan 11","2021-11-26T09:18:50.000","40.801239","-73.937629","11","8","196","1074331","1017700036","East Harlem North"
"2320 Coney Island Avenue LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","2316 Coney Island Avenue","7112","9","Brooklyn","Commercial, new building","hvac, electrical, plumbing, carpentry, painting, etc.","$5,000,000.00","2020-05-01T00:00:00.000","11223","Brooklyn 15","2021-11-26T09:18:50.000","40.600248","-73.961346","15","47","394","3329363","3071120009","Homecrest"
"195 Chrystie Street Owner LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","195-197 Chrystie Street","426","29","Manhattan","Commercial, retail, alteration","electrical, sprinklers, plumbing, windows, elevators, etc.","$5,000,000.00","2020-03-01T00:00:00.000","10002","Manhattan 3","2021-11-26T09:18:50.000","40.721922","-73.991904","3","1","3601","1005719","1004260029","Chinatown"
"Maurice Avenue Shoppes LLC","Ben Rottenstein Associates","(718) 855-6110","aj@jackjaffa.com","59-19 to 59-25 Maurice Avenue","2657","70","Queens","Commercial, Retail, New Building","electrical, plumbing, hvac, etc.","$3,000,000.00","2020-03-01T00:00:00.000","11378","Queens 2","2021-11-26T09:18:50.000",,,,,,,,
"980 East 149th Propert LLC, Lot 175 Property LLC, 940 East 149th Property LLC, Nazareth Religious Craft LLC, TJ Palma Realty Partners LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","980 East 149th Street","2599","87, 175, 69, 61, 62","Bronx","Commercial, new building","concrete, steel, electrical, hvac, plumbing, carpentry, painting, etc.","$65,650,288.00","2020-10-01T00:00:00.000","10455","Bronx 1","2021-11-26T09:18:50.000","40.806847","-73.902563","1","17","19","2117503","2025990087","Mott Haven-Port Morris"
"FPG CH350 Hicks LLC","Seiden & Schein P.C.","212 935-1400","taxincentives@seidenschein.com","350 Hicks Street","282","50","Brooklyn","Commercial, new building","masonry, plumbing, electrical, hvac, roofing, stone, elevaor, etc.","$10,279,081.00","2019-08-31T00:00:00.000","11201","Brooklyn 6","2021-11-26T09:18:50.000","40.690686","-73.998024","6","39","47","3000000","3002820050","Carroll Gardens-Columbia Street-Red Hook"
"WF Industrial IV, LLC","Anthony Como Associates","718 327-5779","acomo@nyrets.com","35-15 19th Avenue","814","10","Queens","Industrial New Building","steel, electrical, plumbing, sprinkler, windows, doors, elevator, carpentry, etc.","$399,418,152.00","2020-08-01T00:00:00.000","11105","Queens 1","2021-11-26T09:18:50.000","40.780124","-73.902028","1","22","10701",,,"Steinway"
"9 Dekalb Owner LLC","Ben Rottenstein Associates, Inc.","718 855-6110","aj@jackjaffa.com","340 Flatbush Avenue Extension","149","100, 75","Brooklyn","Commercial, residential, retail, new building","Carp., Concrete, Elec., Painting, Plumbing, hvac, Demolition, etc.","$30,000,000.00","2016-01-17T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.691039","-73.982049","2","33","15","3396179","3001490100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"SHS Richmond Terrace LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","1632 Richmond Terrace","187","42","Staten Island","Commercial, alteration","excavation, steel, plumbing, electrical, heating, carpentry, fire sprinklers, elevators lifts, roofing, fireproofing","$7,549,419.00","2019-03-30T00:00:00.000","10310","Staten Island 1","2021-11-26T09:18:50.000","40.639696","-74.121276","1","49","13302","5005145","5001870042","West New Brighton-New Brighton-St. George"
"31st Astoria Holdings LLC","SJP Tax Consultants, Inc.","7187678216","jp@sjpny.com","30-17 31st Street","615","30","Queens","Commercial, new building","demo, roofing, foundation, concrete, masonry, steel, railings, painting","$5,326,000.00","2017-07-01T00:00:00.000","11102","Queens 1","2021-11-26T09:18:50.000","40.766360","-73.921806","1","22","63","4000000","4006150030","Astoria"
"Staten SNL LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","2604 Richmond Terrace","1151","27","Staten Island","Commercial, retail, new building","site work, hvac, concrete metal work, masonry, electrical, etc.","$10,500,000.00","2019-04-30T00:00:00.000","10303","Staten Island 1","2021-11-26T09:18:50.000","40.637428","-74.147978","1","49","223","5090045","5011510027","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"1790 Broadway Assoc. LLC","New York Advisory Services, Inc.","212 262-1300","rchernoff@nyasi.com","1790 Broadway","1029","53","Manhattan","Commercial, alteration","fa̤ade restoration, lobby renovation, court yard improvement","$3,500,000.00","2016-03-14T00:00:00.000","10019","Manhattan 5","2021-11-26T09:18:50.000","40.766984","-73.981729","5","4","137","1024909","1010290053","Midtown-Midtown South"
"55-15 Grand Avenue","Ryan LLC","813 371-0566","allea.newbold@ryan.com","55-15 Grand Avenue","2610","305","Queens","Industrial, new building","carpentry, drywall, concrete, structural, steel, paint, stone, tile, elevator, electric, fire alarm, hvac,  plumbing, fire protection, etc.","$216,146,757.00","2020-09-01T00:00:00.000","11378","Queens 5","2021-11-26T09:18:50.000","40.718879","-73.914052","5","30","219","4000000","4026100336","Hunters Point-Sunnyside-West Maspeth"
"19-25 West 20 Street Property LLC, 19-26 West 20th Street Investor LLC, SMBAK West 20th Street LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212  687-3747","bgottlieb@twwlg.com","21 West 20th Street, 23-25 West 20th Street, 21-25 West 20th Street","822","1501","Manhattan","Commercial, retail, alteration","structural, carpentry, windows, elevator, hvac, plumbing, sprinkler, electrical, etc.","$10,000,000.00","2017-09-01T00:00:00.000","10011","Manhattan 5","2021-11-26T09:18:50.000",,,,,,,,
"JSB Realty No. 2 LLC","Grunfeld & Associates LLC","718 284-9500","jay@grunlaw.com","78-15 Linden Boulevard","11376","23","Queens","Commercial, new building","steel, carpentry, masonry, hvac, roofing, electric","$6,685,000.00","2015-12-01T00:00:00.000","11414","Queens 10","2021-11-26T09:18:50.000","40.670300","-73.857025","10","32","6202","4617796","4113760023","Lindenwood-Howard Beach"
"Carthage Nexus Canada LP","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","20 West 116 Street","1599","44","Manhattan","Commerical, new building","electrical, sprinklers, plumbing, windows, elevators, etc.","$14,000,000.00","2020-03-01T00:00:00.000","10026","Manhattan 10","2021-11-26T09:18:50.000","40.800942","-73.947143","10","9","190","1051420","1015990044","Central Harlem South"
"Port Richmond LLC","MGNY Consulting","718 522 1111","michael@mgnyconsulting.com","35 Port Richmond Avenue","1003","4","Staten Island","Commercial, New Building, Hotel","Electrical, Concrete, HVAC, Plumbing, etc.","$3,900,000.00","2019-11-10T00:00:00.000","10302","Staten Island 1","2021-11-26T09:18:50.000","40.639846","-74.131935","1","49","207","5000000","5010030004","Port Richmond"
"SIP Holdings Venture, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","70-24 20th Street","638","10","Brooklyn","Commercial, new building","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$51,000,000.00","2020-08-31T00:00:00.000","11232","Brooklyn 7","2021-11-26T09:18:50.000","40.665105","-73.998032","7","38","18","3336808","3006380010","Sunset Park West"
"Water Street Leasehold LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","77 Water Street","33","1","Manhattan","Commercial Alteration, retail","plumbing, HVAC, etc.","$54,000,000.00","2021-08-30T00:00:00.000","10005","Manhattan 1","2021-11-26T09:18:50.000","40.704275","-74.008681","1","1","7","1000863","1000330001","Battery Park City-Lower Manhattan"
"Trinity Hudson Holdings LLC","Tener Consulting Services","646-998 3529","dtener@tener.net","435 Hudson Street","602","68","Manhattan","Commercial Alteration","Elevator, rooftop, wall finishes,",,,,,"2021-11-26T09:18:50.000",,,,,,,,
"80 Willoughby LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","80 Willoughby Street","152","33","Brooklyn","Commercial Alteration","Plumbing, flooring, fire alarms, windows, etc.","$5,000,000.00","2021-02-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.692162","-73.985616","2","33","11","3000412","3001520033","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"6301 12th Avenue LLC","Metropolitan Realty Exemptions, Inc.","718 387-3503","Goldy@mretax.com","6301 12th Avenue","5739","1","Brooklyn","Commercial, alteration","electrical, hvac, plumbing, etc.","$4,664,189.00","2021-08-01T00:00:00.000","11219","Brooklyn 10","2021-11-26T09:18:50.000","40.628385","-74.002594","10","38","194","3345686","3057390001","Dyker Heights"
