Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Bij Tholen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij van Boven;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
bij VRIJ Culemborg;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
bij Wout;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bijbeltekst.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
bijboom;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Bijkantoor Dunea;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;1;4;;;;;1;4
Bijzondere Locaties Groningen B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BijzonderStrafrecht.nl;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bike Totaal Steenbergen;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1
Bikers Heeswijk;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Grand Hotel Wientjes;;;;;1;;1;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;2
Bilderberg Hotel De Keizerskroon;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1
Bilderberg Hotel Klein Zwitserland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilderberg Residence Groot Heideborgh;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bilfinger Real Estate B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bilingüe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Biljartfabriek Bierling-de Schepper B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Biljartfabriek Roelofsen Van Tienen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Biljartfabriek Van den Broek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Biljartvereniging 'Victoria';;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BIM Media B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1
B-in motion;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Binder Groenprojecten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3
Bindje;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bingh Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bingham Schiedam B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Binkies Food & Drinks B.V.;;;;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Binnenlands Bestuur B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Binn'npret;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bio Detection Systems B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bio-Connect B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Biolegio B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
biologisch restaurant aan Sjuuteeanjd;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Biologische Toko;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bio-Rad Laboratories B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bioventus Coöperatief UA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BirdView Expertises B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Birza Italiaans IJs;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;1;1;;;;;;;;;;;;;;1;1;;;;1;;;1;;;1;;;;;;;2
Bisnez Management B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Bison Bowling;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bison Haarlem B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro 2.53;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro De Eeterij B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro De Zoete Inval V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro Noord B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro Pampus;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro Petite Ruelle;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro 'Poortje van Verlaan';;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bistro 't Kannetje B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bistro Tante Pietje;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BIT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;2
Bites & Stories;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BitesWeLove B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bitonic B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1
Bizzdesign Academy B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
BKB;;;;;;;;;;2;;;;;;;1;;;;;;;;;;;;2;;;;;1;;;2
BKFF bas kijzers fotografie en film;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;1
BlackRockStar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blanken Medisch Adviseurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blankestijn & Partners B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bleekemolens Race Planet;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BlendAd B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blender B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Blgg Oosterbeek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blickle Wielen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blij Lunch & Borrelroom;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blijdorp Advocatuur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blik op Ethiek;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blits Group;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blits Schilderwerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blitta B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Blixem;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloc B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BLOEM;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
bloem & styling aan de zeven alleetjes;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloembinderij Calendula;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloembinderij Cees Van Eijck;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloembinderij De Mare;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloembinderij Geschikt;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloembinderij Johnflora;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloembinderij Myosotis;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemboetiek Fuchsia;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemdesign Rotterdam;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemen & Emoties;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenatelier in de Roos;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemengalerie Het Kerkbrugje;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemenhuis D.P. van Wageningen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bloemenhuis 'De Narcis';;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;2
Bloemenhuis Duivenvoorden;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemenhuis Klimop;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenhuis 'Meindert';;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bloemenkrans;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenmagazijn 'De Eeuwige Lente' B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenmagazijn Johan;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenshop Schouten;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BloemenzaakZuid;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemisterij Bloesem;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemsierkunst Anggrek;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemsierkunst 'Het groene Huys';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemsierkunst J. Bluijs;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemstylist Hans Zijlstra;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blokker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blokker Nieuwleusen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blokland Metaalbewerking B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blokvoort Advocatenkantoor B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blom Beroepsopleidingen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blom en Partners Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Blom Opleidingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BlomBerg Society B.V.;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blomke Fan Romke;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blomsma Signs & Safety;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
BLOSSOM bloemisterij;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Blue Basket;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blue Boat Company;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blue by MANNA;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blue Collar Hotel B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blue Luna B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Blue Sakura B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blue Wave Trade;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1
BlueFields;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BLUEPalm B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
blueriq;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bluesail;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bluevents B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blygold Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BMC Advies B.V.;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BMC Implementatie;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BMJ Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BNP Paribas Leasing Solutions N.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Boardroom@Crisis B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boat Company;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Bob Looman B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bobbe International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
Boca Kaarsen B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
Bochane Auto I B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Böcker Nederland B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bocxe Biljarts V.O.F.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Boddeus, Cornelissen en Van Stekele;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bode Technology Group inc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bodhi Tree B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bodil Producties;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Body & Mind Sports;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BodyMind Development;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boek en kantoorvakhandel Reterink;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boek- en Kantoorvakhandel Schipperheijn;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Boek- en Offsetdrukkerij Morgenstond B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Boek en Service;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekencentrum B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Boeketcadeau.nl;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Boekhandel De Kloof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Douwes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel H.M. Coelers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Jansen & De Feijter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Krings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boekhandel Van der Velde B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Van Stockum Belinfante & Coebergh;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Waanders B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boekhandel Westerhof B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boels Verhuur;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Boels Verhuur Lelystad;;;;;;;1;;;;;;1;;1;;;;1;1;;;;;;;;;;1;;;;;;1;2
Boer & Van Wees Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boerderij Camping 'Bouwlust';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boerderij de Kat in de Wilg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boerderij Missieklooster G.S. Migchels;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boerema's Coating Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boeren Medical B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boerenbondsmuseum;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boerhof Projectinrichters;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;2;;;;;;2;5
Boerke Verschuren;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boertien en Partners;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Boertien Vergouwen Overduin B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bohms Beheer;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bohn Stafleu Van Loghum;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;1;1
Boin Bedrijfstrainingen;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bojo B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bokaal B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bokhoven Bouw B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
Bokstijn Feestartikelen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
bol.com B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;1
Bol.Com bv;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bolidt Kunststoftoepassing B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
Bolletje Winkel & Koffieschenkerij Anno 1867;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bolten Training en Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bomer Bewindvoeringen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bomer Bewindvoeringen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bo-Mij Beheer B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
Bon Bon Partyservice B.V.;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;2
Bon Vivant B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonbon Atelier A3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonbonnerie Borrel;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bond voor Materialenkennis;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Bonekamp en van der Meer, huisartsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bongo Belevenisbon;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonhof*bloemen*maarssen V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonnie Beer B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonzet Boekbinders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Boodschappendienst Amsterdam B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bookx B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4
Boom en bloem;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boom uitgevers Amsterdam B.V.;;;1;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;2;;;1;2
Boom uitgevers Den Haag;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;2
Boom uitgevers Nieuwsmedia B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;1
Boomerang Beach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Boomsma Distilleerderij/Wijnkoperij B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boon Edam Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
Boost Events;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Boot 10 Amsterdam B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Boot Akkrum;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Boots apotheek Emma;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boots apotheek Vermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bootsma De Rouwe Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BO-Rent B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Borgers Auto-Import;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Borgman, A.E. huisarts;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boringa & Lankester registeraccountants;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Borstvoedingscentrum Zwolle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bos Coacing Dorette;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bos Horeca B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bos Incasso B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Bos Tuingereedschappen;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;1;;;;;;1;1
Bos Vlaggen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bosan B.V.;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1
Boscafé het Maasdal;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bosch Car Service Breda;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Bosch Security Systems B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Boschweij Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bosgraaf Machinehandel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boshotel Vlodrop;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Boshuis Venkraai;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bosman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bosscha Ongevallenanalyse B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bossers & Cnossen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Bosveld Gerechtsdeurwaarders & Incasso's;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Botanico Binnengroen Projecten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Botenverhuur De Rijnstroom;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boterwaag Den Haag B.V.;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Botman Roermond B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Botswana College of Distance and Open Learning;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Botter Trading;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boulevard;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boulogne Jonkers, Vormgeving V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Bouma Beheer Bergum;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bouman & Partner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bouman Bezorgbakker;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bouman GGZ;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boumanjal & Vingerling Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Boumans & Partners Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bounce Centra voor Werk & Psyche;;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
