UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
grafonderhoud,http://standaarden.overheid.nl/owms/terms/grafonderhoud,,,,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Mod_Bverb_art_20,Artikel 20 Model Beheersverordening begraafplaatsen,
grafonderhoud,http://standaarden.overheid.nl/owms/terms/grafonderhoud,,,,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Mod_Bverb_art_21,Artikel 21 Model Beheersverordening begraafplaatsen,
grafrechten,http://standaarden.overheid.nl/owms/terms/grafrechten,,,,X,X,,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_229,Artikel 229 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=229
grafuitgifte,http://standaarden.overheid.nl/owms/terms/grafuitgifte,,,,X,X,X,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Behb_art_11,Artikel 11 Model Beheersverordening begraafplaatsen,
gratie,http://standaarden.overheid.nl/owms/terms/gratie,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Gratw_art_2,Artikel 2 Gratiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0004257&artikel=2
groenstroken en restgronden kopen of huren,http://standaarden.overheid.nl/owms/terms/groenstroken_en_restgronden_kopen_of_huren,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
grondexploitatieovereenkomst,http://standaarden.overheid.nl/owms/terms/grondexplOvereen,,,,X,,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wro_art_6_4a,Artikel 6.4a Wet ruimtelijke ordening,https://wetten.overheid.nl/jci1.3:c:BWBR0020449&hoofdstuk=6&afdeling=6.1&artikel=6.4a
grondwaterheffing,http://standaarden.overheid.nl/owms/terms/grondwaterheffing,,X,,,,,,N1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wtw_art_7_7,Artikel 7.7 Waterwet,http://wetten.overheid.nl/jci1.3:c:BWBR0025458&hoofdstuk=7&Paragraaf=1&artikel=7.7
grondwateronttrekking schadevergoeding,http://standaarden.overheid.nl/owms/terms/grondwateronttr_schadevergoeding,,X,,,X,X,,N1;D2,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wtw_art_7_18,Artikel 7.18 Waterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0025458&hoofdstuk=7&Paragraaf=3&artikel=7.18
grondwateronttrekkingsvergunning,http://standaarden.overheid.nl/owms/terms/grondwateronttrekkingsvergunning,,X,,,X,X,,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wtw_art_6_4,Artikel 6.4 Waterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0025458&hoofdstuk=6&Paragraaf=1&artikel=6.4
grondwateronttrekkingsvergunning registratie,http://standaarden.overheid.nl/owms/terms/grondwateronttr_registratie,,X,,,X,X,,N1,,X,,,,,,http://standaarden.overheid.nl/owms/terms/WaB_art_6_11,Artikel 6.11 Waterbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0026872&hoofdstuk=6&Paragraaf=5&artikel=6.11
groningen waardevermeerderingssubsidie,http://standaarden.overheid.nl/owms/terms/gronWrdVermSubs,X,,,,X,,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_waardev_won_gron_art_2,Artikel 2 Regeling waardevermeerdering woningen gaswinning Groningenveld,https://wetten.overheid.nl/jci1.3:c:BWBR0039336&artikel=2
groot pleziervaartbewijs,http://standaarden.overheid.nl/owms/terms/grPlezVaartbew,X,,,,X,,,C2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Binnenvaartgeregling_art_7_8,Artikel 7.8 Binnenvaartregeling,https://wetten.overheid.nl/jci1.3:c:BWBR0025958&hoofdstuk=7&Paragraaf=1&artikel=7.8
groot vaarbewijs,http://standaarden.overheid.nl/owms/terms/grootVaarbew,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Binnenvaartbesluit_art_14,Artikel 14 Binnenvaartbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0025631&hoofdstuk=3&Paragraaf=3&artikel=14
handelingen gemeentefunctionaris ontheffing,http://standaarden.overheid.nl/owms/terms/handelingen_gemeentefunctionaris_ontheffing,,X,,,,,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_15,Artikel 15 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=II&hoofdstuk=II&artikel=15
handelsregister gegevensverstrekking,http://standaarden.overheid.nl/owms/terms/handRegGegVerstr,X,,,,X,X,,H5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Hrw_2007_art_21,Artikel 21 Handelsregisterwet 2007,https://wetten.overheid.nl/jci1.3:c:BWBR0021777&hoofdstuk=4&Paragraaf=4.1&artikel=21
handelsregister inschrijving,http://standaarden.overheid.nl/owms/terms/handRegInschr,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Hrw_2007_art_18,Artikel 18 Handelsregisterwet 2007,https://wetten.overheid.nl/jci1.3:c:BWBR0021777&hoofdstuk=3&artikel=18
handhavingsverzoek,http://standaarden.overheid.nl/owms/terms/handhavingsverzoek,,X,X,X,X,X,,,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_125,Artikel 125 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=125
handhavingsverzoek,http://standaarden.overheid.nl/owms/terms/handhavingsverzoek,,X,X,X,X,X,,,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/PW_art_122,Artikel 122 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=122
handhavingsverzoek,http://standaarden.overheid.nl/owms/terms/handhavingsverzoek,,X,X,X,X,X,,,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_61,Artikel 61 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=IX&Paragraaf=4&artikel=61
havenverordening,http://standaarden.overheid.nl/owms/terms/havenverordening,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
heffingskorting uitbetaling,http://standaarden.overheid.nl/owms/terms/hefKortUitbet,X,,,,X,,,B4,,,,,,,,http://standaarden.overheid.nl/owms/terms/IB_art_8_9,Artikel 8.9 Wet inkomstenbelasting 2001,https://wetten.overheid.nl/jci1.3:c:BWBR0011353&hoofdstuk=8&afdeling=8.1&artikel=8.9
herbegraven of alsnog cremeren,http://standaarden.overheid.nl/owms/terms/herbegraven_of_alsnog_cremeren,,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_29,Artikel 29 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=III&Paragraaf=1&artikel=29
herbestemming monument subsidie,http://standaarden.overheid.nl/owms/terms/herbestMonSubs,X,,,,X,X,,D2,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_7_3,Artikel 7.3 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=7&Paragraaf=7.1&artikel=7.3
hergebruik overheidsinformatie verzoek,http://standaarden.overheid.nl/owms/terms/hergebOvInfo,,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_hergeb_ovinfo_art_3,Artikel 3 Wet hergebruik van overheidsinformatie,https://wetten.overheid.nl/jci1.3:c:BWBR0036795&hoofdstuk=II&artikel=3
hofleverancieraanvraag,http://standaarden.overheid.nl/owms/terms/hofleverancieraanvraag,,,,X,,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Stcrt_1987_65,"Staatscourant 1987, 65",
hoger beroep tegen uitspraak bestuursrechter,http://standaarden.overheid.nl/owms/terms/HogBerUitsprBestRecht,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_104,Artikel 8:104 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.5&artikel=8:104
hoger onderwijs aanmelding,http://standaarden.overheid.nl/owms/terms/hogOndAanm,X,,,,X,,,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WHW_art_7_31a,Artikel 7.31a Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=7&titeldeel=3&Paragraaf=1&artikel=7.31a
hondenbelasting,http://standaarden.overheid.nl/owms/terms/hondenbelasting,,,,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_226,Artikel 226 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=226
hondenbesluit,http://standaarden.overheid.nl/owms/terms/hondenbesluit,,,,X,X,,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_57,Artikel 2:57 Model Algemene plaatselijke verordening,
hondenhoudersregistratie,http://standaarden.overheid.nl/owms/terms/honderhoudersregistratie,X,,,,X,X,X,D1;A4;D4,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Besluit_houders_dieren_art_3_29,Artikel 3.29 Besluit houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035217&hoofdstuk=3&Paragraaf=4&artikel=3.29
hoogspanningslijn objecten plaatsen onder,http://standaarden.overheid.nl/owms/terms/hoogspanningslijn_objecten_plaatsen_onder,,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_22,Artikel 2:22 Model Algemene plaatselijke verordening,
hoorhulpmiddel,http://standaarden.overheid.nl/owms/terms/hoorhulpm,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
horecabedrijf exploitatievergunning,http://standaarden.overheid.nl/owms/terms/horecaExplVrg,,,,X,,X,X,N1,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_28,Artikel 2:28 Model Algemene plaatselijke verordening,
horecabedrijf inrichtingseisen,http://standaarden.overheid.nl/owms/terms/hobedrinreis,X,,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Alcoholwet_art_10,Artikel 10 Alcoholwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002458&Paragraaf=2&artikel=10
horecatijdenontheffing,http://standaarden.overheid.nl/owms/terms/horecatijdenontheffing,X,,,X,,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_29,Artikel 2:29 Model Algemene plaatselijke verordening,
houthandelsverplichtingen,http://standaarden.overheid.nl/owms/terms/houthandverpl,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EU_995_2010,Verordening (EU) Nr. 995/2010 van het Europees Parlement en de Raad van 20 oktober 2010 tot vaststelling van de verplichtingen van marktdeelnemers die hout en houtproducten op de markt brengen,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32010R0995&from=NL#d1e491-23-1
hsl-zuid a-16 a-4 schadevergoeding,http://standaarden.overheid.nl/owms/terms/hslZdA16A4SchVerg,,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/GRSchVergHSLZA16A4_art_2,"Artikel 2 Gemeenschappelijke regeling schadevergoedingsschap HSL-Zuid, A16 en A4",https://wetten.overheid.nl/jci1.3:c:BWBR0038850&hoofdstuk=II&artikel=2
huisdierenpaspoort,http://standaarden.overheid.nl/owms/terms/huisdierenpaspoort,X,,,,X,,,A4,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_998_2003,Artikel 6 Verordening (EU) Nr. 576/2013 betreffende het niet-commerciële verkeer van gezelschapsdieren ,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32013R0576&from=NL
huishoudelijk afvalinzameling,http://standaarden.overheid.nl/owms/terms/huishoudelijk_afvalinzameling,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_10_21,Artikel 10.21 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.4&artikel=10.21
huishoudelijk afvalwatermelding,http://standaarden.overheid.nl/owms/terms/huishoudelijk_afvalwatermelding,,,X,,X,,,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Blah_art_13,Artikel 13 Besluit lozing afvalwater huishoudens,https://wetten.overheid.nl/jci1.3:c:BWBR0022910&hoofdstuk=4&Paragraaf=1&artikel=13
huishoudelijke hulp,http://standaarden.overheid.nl/owms/terms/huishHulp,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
huisnummertoekenning,http://standaarden.overheid.nl/owms/terms/huisnummertoekenning,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BAG_art_6,Artikel 6 Wet basisregistratie adressen en gebouwen,https://wetten.overheid.nl/jci1.3:c:BWBR0023466&hoofdstuk=1&artikel=6
huisvesting verblijfsgerechtigden,http://standaarden.overheid.nl/owms/terms/huisvVerblGer,,,,X,,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Huisvw_art_28,Artikel 28 Huisvestingswet 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035303&hoofdstuk=5&Paragraaf=1&artikel=28
huisvestingsvergunning,http://standaarden.overheid.nl/owms/terms/huisvestingsvergunning,,,,X,X,,,D1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Huisvw_art_8,Artikel 8 Huisvestingswet 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035303&hoofdstuk=2&Paragraaf=1&artikel=8
hulpmiddel voor traplopen,http://standaarden.overheid.nl/owms/terms/hulpmTrapl,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
huurders groningen tegemoetkoming,http://standaarden.overheid.nl/owms/terms/huurders_gron_tegemoetk,X,,,,X,,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Beleidsr_teg_huurders_Gron_art_2,Artikel 2 Beleidsregel tegemoetkoming huurders van gereguleerde woningen van particuliere verhuurders in het aardbevingsgebied Groningen,http://wetten.overheid.nl/jci1.3:c:BWBR0046476&artikel=2
huurtoeslag,http://standaarden.overheid.nl/owms/terms/huurtoeslag,X,,,,X,,,D1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WHT_art_7,Artikel 7 Wet op de huurtoeslag,https://wetten.overheid.nl/jci1.3:c:BWBR0008659&hoofdstuk=2&Paragraaf=1&artikel=7
huwelijk,http://standaarden.overheid.nl/owms/terms/huwelijk,X,,,X,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_30,Artikel 30 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&artikel=30
huwelijk bij volmacht,http://standaarden.overheid.nl/owms/terms/huwelijkBijVolm,X,,,,X,,,G2,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_66,Artikel 66 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=4&artikel=66
huwelijksaangifte,http://standaarden.overheid.nl/owms/terms/huwelijksaangifte,,,,X,X,,,G2,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_44,Artikel 44 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=2&artikel=44
huwelijksdispensatie,http://standaarden.overheid.nl/owms/terms/huwelijksdispensatie,X,,,,X,,,G2,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_41,Artikel 41 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=1&artikel=41
huwelijksgoederenregister inschrijving huwelijkse voorwaarden of partnerschapsvoorwaarden,http://standaarden.overheid.nl/owms/terms/huwGoedRegInsHuwPartVw,X,,,,X,,,G2,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_116,Artikel 116 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=8&afdeling=1&artikel=116
huwelijksgoederenregister inzage,http://standaarden.overheid.nl/owms/terms/huwGoedRegInz,X,,,,X,X,,G2,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_116,Artikel 116 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=8&afdeling=1&artikel=116
identiteitsfraudemelding,http://standaarden.overheid.nl/owms/terms/identiteitsfraudemelding,X,,,,X,,,,,,,,,,,,,
identiteitskaart,http://standaarden.overheid.nl/owms/terms/identiteitskaart,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Ppw_art_16a,Artikel 16a Paspoortwet,https://wetten.overheid.nl/jci1.3:c:BWBR0005212&hoofdstuk=II&Paragraaf=3A&artikel=16a
implantaat informatieverstrekking,http://standaarden.overheid.nl/owms/terms/ImplantaatInfoVerstr,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WKKGZ_art_7b,"Artikel 7b Wet kwaliteit, klachten en geschillen zorg",https://wetten.overheid.nl/jci1.3:c:BWBR0037173&hoofdstuk=2&artikel=7b
inbewaringstelling,http://standaarden.overheid.nl/owms/terms/inbewaringst,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wzd_art_29,Artikel 29 Wet zorg en dwang psychogeriatrische en verstandelijk gehandicapte cliënten,https://wetten.overheid.nl/jci1.3:c:BWBR0040632&hoofdstuk=3&Paragraaf=2&sub-paragraaf=2.5&artikel=29
inburgeringsexamen,http://standaarden.overheid.nl/owms/terms/inburgeringsexamen,,,,X,X,,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wib_2021_art_7,Artikel 7 Wet inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0044770&hoofdstuk=3&artikel=7
inburgeringsexamen,http://standaarden.overheid.nl/owms/terms/inburgeringsexamen,,,,X,X,,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wib_art_7,Artikel 7 Wet inburgering,https://wetten.overheid.nl/jci1.3:c:BWBR0020611&hoofdstuk=2&artikel=7
inburgeringsexamen aanmelding,http://standaarden.overheid.nl/owms/terms/inbExamAanmeld,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_inb_2021_art_3_6,Artikel 3.6 Besluit inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0045555&hoofdstuk=3&afdeling=3&Paragraaf=2&artikel=3.6
inburgeringsexamen aanpassing,http://standaarden.overheid.nl/owms/terms/inbExamAanpas,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_inb_2021_art_3_9,Artikel 3.9 Besluit inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0045555&hoofdstuk=3&afdeling=3&Paragraaf=2&artikel=3.9
inburgeringsexamen vrijstelling,http://standaarden.overheid.nl/owms/terms/inbExamVrijst,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BI_art_2_3,Artikel 2.3 Besluit inburgering,https://wetten.overheid.nl/jci1.3:c:BWBR0020674&hoofdstuk=2&afdeling=2&artikel=2.3
inburgeringsexamen vrijstelling,http://standaarden.overheid.nl/owms/terms/inbExamVrijst,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_inb_2021_art_2_3,Artikel 2.3 Besluit inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0045555&hoofdstuk=2&afdeling=2&artikel=2.3
inburgeringslening,http://standaarden.overheid.nl/owms/terms/inburgeringslening,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_2021_art_20,Artikel 20 Wet inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0044770&hoofdstuk=6&artikel=20
inburgeringslening,http://standaarden.overheid.nl/owms/terms/inburgeringslening,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_art_16,Artikel 16 Wet inburgering,https://wetten.overheid.nl/jci1.3:c:BWBR0020611&hoofdstuk=5&artikel=16
inburgeringsplicht ontheffing,http://standaarden.overheid.nl/owms/terms/inburgPlOnth,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_2021_art_5,Artikel 5 Wet inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0044770&hoofdstuk=2&artikel=5
inburgeringsplicht ontheffing,http://standaarden.overheid.nl/owms/terms/inburgPlOnth,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_art_6,Artikel 6 Wet inburgering,https://wetten.overheid.nl/jci1.3:c:BWBR0020611&hoofdstuk=2&artikel=6
inburgeringsplicht vrijstelling,http://standaarden.overheid.nl/owms/terms/inburgPlVrijst,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_2021_art_4,Artikel 4 Wet inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0044770&hoofdstuk=2&artikel=4
inburgeringstermijn verlenging,http://standaarden.overheid.nl/owms/terms/inbTermVerl,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wib_2021_art_12,Artikel 12 Wet inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0044770&hoofdstuk=4&artikel=12
incassoregisterinschrijving,http://standaarden.overheid.nl/owms/terms/increginschr,X,,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wkwal_inc_art_3,Artikel 3 Wet kwaliteit incassodienstverlening,
individuele goedkeuring voertuig,http://standaarden.overheid.nl/owms/terms/indGoedkVoert,X,,,,X,X,X,C1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_98,Artikel 98 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&Paragraaf=7&artikel=98
individuele inkomenstoeslag,http://standaarden.overheid.nl/owms/terms/indInkToesl,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/PW_art_36,Artikel 36 Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=4&Paragraaf=4.1&artikel=36
individuele studietoeslag,http://standaarden.overheid.nl/owms/terms/indStudToesl,,,,X,X,,,E1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/PW_art_36b,Artikel 36b Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=4&Paragraaf=4.1&artikel=36b
inkoop,http://standaarden.overheid.nl/owms/terms/inkoop,X,,X,,,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_750,Artikel 750 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=12&afdeling=1&artikel=750
inreisverbod opheffing,http://standaarden.overheid.nl/owms/terms/inreisverbodOph,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/VW_art_66b,Artikel 66b Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=6&afdeling=3&artikel=66b
instandhouding monument subsidie,http://standaarden.overheid.nl/owms/terms/instHoudMonSubs,X,,,,X,X,,D2,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_7_3,Artikel 7.3 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=7&Paragraaf=7.1&artikel=7.3
integratiesubsidie,http://standaarden.overheid.nl/owms/terms/integratiesubsidie,,X,,,X,,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
integriteitsbeoordeling,http://standaarden.overheid.nl/owms/terms/integriteitsbeoordeling,X,X,,X,X,X,X,N1,X,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Bibob_art_7a,Artikel 7a Wet bevordering integriteitsbeoordelingen door het openbaar bestuur,https://wetten.overheid.nl/jci1.3:c:BWBR0013798&hoofdstuk=2a&artikel=7a
internationale diplomawaardering,http://standaarden.overheid.nl/owms/terms/internatDiplWaard,X,,,,X,X,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_7_4_7,Artikel 7.4.7 Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=7&titeldeel=4&Paragraaf=1&artikel=7.4.7
internationale-kinderontvoeringsmelding,http://standaarden.overheid.nl/owms/terms/intKindOntvMelding,X,,,,X,,,G5,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verdrag_int_kind_ontv,"Artikel 8 Verdrag betreffende de burgerrechtelijke aspecten van internationale ontvoering van kinderen, 's-Gravenhage, 25-10-1980",https://wetten.overheid.nl/jci1.3:c:BWBV0002010&hoofdstuk=III&artikel=8
investeringssubsidie duurzame energie,http://standaarden.overheid.nl/owms/terms/investSubsDuurzEner,X,,,,X,X,,D2,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/RegNatEZSub_art_4_5_2,Artikel 4.5.2 Regeling nationale EZ-subsidies,https://wetten.overheid.nl/jci1.3:c:BWBR0035474&hoofdstuk=4&titeldeel=4.5&artikel=4.5.2
invoerrecht,http://standaarden.overheid.nl/owms/terms/invoerrecht,X,,,,,X,,L3,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EU_952_2013,Verordening (EU) Nr. 952/2013 van het Europees Parlement en de Raad van 9 oktober 2013 tot vaststelling van het douanewetboek van de Unie,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32013R0952&qid=1529398347735&from=NL#d1e3875-1-1
