Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
Stichting Nvab;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Ontwikkeling Sensoor;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting OSR Juridische Opleidingen;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Parkeergelden Nederland;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Stichting Prins27;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stichting Res Publica;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Saxion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Stichting SEO Economisch Onderzoek;;;;;;;6;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;6
Stichting Sint Maartenskliniek;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Sociaal Fonds Zorggroep Almere;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Steunfonds Blijf Groep;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Take Off;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Theater aan het Spui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stichting Toerisme Utrecht;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stichting tot Behoud van Elburger Botters;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting van Loon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stichting Verhalenhuis Belvédère;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Videma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Stichting Vogelpark Avifauna;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Vogin;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Wende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stichting Young Advisory Group;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Stichting Ziekenhuisgroep Twente;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Zorghotel Uden;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Zuiderzeemuseum;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stolthaven Moerdijk B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Stomerij Kledingreparatie Van Arnhem;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Strandclub WIJ;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Strandpaviljoen Zoomers B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Strandweg 9 B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
StrateGis Groep B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Strategy & Story B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Struijk Training & Adviesbureau;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Studieboekencentrale Noord Nederland;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Studio A Mediamelange;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Studio-OOK;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sturingsadvies;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Succesvol Evenement;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Sumo Den Haag II B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Survival Limburg;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SVC SchoolvoorCoaching B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
syncreon Netherlands B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
T & T;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
't Arnhems Vulpenhuis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
't Hof van Eten;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
't Olde Regthuys B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
'T Ruitersbosch;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
't Wapen van Kennemerland;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taalstrategie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taat & De Regt B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
TAC Technisch Adv. Centr., Brandveiligh. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Talenbureau Lexicon;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taleninstituut Nederland;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taller Events B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tamara Madern Advies;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tangram B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Tapas Bar Restaurant Limon;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tappan Communicatie B.V.;;;;;;;2;3;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;1;4
Tara Centrum;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tas Trainingen, Advies & Onderzoek;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
TaSQ;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Taste Amsterdam B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Tauw B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taveerne De Coligny;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Taxicentrale Luchtmeijer;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
TB Events;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
TeamJOS B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ted Maros begeleider in business;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Teka Groep B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Tekstburo Gort B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Tele2 Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Telegrootgebruik B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;2
Ter Hoeven & Partners B.V.;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
Terberg Systeemintegratie;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1
Tespelduyn Horeca B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Testo;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Tezet Business Gifts B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Curious Network;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Early Warning Company;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Economist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
The Hague Executive Campus B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Holistic Soul Food Company;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Next Speaker;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
The Oddshop B.V.;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
The Rat Pack B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Theater Hotel Venlo B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Theaterkunst-Catering Rotterdam;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Theehuis 't Hunebed;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
theFactor.e B.V.;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Things To Make And Do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
THNK Innovation B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
thomas van daalen ontwerp;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Thuis bij Pulchri;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Thuring Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ThyssenKrupp Liften B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tijssens Electrotechniek B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Tilkema Horeca B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tinguely Xperts B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tinqwise B.V.;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Tint, Buro voor Grafische Vormgeving;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Tiramisu Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tjongerschans;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
TMG Landelijke Media B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
TNO International Agencies B.V.;;;;;;1;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;2
Toko Asli B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ton Groenendijk Producties;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Tony's Factory B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Top Movers Nederland B.V.;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;2;;2;;;;;;3
Topbloemen Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
TOPBLOEMEN.NL;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
TOPdesk Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;2
Tot Z Diensten B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Total Identity;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tower Leisure B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Tower Optics B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Trattoria Taormina;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
TRConsult B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
TREND FORWARD events & more;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
TriamFloat B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tridata B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Trigion Beveiliging B.V.;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;4;;;;;;;;4
Trigion Beveiligingstechniek B.V.;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Trimension B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Trip Holding B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Triple Dynamixs Preventie & Coaching B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Triquanta Web Solutions B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Trouw B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Tuhuteru & Partners B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Turks Restaurant 'Harput';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Typisch Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Uitgeverij de 12 Provinciën B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Uitgeverij Kerckebosch B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Uitgeverij Zeggenschap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Uitjes in Holland;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Umami Restaurant Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
UNC Lean Six Sigma B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Uniglas B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
UNO Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
UP learning B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Uptrends B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Usine Eindhoven B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
UW Flora;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Uw Voordeel Bakker;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
V&D Vlaardingen;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
V.L. van Wieringen Advocaat;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
V.O.F. de Palatijn;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
V.O.F. Moa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
V.O.F. No Mercy;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
V.O.F. Thai Fresh Voorburg;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
V.O.F. Van der Mijn & Van Dorp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Vaccinatiezorg B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Vakcentrale voor Professionals;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Vakmedianet Management B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Valerie Kuypers Fotografie;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Van Arkel Gerechtsdeurwaarders;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van de Bunt Management B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Van der Heijde Communicatie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
van der Hel Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van der Hilst Communicatie-Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van der Knaap Optiek;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van der Leeuw Horen B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van der Linde Holding B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Van der Valk Hotel Den Haag B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Van der Valk Hotel Heerlen;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Van Dijk Zakelijk B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;;;1;4
van Doorn;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Dorp installaties Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Van Duijnen Koffie B.V.;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Van Gansewinkel Nederland B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
Van Harte & Lingsma Manag. en Organis. B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Van Hulzen Public Relations B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Kleef Optiek;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Kooten Advocaten N.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Leersum Bunkerstation B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Mill Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Oosterhout B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Van Seggelen & Partners Gerechtsdeurwaarders;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Straalen De Vries Transport B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Veen Info;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Van Vlier Media B.V.;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2
Vandoornehuiskes en Partners B.V.;;;;;;;4;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;4
VAP Buitenhof Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Var, Vereniging voor Bestuursrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Vasmo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
VCK Travel B.V.;;1;;1;5;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;5
Veel Plezier B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Veldkamp Marktonderzoek B.V.;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Vellance B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Venditio B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ver. voor Klachtrecht in de publieke sector;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Verdonck, Klooster & Associates B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Verdraaide Organisaties B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vereniging Pension Valley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Vereniging Stavoren Promotie;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vereniging van Fondsen in Nederland-Fin.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Vereniging voor Arbeidsrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Vereniging voor Overheidsmanagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Vergadercentrum Vredenburg;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Vergaderlokaal Baambrugge;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vergouwen Overduin B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Verhaal in Beeld, projectadvies;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Verhuurbedrijf Paul;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Verkeersveiligheid Groep Nederland B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vermaat Leisure B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Verschoor Installaties B.V. i.o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Verschoor Schilders B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;3
Verwey Vastgoed B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
Video Schaay B.V.;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;1
Vierhout Metaal B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Vijverberg Juristen I B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Villa Augustus B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Villa Famiglia Raimondi B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vink Bouw Nieuwkoop B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vink Electrotechnisch Installatiebureau B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Vino & Cucina;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Visio Het Loo Erf;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Visser en Van Baars B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Vitam Catering;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vitasys B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;2
Viteau Direct B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vlechtersbedrijf Akkoord B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vlieger Special Packaging B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
VMSD Alrijne Zorggroep;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
VNO-NCW West;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
VNSG Diensten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
VOC Uitgevers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Vocas Trainingen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vodafone;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Vodafone Libertel B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;3
Vodafone winkel;;;;;;;;1;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;2;5
Voetbalvereniging 'Katwijk';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vollebregt Installatie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Voorberg Bouwkunde B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;3
Voormedia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Voskamp Beveiligingstechniek Soest B.V.;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;1
Vrienden van Amphia;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vroom Funderingstechnieken B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
VVV Business B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Wagenborg Nedlift;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Water Events Geertruidenberg B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Watercompany International B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Waterlandziekenhuis;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Wawoe Consult;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
WE THE FUTURE;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Webelect;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
WeCreate Events;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Weekbladpers Tijdschriften;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Werkcentra;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Westerbeek Mediaproducties;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Westergasterras B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Westfries Gasthuis Holding B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Westhaghe Training en Advies B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Wiefferink B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
