"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1587","Zona Rosa Road Improvements","Platte","Park Hill","303.08","* 2,742,985","* 1,122,683",," "," "," ","       ","2008","Completed","* 6","City Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","$6 million of new roads for lifestyle center expansion","Bonnie Poteet","No","No"
"1432","Zona Rosa Lifestyle Center - II","Platte","Park Hill","303.08","* 2,742,985","* 1,122,683","7430","NW","87th","St","7430 NW 87th St","2010","Completed","* 120","Non-Residential","Building","New","Retail","Building","New","Retail / Office / Housing","Mix",,,,,"* 50","expansion of mixed use complex through 400,000 sq. ft. of retail, 35,000 sq. ft. of offices, and 50 apartments","Bonnie Poteet","No","No"
"1495","Carrington Park Multifamily Housing","Clay","Platte County","212.07","* 2,760,784","* 1,122,640","8720","N","Hickory","St","8720 N Hickory St","2006","Completed","* 28","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 298","298 multifamily homes built since 2005"," ","No","No"
"1478","Carrington Park Apartments","Clay","Platte County","212.07","* 2,760,784","* 1,122,640","8621","N","Hickory","St","8621 N Hickory St","2008","Completed","* 29","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 298","298 new apartments","Platte Purchase Development LLC","No","No"
"846","Line Creek Meadows Residential","Platte","Platte County","302.05","* 2,754,574","* 1,122,539","8531","N","Robinhood","Av","8531 N Robinhood Av","2018","Underway","* 68","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 315","245 single family homes, and 70 multifamily units built 1990 to 2011","D.R. Horton Custom Homes","No","No"
"421","Boardwalk Square Commercial","Platte","Park Hill","302.11","* 2,745,352","* 1,122,531","8401","N","Boardwalk","Av","8401 N Boardwalk Av","2002","Completed","* 71","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 831,000 sq. ft. shopping center","Tapp Development Co. and Central Life Assurance Co.","No","No"
"1004","Thistle Hill Single Family Homes","Platte","Park Hill","303.08","* 2,741,842","* 1,122,397","7309","NW","85th","Te","7309 NW 85th Te","2002","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 51","51 single family homes built 1990 to 2002"," ","No","No"
"1496","Preserve, The Single Family Homes","Clay","Liberty","213.09","* 2,793,358","* 1,122,371","8432","N","Marsh","Av","8432 N Marsh Av","2018","Underway","* 86","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 108","108 single family homes built since 2002","Shoal Creek Valley Development LLC","No","No"
"837","Wildwood Single Family Homes","Platte","Park Hill","303.08","* 2,734,361","* 1,122,353","8500","N","Wayland","Av","8500 N Wayland Av","2006","Completed","* 18","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 103","103 single family homes built 1990 to 2006"," ","No","No"
"919","Kendallwood Hills Ests. Retirement Expan.","Platte","Platte County","302.05","* 2,755,693","* 1,122,347","8559","N","Line Creek","Pkwy","8559 N Line Creek Pkwy","2006","Completed","* 16","Residential","Building","New","Housing","Building","New","Housing / Entertainment","Multifamily",,,,,"* 170","expansion of retirement center to add 70 apartments, 70 condominiums, 30 townhouses, swimming pools, tennis courts, and exercise facilities","Kendallwood Hills Estates","No","No"
"1490","Barry Ridge Duplexes","Clay","North Kansas City","212.05","* 2,772,414","* 1,122,293","1705","NE","85th","Te","1705 NE 85th Te","2013","Completed","* 12","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 54","54 duplex units built 2005 to 2013","Baldwin Properties, Inc.","No","No"
"840","Brittany Woodscastle Single Family","Platte","Park Hill","303.08","* 2,736,965","* 1,122,291","8531","N","Chalmers","Av","8531 N Chalmers Av","2019","Underway","* 46","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 147","147 single family homes built since 1990","Don Bell","No","No"
"420","Barry Towne Retail","Clay","Platte County","212.07","* 2,761,639","* 1,122,257","8500","N","Madison","Av","8500 N Madison Av","2005","Completed","* 111","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 632,000 sq. ft. retail center","MD Management","No","No"
"379","M-152 Impvts.: US 169 to N Brighton","Clay","North Kansas City","212.05","* 2,775,612","* 1,122,255",," "," "," ","       ","1999","Completed","* 11","Other Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","new 4-lane freeway","Missouri Department of Transportation","No","No"
"774","Barclay Club Apartments","Platte","Platte County","302.05","* 2,754,142","* 1,122,197","3900","NW","85th","Te","3900 NW 85th Te","2002","Completed","* 106","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 400","400 new multifamily housing units"," ","No","No"
"811","The Fairways Single Family Homes","Clay","Liberty","213.09","* 2,791,023","* 1,122,171","8600","N","Richmond","Av","8600 N Richmond Av","2007","Completed","* 81","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 196","196 single family homes built since 1990","Hunt Midwest Real Estate Development","No","No"
"1102","Shoal Creek Valley Non-Residential","Clay","Liberty","213.09","* 2,794,616","* 1,122,149","8000","N","Shoal Creek","Pkwy","8000 N Shoal Creek Pkwy","2022","Underway","* 800","Non-Residential","Building","New","Retail","Building / Open Space","New","Retail / Office / Recreation"," ",,,,," ","7 million sq. ft. of office and retail space and 480 acres of open space","Shoal Creek Valley Development LLC","No","No"
"416","St. Luke's Northland Hospital Expansion I","Platte","Park Hill","302.11","* 2,746,447","* 1,122,121","5830","NW","Barry","Rd","5830 NW Barry Rd","1997","Completed","* 11","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","100,000 sq. ft. expansion of medical space","St. Lukes Northland Hospital","No","No"
"924","St. Luke's Northland Hospital Expansion II","Platte","Park Hill","302.11","* 2,746,447","* 1,122,121","5830","NW","Barry","Rd","5830 NW Barry Rd","2005","Completed","* 39","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","65,000 sq. ft. hospital expansion, including two patient floors, a connector link to a medical office building, and additions to the energy center","St. Luke's Northland Hospital","No","No"
"946","Maplewoods Parkway - Barry to 96th","Clay","North Kansas City","212.05","* 2,773,769","* 1,122,036",," "," "," ","       ","2009","Completed","* 20","City Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","$20 million new parkway and interchange","City of Kansas City, MO","No","No"
"1150","Gardens at Barry Road Retirement Center I","Platte","Park Hill","303.08","* 2,738,932","* 1,122,030","8300","NW","Barry","Rd","8300 NW Barry Rd","2003","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 79","79-unit first phase of a new retirement community"," ","No","No"
"1491","Robincrest Village Duplexes","Platte","Platte County","302.05","* 2,753,927","* 1,121,859","3639","NW","85th","St","3639 NW 85th St","2008","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 77","77 duplex units built 2005 to 2008"," ","No","No"
"1654","Barry Brooke Single Family Homes","Clay","North Kansas City","212.05","* 2,781,066","* 1,121,782","4405","NE","85th","St","4405 NE 85th St","2018","Underway","* 16","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 78","78 single family homes built since 2006"," ","No","No"
"700","Thoroughbred Ford Showroom","Platte","Park Hill","302.11","* 2,744,668","* 1,121,659","6530","NW","Barry","Rd","6530 NW Barry Rd","1996","Completed","* 4","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 30,000 sq. ft. auto showroom","Thoroughbred Ford, Inc.","No","No"
"945","Barry Rd. Widening - I-29 to Westside Dr.","Platte","Park Hill","302.08999999999997","* 2,739,152","* 1,121,632",," "," "," ","       ","2007","Completed","* 23","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","$22 million road widening","City of Kansas City, MO","No","No"
"609","Embassy Plaza Retail","Platte","Park Hill","302.07","* 2,747,013","* 1,121,535","5801","NW","Barry","Rd","5801 NW Barry Rd","2001","Completed","* 11","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","$11 million shopping center","Peterson Companies","No","No"
"724","Hy-Vee Supermarket","Platte","Park Hill","302.07","* 2,747,087","* 1,121,470","8301","NW","St. Clair","Av","8301 NW St. Clair Av","1996","Completed","* 9","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 60,000 sq. ft. supermarket","Hy-Vee","No","No"
"1072","Osco Store - Barry & Green Hills","Platte","Platte County","302.05","* 2,751,820","* 1,121,450","4400","NW","Barry","Rd","4400 NW Barry Rd","2002","Completed","* 3","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 15,000 sq. ft. retail store","Osco","No","No"
"1932","Ball's Price Chopper","Clay","North Kansas City","212.06","* 2,767,483","* 1,121,447","500","NE","Barry","Rd","500 NE Barry Rd","2013","Completed","* 6","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new $6 million retail store"," ","No","No"
"2070","Residences at Valley Forest Duplexes","Platte","Park Hill","302.08999999999997","* 2,738,448","* 1,121,403","8319","N","Nodaway","Av","8319 N Nodaway Av","2018","Underway","* 3","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 30","30 duplex housing units built since 2014",,"No","No"
"1349","Bank of America","Platte","Park Hill","302.08999999999997","* 2,743,564","* 1,121,393","8351","NW","Prairie View","Rd","8351 NW Prairie View Rd","2005","Completed","* 3","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new $3 million bank","Bank of America","No","No"
"1132","Ultimate Electronics Store","Platte","Platte County","302.05","* 2,758,498","* 1,121,344","2251","NW","Barry","Rd","2251 NW Barry Rd","2003","Completed","* 3","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 32,000 sq. ft. store","Ultimate Electronics Inc.","No","No"
"728","Wilshire Plaza Retail","Clay","Liberty","213.09","* 2,799,750","* 1,121,258","8561","N","Evanston","Av","8561 N Evanston Av","2005","Completed","* 116","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 535,000 sq. ft. retail center"," ","No","No"
"1070","Park Hill High Addition & Remodeling","Platte","Park Hill","302.08999999999997","* 2,740,530","* 1,121,165","7701","NW","Barry","Rd","7701 NW Barry Rd","2001","Completed","* 7","Non-Residential","Building","Expansion","Education","Building","Expansion / Renovation","Education"," ",,,,," ","$7 million expansion and remodeling of school","Park Hill School District","No","No"
"1086","North Patrol Division Addition & Renov.","Clay","Platte County","212.08","* 2,762,665","* 1,120,953","1001","NW","Barry","Rd","1001 NW Barry Rd","2005","Completed","* 7","Non-Residential","Building","Expansion","Public Safety","Building","Expansion / Renovation","Public Safety"," ",,,,," ","$7 million addition and renovation to police building","City of Kansas City, MO","No","No"
"1433","Maple Woods Tornado Shelter","Clay","North Kansas City","212.06","* 2,776,866","* 1,120,846","3100","NE","83rd","St","3100 NE 83rd St","2007","Completed","* 3","Non-Residential","Building","Expansion","Public Safety","Building","Expansion","Public Safety"," ",,,,," ","new tornado shelter","Metropolitan Community Colleges","No","No"
"365","Maplewoods Human Serv. & Student Cen.","Clay","North Kansas City","212.06","* 2,776,885","* 1,120,783","3100","NE","83rd","St","3100 NE 83rd St","1996","Completed","* 8","Non-Residential","Building","Expansion","Social Service","Building","Expansion","Social Service / Education"," ",,,,," ","new 84,000 sq. ft. social service center and 22,000 sq. ft. student center","Maplewoods Community College","No","No"
"1364","Brighton Woods North Fourplexes","Clay","North Kansas City","212.05","* 2,781,236","* 1,120,740","4517","NE","83rd","Te","4517 NE 83rd Te","2019","Underway","* 29","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 248","248 fourplexes built since 2003"," ","No","No"
"767","Guaranty Bank and Trust","Clay","Liberty","213.07","* 2,799,223","* 1,120,691","9601","NE","Barry","Rd","9601 NE Barry Rd","1999","Completed","* 5","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new $5 million commercial building"," ","No","No"
"1675","Cordillera Ranch Apts, The Village","Clay","Liberty","213.07","* 2,794,001","* 1,120,620","8320","N","Skiles","Av","8320 N Skiles Av","2011","Completed","* 43","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 324","324 new apartments built since 2008"," ","No","No"
"2059","Village at Shoal Creek Retail","Clay","Liberty","213.07","* 2,795,314","* 1,120,619","8353","N","Booth","Av","8353 N Booth Av","2015","Underway","* 5","Non-Residential","Building","New","Retail","Building","New","Retail",,,,,,,"new $5 million retail center","Shoal Creek Valley Development LLC","No","No"
