Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
882,Holiday Inn Express - Northeast,Clay,8150,N,Church,Rd,2000,Completed,3,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,70,,new 70-room hotel,Holiday Inn,No,No,"8150 Church Rd
Kansas City, MO
(39.24000386600045, -94.4606040329997)",244,6,4,122
1127,Paseo West Fiber Optic Wiring,Jackson,1001, ,Forest,Av,2000,Completed,5,Other Capital Improvement,Infrastructure,New,Fiber Optic,Infrastructure,New,Fiber Optic, ,,,,,,$5 million worth of fiber optic improvements,IXC Telecommunications and McLeodUSA,No,No,"1001 Forest Av
Kansas City, MO
(39.10159813700045, -94.56842490199966)",183,3,7,75
971,U.S. 69 Highway - I-35 S to I-35 N,Clay,, , , ,2000,Completed,8,Other Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$8 million road widening and resurfacing,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
533,St. Joseph Hospital Expansion,Jackson,1000, ,Carondelet,Dr,2000,Completed,7,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"$7 million 19,000 sq. ft. intensive care unit",St. Joseph Hospital,No,No,"1000 Carondelet Dr
Kansas City, MO
(38.935051202000466, -94.6016736469997)",90,1,7,162
891,9200 Ward Parkway Renovation,Jackson,9200, ,Ward,Pkwy,2000,Completed,3,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,110000,,,,,$3 million office renovation,TA Associates Realty,No,No,"9200 Ward Pkwy
Kansas City, MO
(38.96282916000047, -94.6038932299997)",210,1,7,162
511,Starlight Theater Stage Expansion,Jackson,4600, ,Starlight,Rd,2000,Completed,5,Non-Residential,Building,Expansion,Entertainment,Building,Expansion,Entertainment, ,,,,,,$5 million expansion of the stage at Starlight Theater,"City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
798,Somerset Hills Single Family Homes,Jackson,12303, ,Oak,St,2000,Completed,20,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,71,71 single family homes built 1990 to 2000,Barry Ashner,No,No,"12303 Oak St
Kansas City, MO
(38.903876358000446, -94.58817966999965)",95,1,7,129
970,I-435 Median Lanes - State Line to 71 Hy.,Jackson,, , , ,2000,Completed,20,Other Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$20 million addition of median lanes to highway,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
796,Pebble Creek Single Family Homes,Jackson,13801,E,50th,St,2000,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,54,54 single family homes built 1990 to 2000, ,No,No,"13801 50th St
Kansas City, MO
(39.029844237000475, -94.41761995499968)",61,2,7,37
471,Kauffman Foundation Headquarters,Jackson,4801, ,Rockhill,Rd,2000,Completed,57,Non-Residential,Building,New,Office,Building / Open Space,New,Office / Recreation / Meeting Space, ,90000,,,,,"90,000 sq. ft. foundation offices, 40,000 sq. ft. community training and conference center, and 4-acre formal garden",Kauffman Foundation and Powell Gardens,No,No,"4801 Rockhill Rd
Kansas City, MO
(39.03968668000044, -94.57847580099968)",157,4,7,165
637,Shoal Creek Elementary School,Clay,9000,NE,Flintlock,Rd,2000,Completed,7,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $7 million school,Liberty School District,No,No,"9000 Flintlock Rd
Kansas City, MO
(39.2573207530005, -94.46528651799969)",244,6,4,152
779,Independence Plaza Infill Housing,Jackson,2412,E,11th,St,2000,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,31,31 new infill housing units,Old Northeast Inc.,No,No,"2412 11th St
Kansas City, MO
(39.100697986000455, -94.55282978099967)",109,3,7,95
722,Wild Oak Commons Retail,Clay,7987,N,Flintlock,Rd,2000,Completed,14,Non-Residential,Building,New,Retail,Building,New,Retail, ,,96000,,,,"new 96,000 sq. ft. retail development",Southwind Capital,No,No,"7987 Flintlock Rd
Kansas City, MO
(39.23818661600046, -94.46704773499965)",244,6,4,122
791,East Hills Village Apt. Rehab/Comm. Cen.,Jackson,7649, ,Monroe,Av,2000,Completed,2,Residential,Building,Renovation,Housing,Building,Renovation,Housing / Office / Recreation,Multifamily,,,,,,"apartment rehabilitation, leasing office and community center", ,No,No,"7649 Monroe Av
Kansas City, MO
(38.9877533880005, -94.54356188899965)",93,2,7,151
491,Blue Parkway Improvements,Jackson,, , , ,2000,Completed,12,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$12 million project for realignment and reconstruction of Blue Parkway from Swope Pkwy. to Elmwood Av. to meet boulevard standards and to allow better drainage for both the roadway and the uses along it,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
595,Osco Store- Independence & Prospect,Jackson,2435, ,Independence,Av,2000,Completed,2,Non-Residential,Building,New,Retail,Building,New,Retail, ,,10000,,,,"new 10,000 sq. ft. retail store",Osco,No,No,"2435 Independence Av
Kansas City, MO
(39.10630261200049, -94.55160036399968)",109,3,7,70
560,Tower II Office Building,Jackson,805, ,Pennsylvania,Av,2000,Completed,20,Non-Residential,Building,New,Office,Building,New,Office, ,224000,,,,,"new 224,000 sq. ft. office building",DST Realty Inc.,No,No,"805 Pennsylvania Av
Kansas City, MO
(39.10426608500046, -94.59089613599969)",185,4,7,72
871,The Link Skywalk- Union Sta.-Crown Cen.,Jackson,2400, ,Main,St,2000,Completed,13,Other Capital Improvement,Infrastructure,New,Skywalk,Infrastructure,New,Skywalk, ,,,,,,$13 million skywalk,Union Station Assistance Corp.,No,No,"2400 Main St
Kansas City, MO
(39.08385433300049, -94.58416967799968)",97,4,7,92
495,Department of Agriculture,Jackson,6501, ,Beacon,Dr,2000,Completed,40,Non-Residential,Building,New,Office,Building,New,Office, ,327000,,,,,"new 327,000 sq. ft. office building",U.S. Government,No,No,"6501 Beacon Dr
Kansas City, MO
(39.00903534600047, -94.50924587899965)",169,2,7,37
833,Deerfield East Single Family Homes,Clay,10308,N,Grand,Av,2000,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,65,65 single family homes built 1990 to 2000, ,No,No,"10308 Grand Av
Kansas City, MO
(39.281261223000456, -94.57810626599968)",104,5,4,82
733,Walgreen Drug Store - 63rd and Troost,Jackson,1100,E,63rd,St,2000,Completed,3,Non-Residential,Building,New,Retail,Building,New,Retail, ,,14000,,,,"new 14,000 sq. ft. drugstore",Walgreens,No,No,"1100 63rd St
Kansas City, MO
(39.013277900000446, -94.57437892899969)",1,2,7,165
415,State Street Bank Data Center,Platte,7901,NW,112th,St,2000,Completed,34,Non-Residential,Building,New,Office,Building,New,Office, ,105000,,,,,"new 105,000 sq. ft. office building",State Street Corp.,No,No,"7901 112th St
Kansas City, MO
(39.296573270000465, -94.67863065799969)",203,5,3,130
772,Vintage at Pheasant Run Apartments,Platte,8837,N,Congress,Av,2000,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,308,308 new multifamily housing units,SIA Partners,No,No,"8837 Congress Av
Kansas City, MO
(39.256472731000486, -94.66424550599965)",184,5,3,130
579,T.B. Watkins Apartments Renovation,Jackson,1301, ,Vine,St,2000,Completed,17,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,232,renovation and reconfiguration of 288-unit apartment complex into 232 units,Kansas City Housing Authority,No,No,"1301 Vine St
Kansas City, MO
(39.09665085800049, -94.56310571799969)",134,3,7,75
483,Valencia Place Office Building,Jackson,422,W,47th,St,2000,Completed,75,Non-Residential,Building,New,Office,Building,New,Office / Retail, ,250000,78000,,,,"new office building with 250,000 sq. ft. of office space, 78,000 sq. ft. of retail space and a 1,450-space parking garage",J.C. Nichols Co.,No,No,"422 47th St
Kansas City, MO
(39.042368326000485, -94.59221253099969)",103,4,7,44
1021,Village Glen Single Family Homes,Jackson,13336, ,Walnut,St,2000,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,19,19 single family homes built 1990 to 2000, ,No,No,"13336 Walnut St
Kansas City, MO
(38.88510346700048, -94.5945257359997)",159,1,7,129
642,Musician's Friend Distribution Center,Jackson,1491,N,Universal ,Av,2000,Completed,5,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,141000,,,"new 141,000 sq. ft. distribution building",Mid-West Terminal Warehouse Co.,No,No,"1491 Universal Av
Kansas City, MO
(39.13355913000049, -94.50609420899968)",53,4,7,144
675,10901 N. Pomona Warehouse,Platte,10901,N,Pomona,Av,2000,Completed,3,Non-Residential,Building,New,Industrial,Building,New,Industrial / Warehouse / Office, ,17000,,40000,,,"new 57,000 sq. ft. office/warehouse  ",Watkins & Company,No,No,"10901 Pomona Av
Kansas City, MO
(39.29124355200048, -94.67135300999968)",203,5,3,130
600,Walgreen Drug Store - 39th and Broadway,Jackson,3841, ,Broadway, ,2000,Completed,6,Non-Residential,Building,New,Retail,Building,New,Retail, ,,70000,,,,new $6 million retail store,H.T. Paul Co.,No,No,"3841 Broadway
Kansas City, MO
(39.05759799500049, -94.59064965499965)",32,4,7,50
419,2301 McGee Office Building,Jackson,2301, ,Mc Gee,St,2000,Completed,42,Non-Residential,Building,New,Office,Building,New,Office / Exhibition Hall, ,180000,,,,,"new 180,000 sq. ft. office building and 54,000 sq. ft. exhibition hall",Crown Center Redevelopment Corp.,No,No,"2301 Mc Gee St
Kansas City, MO
(39.08593905900045, -94.58040520499969)",97,4,7,92
601,Walgreen Drug Store - 46th and Troost,Jackson,4600, ,Troost,Av,2000,Completed,7,Non-Residential,Building,New,Retail,Building,New / Renovation,Retail, ,,24000,,,,"new 24,000 sq. ft. retail building and renovation of existing tower",H.T. Paul Co.,No,No,"4600 Troost Av
Kansas City, MO
(39.043372563000446, -94.57290552399968)",191,4,7,165
785,Citadel Apartments for the Elderly,Jackson,1770, ,Citadel,Dr,2000,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,60,60 new multifamily units for the elderly or disabled,Community Development Corp.,No,No,"1770 Citadel Dr
Kansas City, MO
(39.014629312000466, -94.56464426699966)",64,2,7,157
524,Hoechst Marion Roussel Office/Lab Expan.,Jackson,10236, ,Marion Park,Dr,2000,Completed,116,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,500000,,375000,,,"500,000 sq. ft. of new office space and 375,000 sq. ft. of new manufacturing space",Hoechst Marion Roussel Expansion,No,No,"10236 Marion Park Dr
Kansas City, MO
(38.94449331600049, -94.53340546499965)",108,2,7,149
795,The Villas Duplexes,Jackson,8708, ,Crysler,Av,2000,Completed,29,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,130,130 duplexes built 1990 to 2000,Mock & Sutherland Development Corp.,No,No,"8708 Crysler Av
Kansas City, MO
(38.96295233900048, -94.43806641699967)",8,2,7,98
773,Wild Oak Apartments,Clay,7987,N,Flintlock,Rd,2000,Completed,22,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,352,352 new multifamily housing units,Southwind Capital,No,No,"7987 Flintlock Rd
Kansas City, MO
(39.23818661600046, -94.46704773499965)",244,6,4,122
470,Jefferson on the Plaza Apartments,Jackson,4800, ,Oak,St,2000,Completed,39,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,396,new 396-unit apartment complex,JPI,No,Yes,"4800 Oak St
Kansas City, MO
(39.03980763800047, -94.5824675289997)",157,4,7,44
750,Baptiste Educational Center Renovations,Jackson,5401,E,103rd,St,2000,Completed,3,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$3 million school renovation,Hickman Mills School District,No,No,"5401 103rd St
Kansas City, MO
(38.93861272200047, -94.5263120359997)",108,2,7,149
900,2311 Jefferson Telecom. Hotel Conversion,Jackson,2311, ,Jefferson,St,2000,Completed,5,Non-Residential,Building,Use Conversion,Office,Building,Use Conversion,Office, ,150000,,,,,conversion of former warehouse to offices for telecommunications companies,Grubb & Ellis / The Winbury Group,No,No,"2311 Jefferson St
Kansas City, MO
(39.085297769000476, -94.5925970349997)",238,4,7,92
720,Microtel Inn,Platte,11831,NW,Plaza ,Cir,2000,Completed,4,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,82,,new 82-room hotel, ,No,No,"11831 Plaza Cir
Kansas City, MO
(39.30898351400049, -94.68309706699966)",203,5,3,130
1326,St. Pius High School Expansion & Renovation I,Clay,1500,NE,42nd,Te,2000,Completed,4,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education , ,,,,,,$4 million new library and renovation of classrooms,Catholic Diocese of Kansas City - St. Joseph,No,No,"1500 42nd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
547,Thornberry Center for Youth and Families,Jackson,3831,E,43rd,St,2000,Completed,12,Non-Residential,Building,Expansion,Education,Building,Expansion,Education / Entertainment / Social Service / Meeting Space, ,,,,,,"$12 million expansion and renovation of existing club facilities, including a 46,000 sq. ft. addition primarily for education",Boys & Girls Clubs,No,No,"3831 43rd St
Kansas City, MO
(39.04768263000045, -94.53934172499964)",40,3,7,157
914,Ninth and Walnut Garage,Jackson,830, ,Walnut,St,2001,Completed,3,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,new 144-space parking garage,Tower Properties Co.,No,No,"830 Walnut St
Kansas City, MO
(39.10414537800045, -94.58188784099968)",5,4,7,75
851,Townsend Circle Duplexes,Platte,7015,N,Gower,Av,2001,Completed,14,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,108,108 duplex units built 1990 to 2001, ,No,No,"7015 Gower Av
Kansas City, MO
(39.2220656180005, -94.62028664399969)",186,5,3,66
864,Brookeshire Single Family Homes,Clay,7110,N,Holly,Ct,2001,Completed,20,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,101,101 single family homes built 1990 to 2001, ,No,No,"7110 Holly Ct
Kansas City, MO
(39.22350112200047, -94.59557630699965)",101,5,4,154
426,Ilus Davis Civic Mall,Jackson,, , , ,2001,Completed,14,City Capital Improvement,Open Space,New,Recreation,Open Space,New,Recreation, ,,,,,,6-acre park between City Hall and the new Federal Courthouse,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
640,Exec. Pk. Interstate Cen. Office/Warehouse,Jackson,1850,N,Corrington,Av,2001,Completed,15,Non-Residential,Building,New,Office,Building,New,Office / Warehouse, ,23000,,150000,,,"new 173,000 sq. ft. office warehouses",Welsh Companies,No,No,"1850 Corrington Av
Kansas City, MO
(39.135994397000445, -94.49610844999967)",53,4,7,144
877,Hotel Phillips Renovation,Jackson,106,W,12th,St,2001,Completed,20,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,217,,$20 million renovation of 217-room hotel,Marcus Hotels and Resorts,No,No,"106 12th St
Kansas City, MO
(39.09997786500048, -94.58467026399967)",5,4,7,72
904,Watkins Motor Lines Terminal,Clay,4051,N,Norfleet,Av,2001,Completed,10,Non-Residential,Building,New,Transportation,Building,New,Transportation, ,,,200000,,,new $10 million trucking terminal,Watkins Motor Lines Inc.,No,No,"4051 Norfleet Av
Kansas City, MO
(39.16839275700045, -94.42786440299966)",138,6,4,116
575,"Longfellow Heights Residential I, II & III",Jackson,2600, ,Harrison,St,2001,Completed,23,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,302,302 new garden apartments and townhomes,McCormack Baron and Assocs.,No,Yes,"2600 Harrison St
Kansas City, MO
(39.07940230200046, -94.57220553699966)",158,3,7,92
1003,Copper Creek Residential,Platte,8608,NW,81st,Te,2001,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,108,"49 single family homes, 2 duplex units,  33 triplex units, and 24 fourplex units built 1990 to 2001", ,No,No,"8608 81st
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1070,Park Hill High Addition & Remodeling,Platte,7701,NW,Barry,Rd,2001,Completed,7,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education, ,,,,,,$7 million expansion and remodeling of school,Park Hill School District,No,No,"7701 Barry Rd
Kansas City, MO
(39.246863601000484, -94.67077091699969)",182,5,3,77
879,Wal-Mart Supercen. Hypermart Conversion,Jackson,9051, ,Hillcrest,Rd,2001,Completed,5,Non-Residential,Building,Style Conversion,Retail,Building,Style Conversion,Retail, ,,270000,,,,conversion of Hypermart to Supercenter,Wal-Mart Stores Inc.,No,No,"9051 Hillcrest Rd
Kansas City, MO
(38.96103299800046, -94.5196826239997)",35,2,7,98
374,Chouteau Bridge Reconstruction,Clay,, , , ,2001,Completed,35,Other Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$35 million new bridge to replace old bridge over Missouri River,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
889,St. Elizabeth School Addition,Jackson,14,W,75th,St,2001,Completed,4,Non-Residential,Building,Expansion,Education,Building,Addition,Education, ,,,,,,$4 million addition to school,Catholic Diocese of Kansas City - St. Joseph,No,No,"14 75th St
Kansas City, MO
(38.99218522700045, -94.58979226599968)",146,1,7,162
