"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","900","900","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","80000","80000","Parks and Recreation","Parks and Recreation","Cultural Arts Fees & Permits","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","653258","653258","KC Airports","KC Airports","Prop Rent-NonAviation-Ground","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","-3395300","-3395300","Convention and Tourism","Convention and Tourism","Restaurant - Contra","Convention & Tourism Taxes Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Bruce R Watkins Center Rentals","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","35356","35356","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Rental Income","7200","7200","Stormwater","Stormwater","Rent Of Misc Bldgs & Lots","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Gaming Revenues","6800000","6800000","General Fund","General Fund","Gaming-Admissions","Gaming Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","9411000","9411000","General Fund","General Fund","Natural Gas Companies","Utility Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","700","700","STIF East Village","STIF East Village","EAT-County","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","120000","120000","Golf Operations","Golf Operations","Driving Range-Blue River","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Neighborhood Dumpsters- Dem","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Cliff Drive Scenic Byway 2013","State Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Federal Grants","15000","15000","KC Airports","KC Airports","Other Operating Grants (TSA)","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","43259","43259","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Miscellaneous Revenues","0","0","KC Airports","KC Airports","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","115000","115000","Golf Operations","Golf Operations","Pro Shop Sales & Rent-Swope Me","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","STP -  North Oak - 96th to 111th","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Service Charges-General Gov't","150000","150000","Street Car ","Street Car ","Advertising Income","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","100","100","STIF HOK Sport Garage","STIF HOK Sport Garage","Cable TV - Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","300000","300000","General Fund","General Fund","Weed Cutting Fees","Service Charges-Public Safety"
"2019","Finance and Governance","Human Resources","Recruitment and Selections","Other Contributions","75000","75000","Neighborhood Grants","Neighborhood Grants","Misc Contributions","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","428760","428760","General Debt And Interest","General Debt And Interest","Pers Prop Tax-Prior","Property Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","Performing Arts Center Garage","Performing Arts Center Garage","Proceeds from the CID Sales Tax","Other Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","70400","70400","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Proceeds from the CID Sales Tax","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Service Charges-General Gov't","100","100","General Fund","General Fund","Reg Ind Bad Check Penalty Fees","Service Charges-General Gov't"
"2019","Public Safety","Municipal Court","Court Operations","Fines & Forfeitures","100000","100000","General Fund","General Fund","Animal Control Fines - Chap 14","Fines & Forfeitures"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","6500","6500","Parks and Recreation","Parks and Recreation","Grove Pool-Concessions","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Other Contributions","0","0","Capital Improvements","Capital Improvements","Misc Contributions","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","2818","2818","Convention And Sports Complex","Convention And Sports Complex","Interest On Investments","Interest"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","24000","24000","Parking Garage","Parking Garage","Rental-KC Mo Public Bldg Aut","Rental Income"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Miscellaneous Revenues","5000","5000","KC Airports","KC Airports","Miscellaneous Income","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Water","-350000","-350000","Water","Water","Water Refunds","Service Charges-Water"
"2019","Finance and Governance","Finance","Finance Revenues","Licenses & Permits","9275000","9275000","Downtown Arena Project Fund","Downtown Arena Project Fund","Car Rental Fee - Arena","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Federal Grants","242000","242000","KC Airports","KC Airports","Federal K-9 Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","610000","610000","Golf Operations","Golf Operations","Green Fees-Swope Memorial","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","277200","277200","STIF Hotel President","STIF Hotel President","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Maternal Family and Child Health","Other Contributions","10000","10000","Health Levy","Health Levy","AIM 4 Peace","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","STP Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","593634","593634","Parks and Recreation","Parks and Recreation","SPSV Synthetic Field Rentals","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","781600","781600","TIF Special Allocation","TIF Special Allocation","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","-4593600","-4593600","General Fund","General Fund","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","41800000","41800000","Parks and Recreation","Parks and Recreation","Sales Tax","Sales Tax"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","OJJDP Comm Violence Prevention","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","58167","58167","Museum","Museum","Rr & Util Tax Real Prop-Curr","Property Taxes"
"2019","Finance and Governance","Office of the City Manager","City Manager Revenues","Service Charges-General Gov't","0","0","General Fund","General Fund","Adm Service Fees-Aviation Dept","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Fines & Forfeitures","360000","360000","Parks and Recreation","Parks and Recreation","Parking Fines Youth","Fines & Forfeitures"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","6000","6000","Parks and Recreation","Parks and Recreation","Budd Pool-Admissions and Other","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","40000","40000","Water","Water","Sale Of Scrap Metal","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","30722","30722","Sewer","Sewer","Parkville Sewer Serv Charges","Service Charges-Sewer"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","1530616","1530616","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","90000","90000","General Fund","General Fund","Coin Operated Amuse Device Fee","Licenses & Permits"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","18444743","18444743","Sewer","Sewer","103rd & State Line Swr Serv Ch","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Property Taxes - Pilots","440000","440000","Strategic Neighborhoods","Strategic Neighborhoods","Surplus PILOTS","Property Taxes - Pilots"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","430000","430000","KC Airports","KC Airports","Terminal Lease - Other","KCI Airport"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","23503800","23503800","KC Airports","KC Airports","Parking- On Airport - Terminal","KCI Airport"
