LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #116,12756,OLIVE STREET ROAD,ST LOUIS,MO,63141,3142983800,52915,82859,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #116,12756,OLIVE STREET ROAD,ST LOUIS,MO,63141,3142983800,52915,71194,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
HERKY ENTERPRISES INC.,CONCORD GRILL,11427,CONCORD VILLAGE,ST LOUIS,MO,631236907,3148495239,52923,53687,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
"STINSON, ROY L.",VARIETY SHOP #2,,HWY 34 & B JUNCTION,MARBLE HILL,MO,637649502,5732384360,52990,71301,OPL,SOP ,BOLLINGER,4,00,,,,
MASSA LTD.,MASSAS,15310,MANCHESTER ROAD,ELLISVILLE,MO,63011,6363913700,53018,0,RBD,    ,ST. LOUIS CO.,3,00,,,,
SCHAPPE INC.,TUNERS ON MAIN STREET,130,S MAIN STREET,ST CHARLES,MO,63301,6367249212,53186,284668,RBD,SBD ,ST. CHARLES,3,00,"(38.7805246, -90.4816299)",48,195,2177
"FINK, WILLIAM ROBERT",FINKS DISCOUNT FOODS,1000,HWY 50 WEST,UNION,MO,630841900,6365831000,53252,74030,OPL,SOP ,FRANKLIN,2,00,,,,
RUIZ MEXICAN CUISINE INC.,RUIZ MEXICAN RESTAURANT AND CANTINA,901,HWY 67 NORTH,FLORISSANT,MO,630312917,3148383500,53262,53263,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
BOONE COUNTRY MEATS INC.,BAVARIAN SMOKE HAUS,,HWY Z & D,NEW MELLE,MO,633650115,6368284189,53265,0,OPL,    ,ST. CHARLES,3,00,,,,
HANNIBAL SANDYS INC.,MARK TWAIN AMOCO,624,MARK TWAIN AVENUE,HANNIBAL,MO,634013251,5732480062,53291,73050,OPL,SOP ,MARION,2,00,"(39.713607, -91.36478199999999)",24,477,2122
FRATERNAL ORDER OF EAGLES 4227,AERIE 4227,,HWY 34 EAST,PIEDMONT,MO,639570411,5732232233,53310,53311,RBDE,SBD ,WAYNE,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2726,LODGE 2726 OAKVILLE,4261,BURGHILL DRIVE,ST LOUIS,MO,631293854,3148949550,53327,53328,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
STE. GENEVIEVE JAYCEES,,19009,HWY 61,STE GENEVIEVE,MO,63670,5738833008,53419,53420,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
"WENGLER, PAUL J. JR.",CHEROKEE PASS PACKAGE LIQUOR,,HWY 67 & A JUNCTION,FREDERICKTOWN,MO,63645,5737837356,53445,73581,OPL,SOP ,MADISON,4,00,,,,
REGATTA LANES INC.,BEAR CREEK VALLEY,,HWY 42,OSAGE BEACH,MO,650655763,5733021000,53456,54912,RBD,SBD ,MILLER,2,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #245,17815,E 39TH STREET,INDEPENDENCE,MO,640556726,8164780245,53517,73353,OPL,SOP ,JACKSON,1,00,"(39.04802129999999, -94.3692892)",43,157,525
MARTIN & BAYLEY INC.,HUCKS CONVENIENT FOOD STORES #252,3443,WATSON ROAD,ST LOUIS,MO,631392054,3146456723,53688,0,5OP,    ,ST. LOUIS CITY,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #141,9074,OVERLAND PLAZA,OVERLAND,MO,63114,3142983800,53709,71129,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #141,9074,OVERLAND PLAZA,OVERLAND,MO,63114,3142983800,53709,84080,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
NORTH DRAGON CHINESE RESTAURANT INC.,NORTH DRAGON CHINESE RESTAURANT,6245,N OAK TRAFFICWAY,OAKVIEW,MO,64118,8164522029,53729,53730,RBDR,SBD ,CLAY,1,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #143,3430,S GRAND BLVD,ST LOUIS,MO,63118,3142983800,53740,83639,OPL,OPT ,ST. LOUIS CITY,3,00,"(38.594674, -90.24253)",54,200,2223
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #143,3430,S GRAND BLVD,ST LOUIS,MO,63118,3142983800,53740,71152,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.594674, -90.24253)",54,200,2223
J D'S QUICK STOP INC.,J D'S QUICK STOP,1529,N MAIN,POPLAR BLUFF,MO,639013411,5737850360,53741,74805,OPL,SOP ,BUTLER,4,00,,,,
FRATERNAL ORDER OF EAGLES 4235,AERIE 4235,102,HWY J NORTH,HAYTI,MO,63851,5733590340,53744,53745,RBDE,SBD ,PEMISCOT,4,00,,,,
ASV WINES INC.,ASV WINES,31502,PETERSON RD,MCFARLAND,CA,93250,6617923159,53763,0,22S,    ,OUT OF STATE,7,00,,,,
PRINCESS GARDEN INC.,PRINCESS GARDEN RESTAURANT,8906,WORNALL ROAD,KANSAS CITY,MO,641143605,8164443709,53811,53812,RBD,SBD ,JACKSON,1,00,"(38.9662866, -94.5960499)",43,167,525
VETERANS OF FOREIGN WARS,VFW POST 2654,1347,S MORLEY STREET,MOBERLY,MO,65270,6602636030,53885,53886,RBD,SBD ,RANDOLPH,2,00,,,,
VETERANS OF FOREIGN WARS,POST 3485 J.A. ASHBY,,BALLPARK ROAD,DONIPHAN,MO,639350000,5739963016,53919,0,RBDE,    ,RIPLEY,4,00,,,,
"WHITE, TERRI A.",TERRI'S,520,STATE STREET,MOUND CITY,MO,644701441,6604425516,53927,0,5BDW,    ,HOLT,1,00,,,,
ST. COLUMBKILL ASSOCIATION,KNIGHTS OF COLUMBUS,6800,K C LANE,HOUSE SPRINGS,MO,63051,6366713366,54136,54137,RBD,SBD ,JEFFERSON,3,00,,,,
AMERICAN LEGION 111,ST. LOUIS COUNTY MEMORIAL POST BLDG ASSN,7300,LANSDOWNE,SHREWSBURY,MO,631192834,3146459921,54402,54403,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5918034, -90.32167299999999)",51,228,2210
BOSIKO INC.,7-ELEVEN STORE 27379A,8250,WATSON ROAD,MARLBOROUGH,MO,63119,3148434075,54479,71859,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.566234, -90.348176)",51,235,2210
ST. ROBERTS PARISH,,1424,FIRST CAPITAL DRIVE,ST CHARLES,MO,633033799,6369466799,54506,0,RBD,    ,ST. CHARLES,3,00,,,,
TDL COUNTRY CLUB INC.,TDL COUNTRY CLUB,1424,RUE RIVIERA,BONNE TERRE,MO,636288919,5735627528,54572,54573,RBDR,SBD ,ST. FRANCOIS,4,00,"(37.89703350000001, -90.6087289)",74,323,540
MARTIN & BAYLEY INC.,HUCK'S CONVENIENCE FOOD STORE #222,2875,ST PETER & HOWELL ROAD,ST PETERS,MO,633762842,6364474256,54639,73114,OPL,SOP ,ST. CHARLES,3,00,,,,
QUIK TRIP CORPORATION,QUIK TRIP #624,9101,GRAVOIS ROAD,ST. LOUIS COUNTY,MO,631234523,3148326000,54707,71476,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.555284, -90.315259)",51,235,2210
"MITCHELL, DARYL E.",MITCHELL'S PACKAGE LIQUOR,4674,DR MARTIN LUTHER KING DR,ST LOUIS,MO,631132312,3145353865,55196,72562,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
"MITCHELL, DARYL E.",MITCHELL'S PACKAGE LIQUOR,4674,DR MARTIN LUTHER KING DR,ST LOUIS,MO,631132312,3145353865,55196,97271,OPL,OPT ,ST. LOUIS CITY,3,00,,,,
SMOKEHOUSE BBQ INC.,SMOKEHOUSE BBQ,19000,E 39TH STREET,INDEPENDENCE,MO,640572315,8167955555,55205,57280,RBD,SBD ,JACKSON,1,00,"(39.0484186, -94.3564368)",43,157,525
ST. CHARLES PUBLIC PARK BOARD,MEMORIAL HALL,1900,W RANDOLPH,ST CHARLES,MO,633010842,6369493372,55544,0,RBD,    ,ST. CHARLES,3,00,,,,
FAROTTOS PIZZERIA INC.,FAROTTOS ITALIAN RESTAURANT & PIZZERIA,9525,MANCHESTER ROAD,ROCK HILL,MO,63119,3149620048,55631,231258,RBD,RDC5,ST. LOUIS CO.,3,00,"(38.6093368, -90.36508119999999)",51,228,2210
FAROTTOS PIZZERIA INC.,FAROTTOS ITALIAN RESTAURANT & PIZZERIA,9525,MANCHESTER ROAD,ROCK HILL,MO,63119,3149620048,55631,55632,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6093368, -90.36508119999999)",51,228,2210
OELLERMANN'S MARKET INC.,OELLERMANN'S MARKET,9526,LACKLAND ROAD,OVERLAND,MO,631143628,3144275596,55639,0,OPL,    ,ST. LOUIS CO.,3,00,"(38.70044499999999, -90.36748)",51,207,2210
WEST PLAINS DISTRIBUTING COMPANY INC.,PREMIUM BEVERAGE DISTRIBUTING COMPANY,134,N HOWELL AVE,WEST PLAINS,MO,657753341,4172564275,55654,0,LWS,    ,HOWELL,5,00,,,,
HUB CITY SPORTS INC.,JACK'S SPORTING GOODS,1289,E. US HWY 54,CAMDENTON,MO,65020,5733462279,55716,71960,OPL,SOP ,CAMDEN,2,00,,,,
E & J PACKAGE LIQUOR INC.,E & J PACKAGE,939,N. KINGSHIGHWAY,ST. LOUIS,MO,63108,3143670246,56065,71830,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
AMERICAN CZECH EDUCATIONAL CENTER CORP.,AMERICAN CZECH EDUCATIONAL CENTER,4690,LANSDOWNE AVE,ST LOUIS,MO,631161523,3147528168,56111,56112,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.5872327, -90.27529589999999)",54,200,2223
CODY'S ALL INC.,KITTY'S KORNER,4105,HWY 67 NORTH,FLORISSANT,MO,630342825,3147419770,56118,211754,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.816311, -90.280606)",51,181,2210
SMOKE HOUSE MARKET INC.,ANNIE GUNN'S,16806,CHESTERFIELD AIRPORT ROAD,CHESTERFIELD,MO,63017,6365323314,56328,57614,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.66777, -90.579994)",51,219,2210
SMOKE HOUSE MARKET INC.,SMOKE HOUSE MARKET,16806,CHESTERFIELD AIRPORT ROAD,CHESTERFIELD,MO,63017,6365323314,56330,75370,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.66777, -90.579994)",51,219,2210
SMOKE HOUSE MARKET INC.,SMOKE HOUSE MARKET,16806,CHESTERFIELD AIRPORT ROAD,CHESTERFIELD,MO,63017,6365323314,56330,163846,OPL,OPT ,ST. LOUIS CO.,3,00,"(38.66777, -90.579994)",51,219,2210
ST. LOUIS POLICE OFFICERS ASSOCIATION,ST. LOUIS POLICE OFFICERS,3710,HAMPTON,ST LOUIS,MO,631091407,3143533200,56422,0,5BDW,    ,ST. LOUIS CITY,3,00,"(38.5954117, -90.29296870000002)",54,200,2223
COURTYARD MANAGEMENT CORPORATION,COURTYARD BY MARRIOTT IGA,2340,MARKET STREET,ST LOUIS,MO,63103,3142419111,56463,57831,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.629919, -90.21499299999999)",54,200,2223
BANFI PRODUCTS CORPORATION,VILLA BANFI U.S.A.,1111,CEDAR SWAMP ROAD,OLD BROOKVILLE,NY,115452109,5162933500,56478,0,LS,    ,OUT OF STATE,7,00,,,,
BILL'S IMPERIAL INC.,FAS-TRIP #103,,HWY 100 & MILLER STREET,NEW HAVEN,MO,63068,6362393444,56728,74354,OPL,SOP ,FRANKLIN,2,00,,,,
FRATERNAL ORDER OF EAGLES 3934,AERIE 3934,603,W PLAINVIEW,SPRINGFIELD,MO,658102419,4178862701,56761,56762,RBDE,SBD ,GREENE,5,00,"(37.11681, -93.299877)",93,493,1960
ADAM PUCHTA & SON WINE COMPANY,ADAM PUCHTA & SON WINE,1947,FRENE CREEK ROAD,HERMANN,MO,650414103,5734865596,57174,0,DOMW,    ,GASCONADE,2,00,,,,
CITY OF ST. JOSEPH,CITY OF ST. JOSEPH CIVIC ARENA,100,N 4TH STREET,ST JOSEPH,MO,645011765,8162714717,57251,57252,RBD,SBD ,BUCHANAN,1,00,,,,
DEGEARE STORES OF FESTUS INC.,7-ELEVEN STORE 29027,1301,VETERANS DRIVE,FESTUS,MO,63028,6369377330,57334,74420,OPL,SOP ,JEFFERSON,3,00,"(38.2132818, -90.4070866)",62,285,1967
BENEVOLENT PROTECTIVE ORDER OF ELKS 125,LODGE 125,320,S. KENTUCKY,SEDALIA,MO,653014251,6608265391,57528,64590,RBDE,SBD ,PETTIS,2,00,,,,
FKG OIL COMPANY,PACIFIC MOTOMART,279,N PAYNE STREET,PACIFIC,MO,630691284,6362576665,57529,71208,OPL,SOP ,FRANKLIN,2,00,"(38.4839333, -90.755946)",59,249,1958
FRATERNAL ORDER OF EAGLES 4238,AERIE 4238,605,W MULBERRY,PILOT KNOB,MO,636630544,5735467795,57565,57566,RBDE,SBD ,IRON,4,00,,,,
BRANNON INVESTMENT COMPANY INC.,ST. LOUIS CASA LOMA BALLROOM,3354,IOWA AVE,ST LOUIS,MO,631183020,3146648000,57570,57571,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.5939397, -90.2285534)",54,200,2223
BRANNON INVESTMENT COMPANY INC.,ST. LOUIS CASA LOMA BALLROOM,3354,IOWA AVE,ST LOUIS,MO,631183020,3146648000,57570,108437,RBD,EXTH,ST. LOUIS CITY,3,00,"(38.5939397, -90.2285534)",54,200,2223
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #110,577,MID RIVERS MALL DRIVE,ST PETERS,MO,63376,3149944730,57787,138645,OPL,OPT ,ST. CHARLES,3,00,"(38.78706440000001, -90.62644069999999)",48,173,2177
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #110,577,MID RIVERS MALL DRIVE,ST PETERS,MO,63376,3149944730,57787,71120,OPL,SOP ,ST. CHARLES,3,00,"(38.78706440000001, -90.62644069999999)",48,173,2177
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #111,1950,ZUMBEHL ROAD,ST CHARLES,MO,63303,3149944200,57788,71141,OPL,SOP ,ST. CHARLES,3,00,"(38.780775, -90.530534)",48,195,2177
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #111,1950,ZUMBEHL ROAD,ST CHARLES,MO,63303,3149944200,57788,84022,OPL,OPT ,ST. CHARLES,3,00,"(38.780775, -90.530534)",48,195,2177
VETERANS OF FOREIGN WARS POST 4294,POST 4294,,5TH & HELENA STREET,CHARLESTON,MO,63834,5736836301,57801,57802,RBDE,SBD ,MISSISSIPPI,4,00,,,,
FRATERNAL ORDER OF EAGLES 4246,AERIE 4246,2911,HIGH RIDGE BLVD,HIGH RIDGE,MO,630492212,6366771550,57860,57861,RBD,SBD ,JEFFERSON,3,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,,HWY 60 & PINE STREET,MOUNTAIN VIEW,MO,65548,4179345941,57889,72990,OPL,SOP ,HOWELL,5,00,,,,
LAIRD & COMPANY,,1,LAIRD ROAD,SCOBEYVILLE,NJ,077249724,7325420312,57959,0,LS,    ,OUT OF STATE,7,00,"(40.304332, -74.143728)",,,2491
QUIK TRIP CORPORATION,QUIK TRIP #630,2621,WOODSON ROAD,OVERLAND,MO,631144815,3144261811,58054,71851,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.7059632, -90.3617329)",51,207,2210
VETERANS OF FOREIGN WARS 4593,JOHN C. COX POST 4593,129,N MAIN,REPUBLIC,MO,657381470,4177329231,58124,0,RBDE,    ,GREENE,5,00,"(37.119482, -93.480807)",93,492,1960
R WIEMERS INC.,ENTERPRISE PARK LANES,1625,S ENTERPRISE,SPRINGFIELD,MO,65804,4178830511,58173,58904,RBD,SBD ,GREENE,5,00,"(37.184442, -93.251063)",93,493,1960
FAST N FRIENDLY SPRINGFIELD INC.,FAST N FRIENDLY SPRINGFIELD,1451,N KANSAS EXPRESSWAY,SPRINGFIELD,MO,65802,4178644766,58189,73152,OPL,SOP ,GREENE,5,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL #40,,HWY I-44 & 19,CUBA,MO,65453,5738852277,58355,70868,OPL,SOP ,CRAWFORD,4,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL #40,,HWY I-44 & 19,CUBA,MO,65453,5738852277,58355,224791,OPL,OPT ,CRAWFORD,4,00,,,,
PERRY COUNTY SPORTSMAN CLUB,,17,N SHELBY STREET,PERRYVILLE,MO,637751842,5735471557,58406,58407,RBDE,SBD ,PERRY,4,00,,,,
ONE MCKNIGHT PLACE DEVELOPMENT COMPANY,ONE MCKNIGHT PLACE DEVELOPMENT COMPANY,ONE,MCKNIGHT PLACE,UNIVERSITY CITY,MO,631242229,3149930111,58433,58434,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
"DILLARD, RUTHENE E.",TRIPLETT'S GENERAL MERCHANDISE,,HWY 32 & 137 JUNCTION,LICKING,MO,655420502,5736743398,58495,73680,OPL,SOP ,TEXAS,5,00,,,,
ANGELO'S PIZZA & STEAK HOUSE INC.,ANGELO'S,4107,S PROVIDENCE ROAD,COLUMBIA,MO,652037155,5734436100,58764,148036,5BDW,5SBD,BOONE,2,00,"(38.9048277, -92.33606879999999)",40,464,2691
AMERICAN LEGION 554,BLOOMSDALE MEMORIAL POST 554,RR 2,BODINE ROAD,BLOOMSDALE,MO,636709518,5734832517,58787,58788,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
TWISTERS INC.,TWISTERS LOUNGE,3602,ADIE ROAD,ST ANN,MO,630742444,3147313000,58802,210638,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.727851, -90.39692099999999)",51,204,2210
"DESHAZO, PEGGY",KOUNTRY KORNER STORE,,HWY 142 & E JUNCTION,MOODY,MO,65777,4172847421,58916,72980,OPL,SOP ,HOWELL,5,00,,,,
LOMB INC.,LOMBARDO'S TRATTORIA,201,S 20TH STREET,ST LOUIS,MO,63103,3146210666,58979,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.628022, -90.210472)",54,200,2223
SCHUETZEN CO. NO. 1 OF WARREN COMPANY,SCHUETZEN CO. NO. 1 OF WARREN CO.,,SCHUETZEN GROUND ROAD,WARRENTON,MO,63383,6364563035,58989,0,COL,    ,WARREN,2,00,,,,
TRAINWRECK WEST INC.,TRAINWRECK SALOON WESTPORT,314,WEST PORT PLAZA,MARYLAND HEIGHTS,MO,631463004,3144347222,59027,97438,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.701737, -90.4468134)",51,208,2210
ADVANCED CONCEPTS INC.,STADIUM LIQUOR,5110-,5112 BRISTOL AVENUE,KANSAS CITY,MO,64129,8167535678,59094,73374,OPL,SOP ,JACKSON,1,00,"(39.031898, -94.503187)",43,163,525
ADVANCED CONCEPTS INC.,STADIUM LIQUOR,5110-,5112 BRISTOL AVENUE,KANSAS CITY,MO,64129,8167535678,59094,222469,OPL,OPT ,JACKSON,1,00,"(39.031898, -94.503187)",43,163,525
FAST N FRIENDLY SPRINGFIELD INC.,FAST N FRIENDLY SPRINGFIELD,427,S GLENSTONE,SPRINGFIELD,MO,65802,4178698414,59111,0,5OP,    ,GREENE,5,00,"(37.2049123, -93.26213469999999)",93,493,1960
BENEVOLENT PROTECTIVE ORDER OF ELKS 861,LODGE 861,1010,N MADISON,WEBB CITY,MO,64870,4176733671,59148,59149,RBDE,SBD ,JASPER,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 861,LODGE 861,1010,N MADISON,WEBB CITY,MO,64870,4176733671,59148,286195,RBDE,RBDC,JASPER,5,00,,,,
KIRKSVILLE COUNTRY CLUB INC.,KIRKSVILLE COUNTRY CLUB,1115,COUNTRY CLUB DR.,KIRKSVILLE,MO,63501,6606655335,59159,59248,RBD,SBD ,ADAIR,2,00,,,,
CALIFORNIA COUNTRY CLUB,CALIFORNIA COUNTRY CLUB,29713,COUNTRY CLUB RD.,CALIFORNIA,MO,650183307,5737962089,59360,59361,RBDE,SBD ,MONITEAU,2,00,,,,
CAMERON MEMORIAL GOLF CLUB,CAMERON MEMORIAL GOLF CLUB,1000,S PARK STREET,CAMERON,MO,644292368,8166322626,59373,59374,RBDE,SBD ,CLINTON,1,00,,,,
MARGARITAS NORTH INC.,MARGARITAS NORTH,7013,N OAK,GLADSTONE,MO,64118,8167535678,59376,62140,RBD,SBD ,CLAY,1,00,,,,
AMI'S OF ROCK HILL INC.,AMI'S OF ROCK HILL,9824,MANCHESTER ROAD,ROCK HILL,MO,631191246,3149631822,59383,59384,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6060828, -90.3746529)",51,228,2210
HY VEE INC.,HY VEE FOOD & DRUGSTORE,500,N BALTIMORE,KIRKSVILLE,MO,635013214,6606658335,59531,71544,OPL,SOP ,ADAIR,2,00,"(40.1976177, -92.5695131)",12,32,509
HY VEE INC.,HY VEE FOOD & DRUGSTORE,500,N BALTIMORE,KIRKSVILLE,MO,635013214,6606658335,59531,82989,OPL,OPT ,ADAIR,2,00,"(40.1976177, -92.5695131)",12,32,509
"HOLLAND, DONALD W. & LINDA L.",T STOP,10101,STATE ROUTE T,SAVANNAH,MO,644852406,8163244512,59640,73556,OPL,SOP ,ANDREW,1,00,"(39.9231728, -94.8562539)",17,54,2647
"HOLLAND, DONALD W. & LINDA L.",T STOP,10101,STATE ROUTE T,SAVANNAH,MO,644852406,8163244512,59640,73556,OPL,SOP ,ANDREW,1,00,"(39.9231728, -94.8562539)",17,54,2647
HANNIBAL COUNTRY CLUB INC.,,1200,COUNTRY CLUB DRIVE,HANNIBAL,MO,634012619,5732481123,59810,59811,RBD,SBD ,MARION,2,00,,,,
OAK MEADOWS REALTY COMPANY INC.,OAK MEADOWS COUNTRY CLUB,10700,COUNTY ROAD 3110,ROLLA,MO,654017791,5733412363,59924,61842,RBDR,SBD ,PHELPS,5,00,,,,
WALLIS OIL COMPANY INC.,ROLLA MOBIL #120,1710,N BISHOP,ROLLA,MO,65401,5738852277,60297,223793,OPL,OPT ,PHELPS,5,00,,,,
WALLIS OIL COMPANY INC.,ROLLA MOBIL #120,1710,N BISHOP,ROLLA,MO,65401,5738852277,60297,70890,OPL,SOP ,PHELPS,5,00,,,,
ST. ELIZABETH ANN SETON,PARISH HALL,2,SETON COURT,ST CHARLES,MO,633013301,6369466717,60321,0,RBD,    ,ST. CHARLES,3,00,"(38.777902, -90.540877)",48,195,2177
FIRST RESTAURANT COMPANY,HARPOS,4109,PENNSYLVANIA,KANSAS CITY,MO,641113002,8167533434,60353,62428,RBD,EXTH,JACKSON,1,00,"(39.05256929999999, -94.5910352)",43,151,525
FIRST RESTAURANT COMPANY,HARPOS,4109,PENNSYLVANIA,KANSAS CITY,MO,641113002,8167533434,60353,214151,RBD,SBD ,JACKSON,1,00,"(39.05256929999999, -94.5910352)",43,151,525
QUIK TRIP CORPORATION,QUIK TRIP #626,9951,BIG BEND BLVD,OAKLAND,MO,631226503,3149656110,60520,71860,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.568524, -90.3910071)",51,229,2210
FRANKIE GS INC.,FRANKIE GS,4565,CHESTNUT PARK PLAZA,ST LOUIS,MO,63129,3148949292,60730,62549,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.478341, -90.305168)",51,248,2210
AMERICAN LEGION 158,ALTENTHAL-JOERNS POST 158,319,N. HIGH ST.,JACKSON,MO,63755,5732439158,60934,60936,RBDE,SBD ,CAPE GIRARDEAU,4,00,,,,
CITY OF HAZELWOOD,HAZELWOOD COMMUNITY CENTER,1186,TESON ROAD,HAZELWOOD,MO,630421917,3148393700,61002,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.7918031, -90.3827874)",51,181,2210
HAZELWOOD CIVIC CENTER EAST,CIVIC CENTER,8969,DUNN ROAD,HAZELWOOD,MO,630421917,3148393700,61004,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.77789930000001, -90.3484814)",51,191,2210
"CONLEY, NATHAN F.",MITCHELL'S EXPRESS,5250,W FLORISSANT,ST LOUIS,MO,631151448,3143811300,61197,95495,OPL,OPT ,ST. LOUIS CITY,3,00,,,,
"CONLEY, NATHAN F.",MITCHELL'S EXPRESS,5250,W FLORISSANT,ST LOUIS,MO,631151448,3143811300,61197,191099,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
BARGETTO'S SANTA CRUZ WINERY,,3535,N MAIN STREET,SOQUEL,CA,950732530,8314752258,61594,0,22S,    ,OUT OF STATE,7,00,"(36.9949852, -121.9544736)",,,1335
COTTAGE HOUSE INC.,AVALON CAFE,608,MAIN STREET,WESTON,MO,640981208,8166402835,61801,82768,RBD,SBD ,PLATTE,1,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,1012,NE 12TH AVENUE,AVA,MO,65608,4176836641,61886,213275,OPL,OPT ,DOUGLAS,5,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,1012,NE 12TH AVENUE,AVA,MO,65608,4176836641,61886,72944,OPL,SOP ,DOUGLAS,5,00,,,,
D.A. AND G. CORPORATION,JIMMY'S FAMILY STEAK HOUSE,3101,S PROVIDENCE ROAD,COLUMBIA,MO,652033696,5734431796,62114,0,5BDW,    ,BOONE,2,00,,,,
HOME SERVICE OIL COMPANY,EXPRESS MART CEDAR HILL,8200,INDUSTRIAL PARK DRIVE,CEDAR HILL,MO,63016,6362857000,62380,204475,OPL,OPT ,JEFFERSON,3,00,,,,
HOME SERVICE OIL COMPANY,EXPRESS MART CEDAR HILL,8200,INDUSTRIAL PARK DRIVE,CEDAR HILL,MO,63016,6362857000,62380,70693,OPL,SOP ,JEFFERSON,3,00,,,,
OTH INC.,KIRKWOOD ICE & FUEL COMPANY,213-,215 N KIRKWOOD ROAD,KIRKWOOD,MO,631224029,3148220494,62504,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.5827224, -90.4065973)",51,229,2210
SHAFER VINEYARDS INC.,SHAFER VINEYARDS,6154,SILVERADO TRAIL,NAPA,CA,945589748,7079442877,62567,0,22S,    ,OUT OF STATE,7,00,"(38.421021, -122.326365)",,,1172
S L J GROUP INC.,LIONSTONE INTERNATIONAL,28188,N. BALLARD DRIVE,LAKE FOREST,IL,60045,8472478755,62619,0,22S,    ,OUT OF STATE,7,00,,,,
RIDGE VINEYARDS INC.,RIDGE VINEYARDS,17100,MONTE BELLO ROAD,CUPERTINO,CA,950145435,4088673233,62647,0,22S,    ,OUT OF STATE,7,00,,,,
VETERANS OF FOREIGN WARS 7560,POST 7560,,HWY A,HAWK POINT,MO,63349,3143884647,62797,135215,RBD,SBD ,LINCOLN,3,00,,,,
AMVETS 143,POST 143,1105,NE HWY 50 EAST,KNOB NOSTER,MO,653362001,6605636077,62927,0,RBDE,    ,JOHNSON,1,00,,,,
LAKE VALLEY GOLF AND COUNTRY CLUB INC.,LAKE VALLEY GOLF AND COUNTRY CLUB,367,CC BLAIR,CAMDENTON,MO,65020,5733467218,62966,62967,RBDR,SBD ,CAMDEN,2,00,,,,
ARCADIA VALLEY COUNTRY CLUB INC.,ARCADIA VALLEY COUNTRY CLUB,,HWY 72,IRONTON,MO,63650,5735469508,63151,63152,RBDE,SBD ,IRON,4,00,,,,
