"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"LIC PREESC EL TESORO DEL SABER                                                                      ","KR 5 A 30 D 93 SUR","3613348","MARTHA JANNETH PEÑARANDA DIAZ",,"lptesordelsaber@hotmail.com"
"LIC PARROQ SAN JOSE                                                                                 ","TV 13 H 45 F 33 SUR","7607585","ANDRES PEREZ LIZARAZO",,"lpsj2003@yahoo.com"
"LIC PARROQ SAN GREGORIO MAGNO                                                                       ","KR 29 9 47","2477407","RAFAEL HERNANDEZ",,"lpsgm@tutopia.com"
"LIC PEDAG MARCEL MARCEAU                                                                            ","KR 18 A 4 41 SUR","5617412 / 2800411/ 4083154","HUMBERTO CANON PORRAS",,"lpmm1987@hotmail.com"
"LICEO PSICOPEDAGOGICO MARCO FIDEL SUAREZ","DG 46 SUR 14 A 40","7604301","JULIETH AIDE DELGADILLO ROJAS",,"lpmfs2007@hotmail.com"
"LIC PEDAGOGICO MENDELEV                                                                             ","DG 48 K BIS SUR 5 16","7600891 -- 7600886","LUZ VARNED VELOZA CALDERON",,"lpmendeleev@hotmail.com --  varned08@hotmail.com"
"LIC MODERNO PINARES                                                                                 ","CL 48 SUR 13 F 35 ESTE","6576666","DORIS PEREZ NARVAEZ",,"lpinares@hotmail.com"
"CENTRO EDUCATIVO PARA EL DESARROLLO DELPENSAMIENTO AVANZADO C.E.P.A.","CL 127 D BIS 89 03","6831374 -- 3102612750","ANGELICA ROJAS FORERO",,"lpedagogicolospinos@gmail.com"
"LIC PEDAG CARLOS ANDRES","CL 64 69 08","4381965","MARIA EUGENIA CRUZ ",,"lp_carlosandres@hotmail.com"
"LIC PSICOPEDAG BOLIVIA                                                                              ","CL 80 106 A 10","2274881","SOBEIDA POVEDA MONTERO",,"lpboliv@hotmail.com                               "
"LIC  PEDAG AUGUSTO COMTE                                                                            ","TV 61 42 28 SUR","5634620","GLORIA MANCERA",,"lpaugustocomte@hotmail.com"
"GIMNASIO ESPECIALIZADO LA CAMPIÑA DE SUBA","CL 147 94 A 26","6857299","GLORIA YANETH CALERO MÁRQUEZ",,"lospopochos@latinmail.com"
"LIC PEDAG LOS DELFINES                                                                              ","CL 128 A 40 A 17","2745052","LUZ DARY AYALA",,"los_delfines@yahoo.es"
"COL LORENZO DE ALCANTUZ                                                                             ","CL 43 SUR 3 D 32 ESTE","2079547 -- 3627894 -- 3628938 -- 3635056","FABIO ENRIQUE GUERRERO MORENO",,"lorenzodealcantuz20@yahoo.es"
"COL LOPE DE VEGA                                                                                    ","DG. 5ANO.39-30","2375098 / 2772485                                 ","FLOR STELLA MALAGÓN SABOYA",,"lopevega84@hotmail.com                            "
"LICEO GABRIELA MISTRAL","CL 22 D BIS 118 A 77","4154329","ROSA EMILIA JIMENEZ",,"logabmis@yahoo.com"
"JARD INF LOCAS CABECITAS                                                                            ","CLL. 43 NO.79-36","2636867","MARY RINCON",,"locascabecitas_p@hotmail.com                      "
"COLEGIO POLICARPA SALAVARRIETA (IED)","CL 28 5 A 06","3341965 -- 2812015","ZORAYA FLOREZ ALVAREZ",,"lnalpolicarpasalav3@redp.edu.co"
"COLEGIO LICEO NACIONAL ANTONIA SANTOS (IED)","CL 12 21 14","2473421","IRMA TORO CASTAÑO",,"lnalantoniasantos14@redp.edu.co"
"COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED)","KR 19 11 17","2375672 -- 5601532","JAIRO ORLANDO RODRIGUEZ RAVELO",,"lnalagustinnietoca14@redp.edu.co"
"LIC MODERNO MIS COMPAÑERITOS                                                                        ","CL 20 C 96 I 40","2670095","ADRIANA ELIZABETH FONNEGRA DE QUINTERO ",,"lmmiscompaneritos@hotmail.com"
"LIC MARIA LEONZA                                                                                    ","CR. 108 NO.23-82","2673832 / 5489742                                 ","MARY LUCIA SALGUERO TERAN",,"lmarialeonza@yahoo.com                            "
"COL  LLUVIA DE BENDICIONES                                                                          ","KR 94 H 86 B 16","4716343 -- 3182657191","DORCY ALMEIDA MARCA MONTES",,"lluviadebendiciones@hotmail.com"
"LIC DE LONDRES                                                                                      ","CLL. 145 NO. 57-79","6810587 / 6810686 /                               ","JUAN FRANCISCO GONZALEZ WANDURRAGA",,"llondres@hotmail.com                              "
"LIC LINGÜISTICO MODERNO LTDA                                                                        ","DIAG. 48F SUR  NO. 5G-12","5670836 / 2795148                                 ","MARIA ANTONIA GALVIS GUTIERREZ",,"llm@laciudad.com                                  "
"LIC SAN BERNARDO                                                                                    ","CR. 40A NO.26-25 SUR","2028327 / 7202186                                 ","LUIS EDUARDO PIÑEROS",,"lisamber@hotmail.com                              "
"LIC PSICOPEDAG UCRANIA                                                                              ","CR. 3B NO.48R-87 SUR","7711508","MIREYA PICO JOYA",,"Lipsiucrania@hotmail.com                          "
"LICEO PEDAGÓGICO FORJADORES DEL FUTURO","CL 67 SUR 91 89","5707508","LILIANA PAJARITO ESPITIA",,"lipaes29@hotmail.com"
"LIC NUEVA FANTASIA                                                                                  ","CR. 6A NO.49A-36 SUR","2792280","SILVIA ELVIRA POVEDA GÓMEZ",,"linufan@hotmail.com                               "
"LIC LA NUEVA ESTANCIA DE SUBA                                                                       ","KR 132 132 63","6909107 -- 6905456 -- 6934954","DIANA MILENA SANCHEZ RAMIREZ",,"linessuba@yahoo.com"
"JARD INF IDEAS CREATIVAS DE KENNEDY                                                                 ","CL 35 A SUR 77 01 IN 18 Y 20","2731143 / 2730368                                 ","ADRIANA DEL PILAR BUITRAGO MORA",,"linabeltran12@hotmail.com                         "
"LIC INF MI NUEVO MUNDO ENCANTADO                                                                    ","AV BOYACA 51 A 46 SUR","2705180 / 7131571                                 ","YENNY PATRICIA BARAHONA FEO",,"limnmencantado@hotmail.com    liencantado@gmail.com                       "
"LIC MARIA GORETTI                                                                                   ","CR. 104A NO.33-79","2981349 / 2982774 / 4130256                       ","YOLANDA CIFUENTES TORRES",,"limagoretti23@hotmail.com                         "
"LIC LUDICO NUEVA COLOMBIA                                                                           ","KR 8 ESTE 36 57 SUR","2067910","ADRIANA ISABEL RODRIGUEZ CANTOR",,"liludeco@hotmail.com"
"LIC INTEGRAL COLOMBIA ACTIVA                                                                        ","CLL. 129B NO.104D-55","6875773","DIANA ROCIO RUBIANO",,"liintcolombiaactiva@hotmail.com                   "
"LICEO INFANTIL GOFFI","CL 15 SUR 24 G 38","2390698","LUZ STELLA RAMIREZ",,"ligoffi@hotmail.com"
"LIC INF DESPERTAR                                                                                   ","KR 5 X 49 G 51 SUR","2055909","DIANA CAROLINA MARTINEZ FORERO",,"ligialid@starmedia.com  licinfadespertar@gmail.com                            "
"EL FARO PREESCOLAR","KR 7 B 138 05","2582755","ORLANDO MATIZ VILLAMIL",,"lighthousekinder@gmail.com"
"LIC PSICOPEDAG EL TEOREMA DE APRENDER                                                               ","KR 14 54 61 SUR","7690061 / 7690530                                 ","LUZ ESPERANZA JIMENEZ GALARZA",,"licteoremaluz@hotmail.com"
"LICEO SAN RAFAEL","KR 59 A 129 B 64","5223859 -- 2534347 -- 6432046","ALBA MARIETHA SILVA DE ESPEJO",,"licsanrafael@gmail.com"
"LIC CIAL NUEVO ALEJANDRINO                                                                          ","KR 4 B 56 30 SUR","5991850 -- 4911268","ELICIO LOPEZ FLECHAS",,"liconal700@hotmail.com"
"LIC  NORDAN                                                                                         ","KR 74 5 65 SUR","4506970","NOHORA GLADYS GARZON COTRINO",,"licoenordam@hotmail.com"
"LIC PSICOPEDAG MIS PRIMEROS AÑOS                                                                    ","CL 20 SUR 5 62","2789763","DORIS AMANDA GARCIA TELLEZ",,"licmisaos@yahoo.com -- liceopsicopedagogico123@gmail.com"
"LIC  PSICOPEDAG JOSE CORDOBA                                                                        ","KR 87 39 15 SUR","4000435","MARIA AGUEDA PEREZ",,"licjosecordoba@hotmail.com                               "
"LIC VIDA INFANTIL                                                                                   ","CL 57 A SUR 81 B 04","7778865","CONCEPCION GARAY",,"liceovidainfantil@hotmail.com"
"LIC VAL (VIDA-AMOR-LUZ)                                                                             ","CL 71 C 51 31","2251109 -- 2401331 -- 2502167","LUZ ESPERANZA MORALES SARMIENTO",,"liceo.vida.amor.luz.2@gmail.com"
"LIC JUAN VERDEJO                                                                                    ","CL 77 A SUR 0 44","7601543","GRACIELA NIÑO DE LOPEZ",,"liceovdj@hotmail.com"
"LIC INTEGRAL VALENTINA                                                                              ","DG 39 SUR 1 B 09 ESTE","3621108","MARGGE ALFONSO SUAREZ",,"liceovalentina@hotmail.com"
"LIC DE LA UNIVERSIDAD CATOLICA                                                                      ","KR 15 46 69","2450927 / 2459983 / 2459973","HOMERO GERARDO ESTUPIÑAN BRAVO",,"liceo@ucatolica.edu.co"
"COLEGIO EINSTENIANO","KR 109 142 A 14","6880699","MARÍA DE JESÚS ESPINOSA MORENO",,"liceotrencito@yahoo.com                           "
"LIC Y PREESC TOMMYS                                                                                 ","DG 57 Z 74 H 16 SUR","7780338","MELBA LEONOR MORALES QUEVEDO",,"liceo_tommys@hotmail.com"
"LICEO TOMAS MORALES","KR 14 A 46 11",,"DIANA RICO DIAZ",,"liceotomasmorales@gmail.com"
"LIC  ANTONIO DE TOLEDO                                                                              ","CL 70 SUR 77 J 55","7786248","FLOR MARIA CARRERO SALAZAR",,"liceotoledo@hotmail.com -- liceotoledo@yahoo.com.ar"
"LIC INTEGRAL SANTO TOMAS                                                                            ","CL 1 SUR 86 30","4000691","GRODWIN ARIF ROJAS CARDOZO",,"liceostomasmp@yahoo.es"
"LIC SANTA PAULA DEL SUR                                                                             ","KR 49 C 68 D 78 SUR","7158224","PAULA YOVANNA PACHON HAMON",,"liceostapaula@hotmail.com                         "
"LIC SOMA                                                                                            ","KR 64 B 57 B 95 SUR","7100837","DORA IDALY POVEDA VELASCO",,"liceosoma@yahoo.com"
"LIC SIGLO XXI                                                                                       ","KR 107 131 B 03","6905027","NIDIA ESPERANZA BALLEN MONTOYA",,"liceosigloxxi@gmail.com"
"LIC SALOMON SABIO                                                                                   ","CLL. 59B NO.119B-05/07","5429809 / 5427378                                 ","JUDITH ESTHER TAMARA G.",,"liceosasab@hotmail.com                            "
"LIC  PEDAG SANTA MATILDE                                                                            ","KR 95 14 A 93","4519825","ALIRIO MARTIN CRUZ LAGUNA",,"liceosantamatildeschool@yahoo.com"
"LICEO SANTA ISABEL","CL 136 125 B 10","6899664","GLORIA ISABEL BARRAGAN PACHON",,"liceosantaisabel@yahoo.es"
"MATERNAL Y JARD INF LA ARDILLITA ESCOLAR                                                            ","IND TR. 47 NO.96-61","2538688 / 6135102                                 ","LORENA OROZCO REYES",,"liceosantahelena@hotmail.com                      "
"LIC SANTA HELENA                                                                                    ","CL 90 41 18","2568996","FRANCY HELENA SANTOS MEDELLIN",,"liceo_santa_helena@hotmail.com                    "
"LIC  SANTA ENGRACIA                                                                                 ","CL 37 A BIS SUR 68 C 38","2308048 -- 8051108","JINNA BRICITH RIAÑO",,"liceosantaengracia@hotmail.com licstaengracia@hotmail.com                    "
"LICEO SAN RAFAEL DE ALICANTE","CL 73 74 A 42","2516473","DAVID ALFONSO BAUTISTA LANDINEZ",,"liceosanrafaeldealicante@gmail.com bautistalandinez@yahoo.com"
"LIC  SAN PABLO                                                                                      ","CL 65 J SUR 78 J 75","7751239 -- 7751116 -- 7791239 -- 7764534 -- 472489","CLAUDIA PATRICIA TORRES PEREZ",,"liceo_sanpablo@yahoo.com"
"LIC SAN MATEO                                                                                       ","CL 63 SUR 28 20","7150716","TERESA HENAO CASTAÑO",,"liceosanmateo7562@hotmail.com  liceosanmateo2820@hotmail.com                    "
"LIC SAN LEON MAGNO                                                                                  ","CL 70 C 112 A 05","4411935","RAUL SEGUNDO GUTIERREZ DUICA",,"liceosanleonmagno@hotmail.com                     "
"LIC SAN JOSE ORIENTAL                                                                               ","CL 41 A SUR 12 A 75 ESTE","3624663","ALVARO CASTILLO BARRIOS",,"liceosanjose74@hotmail.com"
"LICEO PSICOPEDAGÓGICO SAN BUENAVENTURA","CL 71 BIS 78 70","2238657","MARTHA ISABEL RUIZ CAMPOS",,"liceosanbuenaventura@yahoo.com"
"LIC  PSICOPEDAG SAN ANGELO                                                                          ","TR. 72D NO. 42A-32 SUR","2704357","MARIA CONSUELO CARDENAS CASTRO",,"liceosanangelo@msn.com                            "
"LIC  SAMARIO                                                                                        ","KR 74 42 C 80 SUR","4532436 -- 4532436","GUILLERMO ALEJANDRO GONZALEZ TOVAR",,"liceosamario@hotmail.com -- colegioliceosamario@hotmail.com"
"LIC SAMANIEGO                                                                                       ","CLL. 128 NO.35-48","2162659","AURA CECILIA GUIO PARADA",,"LiceoSamaniego@007mundo.com                       "
"LIC INF MIS PEQUEÑOS SALTARINES                                                                     ","CL 31 B SUR 2 35 ESTE","2065968 -- 2062102","ANA ELVIA PIRACON SALAZAR",,"liceosaltarines@hotmail.com"
"LIC INF SALAMANCA                                                                                   ","CLL. 21 NO.94-54","4154050 / 2989813                                 ","NOHEMY MORALES BLANCO",,"liceosalamanca@hotmail.com                        "
"LIC  ROZFORD                                                                                        ","CL 33 A SUR 74 A 14","2645224","CLARA LUCY ROZO MENDEZ",,"liceorozford@hotmail.com"
