"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Elvis at Yesterday's","Saturday, August 20, 2022, 4 - 8pm","2022-08-20T15:00:00.000","2022-08-20T20:00:00.000","Edmonton",,"Abbottsfield,Albany,Alberta Avenue,Aldergrove,Allard,Allendale,Ambleside,Argyll,Aspen Gardens,Athlone,Avonmore,Balwin,Bannerman,Baranow,Baturyn,Beacon Heights,Bearspaw,Beaumaris,Belgravia,Belle Rive,Bellevue,Belmead,Belmont,Belvedere,Bergman,Beverly Heights,Bisset,Blackburne,Blackmud Creek,Blue Quill,Blue Quill Estates,Bonnie Doon,Boyle Street,Brander Gardens,Breckenridge Greens,Brintnell,Britannia Youngstown,Brookside,Bulyea Heights,Caernarvon,Calder,Callaghan,Callingwood North,Callingwood South,Cameron Heights,Canon Ridge,Canora,Canossa,Capilano,Carlisle,Carlton,Carter Crest,Casselman,Central McDougall,Chambery,Chappelle Area,Charlesworth,Clareview Campus,Clareview Town Centre,Cloverdale,Crawford Plains,Crestwood,Cromdale,Cumberland,Daly Grove,Dechene,Delton,Delwood,Donsdale,Dovercourt,Downtown,Duggan,Dunluce,Eastwood,Eaux Claires,Edgemont,Ekota,Ellerslie,Elmwood,Elmwood Park,Elsinore,Empire Park,Ermineskin,Evansdale,Evergreen,Falconer Heights,Forest Heights,Fraser,Fulton Place,Gariepy,Garneau,Glastonbury,Glengarry,Glenora,Glenridding Area,Glenwood,Gold Bar,Goodridge Corners,Grandview Heights,Granville,Greenfield,Greenview,Griesbach,Grovenor,Haddow,Hairsine,Hawks Ridge,Hazeldean,Henderson Estates,High Park,Highlands,Hillview,Hodgson,Hollick-Kenyon,Holyrood,Homesteader,Hudson,Idylwylde,Inglewood,Jackson Heights,Jamieson Place,Jasper Park,Kameyosek,Keheewin,Kenilworth,Kensington,Kernohan,Kildare,Kilkenny,Killarney,King Edward Park,Kiniski Gardens,Kirkness,Klarvatten,La Perle,Lago Lindo,Lansdowne,Larkspur,Lauderdale,Laurel,Laurier Heights,Lee Ridge,Leger,Lendrum Place,Lewis Farms (Normandeau Gardens),Lorelei,Lymburn,Lynnwood,MacEwan,MacTaggart Area,Magrath Heights,Magrath Heights Area,Malmo Plains,Maple,Maple Ridge,Matt Berry,Mayfield,Mayliewan,McCauley,McConachie Area,McKernan,McLeod,McQueen,Meadowlark Park,Menisa,Meyokumin,Meyonohk,Michaels Park,Mill Woods Town Centre,Miller,Minchau,Montrose,Newton,North Glenora,Northmount,Ogilvie Ridge,Oleskiw,Oliver,Ormsby Place,Ottewell,Overlanders,Oxford,Ozerna,Parkallen,Parkdale,Parkview,Patricia Heights,Pembina,Place LaRue,Pleasantview,Pollard Meadows,Potter Greens,Prince Charles,Prince Rupert,Queen Alexandra,Queen Mary Park,Quesnell Heights,Ramsay Heights,Rapperswill,Rhatigan Ridge,Richfield,Richford,Rideau Park,Rio Terrace,Ritchie,Riverdale,Rosenthal,Rossdale,Rosslyn,Royal Gardens,Rundle Heights,Rural West,Rutherford,Sakaw,Satoo,Schonsee,Secord,Sherbrooke,Sherwood,Sifton Park,Silver Berry,Skyrattler,Spruce Avenue,Starling,Steinhauer,Strathcona,Strathearn,Suder Greens,Summerlea,Summerside,Sunwapta Industrial,Sweet Grass,Tamarack,Tawa,Terra Losa,Terrace Heights,Terwillegar South,Terwillegar Towne,The Hamptons,The Orchards at Ellerslie,Thorncliff,Tipaskan,Trumpeter Area,Tweddle Place,Twin Brooks,Virginia Park,Walker,Webber Greens,Wedgewood Heights,Weinlos,Wellington,West Jasper Place,West Meadowlark Park,Westbrook Estates,Westmount,Westridge,Westview Village,Westwood,Wild Rose,Windermere,Windsor Park,Woodcroft,York","8707 51 ave NW, Edmonton, AB T6E 5H1","$40","Concerts / Performances,Exhibits,Museums / Attractions,Non-Profit Fundraiser,Seniors,Theatre,Trade Shows","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711538","Other","161711538","https://www.showpass.com/elvis-at-yesterdays-2/","780-203-2886","City of Edmonton|Concerts / Performances","https://yesterdaysautogallery.com/",,"Elvis returns to Yesterday's Auto Gallery.",,,"Grand Champion Elvis Tribute Artist Robin Kelly brings Elvis to life with live music and fresh vocals.Come down to Yesterday's Auto Gallery to see it for yourself, and bring a friend! Enjoy a Yesterday's Famous milkshake, or enjoy catering from Streetside Celebration Food Truck.",
"Jubefest: The Heebee-Jeebees","Thursday, August 25, 2022, 7:30 - 9:30pm","2022-08-25T18:30:00.000","2022-08-25T21:30:00.000","Edmonton",,,"Northern Alberta Jubilee Auditorium, 11455 87 Ave NW, Edmonton, AB T6G 2T2, Canada","$22","Concerts / Performances,Festivals","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711521","Northern Alberta Jubilee Auditorium","161711521","Online",,"City of Edmonton|Concerts / Performances","https://www.universe.com/events/jubefest-the-heebee-jeebees-tickets-32WVL6?ref=universe-discover",,"Northern Alberta Jubilee Auditorium",,,"Jubefest is back for another summer! The Heebee-jeebees™ are an internationally acclaimed, award-winning, comic a cappella group born and raised in Calgary. Having celebrated over 25 years together, they have released 8 CDs and have won 3 international CARA awards – the Grammys of a cappella. The Heebee-jeebees have sung thousands of live performances and have appeared on local, national and international radio and television. The group has a reputation for being hilarious, entertaining and extremely talented. You can find their studio recordings on iTunes & Spotify. Follow them on Twitter and Facebook or at heebee-jeebees.com They are the most FUN you've ever heard! Join us as we enjoy the talents of The Heebee-Jeebees on our outdoor patio!",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Sunday, August 21, 2022, 6 - 7pm","2022-08-21T17:00:00.000","2022-08-21T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711463","Other","161711463","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Saturday, August 20, 2022, 6 - 7pm","2022-08-20T17:00:00.000","2022-08-20T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711462","Other","161711462","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Friday, August 19, 2022, 6 - 7pm","2022-08-19T17:00:00.000","2022-08-19T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711461","Other","161711461","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Thursday, August 18, 2022, 6 - 7pm","2022-08-18T17:00:00.000","2022-08-18T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711460","Other","161711460","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Wednesday, August 17, 2022, 6 - 7pm","2022-08-17T17:00:00.000","2022-08-17T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711459","Other","161711459","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Tuesday, August 16, 2022, 6 - 7pm","2022-08-16T17:00:00.000","2022-08-16T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711458","Other","161711458","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Monday, August 15, 2022, 6 - 7pm","2022-08-15T17:00:00.000","2022-08-15T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711457","Other","161711457","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Sunday, August 14, 2022, 6 - 7pm","2022-08-14T17:00:00.000","2022-08-14T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711456","Other","161711456","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"The Fourth R: reduce, reuse, recycle, REVOLUTIONIZE","Saturday, August 13, 2022, 6 - 7pm","2022-08-13T17:00:00.000","2022-08-13T19:00:00.000","Edmonton","1090","Downtown","The Gateway Theatre, Edmonton","12-15","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161711455","Other","161711455","https://tickets.fringetheatre.ca/event/601:4406/601:29908/",,"City of Edmonton|Theatre","http://www.dancefachin.com",,"Downtown Edmonton",,,"We cannot wait to celebrate the Earth together and unite in our fight for climate justice with our theatrical, multi media dance show, THE FOURTH R! We all know the situation: the planet, the people and the animals are in a really tough spot. Animals and resources are becoming extinct, the CO2 levels are rising and the Arctic is melting. But there is hope - and it’s US!We are a group from Toronto travelling to Edmonton to take part in the Edmonton Fringe Festival. Come fight for the planet with us at the Gateway Theatre!Run time: 50 minutes",
"Wild Moo's Chase -  A New Musical","Friday, August 12 - Sunday, August 21, 2022","2022-08-12T00:00:00.000","2022-08-22T00:00:00.000","Edmonton",,,"La Cit? Francophone Theatre - 8627 91 Street Edmonton, Alberta T6C3N1","13$","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161698060","Other","161698060","Tickets can be purchased through the Edmonton Fringe Festival website: https://tickets.fringetheatre.ca/event/601:4338/by phone at 780-409-1910or in person at the Fringe Theatre Arts Barns Box Office (10330 84 Avenue).","780-409-1910","City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4338/",,"Wild Moo’s Chase: A NEW Edmonton made musical premiering at the Edmonton Fringe Festival!",,,"From the creators of Murder Mime: The Musical, The Grave Digger, & The Big Bright comes a brand new musical!Wild Moo’s Chase is premiering this summer at the Edmonton Fringe Festival from Friday, August 12th to Sunday, August 21st 2022 at the La Cité Francophone Theatre!Wild Moo’s Chase tells the story of Filet and her sister, Brisket, who live in the whimsical, diluted, pun-filled town called Meatland. In a constant battle between curiosity and managing her mental health, Filet finds herself unable to open the literal door and get answers. Once she finds a poster that conflicts with everything she was taught, she decides to face her disorder and learn the truth.Venue: La Cité Francophone Theatre (8627 91 Street Edmonton)Show Dates & Times:Fri Aug. 12th - 12:30pmSat Aug. 13th - 7:30pmSun Aug. 14th - 4:15pmMon Aug. 15th - 3:15pmTue Aug. 16th - 7:30pmThu Aug. 18th - 9:15pmFri Aug. 19th - 5:30pmSat Aug. 20th - 4:00pmSun Aug. 21st - 12:30pmApproximate runtime: 90 minutesTickets are $13 and can be purchased through the Edmonton Fringe Festival website: https://tickets.fringetheatre.ca/event/601:4338/, by phone at 780-409-1910or in person at the Fringe Theatre Arts Barns Box Office (10330 84 Avenue). Visit the Edmonton Fringe Festival website for more information on Wild Moo’s Chase: https://tickets.fringetheatre.ca/event/601:4338/",
"Market Garden","Saturday, September 24, 2022, 10am - 12pm","2022-09-24T09:00:00.000","2022-09-24T12:00:00.000","Edmonton","3070","Calder","North West Edmonton Seniors Society, 12963-120 ST NW",,"Seniors,Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161691278","Other","161691278",,,"City of Edmonton|Trade Shows","https://nwess.ca/",,"Farm Fresh, Produce every Saturday at 10:00am",,,"Every Saturday from 10:00 until supplies last, Market Garden will be selling fresh, organic produce outside of the North West Edmonton Seniors Society (12963-120 ST NW) until mid-October. Come shopping for potatoes, swiss chard, peas, tomatoes, and more. Make sure to stop by early to get your pick! Cash only.",
