"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2015-16","005","BARKHAMSTED (005)","9844350","74583","161500","1211","9532850","9532850","71496","0","0",,,,,"0","0","150000","1875","0","0","47","40"
"FY 2015-16","006","BEACON FALLS (006)","35160478","284854","7241000","54308","23589478","23589478","176921","0","0",,,,,"100000","750","4230000","52875","0","0","116","72"
"FY 2015-16","007","BERLIN (007)","99351429","849688","4078218","30587","75912711","74362711","557720","1550000","19375",,,,,"0","0","19360500","242006","0","0","316","198"
"FY 2015-16","008","BETHANY (008)","16176422","126213","227000","1703","15346422","14971422","112286","375000","4688",,,,,"0","0","603000","7538","0","0","49","44"
"FY 2015-16","009","BETHEL (009)","106534214","816909","6871380","51535","92651084","92488684","693665","162400","2030",,,,,"3593750","26953","3418000","42725","0","0","308","206"
"FY 2015-16","010","BETHLEHEM (010)","9085750","68143","84000","630","8865100","8865100","66488","0","0",,,,,"136650","1025","0","0","0","0","42","48"
"FY 2015-16","011","BLOOMFIELD (011)","161019672","1352957","1068000","8010","60808226","60808226","456062","0","0",,,,,"70081585","525612","29061861","363273","0","0","320","234"
"FY 2015-16","012","BOLTON (012)","16131605","123737","305000","2288","15276605","15276605","114575","0","0",,,,,"0","0","550000","6875","0","0","61","64"
"FY 2015-16","013","BOZRAH (013)","15110902","155171","730300","5477","5935211","5785211","43389","150000","1875",,,,,"227550","1707","8217842","102723","0","0","37","54"
"FY 2015-16","014","BRANFORD (014)","155853386","1288968","3726400","27948","126632936","122993436","922451","3639500","45494",,,,,"5120000","38400","20374050","254676","0","0","504","419"
"FY 2015-16","015","BRIDGEPORT (015)","241498443","2199286","2753626","20652","154480701","153329232","1149969","1151469","14393",,,,,"7518171","56386","76457985","955725","287960","2160","1280","1180"
"FY 2015-16","016","BRIDGEWATER (016)","28431949","256346","1372000","10290","27059949","18438749","138291","8621200","107765",,,,,"0","0","0","0","0","0","43","33"
"FY 2015-16","017","BRISTOL (017)","150311178","1212192","3219589","24147","129595635","129595635","971967","0","0",,,,,"524260","3932","16971695","212146","0","0","819","655"
"FY 2015-16","018","BROOKFIELD (018)","113886382","916646","2565500","19241","104045260","98821260","741159","5224000","65300",,,,,"0","0","7275622","90945","0","0","312","150"
"FY 2015-16","019","BROOKLYN (019)","29846240","236139","1349133","10118","27138607","26038607","195290","1100000","13750",,,,,"0","0","1358500","16981","0","0","157","112"
"FY 2015-16","020","BURLINGTON (020)","46633607","349752","1239300","9295","45394307","45394307","340457","0","0",,,,,"0","0","0","0","0","0","153","80"
"FY 2015-16","021","CANAAN (021)","5110750","40006","214500","1609","4896250","4561250","34209","335000","4188",,,,,"0","0","0","0","0","0","20","12"
"FY 2015-16","022","CANTERBURY (022)","14703875","114853","855267","6415","12933810","12933810","97004","0","0",,,,,"0","0","914798","11435","0","0","82","87"
"FY 2015-16","023","CANTON (023)","62619901","512194","2119124","15893","51881786","51881786","389113","0","0",,,,,"110000","825","8508991","106362","0","0","189","103"
"FY 2015-16","024","CHAPLIN (024)","6653750","53903","467400","3506","4986350","4986350","37398","0","0",,,,,"400000","3000","800000","10000","0","0","43","26"
"FY 2015-16","025","CHESHIRE (025)","153759245","1263600","2446500","18349","130109696","128866514","966499","1243182","15540",,,,,"365000","2738","20838049","260476","0","0","437","278"
"FY 2015-16","026","CHESTER (026)","15617500","124381","735000","5513","13432500","13432500","100744","0","0",,,,,"0","0","1450000","18125","0","0","58","56"
"FY 2015-16","027","CLINTON (027)","69744251","554449","540500","4054","65997851","62625976","469695","3371875","42148",,,,,"304400","2283","2901500","36269","0","0","257","228"
"FY 2015-16","028","COLCHESTER (028)","64353726","520526","2380000","17850","54389214","54389214","407919","0","0",,,,,"10000","75","7574512","94681","0","0","263","180"
"FY 2015-16","029","COLEBROOK (029)","6458200","48737","0","0","6333200","6273200","47049","60000","750",,,,,"125000","938","0","0","0","0","25","20"
"FY 2015-16","030","COLUMBIA (030)","21113020","175524","430000","3225","17247740","17247740","129358","0","0",,,,,"0","0","3435280","42941","0","0","90","61"
"FY 2015-16","031","CORNWALL (031)","12451297","101180","292254","2192","11974043","10415008","78113","1559034","19488",,,,,"185000","1388","0","0","0","0","36","47"
"FY 2015-16","032","COVENTRY (032)","45358891","343917","2859000","21443","41649891","41649891","312374","0","0",,,,,"105000","788","745000","9313","0","0","209","221"
"FY 2015-16","033","CROMWELL (033)","57760760","451336","3366900","25252","50650360","50640360","379803","10000","125",,,,,"127500","956","3616000","45200","0","0","259","170"
"FY 2015-16","034","DANBURY (034)","335719304","2846506","7314110","54856","261704392","259245561","1944342","2458831","30735",,,,,"3385561","25392","63263356","790792","51884","389","1038","639"
"FY 2015-16","035","DARIEN (035)","669777573","6855849","2446500","18349","648571073","299117671","2243383","349453402","4368168",,,,,"1710000","12825","17050000","213125","0","0","411","167"
"FY 2015-16","036","DEEP RIVER (036)","21043677","168190","600014","4500","18605177","18371185","137784","233992","2925",,,,,"0","0","1838487","22981","0","0","85","57"
"FY 2015-16","037","DERBY (037)","41572226","374242","120000","900","26516226","26516226","198872","0","0",,,,,"2446000","18345","12490000","156125","0","0","181","119"
"FY 2015-16","038","DURHAM (038)","27485546","213592","261000","1958","25649546","25649546","192372","0","0",,,,,"85000","638","1490000","18625","0","0","93","81"
"FY 2015-16","039","EASTFORD (039)","6953660","54452","583500","4376","5910160","5910160","44326","0","0",,,,,"0","0","460000","5750","0","0","36","22"
"FY 2015-16","040","EAST GRANBY (040)","22162405","166218","404196","3031","21746710","21746710","163100","0","0",,,,,"11500","86","0","0","0","0","96","56"
"FY 2015-16","041","EAST HADDAM (041)","43796835","359603","1331500","9986","35706841","35706841","267801","0","0",,,,,"533233","3999","6225260","77816","0","0","174","179"
"FY 2015-16","042","EAST HAMPTON (042)","60241805","459719","4999067","37493","53764738","53614738","402111","150000","1875",,,,,"47000","353","1431000","17888","0","0","247","158"
"FY 2015-16","043","EAST HARTFORD (043)","100280631","886025","1260000","9450","70266833","70266833","527001","0","0",,,,,"1819200","13644","26784030","334800","150568","1129","586","438"
"FY 2015-16","044","EAST HAVEN (044)","93198929","792822","4773250","35799","70184595","69484595","521134","700000","8750",,,,,"175000","1313","18066084","225826","0","0","385","391"
"FY 2015-16","045","EAST LYME (045)","124630985","991899","2412800","18096","95978057","91312074","684841","4665983","58325",,,,,"1465000","10988","6767293","84591","18007835","135059","331","272"
"FY 2015-16","046","EASTON (046)","77494067","622310","3018750","22641","73475317","66254326","496907","7220991","90262",,,,,"0","0","1000000","12500","0","0","128","87"
"FY 2015-16","047","EAST WINDSOR (047)","44482720","394954","2142900","16072","29757630","29757630","223182","0","0",,,,,"315500","2366","12266690","153334","0","0","187","121"
"FY 2015-16","048","ELLINGTON (048)","63175763","485293","3327598","24957","57563165","57513165","431349","50000","625",,,,,"40000","300","2245000","28063","0","0","238","131"
"FY 2015-16","049","ENFIELD (049)","140797365","1262371","1345608","10092","97999042","97999042","734993","0","0",,,,,"174500","1309","41278215","515978","0","0","627","484"
"FY 2015-16","050","ESSEX (050)","64951518","548900","2048000","15360","55694518","50370768","377781","5323750","66547",,,,,"180000","1350","7029000","87863","0","0","145","97"
"FY 2015-16","051","FAIRFIELD (051)","711974430","6201731","9585000","71888","641369086","523206889","3924052","118162198","1477027",,,,,"6798000","50985","54222344","677779","0","0","1004","501"
"FY 2015-16","052","FARMINGTON (052)","185920802","1551201","4686129","35146","160488574","149603621","1122027","10884953","136062",,,,,"37000","278","20474098","255926","235000","1763","473","332"
"FY 2015-16","053","FRANKLIN (053)","11016445","113360","289962","2175","4571082","4571082","34283","0","0",,,,,"8000","60","6147401","76843","0","0","40","23"
"FY 2015-16","054","GLASTONBURY (054)","285628482","2498688","12599198","94494","204557317","201517504","1511381","3039812","37998",,,,,"217000","1628","68254967","853187","0","0","643","409"
"FY 2015-16","055","GOSHEN (055)","23664950","188337","798000","5985","22242950","20347950","152610","1895000","23688",,,,,"349000","2618","275000","3438","0","0","76","75"
"FY 2015-16","056","GRANBY (056)","59250926","460731","812500","6094","55113582","55063582","412977","50000","625",,,,,"105000","788","3219844","40248","0","0","210","112"
"FY 2015-16","057","GREENWICH (057)","1921857593","20452127","25117000","188378","1627708018","650391423","4877936","977316595","12216457",,,,,"38710088","290326","230322487","2879031","0","0","964","615"
"FY 2015-16","058","GRISWOLD (058)","27827675","228865","1420250","10652","22360025","22360025","167700","0","0",,,,,"16000","120","4031400","50393","0","0","177","187"
"FY 2015-16","059","GROTON (059)","133763430","1106802","3108900","23317","114887550","104505550","783792","10382000","129775",,,,,"4915000","36863","10333300","129166","518681","3890","466","387"
"FY 2015-16","060","GUILFORD (060)","171278388","1471447","1807900","13559","144984488","131883638","989127","13100850","163761",,,,,"215000","1613","24271000","303388","0","0","361","314"
"FY 2015-16","061","HADDAM (061)","36635290","275765","2219500","16646","33995790","33995790","254968","0","0",,,,,"220000","1650","200000","2500","0","0","144","100"
"FY 2015-16","062","HAMDEN (062)","160947239","1243807","8102348","60768","127812280","127762280","958217","50000","625",,,,,"17742000","133065","7290611","91133","0","0","689","535"
"FY 2015-16","063","HAMPTON (063)","4846480","38575","638417","4788","3763063","3762800","28221","263","3",,,,,"0","0","445000","5563","0","0","32","34"
"FY 2015-16","064","HARTFORD (064)","303475934","3118420","4043908","30329","74706772","73993772","554953","713000","8913",,,,,"56968195","427261","167757059","2096963","0","0","696","675"
"FY 2015-16","065","HARTLAND (065)","5140755","38556","472500","3544","4668255","4668255","35012","0","0",,,,,"0","0","0","0","0","0","24","20"
"FY 2015-16","066","HARWINTON (066)","21199964","161252","608900","4567","20190546","20140546","151054","50000","625",,,,,"0","0","400518","5006","0","0","86","97"
"FY 2015-16","067","HEBRON (067)","34772787","270696","871951","6540","32070836","31920836","239406","150000","1875",,,,,"0","0","1830000","22875","0","0","139","90"
"FY 2015-16","068","KENT (068)","26683450","216031","515000","3863","25022450","22987450","172406","2035000","25438",,,,,"0","0","1146000","14325","0","0","74","58"
"FY 2015-16","069","KILLINGLY (069)","52650142","407648","1537000","11528","42116317","41466317","310997","650000","8125",,,,,"7024605","52685","1904300","23804","67921","509","298","264"
"FY 2015-16","070","KILLINGWORTH (070)","30637822","231789","681000","5108","29715822","29555822","221669","160000","2000",,,,,"0","0","241000","3013","0","0","104","82"
"FY 2015-16","071","LEBANON (071)","25152094","241882","988775","7416","13367089","13367089","100253","0","0",,,,,"148000","1110","10648230","133103","0","0","98","129"
"FY 2015-16","072","LEDYARD (072)","43912027","330575","607500","4556","43057527","43057527","322931","0","0",,,,,"0","0","247000","3088","0","0","218","236"
"FY 2015-16","073","LISBON (073)","11647738","91843","1386970","10402","9213768","9213768","69103","0","0",,,,,"150000","1125","897000","11213","0","0","69","61"
"FY 2015-16","074","LITCHFIELD (074)","44912419","375303","3550106","26626","37775813","33533813","251504","4242000","53025",,,,,"136500","1024","3450000","43125","0","0","132","101"
"FY 2015-16","075","LYME (075)","27631552","228749","1415800","10619","26215752","21913252","164349","4302500","53781",,,,,"0","0","0","0","0","0","59","60"
"FY 2015-16","076","MADISON (076)","158623222","1274607","3601000","27008","150116822","137690617","1032680","12426205","155328",,,,,"344960","2587","4560440","57006","0","0","342","245"
"FY 2015-16","077","MANCHESTER (077)","152977988","1264575","4029300","30220","125332576","125118576","938389","214000","2675",,,,,"382000","2865","23234112","290426","0","0","759","519"
"FY 2015-16","078","MANSFIELD (078)","47059623","364747","1335500","10016","43313168","42763168","320724","550000","6875",,,,,"500000","3750","1810000","22625","100956","757","222","122"
"FY 2015-16","079","MARLBOROUGH (079)","27228795","210948","1315600","9867","25098195","24566695","184250","531500","6644",,,,,"0","0","815000","10188","0","0","98","59"
"FY 2015-16","080","MERIDEN (080)","171126478","1621265","1203600","9027","96062323","94717322","710380","1345001","16813",,,,,"7240250","54302","66218293","827729","402012","3015","755","666"
"FY 2015-16","081","MIDDLEBURY (081)","40431799","321013","757500","5681","34534299","34534299","259007","0","0",,,,,"1585000","11888","3555000","44438","0","0","118","116"
"FY 2015-16","082","MIDDLEFIELD (082)","16615090","127613","772500","5794","15242590","15242590","114319","0","0",,,,,"0","0","600000","7500","0","0","62","52"
"FY 2015-16","083","MIDDLETOWN (083)","227488290","1762708","20750850","155631","102457841","102072841","765546","385000","4813",,,,,"93355499","700166","10924100","136551","0","0","566","438"
"FY 2015-16","084","MILFORD (084)","302380598","2483039","6147000","46103","237085835","232782335","1745868","4303500","53794",,,,,"20414357","153108","38733406","484168","0","0","873","571"
"FY 2015-16","085","MONROE (085)","104199949","844784","4238889","31792","88038100","87280100","654601","758000","9475",,,,,"24000","180","11898960","148737","0","0","284","181"
"FY 2015-16","086","MONTVILLE (086)","48509975","389323","2136458","16023","39967288","39967288","299755","0","0",,,,,"977000","7328","5099560","63745","329669","2473","267","210"
"FY 2015-16","087","MORRIS (087)","12352387","92643","1582487","11869","10769050","10769050","80768","0","0",,,,,"850","6","0","0","0","0","45","34"
"FY 2015-16","088","NAUGATUCK (088)","52330250","401087","412000","3090","49755103","49755103","373163","0","0",,,,,"441147","3309","1722000","21525","0","0","372","348"
"FY 2015-16","089","NEW BRITAIN (089)","125676788","1057468","1832892","13747","90964440","90464440","678483","500000","6250",,,,,"10401000","78008","22478456","280981","0","0","731","605"
"FY 2015-16","090","NEW CANAAN (090)","490771498","4927161","1475000","11063","476822664","237251551","1779387","239571114","2994639",,,,,"2770000","20775","9703834","121298","0","0","330","182"
"FY 2015-16","091","NEW FAIRFIELD (091)","91138493","727889","547000","4103","86545993","80961493","607211","5584500","69806",,,,,"760000","5700","3285500","41069","0","0","246","144"
"FY 2015-16","092","NEW HARTFORD (092)","30186526","226399","2464720","18485","27510320","27510320","206327","0","0",,,,,"27500","206","0","0","183987","1380","135","79"
"FY 2015-16","093","NEW HAVEN (093)","307995822","2974830","2314706","17360","155047534","152545034","1144088","2502500","31281",,,,,"20163796","151228","130469786","1630872","0","0","834","1044"
"FY 2015-16","094","NEWINGTON (094)","121057591","1067057","636500","4774","88589212","88588050","664410","1163","15",,,,,"8000","60","31823878","397798","0","0","460","333"
"FY 2015-16","095","NEW LONDON (095)","38577735","317458","905800","6794","30794416","30561483","229211","232933","2912",,,,,"1263000","9473","5392000","67400","222518","1669","258","266"
"FY 2015-16","096","NEW MILFORD (096)","133275601","1115219","1935100","14513","107016688","104696688","785225","2320000","29000",,,,,"3513400","26351","20810413","260130","0","0","452","369"
"FY 2015-16","097","NEWTOWN (097)","166330569","1266496","5339220","40044","158264349","157055928","1177919","1208421","15105",,,,,"132000","990","2595000","32438","0","0","446","241"
"FY 2015-16","098","NORFOLK (098)","12303638","93715","706838","5301","11309300","11309300","84820","0","0",,,,,"0","0","287500","3594","0","0","47","40"
"FY 2015-16","099","NORTH BRANFORD (099)","39485380","305610","1719500","12896","35871880","35871880","269039","0","0",,,,,"0","0","1894000","23675","0","0","159","158"
"FY 2015-16","100","NORTH CANAAN (100)","7728475","65126","394725","2960","4657250","4657250","34929","0","0",,,,,"1244000","9330","1432500","17906","0","0","40","32"
"FY 2015-16","101","NORTH HAVEN (101)","121821583","1050449","8055500","60416","86385133","86385133","647888","0","0",,,,,"23450","176","27357500","341969","0","0","344","254"
"FY 2015-16","102","NORTH STONINGTON (102)","22192650","172395","752500","5644","19796750","19796750","148476","0","0",,,,,"453400","3401","1190000","14875","0","0","105","82"
"FY 2015-16","103","NORWALK (103)","759212693","6968984","10144919","76087","568576623","464931004","3486983","103645619","1295570",,,,,"29159000","218693","151332151","1891652","0","0","1345","716"
"FY 2015-16","104","NORWICH (104)","101736975","891831","1346700","10100","47832941","47118704","353390","714238","8928",,,,,"27333844","205004","25046490","313081","177000","1328","483","468"
"FY 2015-16","105","OLD LYME (105)","67554986","551102","1751100","13133","64526886","55918886","419392","8608000","107600",,,,,"997000","7478","280000","3500","0","0","174","188"
"FY 2015-16","106","OLD SAYBROOK (106)","109888516","917414","7010400","52578","96175606","84173106","631298","12002500","150031",,,,,"55000","413","6647510","83094","0","0","263","211"
"FY 2015-16","107","ORANGE (107)","107459769","951042","4066250","30497","77006133","74374723","557810","2631410","32893",,,,,"0","0","26387387","329842","0","0","227","145"
"FY 2015-16","108","OXFORD (108)","67827570","519061","5111423","38336","61551147","60645370","454840","905777","11322",,,,,"0","0","1165000","14563","0","0","195","159"
"FY 2015-16","109","PLAINFIELD (109)","33567956","258216","3364000","25230","28701596","28701596","215262","0","0",,,,,"135000","1013","1291360","16142","76000","570","239","212"
"FY 2015-16","110","PLAINVILLE (110)","59747730","515028","1302312","9767","45213035","44899601","336747","313433","3918",,,,,"40000","300","13070635","163383","121749","913","274","207"
"FY 2015-16","111","PLYMOUTH (111)","19757335","153593","193000","1448","18481835","18481835","138614","0","0",,,,,"0","0","1082500","13531","0","0","137","171"
"FY 2015-16","112","POMFRET (112)","15223849","115015","1636100","12271","13420549","13420549","100654","0","0",,,,,"0","0","167200","2090","0","0","69","45"
"FY 2015-16","113","PORTLAND (113)","37541137","301401","2997300","22480","30615337","30575337","229315","40000","500",,,,,"0","0","3928500","49106","0","0","160","137"
"FY 2015-16","114","PRESTON (114)","16087357","122680","761000","5708","14814601","14814601","111110","0","0",,,,,"106756","801","405000","5063","0","0","99","71"
"FY 2015-16","115","PROSPECT (115)","50115215","420184","542400","4068","40202851","40202851","301521","0","0",,,,,"0","0","8864000","110800","505964","3795","153","114"
"FY 2015-16","116","PUTNAM (116)","23803724","194743","1445000","10838","19115723","19115723","143368","0","0",,,,,"0","0","3243001","40538","0","0","155","137"
"FY 2015-16","117","REDDING (117)","85654225","677132","9354197","70156","75665028","69084961","518137","6580067","82251",,,,,"270000","2025","365000","4563","0","0","142","81"
"FY 2015-16","118","RIDGEFIELD (118)","282060069","2382613","830000","6225","273765695","227221535","1704162","46544160","581802",,,,,"576000","4320","6888374","86105","0","0","417","225"
"FY 2015-16","119","ROCKY HILL (119)","110446774","1057882","2102860","15771","58719518","58718205","440387","1313","16",,,,,"3719520","27896","45904876","573811","0","0","294","166"
"FY 2015-16","120","ROXBURY (120)","36994730","318130","3631000","27233","33363730","25229775","189223","8133955","101674",,,,,"0","0","0","0","0","0","61","29"
"FY 2015-16","121","SALEM (121)","11959845","89699","1284955","9637","10251890","10251890","76889","0","0",,,,,"423000","3173","0","0","0","0","69","46"
"FY 2015-16","122","SALISBURY (122)","38751051","343388","1715000","12863","35735551","25984551","194884","9751000","121888",,,,,"500500","3754","800000","10000","0","0","67","93"
"FY 2015-16","123","SCOTLAND (123)","5135790","38518","386000","2895","4749790","4749790","35623","0","0",,,,,"0","0","0","0","0","0","27","21"
"FY 2015-16","124","SEYMOUR (124)","41157881","314246","954400","7158","39091120","39091120","293183","0","0",,,,,"0","0","1112361","13905","0","0","214","191"
"FY 2015-16","125","SHARON (125)","20789103","176549","572510","4294","18721593","15840393","118803","2881200","36015",,,,,"250000","1875","1245000","15563","0","0","54","54"
"FY 2015-16","126","SHELTON (126)","191941101","1556718","3699400","27746","164546194","164544724","1234085","1470","18",,,,,"265000","1988","23430507","292881","0","0","575","402"
"FY 2015-16","127","SHERMAN (127)","30764475","248309","1642675","12320","29096800","25581800","191864","3515000","43938",,,,,"25000","188","0","0","0","0","62","62"
"FY 2015-16","128","SIMSBURY (128)","177109925","1441993","16366900","122752","139067820","138009304","1035070","1058516","13231",,,,,"0","0","21675205","270940","0","0","456","230"
"FY 2015-16","129","SOMERS (129)","40826382","311785","1790137","13426","38038745","37668745","282516","370000","4625",,,,,"250000","1875","747500","9344","0","0","140","83"
"FY 2015-16","130","SOUTHBURY (130)","140535063","1185043","4582025","34365","109577947","109381947","820365","196000","2450",,,,,"365000","2738","26010091","325126","0","0","463","247"
"FY 2015-16","131","SOUTHINGTON (131)","181419634","1441806","2251604","16887","162774760","162774760","1220811","0","0",,,,,"161545","1212","16231724","202897","0","0","654","468"
"FY 2015-16","132","SOUTH WINDSOR (132)","166773803","1563249","8607800","64559","95259343","94959343","712195","300000","3750",,,,,"717500","5381","62189160","777364","0","0","426","271"
"FY 2015-16","133","SPRAGUE (133)","5479450","41096","470250","3527","5009200","5009200","37569","0","0",,,,,"0","0","0","0","0","0","35","30"
"FY 2015-16","134","STAFFORD (134)","35600361","275167","2090124","15676","30607437","30607437","229556","0","0",,,,,"1269900","9524","1632900","20411","0","0","240","164"
"FY 2015-16","135","STAMFORD (135)","1074354717","9013717","32490100","243676","787944460","701247339","5259355","86697121","1083714",,,,,"149406000","1120545","104514157","1306427","0","0","1593","933"
"FY 2015-16","136","STERLING (136)","11751525","90636","511800","3839","10708225","10708225","80312","0","0",,,,,"31500","236","500000","6250","0","0","64","74"
"FY 2015-16","137","STONINGTON (137)","134316125","1147987","4699668","35248","109949966","101109466","758321","8840500","110506",,,,,"60000","450","19282686","241034","323805","2429","352","303"
"FY 2015-16","138","STRATFORD (138)","241619659","2143529","1793849","13454","173360114","173360114","1300201","0","0",,,,,"189400","1421","66276296","828454","0","0","840","582"
"FY 2015-16","139","SUFFIELD (139)","73808528","565326","3455683","25918","68642845","67917845","509384","725000","9063",,,,,"82500","619","1627500","20344","0","0","284","161"
"FY 2015-16","140","THOMASTON (140)","17005123","136376","871874","6539","14365749","14365749","107743","0","0",,,,,"0","0","1767500","22094","0","0","91","83"
"FY 2015-16","141","THOMPSON (141)","29567550","226009","675500","5066","28040988","28040541","210304","447","6",,,,,"0","0","850000","10625","1063","8","165","106"
"FY 2015-16","142","TOLLAND (142)","49663419","374876","3693628","27702","45399791","45399791","340498","0","0",,,,,"90000","675","480000","6000","0","0","190","141"
"FY 2015-16","143","TORRINGTON (143)","96719756","848145","957250","7179","57173709","57173709","428803","0","0",,,,,"14039500","105296","24549297","306866","0","0","524","497"
"FY 2015-16","144","TRUMBULL (144)","231898921","1917477","3061365","22960","194486016","192436516","1443274","2049500","25619",,,,,"754000","5655","33597540","419969","0","0","540","320"
"FY 2015-16","145","UNION (145)","2042300","15317","566000","4245","1476300","1476300","11072","0","0",,,,,"0","0","0","0","0","0","12","17"
