"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Ballard Food Bank","5130 Leary Ave NW
Seattle, WA 98107
(47.665354, -122.3806)","91-1428805","9188","https://www.ballardfoodbank.org","We bring food and hope to our neighbors because there can be enough for everyone. We serve thousands of individuals and families across 8 ZIP codes in northwest Seattle.","Food & Hunger",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14833","https://www.guidestar.org/profile/91-1428805",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14833","https://www.guidestar.org/profile/91-1428805",,,"Economically Disadvantaged People","Seniors","Children & Youth"
"Domestic violence health and wellness","300 Lenora St Ste 1267
Seattle, WA 98121
(47.613371, -122.341925)","84-4614123","10005","https://domesticviolencehealthcare.org","We provide information and referral services that will improve the quality of life for those of poverty or facing hard times. We also have a motel voucher program.","Emergency & Disaster Services","Education & Literacy","Housing & Employment",,,,,"New","No",,,,,,"Black, African American, African","Economically Disadvantaged People","Children & Youth"
"SCM Medical Missions","3806 Whitman Ave N
Seattle, WA 98103
(47.653042, -122.345998)","91-1481782","10925","https://www.scmmedicalmissions.org","We are a division of Salaam Cultural Museum, focused on bringing relief & aid to people affected by conflict and natural disaster in the Middle East and North Africa.","International Relief & Development","Arts, Culture, & Humanities","Community Development",,"https://www.guidestar.org/profile/91-1481782",,,"Number Change","No",,,"https://www.guidestar.org/profile/91-1481782",,,"Immigrants, Migrants, Refugees","LGBTQIA",
"Easterseals Washington, Bremerton","1740 NE Riddell Rd Ste 180
Bremerton, WA 98310
(47.606906, -122.627667)","91-0575956","4100","https://www.wa.easterseals.com","Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.","Health (General)","Community Development","Education & Literacy",,"https://www.guidestar.org/profile/91-0575956",,,"Returning","No",,,"https://www.guidestar.org/profile/91-0575956",,,"People With Disabilities","Children & Youth","Economically Disadvantaged People"
"Canine Partners for Life","334 Faggs Manor Rd PO Box 170
Cochranville, PA 19330
(39.86439, -75.911552)","23-2580658","5085","https://www.k94life.org","Service and companion dogs are professionally and custom trained to enable persons with physical, developmental, and cognitive disabilities to become more independent.","Mental Health, Disabilities, & Substance Abuse",,"Animals","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6828","https://www.guidestar.org/profile/23-2580658",,"https://greatnonprofits.org/org/canine-partners-for-life","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6828","https://www.guidestar.org/profile/23-2580658",,"https://greatnonprofits.org/org/canine-partners-for-life","People With Disabilities",,
"Tacoma/Pierce County Habitat for Humanity","4824 South Tacoma Way
Tacoma, WA 98409
(47.212714, -122.483672)","58-1735531","9641","https://www.tpc-habitat.org","Affordable homeownership for modest-income families; foreclosure prevention, with HUD-certified housing counselling; aging-in-place critical home repair for senior citizens.","Housing & Employment",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=581735531","https://www.guidestar.org/profile/58-1735531",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=581735531","https://www.guidestar.org/profile/58-1735531",,,"Economically Disadvantaged People","Seniors",
"Seattle Chinatown International District Preservation and Development Authority (SCIDpda)","409 Maynard Ave S Ste 200
Seattle, WA 98104
(47.597256, -122.325079)","91-1645126","5736","https://www.scidpda.org/","SCIDpda exists to preserve, promote and develop the Seattle Chinatown International District as a vibrant community and unique ethnic neighborhood.","Housing & Employment","Social & Economic Justice","Community Development",,,"https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/chinatown-international-district-preservation-and-development-association-in-seattle-wa-87000897",,"Returning","No",,,,"https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/chinatown-international-district-preservation-and-development-association-in-seattle-wa-87000897",,,,
"Interfaith Association of NW Washington",,"91-1340220","10020","https://www.interfaithwa.org","Uniting in service to assist families with children who are experiencing homelessness.","Housing & Employment",,"Emergency & Disaster Services","https://www.charitynavigator.org/index.cfm?keyword_list=91-1340220&bay=search.results","https://www.guidestar.org/profile/91-1340220","https://www.bbb.org/charity-reviews/greatwestpacific/interfaith-family-shelter-in-everett-wa-1000095959",,"New","No",,"https://www.charitynavigator.org/index.cfm?keyword_list=91-1340220&bay=search.results","https://www.guidestar.org/profile/91-1340220","https://www.bbb.org/charity-reviews/greatwestpacific/interfaith-family-shelter-in-everett-wa-1000095959",,"Children & Youth","Economically Disadvantaged People",
"Girl Scouts of Western Washington","5601 6th Ave S Ste 150
Seattle, WA 98108
(47.551431, -122.326929)","91-6060940","9410","https://www.girlscoutsww.org","Girl Scouts empowers every girl - regardless of her race, ethnicity, socioeconomic status, sexual orientation, or geographic location - to make the world a better place.","Youth Development",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9763","https://www.guidestar.org/profile/91-6060940",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9763","https://www.guidestar.org/profile/91-6060940",,,"Children & Youth","Women & Girls",
"Boys & Girls Clubs of King County","603 Stewart St Ste 300
Seattle, WA 98101
(47.613702, -122.336925)","91-0532600","9235","https://www.positiveplace.org","We inspire and enable all young people, especially those who need us most, to realize their full potential as productive, responsible, and caring citizens.","Youth Development","Social & Economic Justice","Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7382","https://www.guidestar.org/profile/91-0532600","https://www.bbb.org/charity-reviews/greatwestpacific/boys-girls-clubs-of-king-county-in-seattle-wa-22171657",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7382","https://www.guidestar.org/profile/91-0532600","https://www.bbb.org/charity-reviews/greatwestpacific/boys-girls-clubs-of-king-county-in-seattle-wa-22171657",,"Children & Youth","Economically Disadvantaged People",
"Parkview Services","17544 Midvale Ave N Ste LL
Shoreline, WA 98133
(47.756951, -122.344579)","91-0828809","5705","https://www.parkviewservices.org","We are a nonprofit affordable housing agency serving low-income people with intellectual and developmental disabilities for over fifty years.","Housing & Employment","Mental Health, Disabilities, & Substance Abuse","Community Development",,"https://www.guidestar.org/profile/91-0828809",,,"Returning","No",,,"https://www.guidestar.org/profile/91-0828809",,,,,
"Refugees International","1800 M St NW Ste 405N
Washington, DC 20036
(38.905636, -77.041924)","52-1224516","3583","https://www.refugeesinternational.org","Advocates for lifesaving assistance and protection for displaced people and promotes solutions to displacement crises.","International Relief & Development","Legal Advocacy","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5415","https://www.guidestar.org/profile/52-1224516",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5415","https://www.guidestar.org/profile/52-1224516",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"Izaak Walton League of America","707 Conservation Ln
Gaithersburg, MD 20878
(39.121213, -77.219744)","36-1930035","2536","https://www.iwla.org","Our members protect America's outdoors through community-based conservation, education, commonsense public policy, and a commitment to strong outdoor ethics.","Environment",,,,,,,"Returning","No",,,,,,,,
"Live Music Project","117 E Louisa St PMB 570
Seattle, WA 98102
(47.642035, -122.326281)","81-2029807","10024","https://www.livemusicproject.org","Supporting access to the arts through community-centered, nonprofit technology. Our classical concert calendar features livestreams all over the world.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/ein/812029807","https://www.guidestar.org/profile/81-2029807",,,"New","No",,"https://www.charitynavigator.org/ein/812029807","https://www.guidestar.org/profile/81-2029807",,,"Economically Disadvantaged People",,
"The Navigators","3820 N 30th St
Colorado Springs, CO 80904
(38.891864, -104.875273)","84-6007896","4190","https://www.navigators.org/","Provides a spiritual presence on military bases alongside chaplains and brings hope to military personnel and their families through meaningful relationships with Christ.","Community Development","Youth Development","Spiritual Development",,"https://www.guidestar.org/profile/84-6007896",,,"Number change","No",,,"https://www.guidestar.org/profile/84-6007896",,,"Veterans & Military","Economically Disadvantaged People","Women & Girls"
"Cancer Lifeline","6522 Fremont Ave N
Seattle, WA 98103
(47.676624, -122.349963)","91-6182951","9340","https://www.cancerlifeline.org","Optimizing the quality of life for all people living with cancer through a telephone lifeline, nutrition, creative, & practical classes, support groups, & financial assistance.","Health (General)",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11372","https://www.guidestar.org/profile/91-6182951","https://www.bbb.org/western-washington/Charity-Reviews/charity-cancer/cancer-lifeline-in-seattle-wa-22825196",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11372","https://www.guidestar.org/profile/91-6182951","https://www.bbb.org/western-washington/Charity-Reviews/charity-cancer/cancer-lifeline-in-seattle-wa-22825196",,"Economically Disadvantaged People","People With Disabilities","Seniors"
"Agros International","2225 4th Ave 2nd Fl
Seattle, WA 98121
(47.615195, -122.343654)","91-1276578","9908","https://www.agros.org","Inspired by Jesus’ teachings, we break the cycle of poverty and create pathways to prosperity for farming families in rural Latin America through economic and social development.","International Relief & Development","Food & Hunger","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16777","https://www.guidestar.org/profile/91-1276578",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16777","https://www.guidestar.org/profile/91-1276578",,,,,
"UTOPIA Washington","841 Central Ave N Ste C-106
Kent, WA 98032
(47.389357, -122.231091)","61-1668192","10951","https://utopiawa.org/","To create a safe, welcoming, supportive and vibrant space for members of the QTPI (Queer and Trans Pacific Islander) community to address basic needs & advocate for social justice.","Social & Economic Justice","Mental Health, Disabilities, & Substance Abuse","Arts, Culture, & Humanities",,"https://www.guidestar.org/Profile/9210368",,,"Number Change","No",,,"https://www.guidestar.org/Profile/9210368",,,"Immigrants, Migrants, Refugees","Native Hawaiian, Pacific Islander","LGBTQIA"
