Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
Disability Rights Washington,"315 5th Ave S Ste 850
Seattle, WA 98104
(47.599939, -122.327677)","Mental Health, Disabilities, & Substance Abuse",91-0956784,"Statewide organization advocating for the rights of people with all disabilities in Washington, advancing dignity, equality and self-determination.",Legal Advocacy,Social & Economic Justice,101,18379,786
Disabled American Veterans (DAV) Charitable Service Trust,"3725 Alexandria Pike
Cold Spring, KY 41076
(39.02597, -84.447248)",Health (General),52-1521276,Prosthetics Research and Devices for Amputees; Traumatic Brain Injury Therapy; Guide/Assistance Dogs; Comfort for Survivors.,,,,17193,
Dispute Resolution Center of King County,,Social & Economic Justice,91-1354975,"We open pathways to understanding and solving conflict by providing affordable mediation, facilitation, training and peaceful conflict resolution services in King County.",Community Development,Housing & Employment,,,
"Doctors Without Borders USA, Inc.","40 Rector St 16th Fl
New York, NY 10006
(40.708382, -74.014801)",Health (General),13-3433452,"An independent international medical humanitarian organization delivering emergency aid to those affected by conflict, epidemics & natural disasters in more than 70 countries.",Emergency & Disaster Services,Food & Hunger,,11727,
Dog Gone Seattle,,Animals,81-5101166,"A foster-based dog rescue dedicated to rescuing homeless and at-risk dogs, and placing them in loving forever homes in the greater Seattle area. Our motto is Rescue Respect Repeat.",,,,,
Dogs & Cats Stranded On The Streets,"14173 Fern Rd
Guerneville, CA 95446
(38.502523, -123.005813)",Animals,27-2063483,"Dogs and cats are dumped on the streets...injured, scared and hungry. Finding safe, loving homes for these helpless victims of abuse, abandonment and neglect.",,,,23755,
Dogs for Better Lives,"10175 Wheeler Rd
Central Point, OR 97502
(42.461977, -122.939364)",Animals,93-0681311,"Professionally train dogs to help people and enhance lives, maintaining a life-long commitment to all dogs we rescue or breed and the people we serve. No charge for our service.",Health (General),,,1739,
Dogs Last Chance,"8033 Sunset Blvd Ste 835
Los Angeles, CA 90046
(34.098012, -118.364933)",Animals,95-4013155,"Puppy mills, vivisection/dissection, fur, illegal animal fighting; undercover investigations to expose animal abusers and promoting cruelty-free lifestyles.",,,,23677,
Dogs On Death Row,"1100 Larkspur Landing Circle #108
Larkspur, CA 94939
(37.948257, -122.509914)",Animals,20-5530700,We rescue dogs facing imminent execution if they do not get interim financial sponsors or foster parents or receive medical treatment required to become adoptable.,,,,1836,
Domestic Violence and Sexual Assault Services of Whatcom County,"1407 Commercial St
Bellingham, WA 98225
(48.751602, -122.478484)",Social & Economic Justice,91-1066325,"Nonprofit volunteer-driven organization working to end domestic violence, sexual assault, and sexual exploitation by empowering victims and educating the community.",Legal Advocacy,Housing & Employment,,18644,1095
Domestic violence health and wellness,"300 Lenora St Ste 1267
Seattle, WA 98121
(47.613371, -122.341925)",Emergency & Disaster Services,84-4614123,We provide information and referral services that will improve the quality of life for those of poverty or facing hard times. We also have a motel voucher program.,Housing & Employment,Education & Literacy,101,19576,779
Domestic Violence Services of Snohomish County,,Housing & Employment,91-0982722,"Dedicated to ending domestic violence by providing confidential shelter, supportive housing and legal advocacy to victims and promoting change.",,,,,
Doney Coe Pet Clinic,"2212 Queen Anne Ave N #702
Seattle, WA 98109
(47.6388, -122.356938)",Animals,91-1432244,Doney Coe Pet Clinic provides veterinary and wellness care to the pets of those experiencing homelessness and low-income families in King County.,,,101,18390,45
Downtown Action to Save Housing (DASH),"11018 NE 11th St
Bellevue, WA 98004
(47.62008, -122.192499)",Housing & Employment,94-3155152,"Creating desirable, viable housing for lower to modest income households to provide security, community, and opportunity for financial advancement.",Community Development,,6,31848,1427
"Ducks Unlimited, Inc","1 Waterfowl Way
Memphis, TN 38120
(35.131516, -89.805103)",Environment,13-5643799,"We conserve, restore, & manage wetlands and associated habitats for North America's waterfowl. These habitats also benefit other wildlife and people.",Education & Literacy,,,30971,
Duwamish Longhouse and Cultural Center,"4705 W Marginal Way SW
Seattle, WA 98106
(47.560922, -122.351769)","Arts, Culture, & Humanities",91-1122115,"We focus on local Duwamish heritage Preservation, Cultural Education, School Tours, environmental and social justice initiatives that promote understanding of the Duwamish people.",Social & Economic Justice,Environment,101,18385,772
Earshot Jazz,"3417 Fremont Ave N #221
Seattle, WA 98103
(47.649706, -122.349763)","Arts, Culture, & Humanities",94-3051610,"We ensure the legacy and progression of the art form by cultivating a vibrant jazz community through engaging audiences, celebrating artists, and supporting education.",,,101,18377,1110
EarthCorps,"6310 NE 74th St Ste 201E
Seattle, WA 98115
(47.683307, -122.257877)",Environment,91-1592071,EarthCorps develops leaders to strengthen community and restore the health of our environment. We envision a world where people and nature thrive together.,,,101,18792,276
Earthjustice,"50 California St
San Francisco, CA 94111
(37.793608, -122.397274)",Environment,94-1730465,"Works through the courts on behalf of citizen groups, scientists, and other parties to ensure government agencies and private interests follow the law.",,,,28860,
Earth Ministry,"6512 23rd Ave NW Ste 317
Seattle, WA 98117
(47.676179, -122.385354)",Environment,91-1547974,Earth Ministry engages the faith community in environmental advocacy and care through education and organizing for social change.,,,101,18798,114
EarthShare WA,"509 Olive Way Ste 1234
Seattle, WA 98101
(47.613134, -122.336281)",Environment,91-1363472,"Together championing Washington's environment by helping workplaces connect with, contribute to, and volunteer in support of our State's leading environmental organizations.",Animals,,101,18081,397
Earthworks,"1612 K St NW Ste 904
Washington, DC 20006
(38.902405, -77.03753)",Environment,52-1557765,Dedicated to protecting communities and the environments from the adverse impacts of mineral and energy development.,,,,25079,
East African Community Services,"7050 32nd Ave S
Seattle, WA 98118
(47.539629, -122.2904)",Youth Development,91-2138852,"Annually, we provide K-12 afterschool, mentorship and STEM programs to 350+ East African refugee and immigrant families in South Seattle, SeaTac and other King County Cities.",Education & Literacy,Social & Economic Justice,101,18800,1334
"Easterseals Washington, Bremerton","1740 NE Riddell Rd Ste 180
Bremerton, WA 98310
(47.606906, -122.627667)",Health (General),91-0575956,"Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.",Education & Literacy,Community Development,,10799,582
"Easterseals Washington, Pierce","17809 S Vaughn Rd KPN
Vaughn, WA 98394
(47.335333, -122.775465)",Health (General),91-0575956,"Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.",Education & Literacy,Community Development,,12598,1352
"Easterseals Washington, Seattle","200 W Mercer St Ste 210E
Seattle, WA 98119
(47.624609, -122.359942)",Health (General),91-0575956,"Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.",Education & Literacy,Community Development,101,19575,236
"Easterseals Washington, Yakima","1101 S 13th Ave
Yakima, WA 98902
(46.585234, -120.526404)",Health (General),91-0575956,"Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.",Education & Literacy,Community Development,,29512,333
Eastside Audubon,,Environment,91-1123007,"We work to protect birds, other wildlife, and our community's natural resources through education, advocacy, community science, and habitat restoration.",Animals,Community Development,,,
Eastside Baby Corner,,Food & Hunger,91-1617032,"We help kids by collecting, purchasing & giving out what kids up to age 12 need through human service agencies & programs across King County.",Health (General),,,,
Eastside Friends of Seniors,"1121 228th Ave SE
Sammamish, WA 98075
(47.599562, -122.035552)",Health (General),26-3624411,"Assist seniors in retaining independence by providing transportation, housekeeping, light yard & home chores and friendly visits. Services are provided by volunteers at no cost.",,,81,18076,242
Eastside Legal Assistance Program,"1239 120th Ave NE Ste J
Bellevue, WA 98005
(47.622058, -122.179661)",Legal Advocacy,91-1471384,"We are dedicated to making the civil legal system more accessible to those most in need by providing free, high-quality, legal service to low-income residents of King County.",Social & Economic Justice,Human & Civil Rights,6,31850,433
ECHO,"17391 Durrance Rd
North Ft. Myers, FL 33917
(26.716873, -81.791519)",International Relief & Development,23-7275283,"Helping people by providing training, information and seeds to development workers, small-scale farmers, and missionaries working in 190+ countries.",Food & Hunger,Community Development,,2028,
