"funding_program","eligible_funding_recipients","eligible_projects","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub_organization","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open","application_closed","additional_application_dates","supplemental_information","last_updated"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Conservation Districts","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Irrigation Districts","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Clean Water State Revolving Loan Fund (Water Quality Combined Financial Assistance Program)","Private or Public Corporations","Refinance","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov
"," Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","The Clean Water State Revolving Fund (CWSRF) program provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","Water Quality Program","0","n/a ","No more than 50% available funds can go to any one project.","n/a","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Lands Enhancement Account","Counties, Cities, Towns","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_21.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","Darrell Jennings; 360-902-3020; darrell.jennings@rco.wa.gov","Grant","The Legislature created the Aquatic Lands Enhancement Account (ALEA) in 1984 as a way to invest revenue raised from Washington’s shorelines into projects meant to preserve and restore these valuable lands.","The program provides funding to acquire, restore, or improve aquatic lands for public purposes.  Grants may be used to provide or improve public access to those lands and associated waters.","n/a","50","n/a","$500,000 or $1,000,000","$500,000 for development and restoration costs; $1,000,000 for land acquisition.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Lands Enhancement Account","Tribes","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_21.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","Darrell Jennings; 360-902-3020; darrell.jennings@rco.wa.gov","Grant","The Legislature created the Aquatic Lands Enhancement Account (ALEA) in 1984 as a way to invest revenue raised from Washington’s shorelines into projects meant to preserve and restore these valuable lands.","The program provides funding to acquire, restore, or improve aquatic lands for public purposes.  Grants may be used to provide or improve public access to those lands and associated waters.","n/a","50","n/a","$500,000 or $1,000,000","$500,000 for development and restoration costs; $1,000,000 for land acquisition.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Lands Enhancement Account","Special Purpose Districts","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_21.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","Darrell Jennings; 360-902-3020; darrell.jennings@rco.wa.gov","Grant","The Legislature created the Aquatic Lands Enhancement Account (ALEA) in 1984 as a way to invest revenue raised from Washington’s shorelines into projects meant to preserve and restore these valuable lands.","The program provides funding to acquire, restore, or improve aquatic lands for public purposes.  Grants may be used to provide or improve public access to those lands and associated waters.","n/a","50","n/a","$500,000 or $1,000,000","$500,000 for development and restoration costs; $1,000,000 for land acquisition.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Lands Enhancement Account","Governmental Agencies (Federal and State)","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_21.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","Darrell Jennings; 360-902-3020; darrell.jennings@rco.wa.gov","Grant","The Legislature created the Aquatic Lands Enhancement Account (ALEA) in 1984 as a way to invest revenue raised from Washington’s shorelines into projects meant to preserve and restore these valuable lands.","The program provides funding to acquire, restore, or improve aquatic lands for public purposes.  Grants may be used to provide or improve public access to those lands and associated waters.","n/a","50","n/a","$500,000 or $1,000,000","$500,000 for development and restoration costs; $1,000,000 for land acquisition.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Washington Wildlife and Recreation Program","Counties, Cities, Towns","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_10b.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","n/a","Grant","To acquire the most significant lands for outdoor recreation, habitat, and wildlife preservation before they are gone.","The Washington State Legislature created the Washington Wildlife and Recreation Program (WWRP) in 1990 to accomplish two goals: (1) Acquire valuable recreation and habitat lands before they were developed; and (2) Develop recreation areas for a growing population.  Today, WWRP provides funding for a broad range of projects that conserve wildlife habitat and farmland, buy lands for parks and trails, and develop outdoor recreational facilities.","n/a",,"50%, except State agencies may receive 100% grants.","$25,000","$25,000 minimum, no maximum request.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Washington Wildlife and Recreation Program","Tribes","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_10b.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","n/a","Grant","To acquire the most significant lands for outdoor recreation, habitat, and wildlife preservation before they are gone.","The Washington State Legislature created the Washington Wildlife and Recreation Program (WWRP) in 1990 to accomplish two goals: (1) Acquire valuable recreation and habitat lands before they were developed; and (2) Develop recreation areas for a growing population.  Today, WWRP provides funding for a broad range of projects that conserve wildlife habitat and farmland, buy lands for parks and trails, and develop outdoor recreational facilities.","n/a",,"50%, except State agencies may receive 100% grants.","$25,000","$25,000 minimum, no maximum request.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Washington Wildlife and Recreation Program","Lead Entities (RCW 77.85)","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_10b.pdf","Washington State Recreation and Conservation Office","Active","Marguerite Austin; 360-902-3016; marguerite.austin@rco.wa.gov","n/a","Grant","To acquire the most significant lands for outdoor recreation, habitat, and wildlife preservation before they are gone.","The Washington State Legislature created the Washington Wildlife and Recreation Program (WWRP) in 1990 to accomplish two goals: (1) Acquire valuable recreation and habitat lands before they were developed; and (2) Develop recreation areas for a growing population.  Today, WWRP provides funding for a broad range of projects that conserve wildlife habitat and farmland, buy lands for parks and trails, and develop outdoor recreational facilities.","n/a",,"50%, except State agencies may receive 100% grants.","$25,000","$25,000 minimum, no maximum request.","2018-03-01T00:00:00.000","2018-05-01T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
