"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Budget & Finance and Public Works and Gang Reduction Committees - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-22T14:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend18105568_08222016.html",,,,"105568"
"Public Works and Gang Reduction and Budget and Finance Committees - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-22T14:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend28105569_08222016.html",,,,"105569"
"Claims Board Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-22T13:00:00.000",,,,,,,"http://ens.lacity.org/atty/claims_board/attyclaims_board3307105540_08222016.pdf",,,,"105540"
"DVTF: Law Enforcement Committee Mtg. Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-22T11:00:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105542_08222016.pdf",,,,"105542"
"Health, Mental Health and Education Committee - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-22T10:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3403105563_08222016.html",,,,"105563"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-22T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105530_08222016.html",,,,"105530"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-22T10:00:00.000","2016-08-22T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08222016_bpwcal.htm",,,,
"Summer Whalewatch (08/21/2016)","Join CMA staff as they search the Catalina Channel for the largest animals in the world. Blue, fin and humpback whales spend part of their summer here to feed on huge amounts of krill. Boat leaves from San Pedro.  Pre-registration is required","Yes",,"Recreation","All",,,"2016-08-21T09:00:00.000","2016-08-21T12:00:00.000","Cabrillo Marine Aquarium","3720 Stephen M. White Dr
San Pedro, CA 90731
(33.7113, -118.285)","Cabrillo Marine Aquarium","(310) 548-7562",,"http://www.cabrillomarineaquarium.org/","Council District 15","Joe Buscaino",,"880"
"HHPNC Special Board and Agenda Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-20T11:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/highlandpark/ensnchighlandpark801105524_08202016.pdf",,,,"105524"
"HHPNC REVISED Agenda.Board.Special",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-20T11:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/highlandpark/ensnchighlandpark801105545_08202016.pdf",,,,"105545"
"Lake Balboa NC Joint Board, Health and Public Safety Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-20T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/wvannuysnc/ensncwvannuysnc2411105062_08202016.pdf",,,,"105062"
"NANDC Board Retreat",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-20T09:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressnorth/ensnccongressnorth792105502_08202016.pdf",,,,"105502"
"See the Sea, si? Floating Oceanography Lab (08/20/2016)","Join us aboard a specially equipped vessel where you’ll have opportunities to study some of the near- shore animals which will be collected during the trip. Learn about plankton, animals that call mud their home and bottom fish and marine birds and be on the lookout for sea lions and dolphins. Pre-registration is required.","Yes",,"Recreation","All",,,"2016-08-20T09:00:00.000","2016-08-20T12:00:00.000","Cabrillo Marine Aquarium","3720 Stephen M. White Dr
San Pedro, CA 90731
(33.7113, -118.285)","Cabrillo Marine Aquarium","(310) 548-7562",,"http://www.cabrillomarineaquarium.org/","Council District 15","Joe Buscaino",,"879"
"EPNC Board Retreat",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-20T09:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791105519_08202016.pdf",,,,"105519"
"Office of Community Beautification ` Proyecto Pastoral Dololes Mission ~ Pueblo del Sol","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-08-20T08:30:00.000","2016-08-20T11:30:00.000","Pueblo del Sol","1300 Plaza del Sol East
Los Angeles, California 90033
(34.048722, -118.225689)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - KYCC/The Belong Campaign","Clean Up",,"Volunteerism",,,,"BPW OCB","2016-08-20T08:30:00.000","2016-08-20T12:00:00.000","Magnolia Place Family Center","1910 Magnolia Avenue
Los Angeles, CA 90007
(34.039715, -118.286449)","Anna Ruiz","213.978.0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: West Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-08-20T08:00:00.000","2016-08-20T11:00:00.000",,"24400 Highlander Rd.
West Hills, CA 
(34.20048, -118.656478)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"	cspnc-communications comte mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-19T17:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768105520_08192016.pdf",,,,"105520"
"Ballot Simplification Committee, Special Meeting, CORRECTED AGENDA",,"No ","Meeting - Board","Government",,,"ITA","2016-08-19T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend1269105356_08192016.pdf",,,,"105356"
"Ballot Simplification Committee, Special Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-19T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend1269105253_08192016.pdf",,,,"105253"
"Los Angeles City Council Agenda, Special Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-19T10:15:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105537_08192016.html",,,,"105537"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-19T10:00:00.000","2016-08-19T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08192016_bpwcal.htm",,,,
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-19T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105471_08192016.htm",,,,"105471"
"Los Angeles City Council Agenda, Continuation Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-19T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105533_08192016.html",,,,"105533"
"Commission on the Status of Women",,"No ","Meeting - Board","Government",,,"ITA","2016-08-19T10:00:00.000",,,,,,,"http://ens.lacity.org/hcid/cswagenda/hcidcswagenda3333105416_08192016.pdf",,,,"105416"
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-19T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105479_08192016.html",,,,"105479"
"Rules, Elections, InterGovernmental Relations & Neighborhoods Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-08-19T09:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend29105482_08192016.html",,,,"105482"
"Rules, Elections, InterGovernmental Relations & Neighborhoods Committee- SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-19T08:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend29105513_08192016.html",,,,"105513"
,,,,,,,,"2016-08-19T06:48:26.000","2016-08-19T06:48:26.000",,,,,,,,,"west hills",
"North Hollywood Northeast Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T21:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/nrthhollywoodne/ensncnrthhollywoodne815105532_08182016.pdf",,,,"105532"
"Arroyo Seco NC Committee Meeting August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T20:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/arroyoseconc/ensncarroyoseconc817105504_08182016.pdf",,,,"105504"
"WHNC Communications-Board Joint Agenda 081816-730pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105449_08182016.pdf",,,,"105449"
"WHWCNC Special Joint Board and PLUM Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/woodlandhillsnc/ensncwoodlandhillsnc776105529_08182016.pdf",,,,"105529"
"NHWNC Board Agenda 081816-7pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northhillswest/ensncnorthhillswest834105446_08182016.pdf",,,,"105446"
"Chatsworth NC Joint Meeting August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838105489_08182016.pdf",,,,"105489"
"SORO NC Board Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809105488_08182016.pdf",,,,"105488"
"FTDNC General Meeting Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/foothilltrails/ensncfoothilltrails836105514_08182016.pdf",,,,"105514"
"North Hollywood Northeast General Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nrthhollywoodne/ensncnrthhollywoodne815105492_08182016.pdf",,,,"105492"
"Northridge West NC Joint Meeting August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgewest/ensncnorthridgewest2414105501_08182016.pdf",,,,"105501"
"Reseda NC Committee Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/resedanc/ensncresedanc820105419_08182016.pdf",,,,"105419"
"Sherman Oaks NC Land Use Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/shermanoaksnc/ensncshermanoaksnc825105268_08182016.pdf",,,,"105268"
"WHWCNC PLUM",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/woodlandhillsnc/ensncwoodlandhillsnc776105508_08182016.pdf",,,,"105508"
"	Del Rey NC Land Use and Planning Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/delreync/ensncdelreync849105509_08182016.pdf",,,,"105509"
"West Hills NC Public Safety and Emergency Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105323_08182016.pdf",,,,"105323"
"Westlake North NC Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/northwestlakenc/ensncnorthwestlakenc3217105521_08182016.pdf",,,,"105521"
"entral San Pedro NC Ad Hoc Committee Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105499_08182016.pdf",,,,"105499"
"PRNC Board Agenda Spcl 081816-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/porterranchnc/ensncporterranchnc844105450_08182016.pdf",,,,"105450"
"Lincoln Heights NC Committee Meeting Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lincolnheights/ensnclincolnheights794105496_08182016.pdf",,,,"105496"
"Mar Vista NC Meeting August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810105483_08182016.pdf",,,,"105483"
"Central San Pedro NC Ad Hoc Committee Agenda August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838105490_08182016.pdf",,,,"105490"
"Central San Pedro Sustainability Comte CANCELLED",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105534_08182016.pdf",,,,"105534"
"LHNC ExecComm Agenda 081816-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lincolnheights/ensnclincolnheights794105445_08182016.pdf",,,,"105445"
"North Valley Area Planning Commission Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/northvagenda/plnnorthvagenda294105472_08182016.pdf",,,,"105472"
"CFAC Subcommittee Meeting on Sidewalk Repair",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T14:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105485_08182016.pdf",,,,"105485"
"Cultural Affairs Commission Aug 18, 2016 Regular Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T13:30:00.000",,,,,,,"http://ens.lacity.org/cad/affairsagenda/cadaffairsagenda92105350_08182016.pdf",,,,"105350"
"BOAC Regular Open Session",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T10:30:00.000",,,,,,,"http://ens.lacity.org/lawa/bac_agendas/lawabac_agendas271105414_08182016.htm",,,,"105414"
"Cultural Heritage Commission Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T10:00:00.000",,,,,,,"http://ens.lacity.org/pln/heritage/plnheritage1217105389_08182016.pdf",,,,"105389"
"Agenda For Taxicab August 18, 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T10:00:00.000",,,,,,,"http://ens.lacity.org/ladot/taxicab/ladottaxicab254105352_08182016.pdf",,,,"105352"
"BOAC Regular Closed Session",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T09:00:00.000",,,,,,,"http://ens.lacity.org/lawa/bac_agendas/lawabac_agendas271105413_08182016.htm",,,,"105413"
"Board of Fire and Police Pension Commissioners/Special Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T09:00:00.000",,,,,,,"http://ens.lacity.org/fppen/fppenagenda/fppenfppenagenda229105511_08182016.pdf",,,,"105511"
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159105375_08182016.pdf",,,,"105375"
"Board of Fire and Police Pension Commissioners/Special Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T09:00:00.000",,,,,,,"http://ens.lacity.org/fppen/fppenagenda/fppenfppenagenda229105511_08182016.pdf",,,,"105511"
"Board of Fire and Police Pension Commissioners",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T08:30:00.000",,,,,,,"http://ens.lacity.org/fppen/fppenagenda/fppenfppenagenda229105386_08182016.pdf",,,,"105386"
"City Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-18T08:30:00.000",,,,,,,"http://ens.lacity.org/pln/cityplnagenda/plncityplnagenda285105377_08182016.pdf",,,,"105377"
"Tarzana NC Joint Meeting and Special TNC Board Meeting August 18, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-18T07:45:00.000",,,,,,,"http://ens.lacity.org/ensnc/tarzananc/ensnctarzananc830105475_08182016.pdf",,,,"105475"
"NC Valley Village - Events and Outreach Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/valleyvillagenc/ensncvalleyvillagenc2409105258_08172016.pdf",,,,"105258"
"Valley Village NC Outreach Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/valleyvillagenc/ensncvalleyvillagenc2409105433_08172016.pdf",,,,"105433"
"PalmsNC GreenComm Agenda 081716-730pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410105454_08172016.pdf",,,,"105454"
"Northridge East NC Board agenda August 17, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgeastnc/ensncnorthridgeastnc2413105481_08172016.pdf",,,,"105481"
"West Hills NC Joint Committee Board Agenda August 17, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105418_08172016.pdf",,,,"105418"
"AVNC Joint Executive & BOG",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105444_08172016.pdf",,,,"105444"
"SCNC Board Agenda Revised 081716-7pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824105448_08172016.pdf",,,,"105448"
"UNNC Zoning and Planning Committee Agenda August 17, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/unitedneighbor/ensncunitedneighbor798105431_08172016.pdf",,,,"105431"
"South Robertson NC Committee Agenda August 17, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809105427_08172016.pdf",,,,"105427"
"Atwater Village NC Joint Public Meeting August 17, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105484_08172016.pdf",,,,"105484"
"HCNC LUC Agenda 081716-7pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/historiccultura/ensnchistoriccultura795105452_08172016.pdf",,,,"105452"
"MPNC ExecComm Agenda 081716-7pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105453_08172016.pdf",,,,"105453"
"Chatsworth NC Joint Board and Enhancement Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-17T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838105467_08172016.pdf",,,,"105467"
