"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","20.97"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","5.76"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","106.72"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","62.78"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","292.90"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502090:Benefits - Other",,,"2020-06-28T00:00:00.000","FY2020","0.67"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.72"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","29.32"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.68"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","6.86"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.80"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","4.84"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","162.70"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","20.68"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-06-28T00:00:00.000","FY2020","170.84"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","18.56"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.54"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","42.89"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.44"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502180:Benefits - State Family Medical Leave",,,"2020-12-31T00:00:00.000","FY2020","0.40"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","0.49"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-22T00:00:00.000","FY2020","205.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","275.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","275.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-02T00:00:00.000","FY2020","-50.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-02T00:00:00.000","FY2020","-50.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","-50.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-02T00:00:00.000","FY2020","-50.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-22T00:00:00.000","FY2020","205.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","275.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-22T00:00:00.000","FY2020","205.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","275.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-22T00:00:00.000","FY2020","205.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-01T00:00:00.000","FY2020","275.00"
"Public Works","150-00 County Road Fund","PW-General Acctg",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"54330P0 General Services","504510:Equipment Rental","Equipment Rental [45.000200]","Honey Bucket","2020-06-02T00:00:00.000","FY2020","-50.00"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-06-28T00:00:00.000","FY2020","57.73"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502090:Benefits - Other",,,"2020-06-28T00:00:00.000","FY2020","0.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","4.41"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","0.75"
