"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","PERIPHERALS, COMPUTER","27738","DRA DISTRIBUTION",
"2021","SRGE AND GRND IMPR SIGNAL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SRGE AND GRND IMPR SIGNAL","CAPITAL-GOV FUNDS","TEST EQUIPMENT, OTHER","1144.26","STREET CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","13367.89","DMASWA-GENERAL",
"2021","HANGER REPAIRS/REPLACE","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","HANGER REPAIRS/REPLACE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","41002.38","AIRPORT CONSTRUCTION",
"2021","TWIN RIDGE LIFT ST ABANDO","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TWIN RIDGE LIFT ST ABANDO","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","2377.44","SANITARY SEWER CONSTRUCTI",
"2020","MURPHY PLAY EQUIPMENT","CULTURE AND REC - CAP","PARK DIVISION","NONE","MURPHY PLAY EQUIPMENT","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","52125","DRA DISTRIBUTION",
"2020","CORRIDOR STUDY ALTERNATES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CORRIDOR STUDY-ALTERNATES","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","50000","GENERAL CONSTRUCTION",
"2020","DECORATIVE CONCRETE MAINT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","DECORATIVE CONCRETE MAINT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","3681.62","STREET CONSTRUCTION",
"2021","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","150000","STORM WATER CONSTRUCTION",
"2021","ASBURY & JFK SIGNAL RECON","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ASBURY & JFK SIGNAL RECON","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","15000","STREET CONSTRUCTION",
"2020","LEAD HZRD REDUC PRG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","LEAD HZRD REDUC PRG","CAPITAL-GOV FUNDS","LOANS","400000","LEAD PAINT GRANT",
"2021","PAVEMENT PRESERVATION","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT PRESERVATION","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","DRA DISTRIBUTION",
"2020","LIBRARY ROOF REPLACEMENT","CULTURE AND REC - CAP","LIBRARY","NONE","LIBRARY ROOF REPLACEMENT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","120029","SALES TAX CONSTRUCTION",
"2020","TRUCK-MOUNTED NEW CONCEPT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","TRUCK-MOUNTED NEW CONCEPT","CAPITAL-GOV FUNDS","HEAVY EQUIP-REPLACEMENT","19254","STREET CONSTRUCTION",
"2020","LEAD HZRD REDUC PRG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","LEAD HZRD REDUC PRG","CAPITAL-GOV FUNDS","GRANTS","152050","LEAD PAINT GRANT",
"2020","SAN SEWER LINING PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER LINING PROGRAM","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","7500","SANITARY SEWER CONSTRUCTI",
"2020","PAVEMENT MARKING","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT MARKING","CAPITAL-GOV FUNDS","LEGAL NOTICES & ADS","27.06","STREET CONSTRUCTION",
"2021","JACKSON PARK AMENITIES","CULTURE AND REC - CAP","PARK DIVISION","NONE","JACKSON PARK AMENITIES","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","10000","GENERAL CONSTRUCTION",
"2021","WATER MAIN REPLACEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER MAIN REPLACEMENTS","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","32565","WATER CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DEBT SERVICE","616423","SALES TAX CONSTRUCTION",
"2021","VILLA ST STORM SEWER PROJ","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","VILLA ST STORM SEWER PROJ","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","28000","STORM WATER CONSTRUCTION",
"2020","DEPARTMENT REMODEL","GEN GOVERNMENT - CAP","FINANCE DEPARTMENT","NONE","DEPARTMENT REMODEL","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","15000","GENERAL",
"2021","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","23510","SALES TAX CONSTRUCTION",
"2020","SUNNYCREST/ROOSEVELT STRM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","SUNNYCREST/ROOSEVELT STRM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","5000","STORM WATER CONSTRUCTION",
"2020","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","5042.5","SALES TAX INCREMENT",
"2020","SIDEWALK PROGRAM CITY OWN","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK PROGRAM CITY OWN","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","SALES TAX CONSTRUCTION",
"2020","TRACK LN SAN SEWER CLEAN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TRACK LN SAN SEWER CLEAN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","90000","SANITARY SEWER CONSTRUCTI",
"2020","WATER MAIN REPLACEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER MAIN REPLACEMENTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","531991.65","WATER CONSTRUCTION",
"2020","IFA DT HOUSING LOAN POOL","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","IFA DT HOUSING LOAN POOL","CAPITAL-GOV FUNDS","TO DEBT SERVICE","217922","GENERAL",
"2020","MILLWORK MASTER PLANNING","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","WAREHOUSE MASTER PLANNING","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","50000","GENERAL CONSTRUCTION",
"2020","BUS STORAGE FACILITY","PUBLIC WORKS-CAPITAL","TRANSIT DIVISION","OTHER","BUS STORAGE FACILITY","CAPITAL-GOV FUNDS","POSTAGE AND SHIPPING","23.17","GENERAL CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","110000","SALES TAX INCREMENT",
"2020","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","100000","STORM WATER CONSTRUCTION",
"2021","VILLA ST STORM SEWER PROJ","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","VILLA ST STORM SEWER PROJ","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","5000","STORM WATER CONSTRUCTION",
"2020","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","10000","STREET CONSTRUCTION",
"2022","DTWN URBN RNL DRST ADA","PUBLIC SAFETY-CAPITAL","HOUSING & COMMUNITY DEV","NONE","DTWN URBN RNL DRST ADA","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","51437","GENERAL CONSTRUCTION",
"2020","DICW","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DICW","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","107371.07","GENERAL CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","2375","TRANSIT",
"2020","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20036.21","SALES TAX INCREMENT",
"2021","POD RIVERFRONT DOCK EXP","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","POD RIVERFRONT DOCK EXP","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","25000","GENERAL CONSTRUCTION",
"2020","GENERAL REPAIRS","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","GENERAL REPAIRS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","39060","STORM WATER CONSTRUCTION",
"2020","NETWORK SEC RISK ASSESS","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NETWORK SEC RISK ASSESS","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","15000","DRA DISTRIBUTION",
"2020","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","WTR MN REPLACE - SWR CONS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WTR MN REPLACE - SWR CONS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","12500","WATER CONSTRUCTION",
"2021","UNDERGROUND TANK LIBRARY","CULTURE AND REC - CAP","LIBRARY","NONE","UNDERGROUND TANK LIBRARY","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","36379","SALES TAX CONSTRUCTION",
"2020","EPP BRIDGE COMPLEX","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP BRIDGE COMPLEX","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","20000","DRA DISTRIBUTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","STORM WATER","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","950","STORM WATER CONSTRUCTION",
"2020","SNOW BROOM AND BLOWER","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","SNOW BROOM AND BLOWER","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","3536","AIRPORT CONSTRUCTION",
"2020","RUNWAY SENSOR UPDATE","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","RUNWAY SENSOR UPDATE","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","235000","AIRPORT CONSTRUCTION",
"2020","SAN SEWER INTERNAL MAIN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER INTERNAL MAIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","11310","SANITARY SEWER CONSTRUCTI",
"2020","NW ARTERIAL DETENSION BAS","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","NW ARTERIAL DETENTION 02","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","639.5","STORM WATER CONSTRUCTION",
"2022","GDUR HOUSING CREATION PRG","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","GDUR HOUSING CREATION PRG","CAPITAL-GOV FUNDS","GRANTS","1221593","GENERAL CONSTRUCTION",
"2021","LIBRARY LANDSCAPING","CULTURE AND REC - CAP","LIBRARY","NONE","LIBRARY LANDSCAPING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","87011","SALES TAX CONSTRUCTION",
"2020","UNDISTRIBUTED -PARKING","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","UNDISTRIBUTED -PARKING","NO DESCRIPTION","TO PARKING OPERATIONS","26209","PARKING FACILITY CONSTRUC",
"2020","SECURITY CAMERAS","CULTURE AND REC - CAP","PARK DIVISION","NONE","SECURITY CAMERAS","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","10000","SALES TAX CONSTRUCTION",
"2020","PAVEMENT MARKING","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT MARKING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","234740.21","STREET CONSTRUCTION",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO AIRPORT CONSTRUCTION","386400","BOND ISSUES",
"2020","FIBER/NETWORK MGMT PROG","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER/NETWORK MGMT PROG","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","14204.36","STREET CONSTRUCTION",
"2016","GIS SYSTEM IMPLEMENTATION","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","OPERATING","GIS SYSTEM IMPLEMENTATION","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","9977","GENERAL",
"2020","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","42500","SALES TAX CONSTRUCTION",
"2021","CLERK OFFICE REDESIGN","GEN GOVERNMENT - CAP","CITY CLERK'S OFFICE","NONE","CLERK OFFICE REDESIGN","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","5000","DRA GAMING",
"2021","MAIN EXT TO NEW DEV","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","MAIN EXT TO NEW DEV","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","192925","WATER CONSTRUCTION",
"2020","NW ARTERIAL TURN LANE IMP","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","NW ARTERIAL TURN LANE IMP","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","343958.74","STREET CONSTRUCTION",
"2020","SANITARY SEWER ROOT FOAM","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","SANITARY SEWER","SANITARY SEWER ROOT FOAM","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","30000","SANITARY SEWER CONSTRUCTI",
"2021","ASBURY & JFK SIGNAL RECON","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ASBURY & JFK SIGNAL RECON","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","65000","STREET CONSTRUCTION",
"2020","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","100000","STREET CONSTRUCTION",
"2020","MAIN STREET BUILDING DEMO","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","MAIN STREET BUILDING DEMO","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","70754.55","GENERAL",
"2020","FIRE HVAC","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","FIRE HVAC","CAPITAL-GOV FUNDS","HVAC","80000","SALES TAX CONSTRUCTION",
"2021","VETERANS PARK DISC GOLF","CULTURE AND REC - CAP","PARK DIVISION","NONE","VETERANS PARK DISC GOLF","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","40000","DRA DISTRIBUTION",
"2019","JACKSON ST. RECONSTRUCTIO","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","JACKSON ST. RECONSTRUCTIO","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","60000","ROAD USE TAX",
"2019","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","4890.07","SALES TAX CONSTRUCTION",
"2019","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","31481","SALES TAX CONSTRUCTION",
"2019","MULTICULTURAL FAMILY CTR","GEN GOVERNMENT - CAP","MULTICULTURAL FAMILY CTR","NONE","MULTICULTURAL FAMILY CTR","CAPITAL-GOV FUNDS","ARCHITECTURAL SERVICES","84451.04","GENERAL CONSTRUCTION",
"2019","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","GENERAL CONSTRUCTION",
"2020","SHORT-TERM FACILITIES","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","SHORT-TERM FACILITIES","NOT REPORTED","CONSULTANT SERVICES","315417.33","DMASWA-GENERAL",
"2021","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","1102.46","TRANSIT",
"2020","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","607866.49","ROAD USE TAX",
"2019","LANDFILL CELL#9  PHASE IV","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","LANDFILL CELL#9  PHASE IV","NOT REPORTED","CONSULTING ENGINEERS","355074","DMASWA-GENERAL",
"2019","MULTICULTURAL FAMILY CTR","GEN GOVERNMENT - CAP","MULTICULTURAL FAMILY CTR","NONE","MULTICULTURAL FAMILY CTR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","4957.52","GENERAL CONSTRUCTION",
"2019","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","165853","SALES TAX CONSTRUCTION",
"2020","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","4890.07","SALES TAX CONSTRUCTION",
"2019","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","9400","GENERAL CONSTRUCTION",
"2019","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","301955.81","ROAD USE TAX",
"2019","JACKSON ST. RECONSTRUCTIO","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","JACKSON ST. RECONSTRUCTIO","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","260000","ROAD USE TAX",
"2019","POD IRRIGATION REPLACEMEN","PUBLIC WORKS-CAPITAL","ENGINEERING","NONE","POD IRRIGATION REPLACEMEN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","14899","STREET CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","2200","STREET CONSTRUCTION",
"2021","SURFACE DEEP CLEAN UNIT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","SURFACE DEEP CLEAN UNIT","CAPITAL-ENTERPRISE","MISCELLANEOUS EQUIPMENT","166100","STORM WATER CONSTRUCTION",
"2021","UNDERGROUND TANK LIBRARY","CULTURE AND REC - CAP","LIBRARY","NONE","UNDERGROUND TANK LIBRARY","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","23000","SALES TAX CONSTRUCTION",
"2021","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","UTILITY EXP-GAS","980.99","STATE RENTAL REHAB",
"2022","ST LIGHT CONTROLLER METER","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","ST LIGHT CONTROLLER METER","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","478200","GENERAL",
"2020","LEAD PAINT ABATEMENT PROG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","LEAD PAINT ABATEMENT PROG","CAPITAL-GOV FUNDS","GRANTS","45001","COMMUNITY DEVELOPMENT",
"2020","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","496676.59","GENERAL CONSTRUCTION",
"2020","TRAFIC OPS CNTR EQUP TEST","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFIC OPS CNTR EQUP TEST","CAPITAL-GOV FUNDS","SOFTWARE","27607.27","STREET CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO SANITARY SEWER CONST","22801","DRA GAMING",
"2020","AIRPORT REVENUE GUARANTEE","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","AIRPORT REVENUE GUARANTEE","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","150000","UDAG REPAYMENTS",
"2020","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1949235.22","STREET CONSTRUCTION",
"2021","MULTICULTURAL FAMILY CTR","GEN GOVERNMENT - CAP","MULTICULTURAL FAMILY CTR","NONE","MULTICULTURAL FAMILY CTR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","18537.84","GENERAL CONSTRUCTION",
"2020","COMISKEY SIDEWALK LIGHT","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY SIDEWALK LIGHT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","90000","GENERAL CONSTRUCTION",
"2020","HARLAN EUCLID SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","HARLAN EUCLID SANITARY","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","63482","SANITARY SEWER CONSTRUCTI",
"2020","WASH ST SAN 7TH TO 9TH","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","WASH ST SAN 7TH TO 9TH","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","5000","STORM WATER CONSTRUCTION",
"2020","KERPER PUMP MOTOR/CONTROL","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","KERPER PUMP MOTOR/CONTROL","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","35000","SANITARY SEWER CONSTRUCTI",
"2021","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","4580","TRANSIT",
"2020","PARKS RETAINING WALLS","CULTURE AND REC - CAP","PARK DIVISION","OTHER","PARKS RETAINING WALLS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","34756","SALES TAX CONSTRUCTION",
"2020","STORM SEWER IMPR/EXTENSIO","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","STORM SEWER IMPR/EXTENSIO","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","20000","STORM WATER CONSTRUCTION",
"2020","MAINT - MUNI PARKING LOTS","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","SEALCOAT PAVING-LOTS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","5000","PARKING FACILITY CONSTRUC",
"2020","JACKSON STREET STORM SEWE","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","JACKSON ST STORM SEWER","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","3000","STORM WATER CONSTRUCTION",
"2010","ANNEXATION STUDY/IMPLEMEN","COM AND ECON DEV - CAP","PLANNING SERVICES","OPERATING","ANNEXATION STUDY/IMPLEMEN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","-25000","DRA DISTRIBUTION",
"2020","NEW TERM LANDSCAPING","PUBLIC WORKS-CAPITAL","AIRPORT","OTHER","NEW TERM LANDSCAPING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","19482","AIRPORT CONSTRUCTION",
"2020","ENGLISH RIDGE PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","ENGLISH RIDGE PARK","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","86534","GENERAL CONSTRUCTION",
"2021","CONCRETE SECTION REPAIR","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CONCRETE SECTION REPAIR","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","MAUS PARK CULVERT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","MAUS PARK CULVERT","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","15000","STORM WATER CONSTRUCTION",
"2020","GRC ENERGY EFFICIENCY IMP","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC ENERGY EFFICIENCY IMP","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","91103","SALES TAX CONSTRUCTION",
"2020","RENTAL REHAB UNIT","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RENTAL REHAB UNIT","CAPITAL-GOV FUNDS","LOANS","320000","COMMUNITY DEVELOPMENT",
"2020","CEDAR CROSS RD STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CEDAR CROSS RD STORM","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","58700","STORM WATER CONSTRUCTION",
"2021","LANDFILL WATER MAIN EXT","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","LANDFILL WATER MAIN EXT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","121500","WATER CONSTRUCTION",
"2020","HAM HOUSE IMPROVEMENTS","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE - PAINT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","40000","DRA DISTRIBUTION",
"2021","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","DATA SERVICES","3320","SALES TAX INCREMENT",
