"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"What’s happening to information about you? The Big Data Conversation. ","30 November 2011, BMW Edge, Fed Square",,"220","David McCloskey 
Nicholas Gruen 
Jane-Frances Kelly 
Peter Yates AM 
","Future Leaders 
Grattan Institue","Each digital transaction and communication leaves digital traces and results in enormous collections of data about what we do and who we are. Your “Big Data” is being mined and analysed. It promises a new wave of productivity, organisational and societal transformation and a global increase in our standard of living. Hear about smart cities, new knowledge, business opportunities, privacy issues, trade-offs, responsibilities and have your say. 
"
"Creative Cities, Regions and Communities: Why local art is so important","4 October 2011, BMW Edge, Fed Square",,"230","Caroline Martin, Pooja Sood, Professor Vilsoni Hereniko, Eduard Miralles, David Young 
","Future Leaders
5th World Summit on Arts & Culture Melbourne 2011
IFACCA
OZCO
ABC Radio National 621","The global mobility and practice of many artists and producers across the world  is now common place. But the work of diverse, locally based artists - often less well celebrated - is critical to the maturation of communities that nurture the  growth of creative cities, towns and regions.  Hear the stories about the centrality of the work of local artists to their communities, join in and have your say.  
"
"Open Spaces dialogue: How will we save the world?","22 August 2011, Union Theatre, Uni. of Melbourne",,"85","Taegen Edwards - Researcher, Melbourne Sustainable Society Institute, University of Melbourne, Ash Keating – Visual Artist, Moderator: Angharad Wynne-Jones - Director of TippingPoint Australia","Mudfest 2011 – the University of Melbourne’s biennial student arts festival in partnership with Tipping Point Australia    ","Fun and furious – a night of animated conversation and bright green ideas to save the world, kicked off by Ash Keating, Taegen Edwards and facilitated by Angharad Wynne-Jones. This Open Space event will ignite debate and discussion on pressing issues around climate change and environmental sustainability. "
"You Look at things differently by hearing things differently – Susan Philipsz Lecture ","18 August 2011, Lower Melbourne Town Hall",,"280","Susan Philipsz
Host and MC: Juliana Engberg is the Artistic Director for the Australian Centre for Contemporary Art","ACCA","In 2010, Glasgow native Susan Philipsz, was the first ever person to win the Turner Prize for a sound installation for her piece Lowlands Away, a Scottish lament sung by the artist. Join us for this rare and intimate treat as she shares her experiences revealing poignancy in public forgotten spaces, sound, and the untrained human voice. 
"
"The Great De-Beethoven - a Debate in 4 movements","6 August 2011, Melbourne Town Hall ",,"480","Douglas Boyd – Conductor, Julian Burnside AO QC – Barrister and music lover, Jonathan Del Mar – Musicologist, conductor and Beethoven Scholar, Barry Jones AO – Writer, broadcaster and music lover, Wilma Smith – MSO Concertmaster , Michael Veitch – Comedian, writer and broadcaster and Emma Ayres – Presenter ABC Classic FM",,"The City of Melbourne is delighted to join with the Melbourne Symphony Orchestra and extend an invitation to attend their fun, interactive and informative debate and panel discussion on the topic: 'Was Beethoven the Greatest Composer?' "
"Greening a changing city: Green infrastructure, liveability, health and climate change ","28 July 2011, Swanston Hall, Melbourne Town Hall",,"250","Dr Cecil C. Konijnendijk, Dr Kate Auty, Rod Marsh, Dr Dimity Williams GP, 
Moderator: Natasha Mitchell 
","Parks and Leisure Australia","Urban growth and climate change will need well informed management as cities  strive for environmental and economic sustainability. The benefits of an enhanced green infrastructure and high quality open spaces will be part of the solution.
Commentators will discuss how a future urban forest might evolve, better places and spaces, healthy trees and water storage and the combined contribution they would make to human health, wellbeing and economic sustainability.
"
"The Low-Rise High Density Housing Challenge:  New Materials, New Methods ... but will it really be cheaper, quicker and greener?","19 October 2009, BMW Edge Fed Square",,"400","Tony Arnel Shelley Penn Shane Murray Tom Jordon Joost Bakker Andrew Waugh ","Wood Naturally Better BEDP","The Low-Rise High Density Housing Challenge: New Materials, New Methods ... but will it really be cheaper,quicker and greener?"
"Natural Disasters in the Asia Pacific Region: Impacts, Consequences and Threats","4 July 2011, Swanston Hall, Melbourne Town Hall",,"230","Kevin Furlong, Mark Quigley, Andrew MacLeod, Dudley McArdle, Moderator: Niall Byrne
","IUGG Melbourne Australia 2011","Massive tsunamis, earthquakes and eruptions have recently devastated the lives and economies of many of our neighbours. What do the earth sciences tell us, are there lessons to be learnt and what does the future hold for affected communities? Hear the latest from the experts and their reflections on consequences for our city and country.
"
"Women Kicking Goals – No 3 HWC 2008","5 December 2008, BMW Edge",,"200","Tracee Hutchison, Aretha Briggs Anne Hooker Cindy Coltman Marion Webster OAM ","Homeless World Cup, Big Issue, Future Leaders","Committed women from Australia and overseas share their stories, experiences, visions and skills related to the concerns of poverty and social disadvantage. "
"Contemporary Art & the Public Arena: Some Global Perspectives ","25 May 2011, Melbourne Town ",,"500","Dr Terry Smith, Dr Gerard Vaughan, Ms Mami Kataoka, Mr Li Lei, Mr Bill Henson ","Natonal Gallery of Victoria
Future Leaders","As part of NGV’s 150 year anniversary celebrations, a distinguished global panel of art professionals will consider the critical importance of creating, collecting and exhibiting contemporary art. A partnership with the National Gallery of Victoria
"
"Cities for People – Jan Gehl Lecture","2 May 2011, Melbourne Town Hall",,"1200","MC Professor Rob Adams AM, Jan Gehl and Jill Garner
","Future Leaders","Jan Gehl, a frequent visitor to Melbourne, will discuss his new book, his life long experience of urban development and the increasing connections between physical form and human behaviour.
"
"The Universal Access Challenge:  Access for everyone, everywhere ","27 April 2011, BMW Edge, Fed Square",,"100","Moderator: Stella Young, Janice Florence, Dr George Taleporos, Jonothan Cowle, Senator Jan McLucas","Future Leaders","A stimulating and important discussion around changing attitudes to universal access and the practical challenges and barriers associated with improving the design of the built environment with accessibility in mind for everyone regardless of ability.

"
"eBook Revolution versus City of Literature","20 April 2011, BMW Edge, Fed Square",,"300","Rosemary Cameron, Chris Redfern, Max Barry, Louise Adler AM, Michael Williams ","The Wheeler Centre
Future Leaders","How will Melbourne’s UNESCO status be affected by the greatest upheaval to the global publishing and writing industry yet seen? Whilst readers are learning to love eBooks, Australia’s biggest bookselling chain blamed their bankruptcy on eBooks. How might our “City of Literature” develop over the next ten years?  
"
"Talk Blak Series 2 : Reconciliation Debate In or out of Step?","2 June 2005 BMW Edge",,"400","Rod Quantock Vicki Walker, Gary Foley, Lisa Bellear, Prof Elenour Bourke, Lionel Austin, Lillian Holt ","Reconciliation Victoria","“A lively and humorous debate on a deadly serious topic. Join this group of well-known  speakers as they argue the point on the successes, failures and future of the Reconciliation process.”

"
"Urban Renewal Urban Growth and Creative Opportunities ","23 March 2011, BMW Edge, Fed Square",,"500","Ruth Fincher, Jeff Gilmore, Kate Shaw, David Waldren, David Moloney, Peter Mares","Future Leaders","Parts of North and West Melbourne, Kensington, Fishermans Bend and Docklands have been identified for renewal, but will this relieve the strain on the metropolitan fringe? What forms could it take, and who might it provide for? Discussions on the types of development, ’ up versus out’ and multi-centred cities, residential densities, appropriate business spaces, affordable spaces for artists and heritage in the city’s former industrial zones. 
"
