"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Contractor Licensing","2 - Ensure Public Health, Safety, and Welfare","Palm Harbor Pilot Project","2020-04-01T12:00:00.000","BCC","In Progress","2020-03-31T12:00:00.000","50","3/31/2020 MK Follow-up meeting with Project Field Team. Excellent feedback collected, all of which needs management review. Data summary and recommendations will be reviewed by the Project Management Team. Field inspections and investigations are currently impaired by COVID-19.  1/10/2020 MK Kick-off with Project Field Team.  12/10/2019 MK Meeting with Barry Burton, Project Mgmt Team and field staff on 12/9/2019.  Project Mgmt Team meeting on 12/20 to plan Training Session with field staff. Project slated to go live 1/1/2020 and run to 4/30/2020. The goal of Stage 1 is data collection.","Lancaster, Gay","Krickovic, Michelle","Burton, Barry","Krickovic, Michelle","​The goal of this initiative is to reduce costs and response times, as well as improve customer service and compliance with licensure, code enforcement and building inspections through​​ sharing expertise and resources from multiple departments serving similar customers in a common geographic area.","Building and Development Review Services","131","This is an administrative directive.","131_Contractor Licensing_4/1/2020 3:23 PM","2019-09-02T12:00:00.000"
"Public Works","4 - Foster Continual Economic Growth and Vitality","Implement Traffic Signal Mast Arm Hardening plan","2023-09-30T12:00:00.000","BCC","In Progress","2020-02-17T12:00:00.000","10","2.17.20 - 16 Intersection locations selected to receive mast arm hardening, pending grant funding contract from FDEM to take to BCC for approval. ​​Received a FEMA grant to fund replacement of 16 span wire signals with mast arm structures that can with stand 150 MPH winds.  Will start design and construction of the intersections","Jacobs, Kenneth A","Washburn, Thomas E",,"Ferguson, Alexis","Invest in infrastructure to meet current and future needs",,"416","This is a discretionary project to improve processes.","416_Public Works_2/20/2020 12:59 PM","2019-10-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Participate in 50+ Travel Industry/Tour Operator Trade Shows<br>across USA. Execute Visit St. Pete/Clearwater destination specific sales missions to 11+ top producing domestic markets including Allegiant Air, Southwest Airlines and Alaska Air cities. Crea","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"422",,"422_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Parks and Conservation Resources","2 - Ensure Public Health, Safety, and Welfare","Create  Integrated Vegetation Management Program","2019-10-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","70","Working group created comprised of interested individuals employed by County and Municipalities.Currently partnered with UF to complete product to present to County Admin.","Cozzie, Paul A",,,,"Create Integrated Vegetation Management Program and Guidelines for chemical applications and other management alternatives on County properties",,"393","This is an administrative directive.","393_Parks and Conservation Resources_1/3/2020 12:37 PM","2018-12-01T12:00:00.000"
"Office of Management and Budget","4 - Foster Continual Economic Growth and Vitality","Penny IV Joint Review Committee support","2019-11-30T12:00:00.000","Department","In Progress",,,,"Berger, William M",,,"Berger, William M",,,"31",,"31_Office of Management and Budget_12/27/2019 1:41 PM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Create public facing Grants webpage",,"Department","In Progress",,,,"Ettel, Veronica E",,,"Ettel, Veronica E",,,"17",,"17_Office of Management and Budget_12/27/2019 1:39 PM",
"Planning","4 - Foster Continual Economic Growth and Vitality","Downtown Palm Harbor Master Plan Update","2020-04-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","90","Adoption of the Master Plan update is currently underway.​","Swearengen, Scott M","Stonefield, Rebecca",,"Swearengen, Scott M","The Master Plan provides a location and design for community features when funding opportunities arise.",,"395","This is an administrative directive.","395_Planning_1/3/2020 11:07 AM","2017-01-01T12:00:00.000"
"Contractor Licensing","5 - Deliver First Class Services to the Public and Our Customers","Investigations","2020-06-30T12:00:00.000","County Administration","In Progress","2020-03-31T12:00:00.000","30","3/31/2020 MK Process improvements are continually being implemented. Reporting is improved. Expectations and performance goals are being defined and refined. A strategy for managing the backlog of complaints against licensed contractors is in play. Progress is being made. The milestones and objectives are tracked in detail and regularly reviewed by Management at the Department level.1/2/2020 MK Meeting with Investigative Team to kick off new SP process for Case Management and Citation Logging. The two new processes together will eliminate redundancies, give us critical data points, standardize Investigator processes and manage cases more efficiently. The report intake and workflow has been mapped to the new process. The team will meet again in 2 weeks to review and refine.12/10/2019 MK Case Process Mapping is reviewing the end-to-end process for managing complaints against licensed contractors AND complaints of unlicensed contracting. In addition to mapping, we are implementing process improvements, eliminating waste and measuring data points. ​15%","Krickovic, Michelle","Krickovic, Michelle","Lancaster, Gay","Krickovic, Michelle","The Department is defining and refining the case management processfor investigations of complaints against licensed and unlicensed contractors.The goals are to maximize efficiency, minimize waste, manage complaints to meetcustomer expectations, improve compliance and collections.",,"123","This is a discretionary project to improve processes.","123_Contractor Licensing_4/3/2020 6:22 PM","2019-10-01T12:00:00.000"
"Solid Waste","5 - Deliver First Class Services to the Public and Our Customers","Address and manage additional online presences, such as Google Local Guides","2019-11-01T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,,"Watson, Stephanie",,,,"Address and manage additional online presences, such as Google Local Guides; develop network of people 'who know'",,"478","This is a discretionary project to improve processes.","478_Solid Waste_12/24/2019 11:55 AM",
"Solid Waste","5 - Deliver First Class Services to the Public and Our Customers","Transition from paper invoices to electronic invoices for account customers","2020-05-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000","1","​All AR invoices for the month of March were sent electronically. AP invoices have been delegated electronically, but we are still receiving a few in office. We are working to contact these vendors to have the invoices submitted to Clerk Finance. We have created the new delegation process and are in the implementation and training phase of this initiative.","Tierney, Cassandra",,,,"Transition from paper invoices to electronic invoices for account customers",,"509","This is a discretionary project to improve processes.","509_Solid Waste_4/21/2020 1:08 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Transition AMSkills","2020-07-15T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","10","Recruitment is currently underway and         also contacting all current vendors/suppliers/partners. The 501c3 attorney is working on a draft of the termination of Interlocal documents.","Meidel, Mike",,,"Meidel, Mike","The BCC has supported a Special District pilot program to provide entry level manufacturing skills training to residents of Pasco, Pinellas and Hernando Counties for the last five years. The program is now transitioning from quasi-governmental to a non-profit (501(c)3).",,"393",,"393_Economic Development_1/15/2020 1:05 PM",
"Office of Asset Management","5 - Deliver First Class Services to the Public and Our Customers","Software Integrations",,"Department","In Progress",,,,"Waugh, Jeremy",,,,"Develop integrations for asset management software with other County software systems to best utilize the complete suite of tools (EAM Strategy 11.4)",,"394","This is an administrative directive.","394_Office of Asset Management_12/24/2019 12:15 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Implement SBSD (formerly SBE) Program","2020-09-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","35","The software was installed and the data was loaded and verified by target date. Directive Issued April 2019. Over 400 Vendors approved. 6 enrolled ariport concessionaries enrolled so far in BDGNow database for complaince monitoring. 71 project managers/directors have been trained on the software. Initial recruitment letters have been sent for SBE CCNaconsultants and are reviewing responses. Tampa Bay Water was added as  government collaborative in December 2019. First Quarter FY20 is expected to have $3 million.","Johnson, Cynthia C",,,"Johnson, Cynthia C","Enhanced implementation of program to increase value of County contracts awarded to local Small Businesses Enterprises (SBEs).",,"396",,"396_Economic Development_1/13/2020 8:54 AM",
