"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Sanctuary for Families Inc.","PO Box 1406, Wall Street Station","New York","NY","10268","(212)349-6009","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029172","9608.00","https://sanctuaryforfamilies.org/",
"Jewish Board of Family and Children's Services, Inc.","120 West 57th Street","New York","NY","10019","(212) 632-4623","MANHATTAN","Child Abuse Prevention","SRO","Relationships and Permanency for Babies and Families (RPBF), Psychotherapy for families with infants 0-3 who have been removed and are court referred.","4/1/19-3/31/20","C027535","40073.00","http://www.jbfcs.org","POINT (-73.978289 40.764786)"
"Mental Health Association Columbia-Greene Counties","713 Union Street","Hudson","NY","12534","(518) 828-4619","COLUMBIA & GREENE","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/01/20 - 09/30/25","C028980","145293.00","https://www.mhacg.org","POINT (-73.784197 42.246575)"
"Cattaraugus Community Action, Inc. (dba Connecting Communities in Action)","25 Jefferson Street","Salamanca","NY","14779","(888) 945-3970","CATTARAUGUS","Sexual Assault","FVPSA  ARP SA","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA05","139340.00","http://www.ccaction.org","POINT (-78.717202 42.15427)"
"Childrens Home of Jefferson County","P.O. Box 6550","Watertown","NY","13601","(315) 788-7430","JEFFERSON, LEWIS, ST LAWRENCE, FRANKLIN, OSWEGO","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/19-3/30/22","C027998","300000.00","http://nnychildrenshome.com/",
"The Child Advocacy Centerof the Finger Lakes","482 N. Main Street","Canandaigua","NY","14424","(585) 394- 2573","SENECA, YATES","Multidisciplinary/Children's Advocacy Center","CJA","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/19","C028884","100000.00","http://partnershipforontariocounty.org/","POINT (-77.292175 42.902855)"
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218","Plattsburgh","NY","12903","(518) 563-6904","CLINTON, ESSEX","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029175","55121.00","http://www.bhsn.org","POINT (-73.446889 44.684674)"
"The New York Foundling Hospital","590 Avenue of the Americas","New York","NY","10011","(914) 623-3461","NEW YORK","Public/Private Partnership","State Aid to Localities","Functional Family Therapy—Behavioral Health (FFT-BH) program. The FFT-BH model will become a core component of a new expanded initiative, the proposed Nurturing Family Health Initiative (NFHI). The Foundling’s FFT-BH program serves families in their homes, drawing on a network of community partnerships for referrals and resources. The program receives referrals through ongoing relationships with insurance and managed care providers such as Empire Blue Cross Blue Shield and hospital units such as Bronx Lebanon Inpatient Psychiatric Unit and Mobile Crisis Team. The expanded NFHI program would build on this existing network to serve more families. The Foundling proposes to implement the Nurturing Family Health Initiative, a two-pronged approach incorporating two evidence-based models, both of which have been proven to improve family functioning and reduce juvenile justice and/or child welfare system involvement.","03/1/18-2/28/24","C028457","1977230.00","https://www.nyfoundling.org/","POINT (-73.995583 40.73907)"
"Family Services, Inc.","29 North Hamilton Street","Poughkeepsie","NY","12601","(845) 452-1110","DUTCHESS","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028828","32000.00","http://www.familyservicesny.org","POINT (-73.922294 41.704223)"
"Catholic Guardian Services","1011 First Ave., 10th Floor","Bronx","NY","10022","(718) 828-0300 x. 220","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three month of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","9/1/17-8/31/22","C028017","554053.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.963651 40.757304)"
"Vera House, Inc.","6181 Thompson Road, Ste. 100","Syracuse","NY","13206","(315) 468-3260","ONONDAGA","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028787","77000.00","http://www.verahouse.org","POINT (-76.090289 43.070219)"
"HELP Social Services Corporation","115 East 13th Street","New York","NY","10004","(212) 400-7030","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028766","62000.00","http://www.helpusa.org","POINT (-73.98921 40.733241)"
"Domestic Violence & Rape Crisis Services of Saratoga County Inc. (dba Wellspring)","2816 US 9","Malta","NY","12020","(518) 583-0280","SARATOGA","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028834","62000.00","http://wellspringopensdoors.com","POINT (-73.789727 43.009509)"
"Parent Education Program, Inc.","772 Main Street","Olean","NY","14760","(716) 372-8532","CATTARAUGUS, ALLEGANY","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/21","C028398","400000.00","http://www.parenteducationprogram.org","POINT (-78.423669 42.096823)"
