"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"842","NO REPORTADA","CR 15 16 B 16","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"843","GRAFITI MEDIOS GRAFICOS","CR 5 6 44","SECTOR SERVICIOS","2017","7310","Publicidad."
"844","RESTAURANTE RINCON ANTIOQUEÑO","K.M. 51 VDA. BOSACHOQUE","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"845","TRANSPORTE","CR 2 B 26 23","SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"846","PAEZ ESPINOSA GLORIA AMPARO","CR 6 5 04","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"847","PARRA HERRERA MARCO ANTONIO","CALLE 5 No. 5 55","SECTOR SERVICIOS","2017","8691","Actividades de apoyo diagnóstico."
"848","TRANSPORTE","CL 5 2 66","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"849","SERRANO CUESTA ALDEMAR","CL 8 9 20","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"850","FRITANGUERIA EL HORIZONTE","VEREDA LA ISLA","SECTOR SERVICIOS","2017","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"851","FAMA SANTA BARBARA","CR 2 A 23 14","SECTOR COMERCIAL","2015","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"852","BAUTISTA FELIX ANTONIO","TRANSVERSAL 4 No. 1-18 NORTE","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"853","JIMENEZ MORA FLORIBERTO","CL 20 69 A 33","SECTOR COMERCIAL","2016","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"854","FLORISTERIA Y POMPAS FUNEBRES LA PAZ SALAS DE VELACION","CL 8 4 63","SECTOR COMERCIAL","2020","4690","Comercio al por mayor no especializado."
"855","RODRIGUEZ   TORRES JORGE ENRIQUE","CR 68 21 A 45","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"856","CAFETERIA EL INDIO","TV 12 25 95","SECTOR SERVICIOS","2016","5613","Expendio de comidas preparadas en cafeterías."
"857","MONROY SANCHEZ JOSE ELISEO","CR 64 21 A 25","SECTOR SERVICIOS","2016","9311","Gestión de instalaciones deportivas."
"858","SALA DE BELLEZA DANNY","CARRERA 7 No. 3 30/32","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"859","NINGUNO INSCRITO","CR 2 E 5 22 BRR PEKIN","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"860","NUÑEZ HERNANDEZ JOSE LUIS","CL 18 11 03  B BALMORAL","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"861","TRANSPORTE SMB 276","CL 18 A 9 28","SECTOR SERVICIOS","2020","4923","Transporte de carga por carretera."
"862","TRIVIÑO RODRIGUEZ LUIS ENRIQUE","CARRERA 1 NO. 1B 32","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"863","TRANSPORTE","CL 2 3 36 B. LA ESMERALDA","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"864","RODRIGUEZ SANCHEZ LUIS ALBERTO","CALLE 22 N0. 60 27","SECTOR SERVICIOS","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"865","TURBO MOTOS","TRANSV. 12 # 17A 20","SECTOR SERVICIOS","2012","301","SERVICIOS"
"866","LA TIENDA DE PABLO","CALLE 7 # 9 17","SECTOR COMERCIAL","2012","201","COMERCIAL"
"867","TURBO MOTOS","CL 17 11 16","SECTOR SERVICIOS","2012","301","SERVICIOS"
"868","LOCAL CENTRO COMERCIAL UNO A","CL 8 9 50 L 26/27/28","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"869","MORALES SANTANA MIGUEL ALFONSO","CR 7 15 99","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"870","ALUMINIOS Y ACCESORIOS FERVAL","CL 10 9 12","SECTOR COMERCIAL","2012","206","COMERCIAL"
"871","CAMPOS GUTIERREZ HECTOR ORLANDO","K.M.  58  VIA  LA  AGUADITA","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"872","TRANSPORTADOR","CL 12 1 58","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"873","VARIEDADES DOÑA OFE","CR 2 1 64","SECTOR COMERCIAL","2012","201","COMERCIAL"
"874","CONDIMENTOS EL CHEFF","CL 20 6 14","SECTOR COMERCIAL","2020","4631","Comercio al por mayor de productos alimenticios."
"875","FERRETERIA EL CONDOR FUSAGASUGA","CALLE 22 No. 7-36","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"876","DISTRIBUIDORA DON POLLO",,"SECTOR COMERCIAL","2020","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"877","GAITAN COCINERO MARIA ELVIRA","CR 9 4 23","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"878","JUANKAIS AUTOMOTRIZ","CL 10 3 69","SECTOR SERVICIOS","2019","3315","Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas"
"879","MULTIAUTOS J.W.","CL 10 3 69","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"880","DISFRUVER LA OLIMPICA","CL 18 12-02 PISO 1","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"881","RUTA DE LA SALUD S.A.S.","CL 10 A 2 57","SECTOR SERVICIOS","2015","86","Actividades de atención de la salud humana"
"882","VARIEDADES SOFY","CL 22 6-08 LC 14","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"883","GONZALEZ GIL GREYCY SAMIHA","CL 7 A 11 10","SECTOR COMERCIAL","2020","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"884","MORENO RODRIGUEZ NELSY","CR 9 9 41","SECTOR COMERCIAL","2017","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"885","FCR CONTRATISTAS SAS","CR 3 ESTE 1B 01 BQC AP 103","SECTOR SERVICIOS","2017","4312","Preparación del terreno."
"886","PLASTICOS I DESECHABLES STRONG","CLL  4  5  35","SECTOR COMERCIAL","2015","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"887","MALAVER HERNANDEZ SOL SHEYTHER","CR 7 1 47","SECTOR SERVICIOS","2017","6920","Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria."
"888","DISTRIBUIDORA AVICOLA DE FUSA SAS","CR 27 3 32","SECTOR COMERCIAL","2015","4631","Comercio al por mayor de productos alimenticios."
"889","HEXAPODA COLOMBIA EU",,"SECTOR INDUSTRIAL","2016","1690","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
"890","PAPELERIA I MISCELANEA NISSI YOHANA","CLL  7  9  25","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"891","NO REPORTA","CL 12 2 B 32","SECTOR SERVICIOS","2015","4390","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil."
"892","CAICEDO CANTOR MYRIAM STELLA","AV  LAS  PALMAS  1 44 PS 3","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"893","SURTIADORNOS C Y S","CL 10 8 56 BARRIO POTOSI","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"894","GUTIERREZ DE UMBACIA ANA LUCIA","CARRERA 6 No. 1 23 NORTE","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"895","VIVERO ROSCIFRUT","KM 64.5 CHINAUTA","SECTOR INDUSTRIAL","2019","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"896","GOMEZ PEÑA JOSE SINFORIANO","CR 69 A 20 03","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"897","PARDO JOSE DANIEL","AV PALMAS 11 10","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"898","TIENDA VILLA LUZ","KM 58 CHINAUTA","SECTOR COMERCIAL","2017","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"899","MISCELANEA","CL 19 3 41","SECTOR COMERCIAL","2015","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"900","MORA VARGAS JOSE ISIDORO","CR 2 BIS 10 A 22","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"901","GARCIA LUNA HERNAN","CALLE 10 No. 8 56","SECTOR COMERCIAL","2020","4751","Comercio al por menor de productos textiles en establecimientos especializados"
"902","GONZALEZ ALARCON GUSTAVO","CL 22 9 10","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"903","ARTUNDUAGA CASTRO FAIVER","CR 12 7 B 31","SECTOR COMERCIAL","2020","1410","Confección de prendas de vestir, excepto prendas de piel."
"904","J.M. EBANISTAS CARPINTERIA","CARRERA 3 N0. 11B-48","SECTOR INDUSTRIAL","2012","101","INDUSTRIAL"
"905","TIENDA","CARRERA 6 # 11 52","SECTOR COMERCIAL","2012","201","COMERCIAL"
"906","TRANSPORTE","CR 6 2 A 5","SECTOR SERVICIOS","2017","5320","Actividades de mensajería."
"907","RIVAS CASTAÑEDA HECTOR JULIO","KILOMETRO 68 CHINAUTA","SECTOR SERVICIOS","2020","5513","Alojamiento en centros vacacionales."
"908","PIÑATERIA Y DESECHABLES MADRUGADA","CR 5 7 12","SECTOR COMERCIAL","2015","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"909","ROMERO GONZALEZ LUZ MARINA","CR 12 7A 19","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"910","KAREN PAOLA","CALLE 10B No. 12-01","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"911","SAMACA CAMARGO YOLANDA","TV 12 17A 09","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"912","HERNANDEZ DE HERRERA LEONOR","CARRERA 8 No. 8 09","SECTOR SERVICIOS","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"913","TIENDA DONDE CHAVÁS","CL 11 C 20 42","SECTOR COMERCIAL","2015","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"914","EL GRAN POLLITO","CALLE 7A No. 9 13","SECTOR COMERCIAL","2017","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"915","GUTIERREZ DOMINGUEZ BLANCA EMILIA","CL 3 4 16","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"916","JOYERIA Y RELOJERIA EL DIVINO NIÑO","CL 8 7 78","SECTOR COMERCIAL","2016","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"917","RUIZ LEON GLORIA DEL PILAR","CARRERA 5 No. 3-43","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"918","MORENO MUÑOZ BELISARIO","CL 7 A  11 28","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"919","CRUZ PARDO RODRIGO ALONSO","CR 6  23 A 18 LC 2","SECTOR SERVICIOS","2020","6190","Otras actividades de telecomunicaciones."
"920","URREGO SILVA BLANCA ROSA","CL 16 A  12 28","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"921","GRUPO HM SAS","CR 7 16 62 PISO 2","SECTOR ECONÓMICO NO DECLARADO","2017","4111","Construcción de edificios residenciales."
"922","PRIETO LEMUS ANGIE CAMILA","CL 25  3 16 B MACARENA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"923","AREVALO QUIROGA ALFREDO","CR 6  15 32 B COBURGO","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"924","NINGUNA REPORTADA","DG 2 2 E 15","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"925","DUQUE HERRERA JOSE TITO","VEREDA GUAVIO BAJO","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"926","VILLATE DOMINGUEZ JULIO CESAR","CR 12 1 36 NORTE GAITAN","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"927","CIFUENTES SOLER HERNANDO","CL 3  3  49 E B- CEDRITOS","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"928","NINGUNO REPORTADO","CL 20 11 C 52","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"929","NO REPORTADA","CR 77 36 A 11","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"930","HERNANDEZ CAMACHO ELBA NAHIR","CL 8 9 50 LC 62","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"931","CAÑON SIERRA SANDRA ROCIO","CARRERA 11 NO. 7-15","SECTOR SERVICIOS","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"932","DELI EXPRESS  FUSA","CR 10 10 32","SECTOR INDUSTRIAL","2015","1081","Elaboración de productos de panadería."
"933","ARTESANIAS GEMINIS DIGAME","CR 6 7 49 LC 102","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"934","ARIAS BERNAL MARY GIOVANNA","CL 22 32 06","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"935","MONROY ROJAS YESIKA NINOSKA","CL 8 A 1 36","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"936","FLORISTERIA DAYANNA MISCHELL","CR 6 11 60","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"937","MARIA YOHANA  ACOSTA ROZO","CR 6 8 49 OFICINA  108","SECTOR SERVICIOS","2017","8299","Otras actividades de servicio de apoyo a las empresas n.c.p."
"938","TIENDA DOYELES","CL 3 N 6 21","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"939","PELAEZ GUEVARA SOLAMI","CL 7 7 42","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"940","PRIETO CALDERON ANDREA PAOLA","DG 8 B 4 56","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"941","VARIEDADES YOYIS KIDS","CR 9 7 A 12","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"942","VARIEDADES DOS MIL FERRELEC","CL 26 1 A 24 B. LAS DELICIAS","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"943","DIAZ ORTIZ JOSE ANTONIO","CASA LT 22 MZ  7 COMUNEROS","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"944","MOSQUERA TRUJILLO VITELIO","CARRERA 6 No. 5 36","SECTOR SERVICIOS","2020","9609","Otras actividades de servicios personales n.c.p."
"945","VALLE ANAYA MARTHA CECILIA","CR 8 9 24","SECTOR COMERCIAL","2020","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"946","TIENDA","CL 26 1 56 ESTE COMUNEROS","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"947","PIQUETEADERO BRISAS DEL SUMAPAZ","PLAZA  DE MERCADO LC 9","SECTOR SERVICIOS","2012","305","SERVICIOS"
"948","LANCHEROS GONZALEZ ROSA MERY","CL 5 22 21","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"949","TRANSPORTE","CL 5 21 60","SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"950","LINAMARCO","CL 24 5 53","SECTOR INDUSTRIAL","2020","1089","Elaboración de otros productos alimenticios n.c.p."
"951",,,"SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"952","MATIZ ACOSTA CLAUDIA CONSTANZA","CR 6 8 49 LC 112","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"953","PACHECO GONZALEZ MARIA YANETH y OTRO","CR 2 19 31","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"954","POLLO MC RICO","CL 17 A 12 01","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"955","CHAQUETAS JUNIOR","CL 11 5 45","SECTOR COMERCIAL","2012","206","COMERCIAL"
"956","LA COLMENA M.F.","av las palmas 6 44","SECTOR INDUSTRIAL","2015","10","Elaboración de productos alimenticios"
"957","PARADOR LEOMAN","KILOMETRO 51 VIA SILVANIA","SECTOR COMERCIAL","2012","201","COMERCIAL"
"958","RAMIREZ TORRES ALDER ENRIQUE","CR 5 4 65","SECTOR SERVICIOS","2017","3250","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
"959","EMPRESA ASOCIATIVA DE TRABAJO ASISTIR MEDICA","CR 6 7 36 C.C. ESCORIAL CENTER","SECTOR COMERCIAL","2012","201","COMERCIAL"
"960","RESTAURACION Y FABRICACION DE MUEBLES   M.M.M.","CR 3 E 5 75","SECTOR INDUSTRIAL","2017","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
"961","NO REPORTADO","CR 3 17 05 APTO 201","SECTOR SERVICIOS","2012","50","COMERCIO, MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES"
"962","CIGARRERIA Y LICORERIA HOMERO","CL 9 6 42","SECTOR SERVICIOS","2015","55","Alojamiento"
"963","CAMPOS MENDEZ RAQUEL OFIR","EL TRIUNFO -IDP- LA FLORESTA BOQUERON","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"964","PAOMAZORCA","CR 12 7 A 29","SECTOR SERVICIOS","2019","5611","Expendio a la mesa de comidas preparadas."
"965","TELEDELSA  COMUNICACIONES","AV  LAS  PALMAS  9-56","SECTOR SERVICIOS","2013","61","TRANSPORTE POR VIA ACUATICA"
"966","ACUARIOS MULTIPECES","PLAZA DE MERCADO 2 PISO LOCALES 1 Y 2","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"967","HOTEL ORQUIDEA FUSA","CL 9 7 71","SECTOR SERVICIOS","2017","5511","Alojamiento en hoteles."
"968","RESTAURANTE  TOMAS E GARCIA","CR 1 5 06","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"969","SUAD OUTLET","AV LAS PALMAS 7 -31","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"970","FRUTI VERDURAS EL PORTAL","CL 16 A 14 A 18","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"971","CAICEDO PABON HERNANDO","CL 3 7 18 ARBELAEZ","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"972","TRANSPORTE","DG 23 A 45 07","SECTOR SERVICIOS","2012","301","SERVICIOS"
"973","TRANSPORTE ASOTAXIS","CR 4 16 B 23","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"974","EL PALACIO DE LOS  BOLSOS CONNY","CL 8 9 50 LC 137 BARRIO LUXEMBURGO","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"975","MORALES REY ELICER","CL 19 12 32 PIEDRA GRANDE","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"976","HOTEL PLAZA REAL DE FUSAGASUGA","CR 8 9 27","SECTOR SERVICIOS","2016","5511","Alojamiento en hoteles."
"977","CLAVIJO PARRA FULGENCIO","CALLE 16 A No. 7-71","SECTOR SERVICIOS","2019","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"978","PARQUEADERO BOQUERON","BOQUERON EL TRIUNFO","SECTOR SERVICIOS","2015","5210","Almacenamiento, parqueaderos y depósitos."
"979","BOLSOS Y ACCESORIOS LYNNETH (NO MATRICULADO EN CAM. DE CIO.)","AV LAS PALMAS 6  68","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"980","OSORIO OCAMPO SANDRA MILENA","CR 13 1 41 NORTE GAITAN II ETAPA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"981","MUNDIAL DE PINTURAS LA ONCE","CL 11 8 02","SECTOR COMERCIAL","2016","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"982","RESTAURANTE NATALI","CR 6  3 07","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"983","BANCO COMPARTIR S.A","CR 7 8-28 LC C","SECTOR FINANCIERO","2020","6412","Bancos comerciales."
"984","PARQUEADERO LAS MERCEDES JA","CL 6  3 28","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"985","PRODUCTORA DE CONEJOS LA ISABELLA SAS","CL 19  10 17","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"986","GRUPO CONSTRUCTOR C Y C INGENIERIA SAS","CA A BIF 1 C SEVILLA MZ C","SECTOR SERVICIOS","2016","4111","Construcción de edificios residenciales."
"987","AGUIRRE RAMIREZ DORA ELENA","CL 21  47 12","SECTOR SERVICIOS","2019","5611","Expendio a la mesa de comidas preparadas."
"988","PANDEBONO POTOSI","CR 9  10B 09","SECTOR SERVICIOS","2020","5613","Expendio de comidas preparadas en cafeterías."
"989","RODRIGUEZ SANCHEZ MARTHA LUCIA","CL 168 8 D 40 52 VDA PALACIOS","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"990","ESTACION DE SERVICIO LOS GUALANDAYES CHINAUTA","KM 66 VIA BOGOTA- GIRARDOT","SECTOR COMERCIAL","2020","4731","Comercio al por menor de combustible para automotores."
"991","DUQUE VASQUEZ MARIA NIDIA","CL 25 3 B 10","SECTOR COMERCIAL","2019","4661","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos."
"992","MORENO ESPITIA FLOR NANCY","CRA 24 8 48/CRA 9 8-23","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"993","ALBA ISABEL CABALLERO","CARRERA 11 No. 8-13","SECTOR COMERCIAL","2020","4631","Comercio al por mayor de productos alimenticios."
"994","ALFA H","CL 18 8 17","SECTOR INDUSTRIAL","2015","15","Curtido y recurtido de cueros; fabricación de calzado;  fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería¡ adobo y teñido de pieles"
"995","AHUMADA BARON MARIA MAGDALENA","CR 7 5 55","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"996","CASALLAS CASTELLANOS YANET","PUEBLITO FUSAGASUGUEÑO","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"997","TARQUINO PEREZ LUZ MARINA","DG 8 B 3 21 BRR LA INDEPENDENCIA","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"998","ARIAS RINCON ISABEL","CR 3 E 20 38","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"999","CHANCLAS STIVEN","CR 9 7 A 12","SECTOR COMERCIAL","2015","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"1000","MILLAN CHITIVA FLOR ALBA","CALLE 8 N0. 9 50","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
