"institution","institution_type","county","fiscal_year","date","corrections_population","location_1"
"Albion (ALB)","State Correctional Institution","Erie","FY 2016-2017","2016-07-31T00:00:00.000","2264","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2016-2017","2017-01-31T00:00:00.000","251","N/A
N/A, N/A N/A"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2016-2017","2016-11-30T00:00:00.000","2397","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2016-2017","2017-03-31T00:00:00.000","1040","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2015-2016","2015-09-30T00:00:00.000","1425","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2015-12-31T00:00:00.000","2463","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2016-2017","2017-02-28T00:00:00.000","2366","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2017-2018","2018-06-30T00:00:00.000","242","N/A
N/A, N/A N/A"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2017-2018","2017-07-31T00:00:00.000","54","N/A
N/A, N/A N/A"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2015-2016","2015-12-31T00:00:00.000","1465","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2017-2018","2018-02-28T00:00:00.000","2165","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2017-05-31T00:00:00.000","1579","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"In County Jails","County Jails","N/A","FY 2017-2018","2017-12-31T00:00:00.000","382","N/A
N/A, N/A N/A"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2016-2017","2017-02-28T00:00:00.000","2856","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2016-2017","2016-11-30T00:00:00.000","239","N/A
N/A, N/A N/A"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2015-2016","2015-10-31T00:00:00.000","90","N/A
N/A, N/A N/A"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2017-2018","2017-07-31T00:00:00.000","1175","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2016-2017","2016-10-31T00:00:00.000","154","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2018-2019","2018-08-31T00:00:00.000","1428","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2015-2016","2015-08-31T00:00:00.000","1531","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2014-2015","2015-06-30T00:00:00.000","1473","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2017-07-31T00:00:00.000","2217","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2017-12-31T00:00:00.000","2251","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2015-2016","2016-01-31T00:00:00.000","85","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2015-2016","2015-07-31T00:00:00.000","896","N/A
N/A, N/A N/A"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2016-2017","2017-05-31T00:00:00.000","1301","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2017-02-28T00:00:00.000","1563","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2015-2016","2015-11-30T00:00:00.000","1677","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2016-2017","2016-09-30T00:00:00.000","2306","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2017-2018","2018-02-28T00:00:00.000","1400","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2015-2016","2015-08-31T00:00:00.000","1712","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Forest (FRS)","State Correctional Institution","Forest","FY 2018-2019","2018-11-30T00:00:00.000","2385","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2016-2017","2016-12-31T00:00:00.000","1136","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2015-07-31T00:00:00.000","84","N/A
N/A, N/A N/A"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2017-2018","2017-09-30T00:00:00.000","1205","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2018-2019","2018-07-31T00:00:00.000","2346","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2016-2017","2016-08-31T00:00:00.000","1198","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2015-2016","2015-09-30T00:00:00.000","2140","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2017-04-30T00:00:00.000","1589","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2016-10-31T00:00:00.000","1823","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2016-2017","2017-03-31T00:00:00.000","324","N/A
N/A, N/A N/A"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2018-12-31T00:00:00.000","1787","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2016-2017","2016-10-31T00:00:00.000","1734","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2017-2018","2017-10-31T00:00:00.000","3220","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2015-2016","2016-02-29T00:00:00.000","3258","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2017-2018","2018-03-31T00:00:00.000","2331","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2015-2016","2015-08-31T00:00:00.000","1358","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2018-2019","2019-01-31T00:00:00.000","184","N/A
N/A, N/A N/A"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2016-2017","2016-12-31T00:00:00.000","254","N/A
N/A, N/A N/A"
"Forest (FRS)","State Correctional Institution","Forest","FY 2017-2018","2018-06-30T00:00:00.000","2389","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2018-11-30T00:00:00.000","1777","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"In County Jails","County Jails","N/A","FY 2015-2016","2016-02-29T00:00:00.000","640","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2017-2018","2017-07-31T00:00:00.000","2144","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2017-10-31T00:00:00.000","2287","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2017-2018","2018-06-30T00:00:00.000","124","N/A
N/A, N/A N/A"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2017-2018","2018-03-31T00:00:00.000","73","N/A
N/A, N/A N/A"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2015-2016","2015-08-31T00:00:00.000","1012","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2015-2016","2016-01-31T00:00:00.000","2155","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2017-2018","2017-12-31T00:00:00.000","101","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2017-2018","2017-12-31T00:00:00.000","2187","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"In Federal Prisons","Federal Prisons","N/A","FY 2015-2016","2015-10-31T00:00:00.000","7","N/A
N/A, N/A N/A"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2015-2016","2015-12-31T00:00:00.000","1379","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2018-2019","2018-11-30T00:00:00.000","2152","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2015-2016","2015-09-30T00:00:00.000","2275","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2016-2017","2017-04-30T00:00:00.000","2083","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2015-2016","2015-11-30T00:00:00.000","986","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2015-2016","2015-10-31T00:00:00.000","131","N/A
N/A, N/A N/A"
"Greene (GRN)","State Correctional Institution","Greene","FY 2016-2017","2016-09-30T00:00:00.000","1745","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2018-2019","2018-09-30T00:00:00.000","1095","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"In Federal Prisons","Federal Prisons","N/A","FY 2016-2017","2017-04-30T00:00:00.000","8","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2015-2016","2015-11-30T00:00:00.000","1362","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2015-2016","2016-05-31T00:00:00.000","3251","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2017-2018","2018-02-28T00:00:00.000","2561","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2016-2017","2017-06-30T00:00:00.000","2247","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2016-2017","2016-11-30T00:00:00.000","2089","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2017-2018","2018-01-31T00:00:00.000","2324","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-08-31T00:00:00.000","1517","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2015-2016","2015-08-31T00:00:00.000","2369","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2017-2018","2018-02-28T00:00:00.000","236","N/A
N/A, N/A N/A"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2017-2018","2018-05-31T00:00:00.000","458","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2016-2017","2017-03-31T00:00:00.000","1169","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2015-2016","2016-01-31T00:00:00.000","2077","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2016-09-30T00:00:00.000","1791","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2018-2019","2018-10-31T00:00:00.000","136","N/A
N/A, N/A N/A"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2015-10-31T00:00:00.000","80","N/A
N/A, N/A N/A"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2016-2017","2017-03-31T00:00:00.000","2091","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2018-2019","2018-07-31T00:00:00.000","2197","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Forest (FRS)","State Correctional Institution","Forest","FY 2016-2017","2016-11-30T00:00:00.000","2362","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2017-06-30T00:00:00.000","2343","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2018-2019","2018-07-31T00:00:00.000","3506","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2015-2016","2016-06-30T00:00:00.000","2132","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2015-2016","2015-07-31T00:00:00.000","1407","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2016-2017","2017-03-31T00:00:00.000","2387","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2017-09-30T00:00:00.000","2269","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2015-2016","2016-06-30T00:00:00.000","1408","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2015-2016","2015-09-30T00:00:00.000","1084","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2016-2017","2017-05-31T00:00:00.000","116","N/A
N/A, N/A N/A"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2018-2019","2018-09-30T00:00:00.000","2315","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2017-2018","2018-03-31T00:00:00.000","2187","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2016-2017","2017-03-31T00:00:00.000","2254","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2017-2018","2018-03-31T00:00:00.000","2599","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2016-2017","2017-05-31T00:00:00.000","1080","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2018-2019","2019-01-31T00:00:00.000","1069","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2016-2017","2017-05-31T00:00:00.000","101","N/A
N/A, N/A N/A"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2018-2019","2018-10-31T00:00:00.000","1205","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2016-2017","2016-10-31T00:00:00.000","1259","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2017-2018","2017-11-30T00:00:00.000","1123","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2018-01-31T00:00:00.000","2266","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2018-06-30T00:00:00.000","1283","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2016-2017","2017-04-30T00:00:00.000","1131","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2016-2017","2017-01-31T00:00:00.000","2135","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2015-2016","2015-10-31T00:00:00.000","3304","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2016-2017","2017-01-31T00:00:00.000","1350","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2016-12-31T00:00:00.000","1876","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2017-2018","2017-12-31T00:00:00.000","2187","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2017-2018","2018-01-31T00:00:00.000","2196","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2017-2018","2018-05-31T00:00:00.000","1850","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2016-2017","2017-01-31T00:00:00.000","2270","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2015-2016","2016-06-30T00:00:00.000","938","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2018-2019","2018-12-31T00:00:00.000","2154","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2017-11-30T00:00:00.000","2416","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2016-2017","2016-11-30T00:00:00.000","3247","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2017-2018","2017-10-31T00:00:00.000","2403","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2016-2017","2016-10-31T00:00:00.000","230","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2015-2016","2015-10-31T00:00:00.000","1335","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"In County Jails","County Jails","N/A","FY 2018-2019","2018-11-30T00:00:00.000","347","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2016-07-31T00:00:00.000","2035","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2017-03-31T00:00:00.000","1409","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2018-2019","2018-11-30T00:00:00.000","2555","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-09-30T00:00:00.000","1373","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2017-2018","2017-12-31T00:00:00.000","447","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2015-2016","2015-09-30T00:00:00.000","502","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2017-2018","2018-02-28T00:00:00.000","147","N/A
N/A, N/A N/A"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2015-2016","2015-07-31T00:00:00.000","2150","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2018-2019","2018-07-31T00:00:00.000","2139","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2016-2017","2016-12-31T00:00:00.000","1202","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2015-2016","2015-07-31T00:00:00.000","1346","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2015-2016","2016-05-31T00:00:00.000","3167","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2016-08-31T00:00:00.000","1784","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2016-2017","2016-11-30T00:00:00.000","921","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2018-2019","2018-07-31T00:00:00.000","1106","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2017-2018","2018-06-30T00:00:00.000","2175","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2015-2016","2015-12-31T00:00:00.000","2161","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2016-2017","2016-08-31T00:00:00.000","1743","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2018-2019","2018-12-31T00:00:00.000","2280","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2016-2017","2017-05-31T00:00:00.000","216","N/A
N/A, N/A N/A"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2015-2016","2015-09-30T00:00:00.000","2085","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-11-30T00:00:00.000","1488","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2015-2016","2016-04-30T00:00:00.000","1395","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"In Federal Prisons","Federal Prisons","N/A","FY 2017-2018","2017-08-31T00:00:00.000","8","N/A
N/A, N/A N/A"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2015-2016","2016-02-29T00:00:00.000","240","N/A
N/A, N/A N/A"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2015-2016","2016-05-31T00:00:00.000","2413","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2017-2018","2017-10-31T00:00:00.000","2216","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2017-2018","2018-06-30T00:00:00.000","1600","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2016-2017","2017-02-28T00:00:00.000","2237","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2017-2018","2018-04-30T00:00:00.000","2084","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2017-2018","2018-05-31T00:00:00.000","249","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2016-2017","2017-03-31T00:00:00.000","393","N/A
N/A, N/A N/A"
"Albion (ALB)","State Correctional Institution","Erie","FY 2016-2017","2016-10-31T00:00:00.000","2253","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"In Federal Prisons","Federal Prisons","N/A","FY 2015-2016","2016-05-31T00:00:00.000","7","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2015-2016","2016-06-30T00:00:00.000","2508","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2017-2018","2018-01-31T00:00:00.000","2384","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2017-2018","2018-06-30T00:00:00.000","1205","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2015-2016","2015-12-31T00:00:00.000","1362","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
