"observationname","label","relatedsampleuri","otherid","sampledepth","measurementunits","sitelocationname","localityterms","county","latdegreewgs84","longdegreewgs84","srs","locationuncertaintystatement","samplecollectiondate","samplemeasurementdate","sampletype","sampleshape","sampledimensionsheight","sampledimensionswidth","sampledimensionslength","sampledimensionsunits","sampledensity","uncertaintydensity","sampledensityunits","laboratory","measurementdevice","measurementprocedure","measurementpressure","measurementpressureunits","sampletemperature","sampletemperatureunits","measurementduration","measurementdirection","measurementrun","bulkmixingformula","saturationfluid","saturatedsampleconductivity","drysampleconductivity","averagethermalconductivity","uncertaintytc","correctiontc","correctiondescription","unitstc","specificheat","uncertaintyspecificheat","specificheatunits","thermaldiffusivity","uncertaintythermaldiffusivity","unitsthermaldiffusivity","geologicformationname","geologicformationuri","geologicformationtype","datumelevation","elevation","permeability","unitspermeability","porosity","notes","metadatauri","source","location_1"
"Gronning-1 EXP DB Depth Interval 3380-3450","Gronning-1 EXP DB Depth Interval 3380-3450",,,"3450","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:29:00.000","Cuttings","Cylinder","1.883","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","10.230790000000001","C","12.5",,"1",,"Tap Water","1.2102999999999999",,"2.2982","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments",,"Sandstone | Shale","MSL","4590",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 400-410","PA-3 NP Depth Interval 400-410",,,"410","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.2809999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 390-400","PA-6 NP Depth Interval 390-400",,,"400","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1879999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 DB Depth Interval 190-200","PA-3 DB Depth Interval 190-200",,,"200","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.633","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6195240000000002","C","12.5",,"1",,,"1.2294",,"1.2294","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 DB Depth Interval 80-90","PA-6 DB Depth Interval 80-90",,,"90","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.633","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6350789999999993","C","12.5",,"1",,,"1.1496999999999999",,"1.1496999999999999","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Pavant Butte-1 EXP DB Depth Interval 1410-1620","Pavant Butte-1 EXP DB Depth Interval 1410-1620",,,"1620","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.67","3.9929999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84224","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.6807940000000006","C","12.5",,"1",,"Tap Water","1.18",,"3.1","±10%",,,"W/(m·K)",,,,,,,"Miocene-Pliocene Sediments",,"Claystone","MSL","4595",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 140-150","PA-3 NP Depth Interval 140-150",,,"150","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.29","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah N1 EXP DB Depth Interval 3450-3470","State of Utah N1 EXP DB Depth Interval 3450-3470",,,"3470","Feet","Amoco State of Utah N1 Oil Exploration Well","Great Salt Lake","Tooele","40.755220000000001","-112.306","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:09:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.7430000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84140","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7587299999999999","C","12.5",,"1",,"Tap Water","1.69",,"3.7","±10%",,,"W/(m·K)",,,,,,,"Pliocene",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 230-240","PA-6 NP Depth Interval 230-240",,,"240","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1779999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 130-140","PA-4 NP Depth Interval 130-140",,,"140","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T12:17:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2609999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A DB Depth Interval 30-40","PA-5A DB Depth Interval 30-40",,,"40","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.8029999999999999","3.9329999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.7185710000000007","C","12.5",,"1",,,"1.2326999999999999",,"1.2326999999999999","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"MATLIN-1 NP Depth Interval 130-140","MATLIN-1 NP Depth Interval 130-140",,,"140","Feet","UGS/USGS Matlin-1 Thermal Gradient Well","North Great Salt Lake Area-Matlin Mountains","Box Elder","41.55171","-113.233","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.395","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale | Comglomerate","MSL","4436",,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Pavant Butte-1 EXP DB Depth Interval 9050-9070","Pavant Butte-1 EXP DB Depth Interval 9050-9070",,,"9070","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.88","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments and Volcanics",,"Sandstone","MSL","4595",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 2850-2900","Gronning-1 EXP DB Depth Interval 2850-2900",,,"2900","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"1.647","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments",,"Claystone | Sandstone | Limestone","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 120-130","PA-1 NP Depth Interval 120-130",,,"130","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.335","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah N1 EXP DB Depth Interval 1470-1530","State of Utah N1 EXP DB Depth Interval 1470-1530",,,"1530","Feet","Amoco State of Utah N1 Oil Exploration Well","Great Salt Lake","Tooele","40.755220000000001","-112.306","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:09:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.7370000000000001","3.99",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84131","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.4212699999999998","C","12.5",,"1",,"Tap Water","1.84",,"3.19","±10%",,,"W/(m·K)",,,,,,,"Quaternary",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A NP Depth Interval 580-590","P-2A NP Depth Interval 580-590",,,"590","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:19:00.000","Cuttings","Fine Material",,,,,,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.5269999999999999","±10% based on instrument specifications",,,"W/(m·K)","3.1160000000000001","±10% based on instrument specifications","MJ/(m³·K)","0.49","±10% based on instrument specifications","mm²/s","Plio-Quaternary Sediments",,"Shale","MSL","4684",,,,"Predominantly Hydrated Clay | Sample Measurement Date Estimated",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 DB Depth Interval 150-160","PA-6 DB Depth Interval 150-160",,,"160","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.8029999999999999","3.9329999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.3768250000000002","C","12.5",,"1",,,"1.3380000000000001",,"1.3380000000000001","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
