"hospital_name","provider_number","period","claim_type","avg_spending_per_episode_hospital","avg_spending_per_episode_state","avg_spending_per_episode_nation","percent_of_spending_hospital","percent_of_spending_state","percent_of_spending_nation","measure_start_date","measure_end_date","location_1"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Carrier","499","432","488","2.13","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","3","12","9","0.02","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 through 30 days After Discharge from Index Hospital Admission","Carrier","731","760","1078","4.94","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","601","939","759","3.40","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","Complete Episode","Total","15741","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","19","16","13","0.08","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","During Index Hospital Admission","Durable Medical Equipment","110","28","23","0.47","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1026","939","759","5.32","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 through 30 days After Discharge from Index Hospital Admission","Hospice","146","115","119","0.72","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","20","16","13","0.09","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1141","2068","2602","5.93","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Inpatient","2","4","5","0.01","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","145","126","107","0.59","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2202","2068","2602","10.31","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","During Index Hospital Admission","Carrier","720","1464","1511","4.79","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","5","12","9","0.04","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","596","644","664","2.61","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","3065","2068","2602","15.91","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","672","644","664","3.32","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","2","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 to 3 days Prior to Index Hospital Admission","Carrier","401","432","488","1.88","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","During Index Hospital Admission","Inpatient","7789","10176","8997","45.70","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 through 30 days After Discharge from Index Hospital Admission","Carrier","836","760","1078","4.14","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","During Index Hospital Admission","Inpatient","9631","10176","8997","50.04","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Outpatient","217","192","113","1.09","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Inpatient","13","4","5","0.08","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","During Index Hospital Admission","Inpatient","6913","10176","8997","39.07","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","During Index Hospital Admission","Durable Medical Equipment","20","28","23","0.14","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","146","126","107","0.76","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1332","939","759","6.92","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","During Index Hospital Admission","Durable Medical Equipment","73","28","23","0.32","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Outpatient","132","192","113","0.65","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","6","12","9","0.05","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","Complete Episode","Total","16992","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 through 30 days After Discharge from Index Hospital Admission","Hospice","204","115","119","1.20","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1033","939","759","5.68","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","520","644","664","3.51","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","817","939","759","6.11","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3036","3520","3087","17.87","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 through 30 days After Discharge from Index Hospital Admission","Carrier","694","760","1078","3.54","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Hospice","106","115","119","0.43","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","5","12","9","0.03","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1342","2068","2602","7.36","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","Complete Episode","Total","8997","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 to 3 days Prior to Index Hospital Admission","Carrier","505","432","488","2.37","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 through 30 days After Discharge from Index Hospital Admission","Carrier","884","760","1078","4.15","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 through 30 days After Discharge from Index Hospital Admission","Hospice","116","115","119","0.77","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","Complete Episode","Total","20616","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","15","16","13","0.07","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 through 30 days After Discharge from Index Hospital Admission","Carrier","540","760","1078","3.18","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Carrier","510","760","1078","4.45","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Outpatient","21","192","113","0.18","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","19","16","13","0.10","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","8","16","13","0.04","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","11","16","13","0.05","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","414","644","664","4.60","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 through 30 days After Discharge from Index Hospital Admission","Carrier","676","760","1078","4.30","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Inpatient","18","4","5","0.07","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 through 30 days After Discharge from Index Hospital Admission","Carrier","494","760","1078","2.90","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","2","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Carrier","401","432","488","2.51","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","During Index Hospital Admission","Carrier","343","1464","1511","3.15","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Hospice","61","115","119","0.68","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","180","126","107","0.84","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3702","3520","3087","23.52","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","428","644","664","2.22","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Carrier","210","760","1078","2.33","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 through 30 days After Discharge from Index Hospital Admission","Carrier","604","760","1078","3.13","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Hospice","22","1","1","0.12","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","9","12","9","0.04","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Hospice","42","115","119","0.38","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","9","16","13","0.04","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Durable Medical Equipment","16","28","23","0.08","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","Complete Episode","Total","10916","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","During Index Hospital Admission","Inpatient","10502","10176","8997","49.35","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
