"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Energy","https://data.austintexas.gov/d/9daw-gnsy","Solar Rebate Program","dataset","448","2016-11-14T00:00:00.000","As Needed","Utilities and City Services","rebate,solar,solar rebate program,home performance,energy star,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/green-power/solar-solutions/for-your-home/solar-photovoltaic-rebates-incentives",,"Green Infrastructure","N/A","N/A","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/eg2m-3frp","Waterway Setbacks","gis map","447","2019-04-16T00:00:00.000","As Needed","Locations and Maps","creek,buffer,agoltosocrata","EGS Data Services",,"Public Domain","Watershed Protection",,,,,,,"7"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/nt54-33ke","2017 Grant for Technology Opportunities Program Awardees","dataset","447","2017-04-05T00:00:00.000","As Needed","City Government","grants,technology,digital inclusion,awards,programs,non-profit","jesse.rodriguez","jesse.rodriguez@austintexas.gov","Public Domain","Office of Telecommunications & Regulatory Affairs - Digital Inclusion Program","http://gtops.org",,,,,,"5"
"Austin Energy","https://data.austintexas.gov/d/yj9d-ajag","Utility Contact Center Average Speed For Answering Calls","dataset","443","2019-04-19T00:00:00.000","As Needed","Utilities and City Services","customer care,contact center,call center,customer service,austin energy,water,electric,resource recovery,trash,recycling","Thomas Thurber",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","2"
"Watershed Protection","https://data.austintexas.gov/d/mf8i-bqzs","Landfills (Buffered)","gis map","442","2019-03-21T00:00:00.000","As Needed","Locations and Maps","landfill,dump,garbage,landfill buffer,development","Rob",,"Public Domain","Landfills in the Vicinity of Austin,Texas. Prepared by Undergound Resource Management, Inc. CAPCOG, & TCEQ","http://www.austintexas.gov/department/development-over-closed-landfills",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/i8ty-ijab","Renewable Purchase Power Agreements","dataset","440","2018-08-03T00:00:00.000","Annually","Utilities and City Services","power,renewable resources,austin energy,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/environment/renewable-power-generation",,"Green Infrastructure","N/A","Government that Works for All of Us","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/mfi5-y32n","Capital Improvement Projects ( CIP) Expenditures","dataset","431","2016-09-12T00:00:00.000","As Needed","Utilities and City Services","capital improvement,cip","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","Land Development Regulations (CodeNEXT)","N/A","N/A","2"
"Aviation","https://data.austintexas.gov/d/x4vz-3xdy","Airport Annual Performance Measures","dataset","427","2015-07-06T00:00:00.000","Annually","City Government","airport,performance,resources,wildlife,recycling,employees,staff,de-icing,carbon footprint,security,arff,revenue,costs,customers,injuries,diversity,finance","Holly",,"Public Domain","Austin-Bergstrom International Airport",,,,,,,"7"
"Public Information Office","https://data.austintexas.gov/d/8yfa-b3bq","Top 50 Pages By Pageviews on Austintexas.gov  -","dataset","424","2018-04-05T00:00:00.000","Quarterly","City Government","austintexas.gov,popular pages,percent exit,bounce rate,entrances,average time on page,unique pageviews,pageviews","AustinGo","coacommunications@austintexas.gov","Public Domain","City of Austin","http://www.google.com/analytics",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Austin Fire","https://data.austintexas.gov/d/wzdb-642v","CY14 AFD Standard Of Coverage By RAP","dataset","423","2015-07-28T00:00:00.000","Annually","Public Safety","afd,fire,response times,soc,standard of coverage","Christine Thies","christine.thies@austintexas.gov","Public Domain","Christine Thies",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/qpuw-8eeb","Traffic Detectors","dataset","418","2019-05-07T00:00:00.000","Daily","Transportation and Mobility","transportation,traffic,detection,detectors,loops,mobility,safety,pedestrians,bicycles,vehicles","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/mz62-7gp7","PLANNINGCADASTRE_site_plan_case","gis map","416","2019-04-16T00:00:00.000","Daily","Locations and Maps","agoltosocrata","EGS Data Services",,"Public Domain",,,,"N/A",,"N/A",,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/8qty-vat2","Open Data Initiative Progress Report - Participation Sprint","dataset","376","2015-11-02T00:00:00.000","Weekly","City Government",,"Hailey Pate",,"Creative Commons 1.0 Universal (Public Domain Dedication)",,,,,,,,"9"
"Public Information Office","https://data.austintexas.gov/d/i3d7-gc2g","AAQOL Survey Monkey Answers Nov7 Update","dataset","416","2016-11-07T00:00:00.000","As Needed","City Government","asian,asian american,quality of life,aaqol,austin,multicultural,asia,20131024-084,city manager,marion,marion sanchez,city council,community conversations,conversations over tea,visioning,department,aarc,themes,survey,quantitativ","Marion Sanchez","marion.sanchez@austintexas.gov","Public Domain","Marion Sanchez: City of Austin, City Manager's Office, Communications & Public Information Office, Community Engagement","http://www.austintexas.gov/asianlifeaustin",,,,,,"5"
"Austin Energy","https://data.austintexas.gov/d/mt4k-z5hx","Tree Trimming (Line Clearance - Vegetation Management)","dataset","414","2019-04-22T00:00:00.000","Annually","Utilities and City Services","vegetation management,tree,line clearance,property,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Public Information Office","https://data.austintexas.gov/d/hc5t-p62z","Final Report of the Asian American Quality of Life (AAQoL)","dataset","414","2018-07-12T00:00:00.000","As Needed","City Government","asian,asian american,quality of life,aaqol,austin,multicultural,asia,20131024-084,city manager,marion,marion sanchez,city council,community conversations,conversations over tea,visioning,department,aarc,themes,survey,quantitativ","Marion Sanchez","marion.sanchez@austintexas.gov","Public Domain","Marion Sanchez: City of Austin, City Manager's Office, Communications & Public Information Office, Community Engagement","http://www.austintexas.gov/asianlifeaustin",,"Complete Communities (Imagine Austin vision)","Compact & Connected","Government that Works for All of Us","Cultural and Learning Opportunities","1"
"Communication and Technology Management","https://data.austintexas.gov/d/ghsj-v65t","Zipcodes","gis map","409","2019-04-17T00:00:00.000","As Needed","Locations and Maps","zip,code,agoltosocrata","EGS Data Services",,"Public Domain",,,,,,,,"8"
"Austin Fire","https://data.austintexas.gov/d/9ii7-s3d7","CY15 AFD Standard Of Coverage By RAP","dataset","403","2016-03-29T00:00:00.000","Annually","Public Safety","afd,fire,response times,soc,standard of coverage","Christine Thies","Christine.Thies@austintexas.gov","Public Domain","Austin Fire Department (Planning & Research)",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/itsd-rizg","Bluetooth Travel Sensors - Route Segments","gis map","402","2017-03-03T00:00:00.000","As Needed","Locations and Maps","transportation,traffic,mobility,transit,travel sensors,travel time,bluetooth,routes","Austin Transportation","transportation.data@austintexas.gov","Public Domain",,,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/eff2-t5tb","2014: ECAD Multi-Family Audit and EUI Data","dataset","401","2016-02-26T00:00:00.000","As Needed","Utilities and City Services","ecad,multifamily,audit,ordinance,building type,r-value,duct leakage,eui,20110421-002,austin,climate protection","Jessica Galloway","ECADDatabaseAdmini@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Austin Water","https://data.austintexas.gov/d/uizf-mcbc","Austin Water - Water Service Connection Count By Zip Code","dataset","401","2018-10-12T00:00:00.000","Monthly","Utilities and City Services","aw,water,services,count","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Austin Water","https://data.austintexas.gov/d/m4wb-q5fa","Austin Water - Gallons of Water and Wastewater Treated","dataset","399","2018-10-12T00:00:00.000","Annually","Utilities and City Services","aw,water,wastewater,treated","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Watershed Protection","https://data.austintexas.gov/d/xnw2-4z4z","Watershed Reach Boundaries","gis map","399","2018-01-17T00:00:00.000","Annually","Locations and Maps","water quality,watershed protection,creeks,eii,environmental integrity index,ali,austin lakes index","Rob",,"Public Domain","City of Austin Watershed Protection","https://www.austintexas.gov/department/environmental-integrity-index",,"Healthy Austin","Sustainable Water","Health","Government that Works for All of Us","2"
"Parks & Recreaction","https://data.austintexas.gov/d/dtkn-v97q","Golf Courses in Austin","dataset","395","2013-06-05T00:00:00.000","As Needed","Recreation and Culture","golf,golf course,locations,tee time,scorecard","AustinGo","parks@austintexas.gov","Public Domain","Parks and Recreation Department","http://www.austintexas.gov/department/golf-austin-public-links",,,,,,"5"
"Development Services","https://data.austintexas.gov/d/s7gx-9m54","Subdivision Cases","dataset","394","2019-05-08T00:00:00.000","Daily","Building and Development","subdivisions,subdivision cases,development,city of austin,austin,development services department","DSD Open Data","Surbhi.Bakshi@austintexas.gov","Public Domain","Development Services Department, City of Austin",,,"Land Development Regulations (CodeNEXT)",,"Government that Works for All of Us",,"4"
"Austin Resource Recovery","https://data.austintexas.gov/d/2rn8-k6eh","Recycle Right Campaign Routes","gis map","390","2018-06-07T00:00:00.000","As Needed","Locations and Maps","austin resource recovery,arr","austinresourcerecovery","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","http://www.austintexas.gov/department/resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/6jzx-u9jg","Grasslands","gis map","387","2019-03-21T00:00:00.000","As Needed","Locations and Maps","brg,biological resource gis,habitat,ecology,birds,prairie","Rob",,"Public Domain","City of Austin, Watershed Protection","https://www.austintexas.gov/department/watershed-protection",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/qmdk-sha4","Number of Austin Energy Customers 2015","dataset","384","2016-12-12T00:00:00.000","Annually","Utilities and City Services","austin,energy,customers","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/q3b3-ezki","Operations And Maintenance Expenditures","dataset","381","2016-08-01T00:00:00.000","As Needed","Utilities and City Services","operations and maintenance,o&m,expenditures,energy,budget","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","N/A","N/A","2"
"Office of Sustainability","https://data.austintexas.gov/d/acyh-8suc","Municipal Carbon Footprint","dataset","378","2015-08-07T00:00:00.000","Annually","City Government","carbon footprint,greenhouse gas,emissions","cavan.merski@austintexas.gov","jenell.moffett@austintexas.gov","Public Domain",,,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/9jeg-fsk5","Austin Police Department Districts","gis map","377","2019-04-16T00:00:00.000","As Needed","Locations and Maps","police,sectors,districts,agoltosocrata","EGS Data Services",,"Public Domain","Austin Police Department",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/m977-demj","Regulating Plan Subdistrict (retired)","gis map","375","2018-01-02T00:00:00.000","Monthly","Locations and Maps","regulating,plan,subdistrict","Bruce Bacia",,"Public Domain","City of Austin Planning & Development Review Department",,,,,,,"7"
"Public Information Office","https://data.austintexas.gov/d/hpf7-4b4e","Department English- Spanish Terminology Bank","dataset","375","2017-07-20T00:00:00.000","As Needed","City Government","english,spanish,translation,terminology bank,language,language bnak","AustinGo","Deisy.Arteaga@austintexas.gov","Public Domain","City of Austin Communications and Public Information Office","http://austintexas.gov/",,"Complete Communities (Imagine Austin vision)","N/A","Government that Works for All of Us","Cultural and Learning Opportunities","1"
