"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20212412","2021-09-17T00:00:00.000","2021-10-21T00:00:00.000","Case Description From 311: SR Open date :09/16/2021 14:1: Prime Management, 8624 Dakota Dr. Gaithersburg MD 20877.
On Sunday 09-12-2021 at 4:07pm a driver in a company vehicle described as a white Chevy Tahoe with an attached trailer entered and trespassed our private property at 8624 Dakota Dr. Gaithersburg 20877, they  ignored all the posted signs, they drove into the back of the property  and they illegally dumped a big load of trash that consist of  broken granite, broken kitchen cabinets, drywall, nails, paint buckets, and cardboard boxes. 
Prime Management has video recordings as evidence of the incident. We have also contacted MCPD with Officer Wade.
Officer Wade met with the Prime Management and witness all of the surveillance cameras and all the trash and gave us a police report,, case number 21002335-9. 
 He notified us later that night that we should contact Montgomery County EPA. 
We would like this matter to get investigated and the trash to get moved out of the property before the wind and storm blows it out to the highway 370 as soon as possible. Our contact number is 301-840-0000 and our office is located at  We need an investigator to contact us  to review all the facts and documents as soon as possible.","2021","Solid Waste","Commercial","8624","DAKOTA","GAITHERSBURG","20877","POINT (-77.176592 39.126659)"
"20212220","2021-08-06T00:00:00.000","2021-10-21T00:00:00.000","Local produce vendor was observed dumping coconuts into the residential trash dumpster at Glen Waye Gardens Condos on Greenery La. in Glenmont.","2021","Solid Waste","Dumpster","2302","Greenery","SILVER SPRING","20906","POINT (-77.048872 39.061655)"
"20212038","2021-07-02T00:00:00.000","2021-10-21T00:00:00.000","Case Description From 311: SR Open date :07/02/2021 10:4: Stated that he wanted to ask about a no dumping sign on the are by his home-  He said on the right side when facing his home there is a open space that people keep dumping furniture in. 
FYI- 1461185462- illegal dumping sr- placed and 1461199684- HOA complaint about not placing a sign to stop the dumping - which they stated he need to call the county-, 1462829313 : John Tan -  7919-7915 in between -wood debris, trash bags, and other large items - He is asking for it to be removed thanks-
FYI- stated that its a neighbor who does this but not sure which one this time.","2021","Solid Waste","No Dumping Signage","7919","CAPRICORN","Derwood","20855","POINT (-77.163226 39.1398)"
"20212506","2021-10-06T00:00:00.000","2021-10-20T00:00:00.000","Case Description From 311: SR Open date :10/06/2021 08:0:  dumping of furniture, junk,  has been left  and the area is to the left  of service location and at  the entrance to Longview lane says this caller","2021","Solid Waste","Public Land","17624","LONGVIEW","Olney","20832","POINT (-77.088129 39.145515)"
"20212578","2021-10-18T00:00:00.000","2021-10-20T00:00:00.000","Case Description From 311: 7 bags  of concrete have been  left and dumped here","2021","Solid Waste","Public Land",,"Alderton","SILVER SPRING","20906",
"20212508","2021-10-07T00:00:00.000","2021-10-18T00:00:00.000","During an outfall inspection, I observed an accumulation of yard trim on the ROW along Cardigan Rd (Booze Creek).","2021","Solid Waste","Public Land",,"Cardigan","BETHESDA","20817",
"20212547","2021-10-11T00:00:00.000","2021-10-18T00:00:00.000","Case Description From 311: Bulk trash in county right of way on Horseshoe Bend Circle between Turtle Rock Terrace and Snowden Farm Parkway.","2021","Solid Waste","Public Land","12410","HORSESHOE BEND","Clarksburg","20871",
"20212460","2021-09-28T00:00:00.000","2021-10-18T00:00:00.000","Case Description From 311: Customer reports her neighbor throwing yard trim debris back to the forest. She notified the neighbors, but nothing done. She would like the DEP to step in about this illegal dumping. She informed CSR that she witnessed her law contractor had dumped the yard waste in to planning/park land (forest). She would like to be anonymous and she wants a follow up call (what is nexct?). Thank you.","2021","Solid Waste","Residential","19004","HIGH POINT","GAITHERSBURG","20879","POINT (-77.234969 39.167323)"
"20212521","2021-10-08T00:00:00.000","2021-10-18T00:00:00.000","Case Description From 311: SR Open date :10/08/2021 08:1: illegal dumping at  near Glenhaven Place and Dayton Street - lose yard waste","2021","Solid Waste","Public Land","2016","GLENHAVEN","Silver Spring","20902","POINT (-77.042743 39.037818)"
"20211547","2021-04-12T00:00:00.000","2021-10-15T00:00:00.000","Picked up a bunch of waste in the parking lot along the Seneca Ridge Trail, including construction waste like gallon cans of paint. Could not fit in car. Hoping someone from the county can pick up? It would also be great if you could put a sign there that says no litter or dumping. Precise coordinates: (39.1325427, -77.2674730), 1454849543 : Caller states that about 2 miles from this intersection there is an open parking lot where people are dumping trash and he is requesting no dumping signs to be placed there. It is near the seneca ridge trail","2021","Solid Waste","No Dumping Signage","16899","Riffle Ford","GAITHERSBURG","20878",
"20212525","2021-10-08T00:00:00.000","2021-10-15T00:00:00.000","Case Description From 311: Someone illegally dump a shoe rack near the driveway between 903 and 905 Holborn Streen, Wheaton","2021","Solid Waste","Public Land","903","HOLBORN","Silver Spring","20902","POINT (-77.02795 39.046701)"
"20212491","2021-10-04T00:00:00.000","2021-10-15T00:00:00.000","Case Description From 311: SR Open date :10/04/2021 08:2: Dumping of construction debris at the end of Saint Paul St behind behind street end barrier. This will keep water from draining . Also, this is CSX property., 1471419890 : This a duplicate request. I didn't have an actual street address.  To repeat, this is for construction waste dumped in the CSX  right-of-way behind the end barrier on  St. Paul St.","2021","Solid Waste","Commercial","10540","METROPOLITAN","KENSINGTON","20895","POINT (-77.072994 39.028339)"
"20212565","2021-10-14T00:00:00.000","2021-10-14T00:00:00.000","Shopping cart observed on county right of way by 12901 pinnacle street","2021","Solid Waste","Public Land","12901","PINNACLE","GERMANTOWN","20874","POINT (-77.265759 39.183663)"
"20212517","2021-10-08T00:00:00.000","2021-10-12T00:00:00.000","Case Description From 311: SR Open date :10/07/2021 12:1: By the No Dumping sign on Arrowsmith, about 300 feet from the corner of Game Preserve, 2 car tires were dumped. 
Thank you Moco, for all you do for our community.","2021","Solid Waste","Public Land",,"ARROWSMITH","GAITHERSBURG","20879",
"20212536","2021-10-11T00:00:00.000","2021-10-12T00:00:00.000","Case Description From 311: Anonymous complaint.  There is  a wooded lot and someone illegally dump 2 vehicle tire near  service location below","2021","Solid Waste","Residential","13404","Valley","ROCKVILLE","20850","POINT (-77.200181 39.076208)"
"20212507","2021-10-06T00:00:00.000","2021-10-11T00:00:00.000","Case Description From 311: Hello. Someone is dumping debris and materials in my backyard. I just found a metal rod thrown onto a pile of brush.","2021","Solid Waste","Residential","12801","MEADOWOOD","Silver Spring","20904","POINT (-77.005824 39.066192)"
"20212499","2021-10-05T00:00:00.000","2021-10-07T00:00:00.000","Case Description From 311: A truck that is coming into the neighborhood and in the 9400 block of the street, dropping the contents of his truck on trash day. The truck has JUNK REMOVAL on the back and his tag number is MD. 2ET2859.","2021","Solid Waste","Residential","9400","FERN HOLLOW","Montgomery Village","20886","POINT (-77.193454 39.181496)"
"20212452","2021-09-27T00:00:00.000","2021-10-06T00:00:00.000","Case Description From 311: Customer reports illegal dumping at the given intersection. He saw a yellow truck driving in the community (2 individual dump trash cardboard boxes-filled at site). Front of the vehicle has an Indiana plate (279192) and back has a MD plate (8849EL). Please call if more information is needed. Thank you.","2021","Solid Waste","Public Land",,"Ballinger","BURTONSVILLE","20866",
"20212338","2021-09-02T00:00:00.000","2021-10-06T00:00:00.000","Case Description From 311: SR Open date :09/01/2021 13:2: in back of her home has 20-40ft easement where there is a storm drain. Neighbor dumps yard debris in the storm drain which runs into her yard. She has complained to dhca before, and now is trying to make sure she stops doing it by telling DEP what she's doing. Please call to discuss further.","2021","Solid Waste","Residential","304","Beaumont","Colesville","20904","POINT (-77.014808 39.076698)"
"20212367","2021-09-09T00:00:00.000","2021-10-05T00:00:00.000","Case Description From 311: SR Open date :09/08/2021 16:2: There is a red couch, a table, a carpet  and a bunch of smaller junk.  Up the block a little near 1746 there are pieces of wood and other stuff.","2021","Solid Waste","Public Land","1701","FEATHERWOOD","SILVER SPRING","20904","POINT (-76.974283 39.059359)"
"20212276","2021-08-19T00:00:00.000","2021-10-05T00:00:00.000","Case Description From 311: Confidential, stated property owner is taking branches from his property and dumbing them on the county ROW, which is clogging storm drain, between  Black Rock rd and Germantown rd, has dumped large amount of branches, stated property owner has done it before and MoCo had to pick up his branches, gave sr.","2021","Solid Waste","Public Land","17326","GERMANTOWN","Germantown","20874","POINT (-77.294909 39.141056)"
"20211584","2021-04-19T00:00:00.000","2021-10-04T00:00:00.000","Case Description From 311: A lot of furniture and chairs mattress, thrown in the rear of apartment causing pest and other wildlife to come . This is a serious issue","2021","Solid Waste","Residential","1033","Quebec","SILVER SPRING","20903","POINT (-76.986663 39.00052)"
"20212420","2021-09-20T00:00:00.000","2021-09-27T00:00:00.000","Case Description From 311: SR Open date :09/17/2021 13:0: Caller reporting illegal dumping across the street from service location address in the grass. Caller states that there are 4 bags of trash and a sofa.","2021","Solid Waste","Public Land","4125","PLYERS MILL","Kensington","20895","POINT (-77.082585 39.032051)"
"20212454","2021-09-27T00:00:00.000","2021-09-27T00:00:00.000","Case Description From 311: A Ford blue pick up truck drove into the public park grass yard and dumped branches onto the woods","2021","Solid Waste","Public Land","4105","HAVARD","SILVER SPRING","20906","POINT (-77.081923 39.062784)"
"20212451","2021-09-27T00:00:00.000","2021-09-27T00:00:00.000","Case Description From 311: SR Open date :09/24/2021 12:4: Wanted to report an illegal dumping in front of their property, an old ceiling fan in a green tarp bag, need it picked up immediately. Caller just updated while on the line that someone moved the item up the street at 3216 Coquelin TER.","2021","Solid Waste","Public Land","3231","COQUELIN","Chevy Chase","20815","POINT (-77.065616 38.997358)"
