"title","date","month","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"LEGO Playtime","2016-09-16T00:00:00.000","Sep","FY 17","Twinbrook","Makerspace","ACE - All Children Excel","Science & Math (STEM)","Elementary School Age","Preschool and Kindergarten",,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. For more information call 240-777-0240.",,"Yes","11"
"LEGO Crew","2016-09-16T00:00:00.000","Sep","FY 17","Gaithersburg","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Elementary School Age","Preschool and Kindergarten",,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,"Yes","38"
"Baby/Toddler Storytime","2016-09-17T00:00:00.000","Sep","FY 17","Olney","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,"Yes","26"
"Tutoring and Homework Help","2016-09-17T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes",
"Come Saturday Morning","2016-09-17T00:00:00.000","Sep","FY 17","Twinbrook","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Family storytime with books, flannel boards, and music. Free. No registration. All ages welcome. For more information, call 240-777-0240.",,"Yes","28"
"Toddler Storytime","2016-10-04T00:00:00.000","Oct","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","80"
"Tutoring and Homework Help","2016-09-17T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-09-19T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-09-19T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","5"
"Baby Storytime","2016-09-20T00:00:00.000","Sep","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","44"
"Blocks: Play and Exploration","2016-09-20T00:00:00.000","Sep","FY 17","Wheaton","Science & Math (STEM)","ACE - All Children Excel",,"Babies and Toddlers","Preschool and Kindergarten",,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,"Yes","13"
"Baby Storytime","2016-09-20T00:00:00.000","Sep","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","39"
"Toddler Time","2016-09-20T00:00:00.000","Sep","FY 17","Chevy Chase","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Please join us for fun learning activities. We'll read, sing, dance, explore and learn finger plays just right for two and three year olds. No registration needed.",,"Yes","70"
"Mommy & Me (& Daddy Too!)","2016-09-20T00:00:00.000","Sep","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","80"
"Stepping Stones Story Time","2016-09-20T00:00:00.000","Sep","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","75"
"Toddler Storytime","2016-09-20T00:00:00.000","Sep","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","80"
"Preschool Storytime","2016-09-20T00:00:00.000","Sep","FY 17","Aspen Hill","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us for Stories, Songs, Rhymes and more for children up to 5 years and their adults beginning at 11 am. Program will be followed by Stay and Play from 11:30 am-12:00 pm.",,"Yes",
"Lap Time for Little Ones","2016-09-20T00:00:00.000","Sep","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes",
"Mommy & Me (& Daddy Too!)","2016-09-20T00:00:00.000","Sep","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","40"
"Stay and Play","2016-09-20T00:00:00.000","Sep","FY 17","Aspen Hill","Science & Math (STEM)","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Join us after Preschool Storytime from 11:30 am -12:00 pm for Stay and Play. There will be a variety of STEM and STEAM activities to enrich your child's imagination.",,"Yes",
"Time for Twos","2016-11-22T00:00:00.000","Nov","FY 17","Germantown","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"A special storytime for ages 24-35 months that includes stories, fingerplays, songs and other early literacy activities.",,"Yes","59"
"Tutoring and Homework Help","2016-09-20T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-09-20T00:00:00.000","Sep","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","14"
