"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2020-00005700","2020-02-05T11:30:00.000","2020-02-05T11:45:00.000","2020-02-05T11:53:47.000","Cleared by Arrest","2020-02-12T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Falcon"
"2022-00031258","2022-08-18T16:30:00.000","2022-08-19T05:30:00.000","2022-08-19T05:49:31.000","Open","2022-08-19T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2020-00038854","2020-11-08T11:30:00.000","2020-11-08T23:30:00.000","2020-11-08T22:07:19.000","Open","2020-11-09T00:00:00.000","Crimes Against Society","18-6-401(1)(7)(b)(II) M3","Child Abuse - Criminal Negligence  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","No",,,,,"Stetson Hills"
"2017-00030441","2017-08-21T18:25:00.000","2017-08-21T18:25:00.000","2017-08-21T18:25:00.000","Cleared by Arrest","2018-06-22T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(05)","Theft - $50 to $299, Shoplifting","23C","Shoplifting","2303","Shoplifting",,,,,,"Sand Creek"
"2020-00011371","2020-02-15T00:00:00.000","2020-03-01T23:59:00.000","2020-03-21T13:05:56.000","Cleared by Arrest","2020-04-09T00:00:00.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
"2022-00023585","2022-06-24T10:09:00.000","2022-06-24T10:09:00.000","2022-06-24T10:09:45.000","Cleared by Arrest","2022-06-24T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,
"2021-00041280","2021-07-27T09:00:00.000","2021-10-06T08:00:00.000","2021-11-02T13:53:52.000","Warrant","2021-11-10T00:00:00.000","Crimes Against Property","18-4-409(4) F5","Aggravated MVT - 2nd Degree - Over $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS","80921","POINT (-104.849274 39.041816)",
"2021-00025016","2021-07-07T00:01:00.000","2021-07-07T01:35:00.000","2021-07-07T00:42:07.000","Cleared by Arrest","2021-07-07T00:00:00.000","Crimes Against Society","42-3-114 TIB","Expiration - displayed expired license plates","99","Not Reportable",,,"No",,"COLORADO SPRINGS",,,
"2020-00005111","2020-02-01T01:21:00.000","2020-02-01T01:21:00.000","2020-02-01T01:21:49.000","Cleared by Arrest","2020-02-01T00:00:00.000","Crimes Against Society","9.2.103","FAILURE TO DESIST OR DISPERSE","90C","Disorderly Conduct/Disturbing The Peace","5311","Disorderly Conduct (specify conduct)",,,,,,
"2019-00032358","2019-09-01T21:00:00.000","2019-09-01T21:13:00.000","2019-09-01T21:13:40.000","Open","2019-09-24T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Gold Hill"
"2021-00085149","2021-06-11T00:30:00.000","2021-06-14T06:30:00.000","2021-06-28T08:36:42.000","Open","2021-06-28T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"COLORADO SPRINGS",,,
"2021-00084176","2021-04-26T17:00:00.000","2021-04-27T10:00:00.000","2021-04-29T12:26:52.000","Open","2021-04-29T00:00:00.000","Crimes Against Property","18-4-401(2)(d) M2 (01)","Theft - $300 to $749, Not Otherwise Classified","23H","All Other Larceny",,,,,"Colorado Springs","80915","POINT (-104.716756 38.854194)",
"2018-00027642","2018-07-26T11:00:00.000","2018-07-26T11:05:00.000","2018-07-26T12:15:33.000","Open","2018-07-27T00:00:00.000","Crimes Against Persons","18-3-404(1)(a) M1","Unlawful Sexual Contact No Consent","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,"Falcon"
"2021-00019377","2021-05-22T18:00:00.000","2021-05-22T18:03:00.000","2021-05-23T15:31:14.000","Open","2021-05-23T00:00:00.000","Crimes Against Property","18-4-501(1) M2 (2) REPEAL","Criminal Mischief $300-$749-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No",,"COLORADO SPRINGS",,,
"2021-00023625","2021-06-25T22:29:00.000","2021-06-25T23:04:00.000","2021-06-25T22:29:18.000","Cleared by Arrest","2021-06-26T00:00:00.000","Crimes Against Society","42-4-604(C)(3) TIA","Failed to stop for traffic control signal at place required","99","Not Reportable",,,"No",,"COLORADO SPRINGS",,,
"2021-00084661","2021-05-28T07:55:00.000","2021-05-28T07:55:00.000","2021-05-28T07:58:10.000","Open","2021-06-03T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny",,,,,"Colorado Springs",,,
"2021-00022967","2021-06-21T01:00:00.000","2021-06-21T01:00:00.000","2021-06-21T07:34:19.000","Person Returned","2021-06-21T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1000 WESTERN DR","COLORADO SPRINGS","80915","POINT (-104.703003 38.845666)",
"2019-00039426","2019-03-06T02:00:00.000","2019-10-21T03:00:00.000","2019-10-21T14:30:39.000","Open","2019-10-21T14:30:39.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Gold Hill"
"2019-00002617","2019-01-21T06:10:00.000","2019-01-21T06:10:00.000","2019-01-21T06:10:45.000","Cleared by Arrest","2019-02-23T00:00:00.000","Crimes Against Society","9.8.101","NOISE PROHIBITED","90C","Disorderly Conduct/Disturbing The Peace","5399","Public Peace (describe offense)","No",,,,,"Sand Creek"
"2022-00029326","2022-08-04T22:00:00.000","2022-08-05T00:00:00.000","2022-08-05T01:31:49.000","Open","2022-08-05T00:00:00.000","Crimes Against Persons","18-3-402(1)(b) F4 (03)","Sexual Assault Victim Incapable - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Stetson Hills"
"2022-00080531","2022-02-04T07:30:00.000","2022-02-04T07:30:00.000","2022-02-04T09:32:11.000","Open","2022-02-04T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,,,,,
"2021-00010352","2021-03-11T21:30:00.000","2021-03-12T06:45:00.000","2021-03-12T06:58:16.000","Open","2021-03-12T06:58:16.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2022-00022513","2022-06-14T08:00:00.000","2022-06-14T08:00:00.000","2022-06-14T11:02:50.000","Open","2022-06-16T00:00:00.000","Crimes Against Property","18-5-206(2)(f) F6","Defrauding a secured debtor $2,000-$4,999","26A","False Pretenses/Swindle/Confidence Game","2699","Fraud (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2022-00028964","2022-08-02T11:45:00.000","2022-08-02T11:45:00.000","2022-08-02T11:56:50.000","Cleared by Arrest","2022-08-12T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M1","Violation of a Protection Order - 2nd or Subsequent Offense","90Z","All Other Offenses","5005","Contempt of Court","Yes",,"COLORADO SPRINGS",,,
"2021-00086983","2021-09-22T06:30:00.000","2021-09-23T07:00:00.000","2021-10-08T11:05:32.000","Open","2021-10-08T00:00:00.000","Crimes Against Property","18-4-401(2)(d) M2 (01)","Theft - $300 to $749, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"Colorado Springs",,,
"2020-00082498","2020-07-06T12:24:00.000","2020-07-06T12:24:00.000","2020-07-06T12:43:27.000","Open","2020-07-06T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"50 W LAS VEGAS ST","COLORADO SPRINGS","80903","POINT (-104.827373 38.818532)","Gold Hill"
"2016-00003794","2016-01-21T02:00:00.000","2016-01-21T03:15:00.000","2016-01-21T03:08:27.000","Cleared by Arrest","2016-01-21T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Gold Hill"
"2022-00024210","2022-06-27T22:00:00.000","2022-06-28T22:00:00.000","2022-06-28T22:01:46.000","Open","2022-06-29T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","Yes",,,,,"Gold Hill"
"2019-00004143","2019-02-01T17:30:00.000","2019-02-01T17:30:00.000","2019-02-01T19:55:13.000","Person Returned","2019-02-02T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Gold Hill"
"2016-00023117","2016-06-11T16:50:00.000","2016-06-11T17:00:00.000","2016-06-11T16:59:17.000","Cleared by Arrest","2016-06-11T16:59:17.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
"2021-00027653","2021-07-24T15:00:00.000","2021-07-25T08:15:00.000","2021-07-26T07:57:23.000","Open","2021-07-26T00:00:00.000","Crimes Against Property","18-4-501(1) F6 (1)REP","Criminal Mischief $1,000-$4,999-Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No",,"COLORADO SPRINGS",,,
"2021-00048442","2021-12-28T02:13:00.000","2021-12-28T02:15:00.000","2021-12-28T02:15:19.000","Open","2021-12-28T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2017-00015664","2017-04-27T15:25:00.000","2017-04-27T15:25:00.000","2017-04-27T16:55:23.000","Unfounded","2017-04-27T16:55:23.000","Crimes Against Society","Susp Circumstance","Suspicious Circumstances","99","Not Reportable",,,,,,,,
"2021-00005965","2021-02-03T12:00:00.000","2021-02-06T12:43:00.000","2021-02-06T12:43:41.000","Warrant","2021-03-02T00:00:00.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,,,,"Gold Hill"
"2020-00026705","2020-08-02T21:00:00.000","2020-08-03T03:00:00.000","2020-08-03T03:18:33.000","Open","2020-08-03T03:18:33.000","Crimes Against Society","18-9-111(1)(h) M3","Harassment - Insults or Taunts","90Z","All Other Offenses","5309","Harassing Communication","Yes",,"COLORADO SPRINGS",,,
"2021-00026931","2021-07-20T21:20:00.000","2021-07-20T21:20:00.000","2021-07-20T21:21:00.000","Open","2021-07-29T00:00:00.000","Crimes Against Society","18-3-205(1)(a) F5","Vehicular Assault Recklessness Proximate Cause SBI","90Z","All Other Offenses",,,"No","100 I 25","COLORADO SPRINGS","80907",,
"2018-00022694","2018-06-19T16:45:00.000","2018-06-19T18:00:00.000","2018-06-19T18:34:43.000","Open","2018-06-19T18:34:43.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
"2017-00045578","2017-12-19T19:00:00.000","2017-12-19T21:00:00.000","2017-12-20T11:16:40.000","Open","2017-12-20T11:16:40.000","Crimes Against Persons","18-3-404(1)(a) M1","Unlawful Sexual Contact No Consent","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,
"2020-00044636","2020-12-22T19:55:00.000","2020-12-22T19:55:00.000","2020-12-23T20:48:25.000","Cleared by Arrest","2020-12-24T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","11100 CYPRESS TREE PT","COLORADO SPRINGS","80921",,
"2021-00015805","2021-04-24T17:31:00.000","2021-04-24T17:31:00.000","2021-04-24T17:31:11.000","Cleared by Arrest","2021-04-24T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,,,,,
"2022-00030463","2022-07-27T20:33:00.000","2022-08-13T18:50:00.000","2022-08-13T18:53:54.000","Cleared by Arrest","2022-08-13T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M2 (01)","Theft - Value $300 or more but < $1K, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","3100 CINEMA PT","COLORADO SPRINGS","80922","POINT (-104.717729 38.879108)","Stetson Hills"
"2020-00043269","2020-09-30T12:00:00.000","2020-12-13T14:00:00.000","2020-12-13T11:50:55.000","Cleared by Arrest","2021-06-11T00:00:00.000","Crimes Against Property","18-4-409(2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No","3500 N CAREFREE CIR","COLORADO SPRINGS","80917","POINT (-104.756931 38.882358)","Stetson Hills"
"2022-00023621","2022-06-24T16:13:00.000","2022-06-24T16:13:00.000","2022-06-24T16:13:46.000","Cleared by Arrest","2022-06-24T00:00:00.000","Crimes Against Society","42-4-1301(2)(a) M","Driving under the Influence - Blood Alcohol Content .08 or More (DEAC)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"THORN BRUSH & CAT TAIL CREEK","COLORADO SPRINGS","80923","POINT (-104.696264229299 38.9329397124993)","Stetson Hills"
"2022-00021466","2022-06-07T19:53:00.000","2022-06-07T22:30:00.000","2022-06-07T23:23:42.000","Warrant","2022-06-08T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Gold Hill"
"2022-00032722","2022-08-30T09:07:00.000","2022-08-30T09:07:00.000","2022-08-30T09:08:00.000","Cleared by Arrest","2022-08-30T00:00:00.000","Crimes Against Property","18-4-203(2)(b)(I) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","Yes","6300 BARNES RD","COLORADO SPRINGS","80922","POINT (-104.710155 38.897385)","Stetson Hills"
"2021-00007457","2021-02-17T12:00:00.000","2021-02-17T14:30:00.000","2021-02-17T17:24:13.000","Open","2021-02-17T17:24:13.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"Colorado Springs","80911","POINT (-104.722458 38.752199)",
"2022-00021422","2022-05-29T00:00:00.000","2022-05-29T00:00:00.000","2022-06-04T13:07:12.000","Open","2022-06-07T00:00:00.000","Crimes Against Property","9.6.404","THEFT","23D","Theft From Building","2308","Larceny-From Building","No","2500 E LAS VEGAS ST",,"80906","POINT (-104.784758 38.797742)",
"2022-00011296","2022-03-21T12:30:00.000","2022-03-21T17:30:00.000","2022-03-21T17:51:15.000","Open","2022-03-21T00:00:00.000","Crimes Against Property","18-4-409(4)  F6","Agg MVT - 2nd Degree - $2K or more but < $20K","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
"2020-00038354","2020-11-04T16:00:00.000","2020-11-04T16:10:00.000","2020-11-04T16:43:36.000","Open","2020-11-04T16:43:36.000","Crimes Against Property","18-4-401(2)(d) M2 (01)","Theft - $300 to $749, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","6400 BLACK RIDGE VW","COLORADO SPRINGS","80924","POINT (-104.712195 38.943548)","Stetson Hills"
"2021-00019026","2021-05-20T15:20:00.000","2021-05-20T18:00:00.000","2021-05-20T18:28:49.000","Cleared by Arrest","2021-05-20T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes","1400 WANDERLUST PT","COLORADO SPRINGS","80921",,
"2020-00081352","2020-04-10T18:30:00.000","2020-04-12T12:00:00.000","2020-04-13T12:56:24.000","Open","2020-04-13T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (05)","Theft - $2000 to $4999, SHOPLIFTING","23C","Shoplifting","2304","Larceny-Parts From Vehicle",,"4700 FORGE RD","COLORADO SPRINGS","80907","POINT (-104.841025 38.900058)","Falcon"
"2020-00013300","2020-04-09T13:45:00.000","2020-04-09T13:45:00.000","2020-04-09T13:45:37.000","Cleared by Arrest","2020-04-09T00:00:00.000","Crimes Against Society","9.6.102","TRESPASS ON PRIVATE PROPERTY","90J","Trespass of Real Property","5707","Trespassing (describe offense)",,"300 CIMINO DR","COLORADO SPRINGS","80903","POINT (-104.831797 38.828738)","Gold Hill"
"2022-00001908","2022-01-07T17:00:00.000","2022-01-08T10:00:00.000","2022-01-08T13:46:07.000","Open","2022-01-08T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No",,"COLORADO SPRINGS",,,
"2020-00032592","2020-09-19T07:00:00.000","2020-09-19T07:00:00.000","2020-09-19T15:27:33.000","Person Returned","2020-09-20T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2021-00040444","2021-10-26T19:30:00.000","2021-10-26T20:00:00.000","2021-10-27T07:24:21.000","Cleared by Arrest","2021-11-02T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","No","4000 WESTMEADOW DR","COLORADO SPRINGS","80906","POINT (-104.810991 38.773518)","Gold Hill"
"2022-00018807","2022-05-17T16:45:00.000","2022-05-18T16:44:00.000","2022-05-17T16:45:31.000","Open","2022-05-18T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M2 (01)","Theft - Value $300 or more but < $1K, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","2600 ORE MILL RD","COLORADO SPRINGS","80904","POINT (-104.867536 38.845567)","Gold Hill"
"2021-00084379","2021-05-11T19:10:00.000","2021-05-11T19:10:00.000","2021-05-11T19:20:17.000","Open","2021-05-11T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"7900 CALLENDALE DR","COLORADO SPRINGS","80908","POINT (-104.676201 38.948271)","Stetson Hills"
"2022-00081759","2022-04-19T15:10:00.000","2022-04-19T15:10:00.000","2022-04-20T15:22:14.000","Open","2022-04-20T00:00:00.000","Crimes Against Property","42-5-104(4) M2","Theft of a License Plate","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"2500 ZEPPELIN RD","COLORADO SPRINGS","80916","POINT (-104.727366 38.795672)","Sand Creek"
"2022-00081202","2022-03-17T07:30:00.000","2022-03-17T08:00:00.000","2022-03-17T09:04:46.000","Open","2022-03-17T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"Colorado Springs",,,
